LumiCycle: 012811H p3-2 clone12 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
01/31/2011,14:52,003.61944,00401.720,00381.242
01/31/2011,15:02,003.62639,00406.968,00381.131
01/31/2011,15:12,003.63333,00420.579,00381.020
01/31/2011,15:22,003.64028,00421.308,00380.908
01/31/2011,15:32,003.64722,00432.195,00380.797
01/31/2011,15:42,003.65417,00438.891,00380.686
01/31/2011,15:52,003.66111,00442.508,00380.574
01/31/2011,16:02,003.66806,00454.007,00380.463
01/31/2011,16:12,003.67500,00464.540,00380.352
01/31/2011,16:22,003.68194,00465.644,00380.241
01/31/2011,16:32,003.68889,00474.077,00380.129
01/31/2011,16:42,003.69583,00474.095,00380.018
01/31/2011,16:52,003.70278,00482.044,00379.907
01/31/2011,17:02,003.70972,00487.751,00379.795
01/31/2011,17:12,003.71667,00494.982,00379.684
01/31/2011,17:22,003.72361,00503.224,00379.573
01/31/2011,17:32,003.73056,00509.200,00379.462
01/31/2011,17:42,003.73750,00511.445,00379.350
01/31/2011,17:52,003.74444,00515.492,00379.239
01/31/2011,18:02,003.75139,00518.279,00379.128
01/31/2011,18:12,003.75833,00518.279,00379.016
01/31/2011,18:22,003.76528,00521.862,00378.905
01/31/2011,18:32,003.77222,00521.862,00378.794
01/31/2011,18:42,003.77917,00529.195,00378.683
01/31/2011,18:52,003.78611,00529.202,00378.571
01/31/2011,19:02,003.79306,00534.799,00378.460
01/31/2011,19:12,003.80000,00535.001,00378.349
01/31/2011,19:22,003.80694,00537.401,00378.237
01/31/2011,19:32,003.81389,00540.304,00378.126
01/31/2011,19:42,003.82083,00540.304,00378.015
01/31/2011,19:52,003.82778,00540.304,00377.904
01/31/2011,20:02,003.83472,00543.124,00377.792
01/31/2011,20:12,003.84167,00543.124,00377.681
01/31/2011,20:22,003.84861,00544.226,00377.570
01/31/2011,20:32,003.85556,00541.104,00377.458
01/31/2011,20:42,003.86250,00537.065,00377.347
01/31/2011,20:52,003.86944,00536.628,00377.236
01/31/2011,21:02,003.87639,00536.444,00377.125
01/31/2011,21:12,003.88333,00533.039,00377.013
01/31/2011,21:22,003.89028,00533.039,00376.902
01/31/2011,21:32,003.89722,00529.403,00376.791
01/31/2011,21:42,003.90417,00528.410,00376.680
01/31/2011,21:52,003.91111,00524.262,00376.568
01/31/2011,22:02,003.91806,00518.643,00376.457
01/31/2011,22:12,003.92500,00512.910,00376.346
01/31/2011,22:22,003.93194,00507.182,00376.234
01/31/2011,22:32,003.93889,00503.346,00376.123
01/31/2011,22:42,003.94583,00498.871,00376.012
01/31/2011,22:52,003.95278,00500.550,00375.900
01/31/2011,23:02,003.95972,00497.957,00375.789
01/31/2011,23:12,003.96667,00483.744,00375.678
01/31/2011,23:22,003.97361,00478.839,00375.567
01/31/2011,23:32,003.98056,00473.376,00375.455
01/31/2011,23:42,003.98750,00470.934,00375.344
01/31/2011,23:52,003.99444,00463.855,00375.233
02/01/2011,00:02,004.00139,00463.855,00375.121
02/01/2011,00:12,004.00833,00454.310,00375.010
02/01/2011,00:22,004.01528,00443.346,00374.899
02/01/2011,00:32,004.02222,00432.529,00374.788
02/01/2011,00:42,004.02917,00425.824,00374.676
02/01/2011,00:52,004.03611,00423.742,00374.565
02/01/2011,01:02,004.04306,00414.146,00374.454
02/01/2011,01:12,004.05000,00406.670,00374.342
02/01/2011,01:22,004.05694,00406.670,00374.231
02/01/2011,01:32,004.06389,00401.270,00374.120
02/01/2011,01:42,004.07083,00395.372,00374.009
02/01/2011,01:52,004.07778,00381.689,00373.897
02/01/2011,02:02,004.08472,00380.238,00373.786
02/01/2011,02:12,004.09167,00372.166,00373.675
02/01/2011,02:22,004.09861,00365.745,00373.564
02/01/2011,02:32,004.10556,00358.453,00373.452
02/01/2011,02:42,004.11250,00347.341,00373.341
02/01/2011,02:52,004.11944,00347.341,00373.230
02/01/2011,03:02,004.12639,00347.341,00373.118
02/01/2011,03:12,004.13333,00336.860,00373.007
02/01/2011,03:22,004.14028,00329.237,00372.896
02/01/2011,03:32,004.14722,00327.108,00372.785
02/01/2011,03:42,004.15417,00319.107,00372.673
02/01/2011,03:52,004.16111,00307.903,00372.562
02/01/2011,04:02,004.16806,00301.945,00372.451
02/01/2011,04:12,004.17500,00298.031,00372.339
02/01/2011,04:22,004.18194,00296.114,00372.228
02/01/2011,04:32,004.18889,00292.124,00372.117
02/01/2011,04:42,004.19583,00290.151,00372.006
02/01/2011,04:52,004.20278,00281.581,00371.894
02/01/2011,05:02,004.20972,00277.250,00371.783
02/01/2011,05:12,004.21667,00270.288,00371.672
