LumiCycle: 2011-10-16_CDKO$PLIDCG-10 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
10/17/2011,00:38,001.02639,05961.792,04000.005
10/17/2011,00:48,001.03333,05931.962,03998.380
10/17/2011,00:58,001.04028,05865.482,03996.755
10/17/2011,01:08,001.04722,05844.761,03995.130
10/17/2011,01:18,001.05417,05794.388,03993.505
10/17/2011,01:28,001.06111,05752.934,03991.880
10/17/2011,01:38,001.06806,05720.223,03990.255
10/17/2011,01:48,001.07500,05676.285,03988.630
10/17/2011,01:58,001.08194,05652.000,03987.005
10/17/2011,02:08,001.08889,05630.937,03985.380
10/17/2011,02:18,001.09583,05580.424,03983.755
10/17/2011,02:28,001.10278,05541.510,03982.130
10/17/2011,02:38,001.10972,05516.164,03980.505
10/17/2011,02:48,001.11667,05481.040,03978.880
10/17/2011,02:58,001.12361,05435.506,03977.255
10/17/2011,03:08,001.13056,05410.387,03975.630
10/17/2011,03:18,001.13750,05367.556,03974.005
10/17/2011,03:28,001.14444,05344.332,03972.380
10/17/2011,03:38,001.15139,05328.428,03970.755
10/17/2011,03:48,001.15833,05289.250,03969.130
10/17/2011,03:58,001.16528,05260.423,03967.505
10/17/2011,04:08,001.17222,05242.116,03965.880
10/17/2011,04:18,001.17917,05200.562,03964.255
10/17/2011,04:28,001.18611,05190.304,03962.630
10/17/2011,04:38,001.19306,05141.330,03961.005
10/17/2011,04:48,001.20000,05092.739,03959.380
10/17/2011,04:58,001.20694,05054.500,03957.755
10/17/2011,05:08,001.21389,05018.066,03956.130
10/17/2011,05:18,001.22083,05006.735,03954.505
10/17/2011,05:28,001.22778,04953.477,03952.880
10/17/2011,05:38,001.23472,04947.402,03951.255
10/17/2011,05:48,001.24167,04921.880,03949.630
10/17/2011,05:58,001.24861,04902.569,03948.005
10/17/2011,06:08,001.25556,04898.555,03946.380
10/17/2011,06:18,001.26250,04855.818,03944.755
10/17/2011,06:28,001.26944,04854.928,03943.130
10/17/2011,06:38,001.27639,04829.780,03941.505
10/17/2011,06:48,001.28333,04820.887,03939.880
10/17/2011,06:58,001.29028,04805.195,03938.255
10/17/2011,07:08,001.29722,04793.458,03936.630
10/17/2011,07:18,001.30417,04760.557,03935.005
10/17/2011,07:28,001.31111,04750.619,03933.379
10/17/2011,07:38,001.31806,04747.604,03931.754
10/17/2011,07:48,001.32500,04734.419,03930.129
10/17/2011,07:58,001.33194,04708.004,03928.504
10/17/2011,08:08,001.33889,04703.066,03926.879
10/17/2011,08:18,001.34583,04683.924,03925.254
10/17/2011,08:28,001.35278,04671.780,03923.629
10/17/2011,08:38,001.35972,04668.678,03922.004
10/17/2011,08:48,001.36667,04649.979,03920.379
10/17/2011,08:58,001.37361,04624.414,03918.754
10/17/2011,09:08,001.38056,04623.888,03917.129
10/17/2011,09:18,001.38750,04588.324,03915.504
10/17/2011,09:28,001.39444,04576.097,03913.879
10/17/2011,09:38,001.40139,04575.402,03912.254
10/17/2011,09:48,001.40833,04550.342,03910.629
10/17/2011,09:58,001.41528,04536.705,03909.004
10/17/2011,10:08,001.42222,04523.249,03907.379
10/17/2011,10:18,001.42917,04512.602,03905.754
10/17/2011,10:28,001.43611,04497.659,03904.129
10/17/2011,10:38,001.44306,04495.340,03902.504
10/17/2011,10:48,001.45000,04463.350,03900.879
10/17/2011,10:58,001.45694,04447.976,03899.254
