LumiCycle: 2011-9-21_PDKO$fPL-10 (Raw),,,,
Date,Time (hr:min),Time (days),counts/sec, 
Baseline,,,,
9/21/2011,21:56,0.91389,57.639,38.978
9/21/2011,22:06,0.92083,57.303,38.965
9/21/2011,22:16,0.92778,56.533,38.953
9/21/2011,22:26,0.93472,55.994,38.941
9/21/2011,22:36,0.94167,51.947,38.928
9/21/2011,22:46,0.94861,51.328,38.916
9/21/2011,22:56,0.95556,49,38.904
9/21/2011,23:06,0.9625,47.835,38.891
9/21/2011,23:16,0.96944,45.921,38.879
9/21/2011,23:26,0.97639,45.921,38.866
9/21/2011,23:36,0.98333,45.592,38.854
9/21/2011,23:46,0.99028,46.289,38.842
9/21/2011,23:56,0.99722,45.592,38.829
9/22/2011,0:06,1.00417,45.571,38.817
9/22/2011,0:16,1.01111,44.971,38.805
9/22/2011,0:26,1.01806,45.571,38.792
9/22/2011,0:36,1.025,46.469,38.78
9/22/2011,0:46,1.03194,46.615,38.768
9/22/2011,0:56,1.03889,49.685,38.755
9/22/2011,1:06,1.04583,50.729,38.743
9/22/2011,1:16,1.05278,50.83,38.73
9/22/2011,1:26,1.05972,50.83,38.718
9/22/2011,1:36,1.06667,50.83,38.706
9/22/2011,1:46,1.07361,50.388,38.693
9/22/2011,1:56,1.08056,51.098,38.681
9/22/2011,2:06,1.0875,50.531,38.669
9/22/2011,2:16,1.09444,51.06,38.656
9/22/2011,2:26,1.10139,50.531,38.644
9/22/2011,2:36,1.10833,49.789,38.632
9/22/2011,2:46,1.11528,49.493,38.619
9/22/2011,2:56,1.12222,48.829,38.607
9/22/2011,3:06,1.12917,48.829,38.594
9/22/2011,3:16,1.13611,48.829,38.582
9/22/2011,3:26,1.14306,47.846,38.57
9/22/2011,3:36,1.15,48.481,38.557
9/22/2011,3:46,1.15694,47.654,38.545
9/22/2011,3:56,1.16389,47.646,38.533
9/22/2011,4:06,1.17083,46.926,38.52
9/22/2011,4:16,1.17778,46.995,38.508
9/22/2011,4:26,1.18472,46.995,38.496
9/22/2011,4:36,1.19167,47.023,38.483
9/22/2011,4:46,1.19861,47.023,38.471
9/22/2011,4:56,1.20556,46.477,38.458
9/22/2011,5:06,1.2125,46.477,38.446
9/22/2011,5:16,1.21944,46.477,38.434
9/22/2011,5:26,1.22639,46.161,38.421
9/22/2011,5:36,1.23333,46.161,38.409
9/22/2011,5:46,1.24028,46.407,38.397
9/22/2011,5:56,1.24722,46.407,38.384
9/22/2011,6:06,1.25417,46.083,38.372
9/22/2011,6:16,1.26111,46.083,38.36
9/22/2011,6:26,1.26806,46.979,38.347
9/22/2011,6:36,1.275,46.979,38.335
9/22/2011,6:46,1.28194,44.829,38.323
9/22/2011,6:56,1.28889,44.829,38.31
9/22/2011,7:06,1.29583,46.145,38.298
9/22/2011,7:16,1.30278,46.145,38.285
9/22/2011,7:26,1.30972,44.747,38.273
9/22/2011,7:36,1.31667,44.747,38.261
9/22/2011,7:46,1.32361,44.689,38.248
9/22/2011,7:56,1.33056,45.36,38.236
9/22/2011,8:06,1.3375,44.814,38.224
9/22/2011,8:16,1.34444,44.814,38.211
9/22/2011,8:26,1.35139,44.814,38.199
9/22/2011,8:36,1.35833,44.776,38.187
9/22/2011,8:46,1.36528,45.302,38.174
9/22/2011,8:56,1.37222,45.302,38.162
9/22/2011,9:06,1.37917,45.585,38.149
9/22/2011,9:16,1.38611,45.585,38.137
9/22/2011,9:26,1.39306,44.26,38.125
9/22/2011,9:36,1.4,44.26,38.112
9/22/2011,9:46,1.40694,44.26,38.1
9/22/2011,9:56,1.41389,43.657,38.088
9/22/2011,10:06,1.42083,43.497,38.075
9/22/2011,10:16,1.42778,42.817,38.063
9/22/2011,10:26,1.43472,41.211,38.051
9/22/2011,10:36,1.44167,41.211,38.038
9/22/2011,10:46,1.44861,41.265,38.026
9/22/2011,10:56,1.45556,41.265,38.013
9/22/2011,11:06,1.4625,41.062,38.001
9/22/2011,11:16,1.46944,41.062,37.989
9/22/2011,11:26,1.47639,40.39,37.976
9/22/2011,11:36,1.48333,40.685,37.964
9/22/2011,11:46,1.49028,40.685,37.952
9/22/2011,11:56,1.49722,40.685,37.939
9/22/2011,12:06,1.50417,40.777,37.927
9/22/2011,12:16,1.51111,40.847,37.915
9/22/2011,12:26,1.51806,41.163,37.902
9/22/2011,12:36,1.525,41.461,37.89
9/22/2011,12:46,1.53194,41.163,37.878
9/22/2011,12:56,1.53889,40.076,37.865
9/22/2011,13:06,1.54583,40.076,37.853
9/22/2011,13:16,1.55278,40.014,37.84
9/22/2011,13:26,1.55972,41.314,37.828
9/22/2011,13:36,1.56667,41.784,37.816
9/22/2011,13:46,1.57361,41.784,37.803
9/22/2011,13:56,1.58056,40.751,37.791
9/22/2011,14:06,1.5875,39.849,37.779
9/22/2011,14:16,1.59444,39.849,37.766
9/22/2011,14:26,1.60139,40.408,37.754
9/22/2011,14:36,1.60833,40.408,37.742
9/22/2011,14:46,1.61528,37.196,37.729
9/22/2011,14:56,1.62222,36.86,37.717
9/22/2011,15:06,1.62917,34.901,37.704
9/22/2011,15:26,1.64306,34.505,37.68
9/22/2011,15:36,1.65,34.256,37.667
9/22/2011,15:46,1.65694,33.984,37.655
9/22/2011,15:56,1.66389,33.984,37.643
9/22/2011,16:06,1.67083,34.096,37.63
9/22/2011,16:16,1.67778,34.584,37.618
9/22/2011,16:26,1.68472,35.112,37.606
9/22/2011,16:36,1.69167,35.112,37.593
9/22/2011,16:46,1.69861,34.971,37.581
9/22/2011,16:56,1.70556,34.971,37.568
9/22/2011,17:06,1.7125,36.211,37.556
9/22/2011,17:16,1.71944,37.161,37.544
9/22/2011,17:26,1.72639,37.265,37.531
9/22/2011,17:36,1.73333,38.147,37.519
9/22/2011,17:46,1.74028,39.105,37.507
9/22/2011,17:56,1.74722,39.789,37.494
9/22/2011,18:06,1.75417,39.789,37.482
9/22/2011,18:16,1.76111,39.701,37.47
9/22/2011,18:26,1.76806,39.701,37.457
9/22/2011,18:36,1.775,39.759,37.445
9/22/2011,18:46,1.78194,40.088,37.432
9/22/2011,18:56,1.78889,40.088,37.42
9/22/2011,19:06,1.79583,39.845,37.408
9/22/2011,19:16,1.80278,39.708,37.395
9/22/2011,19:26,1.80972,37.416,37.383
9/22/2011,19:36,1.81667,36.8,37.371
9/22/2011,19:46,1.82361,36.176,37.358
9/22/2011,19:56,1.83056,35.058,37.346
9/22/2011,20:06,1.8375,34.109,37.334
9/22/2011,20:16,1.84444,33.62,37.321
9/22/2011,20:26,1.85139,33.027,37.309
9/22/2011,20:36,1.85833,33.024,37.297
9/22/2011,20:46,1.86528,33.027,37.284
9/22/2011,20:56,1.87222,32.868,37.272
9/22/2011,21:06,1.87917,32.868,37.259
9/22/2011,21:16,1.88611,32.453,37.247
9/22/2011,21:26,1.89306,31.729,37.235
9/22/2011,21:36,1.9,32.453,37.222
9/22/2011,21:46,1.90694,33.783,37.21
9/22/2011,21:56,1.91389,33.792,37.198
9/22/2011,22:06,1.92083,33.783,37.185
9/22/2011,22:16,1.92778,33.792,37.173
9/22/2011,22:26,1.93472,34.013,37.161
9/22/2011,22:36,1.94167,35.013,37.148
9/22/2011,22:46,1.94861,36.698,37.136
9/22/2011,22:56,1.95556,37.525,37.123
9/22/2011,23:06,1.9625,38.6,37.111
9/22/2011,23:16,1.96944,38.6,37.099
9/22/2011,23:26,1.97639,37.995,37.086
9/22/2011,23:36,1.98333,37.995,37.074
9/22/2011,23:46,1.99028,38.588,37.062
9/22/2011,23:56,1.99722,38.588,37.049
9/23/2011,0:06,2.00417,38.651,37.037
9/23/2011,0:16,2.01111,38.561,37.025
9/23/2011,0:26,2.01806,38.561,37.012
9/23/2011,0:36,2.025,37.637,37
9/23/2011,0:46,2.03194,37.394,36.987
9/23/2011,0:56,2.03889,34.4,36.975
9/23/2011,1:06,2.04583,32.597,36.963
9/23/2011,1:16,2.05278,32.282,36.95
9/23/2011,1:26,2.05972,32.282,36.938
9/23/2011,1:36,2.06667,31.748,36.926
9/23/2011,1:46,2.07361,33.798,36.913
9/23/2011,1:56,2.08056,32.063,36.901
9/23/2011,2:06,2.0875,32.265,36.889
9/23/2011,2:16,2.09444,32.063,36.876
9/23/2011,2:26,2.10139,32.035,36.864
9/23/2011,2:36,2.10833,31.694,36.852
9/23/2011,2:46,2.11528,31.694,36.839
9/23/2011,2:56,2.12222,31.694,36.827
9/23/2011,3:06,2.12917,32.207,36.814
9/23/2011,3:16,2.13611,32.336,36.802
9/23/2011,3:26,2.14306,32.35,36.79
9/23/2011,3:36,2.15,32.35,36.777
9/23/2011,3:46,2.15694,33.484,36.765
9/23/2011,3:56,2.16389,33.484,36.753
9/23/2011,4:06,2.17083,33.487,36.74
9/23/2011,4:16,2.17778,35.876,36.728
9/23/2011,4:26,2.18472,36.508,36.716
9/23/2011,4:36,2.19167,36.508,36.703
9/23/2011,4:46,2.19861,36.508,36.691
9/23/2011,4:56,2.20556,36.679,36.678
9/23/2011,5:06,2.2125,36.755,36.666
9/23/2011,5:16,2.21944,37.037,36.654
9/23/2011,5:26,2.22639,37.037,36.641
9/23/2011,5:36,2.23333,37.037,36.629
9/23/2011,5:46,2.24028,36.779,36.617
9/23/2011,5:56,2.24722,36.305,36.604
9/23/2011,6:06,2.25417,34.429,36.592
9/23/2011,6:16,2.26111,34.132,36.58
9/23/2011,6:26,2.26806,32.48,36.567
9/23/2011,6:36,2.275,32.427,36.555
9/23/2011,6:46,2.28194,31.564,36.542
9/23/2011,6:56,2.28889,31.142,36.53
9/23/2011,7:06,2.29583,31.142,36.518
9/23/2011,7:16,2.30278,31.142,36.505
9/23/2011,7:26,2.30972,30.923,36.493
9/23/2011,7:36,2.31667,30.923,36.481
9/23/2011,7:46,2.32361,30.923,36.468
9/23/2011,7:56,2.33056,31.212,36.456
9/23/2011,8:06,2.3375,31.507,36.444
9/23/2011,8:16,2.34444,31.85,36.431
9/23/2011,8:26,2.35139,31.728,36.419
