LumiCycle: 2013-2-26WT$CLIH-Cont-DH (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
02/26/2013,10:31,000.43819,06677.991,04083.060
02/26/2013,10:41,000.44514,06677.991,04081.881
02/26/2013,10:51,000.45208,06614.922,04080.702
02/26/2013,11:01,000.45903,06585.453,04079.523
02/26/2013,11:11,000.46597,06520.877,04078.344
02/26/2013,11:21,000.47292,06409.174,04077.165
02/26/2013,11:31,000.47986,06203.727,04075.986
02/26/2013,11:41,000.48681,05803.566,04074.807
02/26/2013,11:51,000.49375,05509.254,04073.628
02/26/2013,12:01,000.50069,05393.738,04072.449
02/26/2013,12:11,000.50764,05302.765,04071.271
02/26/2013,12:21,000.51458,05205.311,04070.092
02/26/2013,12:31,000.52153,05130.772,04068.913
02/26/2013,12:41,000.52847,05066.275,04067.734
02/26/2013,12:51,000.53542,05006.642,04066.555
02/26/2013,13:01,000.54236,04968.216,04065.376
02/26/2013,13:11,000.54931,04941.216,04064.197
02/26/2013,13:21,000.55625,04887.723,04063.018
02/26/2013,13:31,000.56319,04881.881,04061.839
02/26/2013,13:41,000.57014,04839.382,04060.660
02/26/2013,13:51,000.57708,04834.811,04059.481
02/26/2013,14:01,000.58403,04798.805,04058.302
02/26/2013,14:11,000.59097,04784.667,04057.124
02/26/2013,14:21,000.59792,04782.948,04055.945
02/26/2013,14:31,000.60486,04756.754,04054.766
02/26/2013,14:41,000.61181,04756.754,04053.587
02/26/2013,14:51,000.61875,05278.711,04052.408
02/26/2013,15:01,000.62569,05393.900,04051.229
02/26/2013,15:11,000.63264,05438.054,04050.050
02/26/2013,15:21,000.63958,05438.054,04048.871
02/26/2013,15:31,000.64653,05421.391,04047.692
02/26/2013,15:41,000.65347,05399.295,04046.513
02/26/2013,15:51,000.66042,05378.985,04045.334
02/26/2013,16:01,000.66736,05362.232,04044.156
02/26/2013,16:11,000.67431,05341.799,04042.977
02/26/2013,16:21,000.68125,05311.944,04041.798
02/26/2013,16:31,000.68819,05290.666,04040.619
02/26/2013,16:41,000.69514,04950.469,04039.440
02/26/2013,16:51,000.70208,04635.970,04038.261
02/26/2013,17:01,000.70903,04374.597,04037.082
02/26/2013,17:11,000.71597,04228.326,04035.903
02/26/2013,17:21,000.72292,04203.317,04034.724
