LumiCycle: 2013-2-26WT$CLIH-Cont-DH (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
02/26/2013,10:31,000.43819,06677.991,03985.870
02/26/2013,10:41,000.44514,06677.991,03985.143
02/26/2013,10:51,000.45208,06614.922,03984.415
02/26/2013,11:01,000.45903,06585.453,03983.688
02/26/2013,11:11,000.46597,06520.877,03982.960
02/26/2013,11:21,000.47292,06409.174,03982.233
02/26/2013,11:31,000.47986,06203.727,03981.505
02/26/2013,11:41,000.48681,05803.566,03980.778
02/26/2013,11:51,000.49375,05509.254,03980.050
02/26/2013,12:01,000.50069,05393.738,03979.323
02/26/2013,12:11,000.50764,05302.765,03978.595
02/26/2013,12:21,000.51458,05205.311,03977.867
02/26/2013,12:31,000.52153,05130.772,03977.140
02/26/2013,12:41,000.52847,05066.275,03976.412
02/26/2013,12:51,000.53542,05006.642,03975.685
02/26/2013,13:01,000.54236,04968.216,03974.957
02/26/2013,13:11,000.54931,04941.216,03974.230
02/26/2013,13:21,000.55625,04887.723,03973.502
02/26/2013,13:31,000.56319,04881.881,03972.775
02/26/2013,13:41,000.57014,04839.382,03972.047
02/26/2013,13:51,000.57708,04834.811,03971.320
02/26/2013,14:01,000.58403,04798.805,03970.592
02/26/2013,14:11,000.59097,04784.667,03969.865
02/26/2013,14:21,000.59792,04782.948,03969.137
02/26/2013,14:31,000.60486,04756.754,03968.409
02/26/2013,14:41,000.61181,04756.754,03967.682
02/26/2013,14:51,000.61875,05278.711,03966.954
02/26/2013,15:01,000.62569,05393.900,03966.227
02/26/2013,15:11,000.63264,05438.054,03965.499
02/26/2013,15:21,000.63958,05438.054,03964.772
02/26/2013,15:31,000.64653,05421.391,03964.044
02/26/2013,15:41,000.65347,05399.295,03963.317
02/26/2013,15:51,000.66042,05378.985,03962.589
02/26/2013,16:01,000.66736,05362.232,03961.862
02/26/2013,16:11,000.67431,05341.799,03961.134
02/26/2013,16:21,000.68125,05311.944,03960.406
02/26/2013,16:31,000.68819,05290.666,03959.679
02/26/2013,16:41,000.69514,04950.469,03958.951
02/26/2013,16:51,000.70208,04635.970,03958.224
02/26/2013,17:01,000.70903,04374.597,03957.496
