LumiCycle: 2013-2-26WT$CLIH-Cont-Env_7 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
02/26/2013,10:26,000.43472,04780.147,04165.562
02/26/2013,10:36,000.44167,04780.277,04159.030
02/26/2013,10:46,000.44861,04780.277,04152.499
02/26/2013,10:56,000.45556,04833.372,04145.968
02/26/2013,11:06,000.46250,04931.173,04139.437
02/26/2013,11:16,000.46944,05051.192,04132.905
02/26/2013,11:26,000.47639,05151.031,04126.374
02/26/2013,11:36,000.48333,05205.897,04119.843
02/26/2013,11:46,000.49028,05262.668,04113.312
02/26/2013,11:56,000.49722,05262.668,04106.780
02/26/2013,12:06,000.50417,05150.584,04100.249
02/26/2013,12:16,000.51111,04775.621,04093.718
02/26/2013,12:26,000.51806,04531.632,04087.186
02/26/2013,12:36,000.52500,04531.632,04080.655
02/26/2013,12:46,000.53194,04558.333,04074.124
02/26/2013,12:56,000.53889,04572.771,04067.592
02/26/2013,13:06,000.54583,04576.616,04061.061
02/26/2013,13:16,000.55278,04588.592,04054.530
02/26/2013,13:26,000.55972,04591.805,04047.999
02/26/2013,13:36,000.56667,04592.132,04041.467
02/26/2013,13:46,000.57361,04591.805,04034.936
02/26/2013,13:56,000.58056,04587.318,04028.405
02/26/2013,14:06,000.58750,04583.005,04021.874
02/26/2013,14:16,000.59444,04583.005,04015.342
02/26/2013,14:26,000.60139,04565.788,04008.811
02/26/2013,14:36,000.60833,04555.997,04002.280
02/26/2013,14:46,000.61528,04546.357,03995.748
02/26/2013,14:56,000.62222,04529.781,03989.217
02/26/2013,15:06,000.62917,04518.161,03982.686
02/26/2013,15:16,000.63611,04500.057,03976.155
02/26/2013,15:26,000.64306,04481.467,03969.623
02/26/2013,15:36,000.65000,04450.754,03963.092
02/26/2013,15:46,000.65694,04428.058,03956.561
02/26/2013,15:56,000.66389,04408.714,03950.030
02/26/2013,16:06,000.67083,04374.417,03943.498
02/26/2013,16:16,000.67778,04359.333,03936.967
02/26/2013,16:26,000.68472,04353.907,03930.436
02/26/2013,16:36,000.69167,04316.981,03923.904
02/26/2013,16:46,000.69861,04287.999,03917.373
02/26/2013,16:56,000.70556,04263.747,03910.842
02/26/2013,17:06,000.71250,04250.684,03904.311
02/26/2013,17:16,000.71944,04215.505,03897.779
02/26/2013,17:26,000.72639,04205.266,03891.248
02/26/2013,17:36,000.73333,04205.266,03884.717
02/26/2013,17:46,000.74028,04347.112,03878.186
02/26/2013,17:56,000.74722,04689.565,03871.654
02/26/2013,18:06,000.75417,04722.701,03865.123
02/26/2013,18:16,000.76111,04727.943,03858.592
02/26/2013,18:26,000.76806,04724.956,03852.060
02/26/2013,18:36,000.77500,04724.956,03845.529
02/26/2013,18:46,000.78194,04707.381,03838.998
02/26/2013,18:56,000.78889,04707.371,03832.467
02/26/2013,19:06,000.79583,04693.681,03825.935
02/26/2013,19:16,000.80278,04680.953,03819.404
02/26/2013,19:26,000.80972,04648.665,03812.873
02/26/2013,19:36,000.81667,04623.404,03806.342
02/26/2013,19:46,000.82361,04581.525,03799.810
02/26/2013,19:56,000.83056,04532.786,03793.279
02/26/2013,20:06,000.83750,04521.555,03786.748
02/26/2013,20:16,000.84444,03715.756,03780.216
02/26/2013,20:26,000.85139,03677.280,03773.685
