LumiCycle: 2013-4-7WT$CLIH_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/07/2013,12:11,000.50764,05489.659,05568.772
04/07/2013,12:21,000.51458,05533.404,05564.922
04/07/2013,12:31,000.52153,05555.727,05561.073
04/07/2013,12:41,000.52847,05593.204,05557.223
04/07/2013,12:51,000.53542,05632.286,05553.373
04/07/2013,13:01,000.54236,05661.296,05549.523
04/07/2013,13:11,000.54931,05694.836,05545.673
04/07/2013,13:21,000.55625,05700.273,05541.824
04/07/2013,13:31,000.56319,05724.194,05537.974
04/07/2013,13:41,000.57014,05852.576,05534.124
04/07/2013,13:51,000.57708,05865.441,05530.274
04/07/2013,14:01,000.58403,05923.831,05526.424
04/07/2013,14:11,000.59097,06071.741,05522.574
04/07/2013,14:21,000.59792,06098.520,05518.725
04/07/2013,14:31,000.60486,06357.417,05514.875
04/07/2013,14:41,000.61181,06357.417,05511.025
04/07/2013,14:51,000.61875,06346.423,05507.175
04/07/2013,15:01,000.62569,06292.641,05503.325
04/07/2013,15:11,000.63264,06153.324,05499.476
04/07/2013,15:21,000.63958,05543.098,05495.625
04/07/2013,15:31,000.64653,05450.444,05491.776
04/07/2013,15:41,000.65347,05449.287,05487.926
04/07/2013,15:51,000.66042,05424.382,05484.076
04/07/2013,16:01,000.66736,05420.903,05480.226
04/07/2013,16:11,000.67431,05397.494,05476.376
04/07/2013,16:21,000.68125,05397.462,05472.527
04/07/2013,16:31,000.68819,05397.462,05468.677
04/07/2013,16:41,000.69514,05397.462,05464.827
04/07/2013,16:51,000.70208,05398.876,05460.977
04/07/2013,17:01,000.70903,05405.736,05457.127
04/07/2013,17:11,000.71597,05406.967,05453.277
04/07/2013,17:21,000.72292,05405.736,05449.428
04/07/2013,17:31,000.72986,05396.707,05445.578
04/07/2013,17:41,000.73681,05396.707,05441.728
04/07/2013,17:51,000.74375,05409.061,05437.878
04/07/2013,18:01,000.75069,05412.075,05434.028
04/07/2013,18:11,000.75764,05427.806,05430.179
04/07/2013,18:21,000.76458,05430.447,05426.329
04/07/2013,18:31,000.77153,05450.142,05422.479
04/07/2013,18:41,000.77847,05457.081,05418.629
04/07/2013,18:51,000.78542,05486.298,05414.779
04/07/2013,19:01,000.79236,05549.085,05410.929
04/07/2013,19:11,000.79931,06188.879,05407.080
04/07/2013,19:21,000.80625,06191.646,05403.230
04/07/2013,19:31,000.81319,06191.646,05399.380
04/07/2013,19:41,000.82014,06188.810,05395.530
04/07/2013,19:51,000.82708,06188.810,05391.680
04/07/2013,20:01,000.83403,06217.944,05387.831
04/07/2013,20:11,000.84097,06219.332,05383.980
04/07/2013,20:21,000.84792,06234.030,05380.131
04/07/2013,20:31,000.85486,06234.030,05376.281
04/07/2013,20:41,000.86181,06217.134,05372.431
04/07/2013,20:51,000.86875,06213.546,05368.582
04/07/2013,21:01,000.87569,05921.152,05364.731
04/07/2013,21:11,000.88264,05200.698,05360.882
04/07/2013,21:21,000.88958,05148.290,05357.032
04/07/2013,21:31,000.89653,05148.290,05353.182
04/07/2013,21:41,000.90347,05156.827,05349.332
04/07/2013,21:51,000.91042,05168.810,05345.482
04/07/2013,22:01,000.91736,05169.875,05341.632
04/07/2013,22:11,000.92431,05174.476,05337.783
04/07/2013,22:21,000.93125,05183.468,05333.933
04/07/2013,22:31,000.93819,05210.510,05330.083
04/07/2013,22:41,000.94514,05228.313,05326.233
04/07/2013,22:51,000.95208,05246.646,05322.383
04/07/2013,23:01,000.95903,05267.691,05318.534
04/07/2013,23:11,000.96597,05300.651,05314.684
04/07/2013,23:21,000.97292,05316.555,05310.834
04/07/2013,23:31,000.97986,05344.057,05306.984
04/07/2013,23:41,000.98681,05347.748,05303.134
04/07/2013,23:51,000.99375,05377.662,05299.285
04/08/2013,00:01,001.00069,05383.842,05295.435
04/08/2013,00:11,001.00764,05381.617,05291.585
04/08/2013,00:21,001.01458,05385.300,05287.735
04/08/2013,00:31,001.02153,05388.142,05283.885
04/08/2013,00:41,001.02847,05402.899,05280.035
04/08/2013,00:51,001.03542,05416.047,05276.186
04/08/2013,01:01,001.04236,05426.562,05272.335
04/08/2013,01:11,001.04931,05441.390,05268.486
04/08/2013,01:21,001.05625,05507.798,05264.636
04/08/2013,01:31,001.06319,05708.252,05260.786
04/08/2013,01:41,001.07014,06200.270,05256.937
04/08/2013,01:51,001.07708,06200.270,05253.086
04/08/2013,02:01,001.08403,06188.347,05249.237
04/08/2013,02:11,001.09097,06141.494,05245.387
04/08/2013,02:21,001.09792,06139.610,05241.537
04/08/2013,02:31,001.10486,06118.373,05237.687
04/08/2013,02:41,001.11181,06098.555,05233.837
04/08/2013,02:51,001.11875,06051.698,05229.988
04/08/2013,03:01,001.12569,05118.111,05226.138
04/08/2013,03:11,001.13264,04966.020,05222.288
04/08/2013,03:21,001.13958,04940.660,05218.438
04/08/2013,03:31,001.14653,04940.660,05214.588
04/08/2013,03:41,001.15347,04957.734,05210.738
04/08/2013,03:51,001.16042,04962.700,05206.889
04/08/2013,04:01,001.16736,04967.572,05203.039
04/08/2013,04:11,001.17431,04980.244,05199.189
04/08/2013,04:21,001.18125,04995.502,05195.339
04/08/2013,04:31,001.18819,05008.487,05191.489
04/08/2013,04:41,001.19514,05009.754,05187.640
04/08/2013,04:51,001.20208,05026.537,05183.790
04/08/2013,05:01,001.20903,05043.369,05179.940
04/08/2013,05:11,001.21597,05055.408,05176.090
04/08/2013,05:21,001.22292,05064.383,05172.240
04/08/2013,05:31,001.22986,05068.070,05168.390
04/08/2013,05:41,001.23681,05080.708,05164.541
04/08/2013,05:51,001.24375,05100.205,05160.690
04/08/2013,06:01,001.25069,05110.308,05156.841
04/08/2013,06:11,001.25764,05110.372,05152.991
04/08/2013,06:21,001.26458,05110.372,05149.141
04/08/2013,06:31,001.27153,05110.372,05145.292
04/08/2013,06:41,001.27847,05104.487,05141.441
04/08/2013,06:51,001.28542,05104.487,05137.592
04/08/2013,07:01,001.29236,05089.474,05133.742
04/08/2013,07:11,001.29931,05070.346,05129.892
04/08/2013,07:21,001.30625,05070.346,05126.042
04/08/2013,07:31,001.31319,05070.346,05122.192
04/08/2013,07:41,001.32014,05065.576,05118.343
04/08/2013,07:51,001.32708,05060.339,05114.493
04/08/2013,08:01,001.33403,05065.576,05110.643
04/08/2013,08:11,001.34097,05062.832,05106.793
04/08/2013,08:21,001.34792,05085.332,05102.943
04/08/2013,08:31,001.35486,05608.414,05099.093
04/08/2013,08:41,001.36181,05845.930,05095.244
04/08/2013,08:51,001.36875,05845.930,05091.394
04/08/2013,09:01,001.37569,05826.775,05087.544
04/08/2013,09:11,001.38264,05797.243,05083.694
04/08/2013,09:21,001.38958,05794.917,05079.844
04/08/2013,09:31,001.39653,05794.917,05075.995
04/08/2013,09:41,001.40347,05755.191,05072.145
04/08/2013,09:51,001.41042,05703.444,05068.295
04/08/2013,10:01,001.41736,04796.835,05064.445
04/08/2013,10:11,001.42431,04642.065,05060.595
04/08/2013,10:21,001.43125,04637.599,05056.745
04/08/2013,10:31,001.43819,04637.599,05052.896
04/08/2013,10:41,001.44514,04638.774,05049.046
04/08/2013,10:51,001.45208,04640.455,05045.196
04/08/2013,11:01,001.45903,04663.195,05041.346
04/08/2013,11:11,001.46597,04674.054,05037.496
04/08/2013,11:21,001.47292,04693.142,05033.646
04/08/2013,11:31,001.47986,04693.142,05029.796
04/08/2013,11:41,001.48681,04695.444,05025.947
04/08/2013,11:51,001.49375,04713.375,05022.097
04/08/2013,12:01,001.50069,04714.070,05018.247
04/08/2013,12:11,001.50764,04737.655,05014.397
04/08/2013,12:21,001.51458,04748.588,05010.547
04/08/2013,12:31,001.52153,04748.588,05006.698
04/08/2013,12:51,001.53542,04544.308,04998.998
04/08/2013,13:01,001.54236,04456.985,04995.148
04/08/2013,13:11,001.54931,04412.843,04991.298
04/08/2013,13:21,001.55625,04411.562,04987.448
04/08/2013,13:31,001.56319,04411.562,04983.599
04/08/2013,13:41,001.57014,04405.194,04979.749
04/08/2013,13:51,001.57708,04398.491,04975.899
04/08/2013,14:01,001.58403,04391.642,04972.049
04/08/2013,14:11,001.59097,04391.171,04968.199
04/08/2013,14:21,001.59792,04391.171,04964.350
04/08/2013,14:31,001.60486,04381.582,04960.500
04/08/2013,14:41,001.61181,04381.221,04956.650
04/08/2013,14:51,001.61875,04381.221,04952.800
04/08/2013,15:01,001.62569,04384.590,04948.950
04/08/2013,15:11,001.63264,04389.556,04945.101
04/08/2013,15:21,001.63958,04396.816,04941.250
04/08/2013,15:31,001.64653,04455.064,04937.401
04/08/2013,15:41,001.65347,04959.070,04933.551
04/08/2013,15:51,001.66042,05149.362,04929.701
04/08/2013,16:01,001.66736,05149.362,04925.851
04/08/2013,16:11,001.67431,05149.362,04922.001
04/08/2013,16:21,001.68125,05149.896,04918.151
04/08/2013,16:31,001.68819,05149.896,04914.302
04/08/2013,16:41,001.69514,05145.389,04910.452
04/08/2013,16:51,001.70208,05131.690,04906.602
04/08/2013,17:01,001.70903,04310.146,04902.752
04/08/2013,17:11,001.71597,04219.139,04898.902
04/08/2013,17:21,001.72292,04218.519,04895.053
04/08/2013,17:31,001.72986,04218.519,04891.203
04/08/2013,17:41,001.73681,04221.834,04887.353
04/08/2013,17:51,001.74375,04243.385,04883.503
04/08/2013,18:01,001.75069,04246.925,04879.653
04/08/2013,18:11,001.75764,04254.114,04875.804
04/08/2013,18:21,001.76458,04254.114,04871.954
04/08/2013,18:31,001.77153,04254.114,04868.104
04/08/2013,18:41,001.77847,04268.698,04864.254
04/08/2013,18:51,001.78542,04283.238,04860.404
04/08/2013,19:01,001.79236,04298.312,04856.554
04/08/2013,19:11,001.79931,04312.711,04852.705
04/08/2013,19:21,001.80625,04321.737,04848.854
04/08/2013,19:31,001.81319,04329.868,04845.005
04/08/2013,19:41,001.82014,04345.206,04841.155
04/08/2013,19:51,001.82708,04348.040,04837.305
04/08/2013,20:01,001.83403,04350.887,04833.456
04/08/2013,20:11,001.84097,04372.288,04829.605
04/08/2013,20:21,001.84792,04373.023,04825.756
04/08/2013,20:31,001.85486,04378.788,04821.906
04/08/2013,20:41,001.86181,04378.788,04818.056
04/08/2013,20:51,001.86875,04383.863,04814.206
04/08/2013,21:01,001.87569,04369.693,04810.356
04/08/2013,21:11,001.88264,04358.863,04806.507
04/08/2013,21:21,001.88958,04344.840,04802.657
04/08/2013,21:31,001.89653,04334.841,04798.807
04/08/2013,21:41,001.90347,04333.372,04794.957
04/08/2013,21:51,001.91042,04318.096,04791.107
04/08/2013,22:01,001.91736,04313.932,04787.257
04/08/2013,22:11,001.92431,04295.620,04783.408
04/08/2013,22:21,001.93125,04289.156,04779.558
04/08/2013,22:31,001.93819,04261.976,04775.708
04/08/2013,22:41,001.94514,04250.183,04771.858
04/08/2013,22:51,001.95208,04250.183,04768.008
04/08/2013,23:01,001.95903,04301.146,04764.159
04/08/2013,23:11,001.96597,04335.489,04760.309
04/08/2013,23:21,001.97292,04494.440,04756.459
04/08/2013,23:31,001.97986,04900.578,04752.609
04/08/2013,23:41,001.98681,05008.032,04748.759
04/08/2013,23:51,001.99375,05018.163,04744.909
04/09/2013,00:01,002.00069,05018.163,04741.060
04/09/2013,00:11,002.00764,05023.447,04737.210
04/09/2013,00:21,002.01458,05015.407,04733.360
04/09/2013,00:31,002.02153,05009.828,04729.510
04/09/2013,00:41,002.02847,04790.284,04725.660
04/09/2013,00:51,002.03542,04117.719,04721.811
04/09/2013,01:01,002.04236,04084.470,04717.960
04/09/2013,01:11,002.04931,04084.470,04714.111
04/09/2013,01:21,002.05625,04087.696,04710.261
04/09/2013,01:31,002.06319,04099.107,04706.411
04/09/2013,01:41,002.07014,04094.893,04702.562
04/09/2013,01:51,002.07708,04101.601,04698.711
04/09/2013,02:01,002.08403,04104.965,04694.862
04/09/2013,02:11,002.09097,04114.375,04691.012
04/09/2013,02:21,002.09792,04119.473,04687.162
04/09/2013,02:31,002.10486,04119.473,04683.312
04/09/2013,02:41,002.11181,04137.892,04679.462
04/09/2013,02:51,002.11875,04138.431,04675.612
04/09/2013,03:01,002.12569,04139.845,04671.763
04/09/2013,03:11,002.13264,04148.653,04667.913
04/09/2013,03:21,002.13958,04158.134,04664.063
04/09/2013,03:31,002.14653,04167.297,04660.213
04/09/2013,03:41,002.15347,04169.604,04656.363
04/09/2013,03:51,002.16042,04182.275,04652.514
04/09/2013,04:01,002.16736,04182.275,04648.664
04/09/2013,04:11,002.17431,04182.109,04644.814
04/09/2013,04:21,002.18125,04182.109,04640.964
04/09/2013,04:31,002.18819,04182.151,04637.114
04/09/2013,04:41,002.19514,04182.151,04633.265
04/09/2013,04:51,002.20208,04158.149,04629.415
04/09/2013,05:01,002.20903,04152.398,04625.565
04/09/2013,05:11,002.21597,04135.816,04621.715
04/09/2013,05:21,002.22292,04124.743,04617.865
04/09/2013,05:31,002.22986,04118.159,04614.015
04/09/2013,05:41,002.23681,04099.085,04610.166
04/09/2013,05:51,002.24375,04083.855,04606.315
04/09/2013,06:01,002.25069,04045.398,04602.466
04/09/2013,06:11,002.25764,04033.994,04598.616
04/09/2013,06:21,002.26458,04027.816,04594.766
04/09/2013,06:31,002.27153,04011.282,04590.917
04/09/2013,06:41,002.27847,04011.282,04587.066
04/09/2013,06:51,002.28542,04009.383,04583.217
04/09/2013,07:01,002.29236,03994.870,04579.367
04/09/2013,07:11,002.29931,03989.250,04575.517
04/09/2013,07:21,002.30625,03989.250,04571.667
04/09/2013,07:31,002.31319,04297.406,04567.817
04/09/2013,07:41,002.32014,04614.295,04563.968
04/09/2013,07:51,002.32708,04730.029,04560.118
04/09/2013,08:01,002.33403,04739.125,04556.268
04/09/2013,08:11,002.34097,04737.136,04552.418
04/09/2013,08:21,002.34792,04739.125,04548.568
04/09/2013,08:31,002.35486,04737.136,04544.718
04/09/2013,08:41,002.36181,04690.052,04540.869
04/09/2013,08:51,002.36875,04483.043,04537.019
04/09/2013,09:01,002.37569,03884.885,04533.169
04/09/2013,09:11,002.38264,03846.959,04529.319
04/09/2013,09:21,002.38958,03844.851,04525.469
04/09/2013,09:31,002.39653,03844.851,04521.620
