LumiCycle: 2013-4-7WT$CLIH_8 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/07/2013,12:05,000.50347,05775.999,06633.411
04/07/2013,12:15,000.51042,05825.023,06622.878
04/07/2013,12:25,000.51736,05869.266,06612.345
04/07/2013,12:35,000.52431,05910.643,06601.812
04/07/2013,12:45,000.53125,05951.874,06591.280
04/07/2013,12:55,000.53819,05984.975,06580.748
04/07/2013,13:05,000.54514,06043.922,06570.215
04/07/2013,13:15,000.55208,06081.165,06559.682
04/07/2013,13:25,000.55903,06169.645,06549.149
04/07/2013,13:35,000.56597,06212.141,06538.617
04/07/2013,13:45,000.57292,06261.728,06528.084
04/07/2013,13:55,000.57986,06334.955,06517.551
04/07/2013,14:05,000.58681,06523.234,06507.019
04/07/2013,14:15,000.59375,06774.709,06496.486
04/07/2013,14:25,000.60069,06928.219,06485.953
04/07/2013,14:35,000.60764,06928.219,06475.420
04/07/2013,14:45,000.61458,06895.697,06464.888
04/07/2013,14:55,000.62153,06863.069,06454.355
04/07/2013,15:05,000.62847,06803.084,06443.822
04/07/2013,15:15,000.63542,06594.870,06433.290
04/07/2013,15:25,000.64236,06079.743,06422.757
04/07/2013,15:35,000.64931,06025.362,06412.224
04/07/2013,15:45,000.65625,06020.358,06401.691
04/07/2013,15:55,000.66319,06000.429,06391.159
04/07/2013,16:05,000.67014,05994.192,06380.626
04/07/2013,16:15,000.67708,06000.057,06370.093
04/07/2013,16:25,000.68403,06000.057,06359.561
04/07/2013,16:35,000.69097,06007.168,06349.028
04/07/2013,16:45,000.69792,06011.487,06338.495
04/07/2013,16:55,000.70486,06024.161,06327.963
04/07/2013,17:05,000.71181,06039.842,06317.430
04/07/2013,17:15,000.71875,06042.052,06306.897
04/07/2013,17:25,000.72569,06056.397,06296.365
04/07/2013,17:35,000.73264,06068.303,06285.832
04/07/2013,17:45,000.73958,06083.208,06275.299
04/07/2013,17:55,000.74653,06094.365,06264.767
04/07/2013,18:05,000.75347,06118.340,06254.234
04/07/2013,18:15,000.76042,06139.000,06243.701
04/07/2013,18:25,000.76736,06155.980,06233.168
