LumiCycle: 20150917C3p-36-30_3 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/23/2015,14:23,000.59931,00059.933,00060.532
09/23/2015,14:33,000.60625,00060.121,00060.552
09/23/2015,14:43,000.61319,00061.335,00060.572
09/23/2015,14:53,000.62014,00061.591,00060.592
09/23/2015,15:03,000.62708,00062.589,00060.612
09/23/2015,15:13,000.63403,00062.589,00060.632
09/23/2015,15:23,000.64097,00062.702,00060.652
09/23/2015,15:33,000.64792,00062.316,00060.672
09/23/2015,15:43,000.65486,00060.145,00060.692
09/23/2015,15:53,000.66181,00058.664,00060.712
09/23/2015,16:03,000.66875,00058.220,00060.732
09/23/2015,16:13,000.67569,00058.120,00060.752
09/23/2015,16:23,000.68264,00058.034,00060.772
09/23/2015,16:33,000.68958,00057.649,00060.792
09/23/2015,16:43,000.69653,00057.578,00060.812
09/23/2015,16:53,000.70347,00057.578,00060.832
09/23/2015,17:03,000.71042,00057.135,00060.852
09/23/2015,17:13,000.71736,00056.008,00060.872
09/23/2015,17:23,000.72431,00057.135,00060.892
09/23/2015,17:33,000.73125,00056.008,00060.912
09/23/2015,17:43,000.73819,00057.478,00060.932
09/23/2015,17:53,000.74514,00057.064,00060.952
09/23/2015,18:03,000.75208,00057.064,00060.972
09/23/2015,18:13,000.75903,00057.064,00060.992
09/23/2015,18:23,000.76597,00057.682,00061.012
09/23/2015,18:33,000.77292,00057.682,00061.031
09/23/2015,18:43,000.77986,00057.682,00061.051
09/23/2015,18:53,000.78681,00057.435,00061.071
09/23/2015,19:03,000.79375,00057.971,00061.091
09/23/2015,19:13,000.80069,00057.435,00061.111
09/23/2015,19:23,000.80764,00057.971,00061.131
09/23/2015,19:33,000.81458,00057.349,00061.151
09/23/2015,19:43,000.82153,00058.056,00061.171
09/23/2015,19:53,000.82847,00058.862,00061.191
09/23/2015,20:03,000.83542,00059.719,00061.211
09/23/2015,20:13,000.84236,00060.563,00061.231
09/23/2015,20:23,000.84931,00061.347,00061.251
09/23/2015,20:33,000.85625,00060.563,00061.271
