LumiCycle: 20150917C3p-36_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
09/18/2015,00:00,002.00000,00198.782,00195.927
09/19/2015,00:10,002.00694,00198.930,00195.791
09/19/2015,00:20,002.01389,00198.930,00195.654
09/19/2015,00:30,002.02083,00198.873,00195.517
09/19/2015,00:40,002.02778,00198.047,00195.381
09/19/2015,00:50,002.03472,00196.585,00195.244
09/19/2015,01:00,002.04167,00196.585,00195.107
09/19/2015,01:10,002.04861,00198.890,00194.971
09/19/2015,01:20,002.05556,00198.890,00194.834
09/19/2015,01:30,002.06250,00198.955,00194.697
09/19/2015,01:40,002.06944,00199.149,00194.561
09/19/2015,01:50,002.07639,00202.813,00194.424
09/19/2015,02:00,002.08333,00212.288,00194.287
09/19/2015,02:10,002.09028,00215.251,00194.151
09/19/2015,02:20,002.09722,00218.967,00194.014
09/19/2015,02:30,002.10417,00218.967,00193.877
09/19/2015,02:40,002.11111,00218.967,00193.741
09/19/2015,02:50,002.11806,00219.265,00193.604
09/19/2015,03:00,002.12500,00219.265,00193.467
09/19/2015,03:10,002.13194,00211.689,00193.331
09/19/2015,03:20,002.13889,00202.296,00193.194
09/19/2015,03:30,002.14583,00192.801,00193.057
09/19/2015,03:40,002.15278,00192.801,00192.921
09/19/2015,03:50,002.15972,00193.605,00192.784
09/19/2015,04:00,002.16667,00193.605,00192.647
09/19/2015,04:10,002.17361,00192.202,00192.511
09/19/2015,04:20,002.18056,00190.598,00192.374
09/19/2015,04:30,002.18750,00190.598,00192.237
09/19/2015,04:40,002.19444,00192.236,00192.101
09/19/2015,04:50,002.20139,00192.316,00191.964
09/19/2015,05:00,002.20833,00192.316,00191.827
09/19/2015,05:10,002.21528,00192.316,00191.691
09/19/2015,05:20,002.22222,00191.405,00191.554
09/19/2015,05:30,002.22917,00195.254,00191.417
09/19/2015,05:40,002.23611,00198.405,00191.281
09/19/2015,05:50,002.24306,00202.177,00191.144
09/19/2015,06:00,002.25000,00206.353,00191.007
09/19/2015,06:10,002.25694,00210.895,00190.871
09/19/2015,06:20,002.26389,00211.434,00190.734
09/19/2015,06:30,002.27083,00211.434,00190.597
09/19/2015,06:40,002.27778,00208.987,00190.461
09/19/2015,06:50,002.28472,00207.576,00190.324
09/19/2015,07:00,002.29167,00205.043,00190.187
09/19/2015,07:10,002.29861,00194.198,00190.051
09/19/2015,07:20,002.30556,00189.401,00189.914
09/19/2015,07:30,002.31250,00188.910,00189.777
09/19/2015,07:40,002.31944,00188.910,00189.641
09/19/2015,07:50,002.32639,00188.910,00189.504
09/19/2015,08:00,002.33333,00187.752,00189.367
09/19/2015,08:10,002.34028,00187.037,00189.231
09/19/2015,08:20,002.34722,00187.037,00189.094
09/19/2015,08:30,002.35417,00187.037,00188.957
09/19/2015,08:40,002.36111,00188.410,00188.821
09/19/2015,08:50,002.36806,00185.256,00188.684
09/19/2015,09:00,002.37500,00187.204,00188.547
09/19/2015,09:10,002.38194,00183.954,00188.411
09/19/2015,09:20,002.38889,00187.204,00188.274
09/19/2015,09:30,002.39583,00188.715,00188.137
09/19/2015,09:40,002.40278,00199.710,00188.001
09/19/2015,09:50,002.40972,00201.505,00187.864
09/19/2015,10:00,002.41667,00201.505,00187.727
09/19/2015,10:10,002.42361,00201.507,00187.591
09/19/2015,10:20,002.43056,00203.469,00187.454
09/19/2015,10:30,002.43750,00203.469,00187.318
09/19/2015,10:40,002.44444,00200.009,00187.181
09/19/2015,10:50,002.45139,00199.727,00187.044
09/19/2015,11:00,002.45833,00186.543,00186.908
09/19/2015,11:10,002.46528,00183.646,00186.771
09/19/2015,11:20,002.47222,00181.939,00186.634
09/19/2015,11:30,002.47917,00181.939,00186.498
09/19/2015,11:40,002.48611,00181.844,00186.361
09/19/2015,11:50,002.49306,00181.844,00186.224
09/19/2015,12:00,002.50000,00181.925,00186.088
09/19/2015,12:10,002.50694,00182.016,00185.951
09/19/2015,12:20,002.51389,00182.016,00185.814
09/19/2015,12:30,002.52083,00182.016,00185.678
09/19/2015,12:40,002.52778,00181.207,00185.541
09/19/2015,12:50,002.53472,00181.343,00185.404
09/19/2015,13:00,002.54167,00181.343,00185.268
09/19/2015,13:10,002.54861,00183.495,00185.131
09/19/2015,13:20,002.55556,00184.921,00184.994
09/19/2015,13:30,002.56250,00189.971,00184.858
09/19/2015,13:40,002.56944,00194.516,00184.721
09/19/2015,13:50,002.57639,00196.707,00184.584
09/19/2015,14:00,002.58333,00196.963,00184.448
09/19/2015,14:10,002.59028,00197.133,00184.311
09/19/2015,14:20,002.59722,00197.133,00184.174
09/19/2015,14:30,002.60417,00195.328,00184.038
09/19/2015,14:40,002.61111,00194.353,00183.901
09/19/2015,14:50,002.61806,00187.034,00183.764
09/19/2015,15:00,002.62500,00180.901,00183.628
09/19/2015,15:10,002.63194,00177.755,00183.491
09/19/2015,15:20,002.63889,00177.348,00183.354
09/19/2015,15:30,002.64583,00174.749,00183.218
09/19/2015,15:40,002.65278,00174.749,00183.081
09/19/2015,15:50,002.65972,00174.749,00182.944
09/19/2015,16:00,002.66667,00174.528,00182.808
09/19/2015,16:10,002.67361,00174.528,00182.671
09/19/2015,16:20,002.68056,00175.628,00182.534
09/19/2015,16:30,002.68750,00175.628,00182.398
09/19/2015,16:40,002.69444,00175.628,00182.261
09/19/2015,16:50,002.70139,00176.643,00182.124
09/19/2015,17:00,002.70833,00177.507,00181.988
09/19/2015,17:10,002.71528,00179.690,00181.851
09/19/2015,17:20,002.72222,00181.990,00181.714
09/19/2015,17:30,002.72917,00186.610,00181.578
09/19/2015,17:40,002.73611,00188.365,00181.441
09/19/2015,17:50,002.74306,00191.036,00181.304
09/19/2015,18:00,002.75000,00193.587,00181.168
09/19/2015,18:10,002.75694,00193.587,00181.031
09/19/2015,18:20,002.76389,00190.379,00180.894
09/19/2015,18:30,002.77083,00187.826,00180.758
09/19/2015,18:40,002.77778,00181.477,00180.621
09/19/2015,18:50,002.78472,00174.573,00180.484
09/19/2015,19:00,002.79167,00172.465,00180.348
09/19/2015,19:10,002.79861,00169.621,00180.211
09/19/2015,19:20,002.80556,00169.621,00180.074
09/19/2015,19:30,002.81250,00169.255,00179.938
09/19/2015,19:40,002.81944,00169.782,00179.801
09/19/2015,19:50,002.82639,00169.255,00179.664
09/19/2015,20:00,002.83333,00170.174,00179.528
09/19/2015,20:10,002.84028,00168.639,00179.391
09/19/2015,20:20,002.84722,00170.174,00179.254
09/19/2015,20:30,002.85417,00169.216,00179.118
09/19/2015,20:40,002.86111,00170.954,00178.981
09/19/2015,20:50,002.86806,00169.505,00178.844
09/19/2015,21:00,002.87500,00171.547,00178.708
09/19/2015,21:10,002.88194,00173.246,00178.571
09/19/2015,21:20,002.88889,00174.421,00178.434
09/19/2015,21:30,002.89583,00179.093,00178.298
09/19/2015,21:40,002.90278,00179.150,00178.161
09/19/2015,21:50,002.90972,00187.112,00178.025
09/19/2015,22:00,002.91667,00187.504,00177.888
09/19/2015,22:10,002.92361,00187.504,00177.751
09/19/2015,22:20,002.93056,00187.212,00177.615
09/19/2015,22:30,002.93750,00185.767,00177.478
09/19/2015,22:40,002.94444,00172.607,00177.341
09/19/2015,22:50,002.95139,00168.838,00177.205
09/19/2015,23:00,002.95833,00166.757,00177.068
09/19/2015,23:10,002.96528,00164.567,00176.931
09/19/2015,23:20,002.97222,00164.567,00176.795
09/19/2015,23:30,002.97917,00164.567,00176.658
09/19/2015,23:40,002.98611,00164.023,00176.521
09/19/2015,23:50,002.99306,00165.437,00176.385
09/19/2015,00:00,003.00000,00164.023,00176.248
09/20/2015,00:10,003.00694,00163.697,00176.111
09/20/2015,00:20,003.01389,00163.697,00175.975
09/20/2015,00:30,003.02083,00165.995,00175.838
09/20/2015,00:40,003.02778,00167.598,00175.701
09/20/2015,00:50,003.03472,00167.790,00175.565
09/20/2015,01:00,003.04167,00167.598,00175.428
09/20/2015,01:10,003.04861,00166.913,00175.291
09/20/2015,01:20,003.05556,00166.913,00175.155
09/20/2015,01:30,003.06250,00176.053,00175.018
09/20/2015,01:40,003.06944,00180.713,00174.881
09/20/2015,01:50,003.07639,00181.750,00174.745
09/20/2015,02:00,003.08333,00181.764,00174.608
09/20/2015,02:10,003.09028,00181.764,00174.471
09/20/2015,02:20,003.09722,00182.017,00174.335
09/20/2015,02:30,003.10417,00178.709,00174.198
09/20/2015,02:40,003.11111,00170.760,00174.061
09/20/2015,02:50,003.11806,00166.035,00173.925
09/20/2015,03:00,003.12500,00164.211,00173.788
09/20/2015,03:10,003.13194,00162.740,00173.651
09/20/2015,03:20,003.13889,00160.731,00173.515
09/20/2015,03:30,003.14583,00161.713,00173.378
09/20/2015,03:40,003.15278,00160.129,00173.241
09/20/2015,03:50,003.15972,00161.322,00173.105
09/20/2015,04:00,003.16667,00159.437,00172.968
09/20/2015,04:10,003.17361,00161.051,00172.831
09/20/2015,04:20,003.18056,00158.858,00172.695
09/20/2015,04:30,003.18750,00161.051,00172.558
09/20/2015,04:40,003.19444,00160.601,00172.421
09/20/2015,04:50,003.20139,00161.989,00172.285
09/20/2015,05:00,003.20833,00160.601,00172.148
09/20/2015,05:10,003.21528,00161.541,00172.011
09/20/2015,05:20,003.22222,00161.541,00171.875
09/20/2015,05:30,003.22917,00168.858,00171.738
09/20/2015,05:40,003.23611,00171.887,00171.601
09/20/2015,05:50,003.24306,00173.579,00171.465
09/20/2015,06:00,003.25000,00173.660,00171.328
09/20/2015,06:10,003.25694,00176.704,00171.191
09/20/2015,06:20,003.26389,00176.704,00171.055
09/20/2015,06:30,003.27083,00174.494,00170.918
09/20/2015,06:40,003.27778,00173.042,00170.781
09/20/2015,06:50,003.28472,00165.163,00170.645
09/20/2015,07:00,003.29167,00160.345,00170.508
09/20/2015,07:10,003.29861,00159.518,00170.371
09/20/2015,07:20,003.30556,00158.040,00170.235
09/20/2015,07:30,003.31250,00155.776,00170.098
09/20/2015,07:40,003.31944,00156.771,00169.961
09/20/2015,07:50,003.32639,00156.771,00169.825
09/20/2015,08:00,003.33333,00157.297,00169.688
09/20/2015,08:10,003.34028,00157.602,00169.551
09/20/2015,08:20,003.34722,00157.440,00169.415
09/20/2015,08:30,003.35417,00157.440,00169.278
09/20/2015,08:40,003.36111,00157.440,00169.141
09/20/2015,08:50,003.36806,00156.140,00169.005
09/20/2015,09:00,003.37500,00158.025,00168.868
09/20/2015,09:10,003.38194,00159.185,00168.732
09/20/2015,09:20,003.38889,00159.185,00168.595
09/20/2015,09:30,003.39583,00159.185,00168.458
09/20/2015,09:40,003.40278,00163.444,00168.322
09/20/2015,09:50,003.40972,00167.341,00168.185
09/20/2015,10:00,003.41667,00175.463,00168.048
09/20/2015,10:10,003.42361,00175.463,00167.912
09/20/2015,10:20,003.43056,00175.463,00167.775
