LumiCycle: 20151130C3p_12 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
12/01/2015,11:46,001.49028,00039.529,00047.201
12/01/2015,11:56,001.49722,00039.529,00047.210
12/01/2015,12:06,001.50417,00040.864,00047.220
12/01/2015,12:16,001.51111,00040.960,00047.230
12/01/2015,12:26,001.51806,00040.960,00047.240
12/01/2015,12:36,001.52500,00043.185,00047.250
12/01/2015,12:46,001.53194,00043.185,00047.260
12/01/2015,12:56,001.53889,00043.185,00047.269
12/01/2015,13:06,001.54583,00043.704,00047.279
12/01/2015,13:16,001.55278,00044.304,00047.289
12/01/2015,13:26,001.55972,00044.304,00047.299
12/01/2015,13:36,001.56667,00044.475,00047.309
12/01/2015,13:46,001.57361,00043.404,00047.319
12/01/2015,13:56,001.58056,00043.404,00047.329
12/01/2015,14:06,001.58750,00042.348,00047.338
12/01/2015,14:16,001.59444,00040.883,00047.348
12/01/2015,14:26,001.60139,00040.419,00047.358
12/01/2015,14:36,001.60833,00040.419,00047.368
12/01/2015,14:46,001.61528,00040.016,00047.378
12/01/2015,14:56,001.62222,00039.886,00047.388
12/01/2015,15:06,001.62917,00039.886,00047.397
12/01/2015,15:16,001.63611,00039.848,00047.407
12/01/2015,15:26,001.64306,00039.478,00047.417
12/01/2015,15:36,001.65000,00039.793,00047.427
12/01/2015,15:46,001.65694,00039.793,00047.437
12/01/2015,15:56,001.66389,00041.355,00047.447
12/01/2015,16:06,001.67083,00041.643,00047.456
12/01/2015,16:16,001.67778,00043.371,00047.466
12/01/2015,16:26,001.68472,00043.371,00047.476
12/01/2015,16:36,001.69167,00044.413,00047.486
12/01/2015,16:46,001.69861,00044.275,00047.496
12/01/2015,16:56,001.70556,00045.323,00047.506
12/01/2015,17:06,001.71250,00044.413,00047.515
12/01/2015,17:16,001.71944,00044.798,00047.525
12/01/2015,17:26,001.72639,00044.413,00047.535
12/01/2015,17:36,001.73333,00042.443,00047.545
12/01/2015,17:46,001.74028,00042.414,00047.555
12/01/2015,17:56,001.74722,00041.074,00047.565
12/01/2015,18:06,001.75417,00039.473,00047.574
12/01/2015,18:16,001.76111,00039.473,00047.584
12/01/2015,18:26,001.76806,00039.473,00047.594
12/01/2015,18:36,001.77500,00039.145,00047.604
12/01/2015,18:46,001.78194,00039.017,00047.614
12/01/2015,18:56,001.78889,00038.851,00047.624
12/01/2015,19:06,001.79583,00038.851,00047.633
12/01/2015,19:16,001.80278,00040.607,00047.643
