X0,LUM_crop1,TMRM_crop1,LUM_crop2,TMRM_crop2,LUM_crop3,TMRM_crop3,LUM_crop4,TMRM_crop4
1,3816.4705,338.858,3621.8232,527.1944,4104.5249,597.2716,3680.1963,426.4363
2,3775.8215,331.03,3613.3496,499.8497,4074.9827,584.053,3648.897,435.3308
3,3755.1345,336.8543,3609.6355,508.6664,4051.9153,660.0957,3627.5283,424.1369
4,3754.4141,327.4863,3619.019,521.0673,4049.2483,603.4477,3624.1418,447.8525
5,3738.4719,337.8011,3602.7329,528.3519,4035.6055,574.1974,3610.7573,450.2793
6,3730.5349,325.8765,3605.2776,495.8813,4019.7756,615.4119,3602.3279,430.9321
7,3724.2095,332.2174,3622.2114,547.032,4005.6147,663.2801,3585.6003,443.8862
8,3755.1157,345.5863,3623.3545,529.5941,4013.3894,589.6024,3581.7017,432.1019
9,3728.8606,343.211,3634.5037,515.2707,3993.0815,641.1533,3574.8286,432.9185
10,3723.6902,343.0502,3629.9446,523.1541,3985.0828,640.5124,3571.1035,433.6221
11,3716.1736,328.3136,3648.7297,510.8932,3967.0149,630.5975,3566.2583,434.8999
12,3723.3337,337.0388,3630.0713,530.0687,3951.1951,624.5851,3557.8508,459.3571
13,3723.1785,348.2986,3644.7266,507.4847,3954.6743,635.9278,3566.0095,440.7281
14,3710.9172,331.453,3639.0203,529.1415,3940.6462,634.4502,3570.2517,444.783
15,3713.0447,342.5108,3670.1743,562.182,3935.6121,604.2423,3557.8381,459.0994
16,3711.8967,339.6441,3660.511,508.3644,3933.759,620.4347,3550.7458,442.8842
17,3720.7168,350.3644,3650.7468,502.5746,3924.5693,618.3978,3552.8357,448.2097
18,3739.3186,335.8787,3692.0159,517.9313,3920.9026,623.4428,3545.2542,445.9062
19,3727.2786,338.688,3685.2197,523.7057,3911.9631,618.4052,3556.3613,451.7348
20,3734.7952,338.1878,3696.0774,527.7498,3915.2183,627.5312,3558.2424,437.9665
21,3758.7488,343.4367,3677.3848,530.0673,3910.7332,644.9651,3560.8499,449.9307
22,3767.3806,343.7594,3690.3884,523.2281,3908.4187,610.4164,3558.7288,438.863
23,3756.6267,330.9181,3703.4634,544.3706,3908.8435,624.1653,3558.4128,458.7541
24,3760.302,337.3697,3701.4521,539.3087,3904.5286,629.9365,3555.2122,420.72
25,3765.1196,326.9372,3719.0701,532.4922,3899.0825,578.6101,3559.4849,452.427
26,3753.7917,340.3197,3719.0625,519.3375,3894.3831,631.6741,3560.3857,440.7611
27,3771.2087,331.129,3695.1567,508.3706,3898.2034,616.0084,3558.4438,436.7906
28,3777.1965,323.1367,3711.2214,545.6393,3891.1116,617.0735,3557.6855,432.2209
29,3767.4841,336.296,3699.4714,527.5913,3875.4978,639.4385,3559.1975,451.561
30,3781.9309,331.4922,3729.8748,503.5751,3897.7405,596.338,3588.1255,442.1423
31,3783.2764,332.1387,3722.6633,544.3289,3920.4136,640.0096,3580.9202,447.4118
32,3814.0178,333.119,3709.5291,518.5707,3883.0593,637.3906,3559.0906,467.7387
33,3782.7729,324.0572,3724.606,510.3527,3878.3081,630.0977,3564.9678,460.6707
34,3781,333.6157,3705.0691,523.3704,3880.3052,655.8588,3562.7961,452.4564
35,3783.2095,338.17,3711.6777,524.9941,3876.75,610.3978,3554.7468,428.6542
36,3783.585,347.2323,3701.082,501.914,3865.8452,629.0194,3560.6396,452.5027
37,3794.0276,331.4661,3733.0679,526.2,3872.2236,645.6283,3574.2529,451.0359
38,3787.446,330.202,3708.948,529.1301,3887.5005,663.0969,3568.1409,456.1083
39,3799.3013,332.3131,3701.4954,521.2131,3881.6208,635.5889,3570.698,454.7049
40,3798.0391,334.7069,3723.5657,507.1477,3861.7954,648.5325,3569.1023,464.4427
41,3790.4404,331.4022,3691.739,489.6195,3856.2568,639.0853,3566.4495,465.8411
42,3788.9534,332.4104,3690.4937,501.5157,3864.0439,651.9067,3560.9456,457.3312
43,3785.8269,328.4775,3677.0715,513.1664,3870.3044,609.874,3569.2319,448.0684
44,3787.7402,336.6595,3672.7764,508.6661,3856.6538,667.2892,3575.6035,459.624
45,3795.3552,329.1167,3679.5273,509.4306,3870.5781,642.3309,3566.4583,467.4357
46,3793.0603,339.7335,3690.8428,517.9283,3862.2571,626.4384,3561.2473,466.9823
47,3789.4797,329.8489,3674.3911,502.9417,3864.9587,628.6724,3547.4788,464.0275
48,3590.1899,380.2007,3483.8298,544.6348,3673.0154,692.8067,3497.7344,505.4441
49,3563.4116,423.4144,3462.0449,574.058,3654.667,681.9196,3486.8494,544.504
50,3562.0288,431.7742,3427.1367,567.8838,3642.5881,683.5706,3465.5183,600.3728
51,3558.7932,441.8413,3430.3333,564.0256,3640.7034,730.9985,3463.9177,616.3658
52,3568.3137,449.0862,3425.4119,594.178,3627.2319,652.2043,3470.0652,667.8846
53,3545.6614,459.6314,3416.0488,601.9412,3627.1892,705.1326,3461.7114,674.3792
54,3546.0552,469.2516,3408.6733,588.2217,3634.3767,666.4125,3458.6897,687.6857
55,3542.0713,463.0781,3410.873,581.7115,3614.583,677.2067,3463.6973,745.4249
56,3552.0078,475.2798,3397.7534,582.011,3620.9863,683.763,3451.127,723.8481
57,3538.635,470.3801,3397.7732,589.802,3611.7942,659.1099,3454.6682,730.7527
58,3554.7708,461.2686,3392.251,599.4194,3615.3457,676.7393,3446.2463,731.0587
59,3542.1064,475.5312,3393.7974,586.6624,3620.7903,670.5493,3452.3059,742.9086
60,3533.3054,470.8762,3381.7336,577.4507,3624.5447,675.9375,3456.9421,761.5828
61,3542.8408,474.3059,3377.292,569.8794,3618.2542,673.0922,3455.918,745.1419
62,3532.9871,461.5559,3367.0005,575.4126,3606.0564,704.5492,3455.9626,751.8474
63,3540.5825,474.3286,3365.5972,562.3633,3616.5952,701.2432,3448.7856,746.9594
64,3561.2673,449.6523,3360.3269,574.3826,3603.5488,724.7839,3459.2874,735.6711
65,3557.0356,476.5266,3374.22,584.2781,3608.4001,694.3144,3448.4946,772.6469
66,3537.7524,471.4723,3352.2612,588.3973,3608.8657,688.2535,3446.759,774.1397
67,3555.1123,459.4054,3346.125,591.0741,3601.3152,695.3357,3449.7571,751.9022
68,3553.1587,457.3419,3341.4932,576.8895,3600.0981,687.3907,3460.3467,760.9072
69,3567.9541,461.8594,3352.2668,576.4878,3611.0225,696.3056,3445.4553,742.5887
70,3559.718,468.2131,3325.5676,570.8557,3606.2937,677.0375,3447.5796,737.5288
