0001-0256-0256,Average,Err
2409.5359,2409.5359,0
2400.7846,2400.7846,0
2397.4894,2397.4894,0
2396.0168,2396.0168,0
2394.5322,2394.5322,0
2393.7645,2393.7645,0
2390.8793,2390.8793,0
2390.5325,2390.5325,0
2387.5429,2387.5429,0
2390.9135,2390.9135,0
2391.9448,2391.9448,0
2392.4333,2392.4333,0
2396.8255,2396.8255,0
2408.7832,2408.7832,0
2416.5108,2416.5108,0
2423.9772,2423.9772,0
2429.0613,2429.0613,0
2435.4134,2435.4134,0
2440.1794,2440.1794,0
2441.5731,2441.5731,0
2447.0895,2447.0895,0
2445.9504,2445.9504,0
2451.8318,2451.8318,0
2451.9748,2451.9748,0
2454.0516,2454.0516,0
2452.6032,2452.6032,0
2452.2078,2452.2078,0
2453.8555,2453.8555,0
2456.6772,2456.6772,0
2459.1917,2459.1917,0
2458.4263,2458.4263,0
2455.3075,2455.3075,0
2455.3399,2455.3399,0
2451.2237,2451.2237,0
2441.0174,2441.0174,0
2434.4251,2434.4251,0
2421.8157,2421.8157,0
2405.9270,2405.9270,0
2398.8427,2398.8427,0
2390.0697,2390.0697,0
2385.6876,2385.6876,0
2384.7794,2384.7794,0
2386.3721,2386.3721,0
2384.3885,2384.3885,0
2380.4531,2380.4531,0
2382.0992,2382.0992,0
2380.2315,2380.2315,0
2380.3618,2380.3618,0
2380.6057,2380.6057,0
2382.5282,2382.5282,0
2385.5418,2385.5418,0
2379.6484,2379.6484,0
2380.7196,2380.7196,0
2379.7180,2379.7180,0
2379.5863,2379.5863,0
2382.1520,2382.1520,0
2379.2420,2379.2420,0
2378.8584,2378.8584,0
2380.2955,2380.2955,0
2375.2092,2375.2092,0
2373.6742,2373.6742,0
2370.7938,2370.7938,0
2367.7572,2367.7572,0
2366.9445,2366.9445,0
2368.3927,2368.3927,0
2367.1951,2367.1951,0
2366.3432,2366.3432,0
2369.5449,2369.5449,0
2368.1731,2368.1731,0
2368.2955,2368.2955,0
2368.8210,2368.8210,0
2368.0938,2368.0938,0
2371.0411,2371.0411,0
2367.2936,2367.2936,0
2368.3850,2368.3850,0
2367.7793,2367.7793,0
2368.9554,2368.9554,0
2367.6870,2367.6870,0
2368.3713,2368.3713,0
2370.1890,2370.1890,0
2366.0510,2366.0510,0
2368.8181,2368.8181,0
2367.5339,2367.5339,0
2366.2652,2366.2652,0
2369.0426,2369.0426,0
2366.5553,2366.5553,0
2368.1958,2368.1958,0
2368.5451,2368.5451,0
2367.0761,2367.0761,0
2371.0643,2371.0643,0
2369.5157,2369.5157,0
2371.0807,2371.0807,0
2368.4727,2368.4727,0
2366.9213,2366.9213,0
2367.5912,2367.5912,0
2368.5609,2368.5609,0
2368.5916,2368.5916,0
2369.2509,2369.2509,0
2368.6271,2368.6271,0
2369.3438,2369.3438,0
2369.3386,2369.3386,0
2368.2923,2368.2923,0
2366.0387,2366.0387,0
2367.9942,2367.9942,0
2369.1030,2369.1030,0
2373.0109,2373.0109,0
2374.1467,2374.1467,0
2375.7384,2375.7384,0
2377.8473,2377.8473,0
2385.7870,2385.7870,0
2393.3776,2393.3776,0
2398.3275,2398.3275,0
2403.1673,2403.1673,0
2412.3605,2412.3605,0
2415.3374,2415.3374,0
2420.1528,2420.1528,0
2423.0621,2423.0621,0
2426.1515,2426.1515,0
2427.6946,2427.6946,0
2428.3909,2428.3909,0
2435.1646,2435.1646,0
2433.9976,2433.9976,0
2434.7798,2434.7798,0
2436.8280,2436.8280,0
2437.8976,2437.8976,0
2440.0366,2440.0366,0
2438.4178,2438.4178,0
2431.2404,2431.2404,0
2421.1802,2421.1802,0
2409.5060,2409.5060,0
2398.6527,2398.6527,0
2391.2755,2391.2755,0
2392.0949,2392.0949,0
2384.1310,2384.1310,0
2379.0629,2379.0629,0
2377.8088,2377.8088,0
2375.7824,2375.7824,0
2375.0865,2375.0865,0
2374.0356,2374.0356,0
2370.6567,2370.6567,0
2370.0268,2370.0268,0
2370.6866,2370.6866,0
2365.8145,2365.8145,0
2363.9259,2363.9259,0
2364.8485,2364.8485,0
2366.3007,2366.3007,0
2361.9485,2361.9485,0
2361.3212,2361.3212,0
2360.5616,2360.5616,0
2362.8221,2362.8221,0
2360.7402,2360.7402,0
2362.2573,2362.2573,0
2359.4780,2359.4780,0
2357.4871,2357.4871,0
2362.0074,2362.0074,0
2356.2976,2356.2976,0
2356.6920,2356.6920,0
2362.2790,2362.2790,0
2364.4399,2364.4399,0
2366.1930,2366.1930,0
2370.0144,2370.0144,0
2367.8185,2367.8185,0
2368.5766,2368.5766,0
2368.2628,2368.2628,0
2368.8668,2368.8668,0
2369.0551,2369.0551,0
2372.4338,2372.4338,0
2369.4510,2369.4510,0
2370.4193,2370.4193,0
2369.6406,2369.6406,0
2370.3725,2370.3725,0
2370.6999,2370.6999,0
2370.6572,2370.6572,0
2369.9529,2369.9529,0
2371.9960,2371.9960,0
2369.2529,2369.2529,0
2371.1916,2371.1916,0
2372.4895,2372.4895,0
2371.4973,2371.4973,0
2370.9508,2370.9508,0
2372.1124,2372.1124,0
2371.8982,2371.8982,0
2372.9159,2372.9159,0
2370.7750,2370.7750,0
2368.4391,2368.4391,0
2369.7766,2369.7766,0
2366.0339,2366.0339,0
2367.0137,2367.0137,0
2365.0504,2365.0504,0
2368.3002,2368.3002,0
2368.0080,2368.0080,0
2366.8943,2366.8943,0
2368.1564,2368.1564,0
2366.7798,2366.7798,0
2367.0749,2367.0749,0
2365.8251,2365.8251,0
2369.8238,2369.8238,0
2366.8433,2366.8433,0
2365.7607,2365.7607,0
2363.3307,2363.3307,0
2364.5664,2364.5664,0
2365.4521,2365.4521,0
2366.2874,2366.2874,0
2369.6290,2369.6290,0
2374.8771,2374.8771,0
2382.0516,2382.0516,0
2384.3661,2384.3661,0
2384.7899,2384.7899,0
2384.7052,2384.7052,0
2390.9215,2390.9215,0
2395.0832,2395.0832,0
2400.5073,2400.5073,0
2410.1147,2410.1147,0
2412.3947,2412.3947,0
2416.1215,2416.1215,0
2421.7879,2421.7879,0
2422.4385,2422.4385,0
2425.4752,2425.4752,0
2425.4708,2425.4708,0
2428.8142,2428.8142,0
2431.7231,2431.7231,0
2434.6441,2434.6441,0
2434.8194,2434.8194,0
2435.3954,2435.3954,0
2434.5981,2434.5981,0
2437.9416,2437.9416,0
2440.5045,2440.5045,0
2439.9407,2439.9407,0
2440.7324,2440.7324,0
2435.1654,2435.1654,0
2428.3377,2428.3377,0
2418.1496,2418.1496,0
2403.8157,2403.8157,0
2399.4998,2399.4998,0
2391.7696,2391.7696,0
2388.1202,2388.1202,0
2385.8705,2385.8705,0
2383.3704,2383.3704,0
2381.7068,2381.7068,0
2376.9124,2376.9124,0
2372.8544,2372.8544,0
2370.2906,2370.2906,0
2370.9441,2370.9441,0
