0001-0256-0256,Average,Err
625.2589,625.2589,0
623.2257,623.2257,0
620.4129,620.4129,0
620.0431,620.0431,0
621.3086,621.3086,0
627.3644,627.3644,0
623.7628,623.7628,0
626.5076,626.5076,0
617.5902,617.5902,0
616.7371,616.7371,0
621.4296,621.4296,0
610.3507,610.3507,0
608.9784,608.9784,0
594.0766,594.0766,0
603.8642,603.8642,0
599.7667,599.7667,0
595.7568,595.7568,0
587.9687,587.9687,0
587.7155,587.7155,0
594.2891,594.2891,0
579.6981,579.6981,0
584.8061,584.8061,0
579.9128,579.9128,0
583.6807,583.6807,0
584.8396,584.8396,0
578.3628,578.3628,0
588.4305,588.4305,0
579.1509,579.1509,0
580.3315,580.3315,0
587.3694,587.3694,0
581.4286,581.4286,0
581.2613,581.2613,0
590.8714,590.8714,0
589.4130,589.4130,0
600.9679,600.9679,0
602.2279,602.2279,0
604.8115,604.8115,0
603.1737,603.1737,0
611.1897,611.1897,0
620.4412,620.4412,0
623.8807,623.8807,0
624.1700,624.1700,0
621.9430,621.9430,0
620.1161,620.1161,0
621.4101,621.4101,0
630.8849,630.8849,0
624.8399,624.8399,0
621.9040,621.9040,0
621.3736,621.3736,0
631.9221,631.9221,0
616.7125,616.7125,0
623.9821,623.9821,0
617.0331,617.0331,0
616.5159,616.5159,0
621.5572,621.5572,0
616.5189,616.5189,0
623.2151,623.2151,0
624.1589,624.1589,0
615.2542,615.2542,0
623.2693,623.2693,0
627.6822,627.6822,0
629.0551,629.0551,0
632.0164,632.0164,0
641.1594,641.1594,0
629.7229,629.7229,0
629.8309,629.8309,0
637.1250,637.1250,0
623.2485,623.2485,0
626.3706,626.3706,0
634.3129,634.3129,0
639.8874,639.8874,0
637.8645,637.8645,0
635.5729,635.5729,0
635.8336,635.8336,0
640.0263,640.0263,0
641.0741,641.0741,0
636.5384,636.5384,0
629.8958,629.8958,0
637.5254,637.5254,0
636.6258,636.6258,0
628.1535,628.1535,0
637.3179,637.3179,0
640.9919,640.9919,0
630.0421,630.0421,0
636.7045,636.7045,0
631.1021,631.1021,0
626.8908,626.8908,0
627.5108,627.5108,0
646.6481,646.6481,0
638.3469,638.3469,0
639.6922,639.6922,0
634.3933,634.3933,0
638.8291,638.8291,0
630.6184,630.6184,0
631.0893,631.0893,0
629.4447,629.4447,0
633.7977,633.7977,0
635.9573,635.9573,0
635.4787,635.4787,0
635.3922,635.3922,0
640.3507,640.3507,0
641.9505,641.9505,0
638.3932,638.3932,0
645.4776,645.4776,0
635.4828,635.4828,0
640.8895,640.8895,0
633.6874,633.6874,0
634.1240,634.1240,0
624.1164,624.1164,0
617.3408,617.3408,0
611.5654,611.5654,0
614.8790,614.8790,0
617.4253,617.4253,0
607.0530,607.0530,0
602.5109,602.5109,0
599.5038,599.5038,0
607.0605,607.0605,0
596.8838,596.8838,0
592.9787,592.9787,0
599.4529,599.4529,0
596.3697,596.3697,0
588.0288,588.0288,0
594.9755,594.9755,0
592.0082,592.0082,0
594.7615,594.7615,0
607.0783,607.0783,0
596.4076,596.4076,0
604.6465,604.6465,0
612.0448,612.0448,0
603.0427,603.0427,0
621.2702,621.2702,0
614.7088,614.7088,0
620.3422,620.3422,0
624.9686,624.9686,0
620.8240,620.8240,0
627.3067,627.3067,0
626.9374,626.9374,0
633.2736,633.2736,0
638.7149,638.7149,0
641.7755,641.7755,0
631.5252,631.5252,0
630.2796,630.2796,0
644.9218,644.9218,0
636.6332,636.6332,0
638.7630,638.7630,0
643.5114,643.5114,0
636.4082,636.4082,0
641.6083,641.6083,0
646.9478,646.9478,0
653.3637,653.3637,0
645.6377,645.6377,0
644.2024,644.2024,0
635.1989,635.1989,0
649.7549,649.7549,0
651.6112,651.6112,0
652.0022,652.0022,0
642.9779,642.9779,0
640.1574,640.1574,0
641.2682,641.2682,0
636.6673,636.6673,0
631.9374,631.9374,0
628.8143,628.8143,0
637.8769,637.8769,0
642.8663,642.8663,0
633.1756,633.1756,0
627.4704,627.4704,0
629.3584,629.3584,0
638.8750,638.8750,0
632.4805,632.4805,0
621.3978,621.3978,0
630.9980,630.9980,0
625.1758,625.1758,0
626.4437,626.4437,0
628.8653,628.8653,0
621.0870,621.0870,0
627.7766,627.7766,0
629.0116,629.0116,0
625.5158,625.5158,0
621.3878,621.3878,0
630.2092,630.2092,0
624.2244,624.2244,0
623.5171,623.5171,0
631.5471,631.5471,0
622.4682,622.4682,0
631.6238,631.6238,0
626.2408,626.2408,0
632.3001,632.3001,0
624.3054,624.3054,0
626.5816,626.5816,0
624.5766,624.5766,0
624.7685,624.7685,0
629.2516,629.2516,0
624.3819,624.3819,0
632.9047,632.9047,0
631.1424,631.1424,0
626.2858,626.2858,0
631.9033,631.9033,0
623.5530,623.5530,0
632.1472,632.1472,0
631.2489,631.2489,0
639.4067,639.4067,0
628.4316,628.4316,0
639.3110,639.3110,0
625.6512,625.6512,0
620.4476,620.4476,0
626.0773,626.0773,0
626.8890,626.8890,0
618.5700,618.5700,0
616.0986,616.0986,0
612.7411,612.7411,0
608.9657,608.9657,0
603.3131,603.3131,0
600.8746,600.8746,0
600.2080,600.2080,0
610.5374,610.5374,0
593.6645,593.6645,0
602.2761,602.2761,0
599.6777,599.6777,0
598.1584,598.1584,0
593.6737,593.6737,0
590.0983,590.0983,0
597.2149,597.2149,0
590.2245,590.2245,0
587.2853,587.2853,0
602.1922,602.1922,0
592.8922,592.8922,0
594.3914,594.3914,0
591.8643,591.8643,0
594.1352,594.1352,0
594.5673,594.5673,0
610.1897,610.1897,0
616.2010,616.2010,0
616.5886,616.5886,0
623.4261,623.4261,0
622.8994,622.8994,0
619.7686,619.7686,0
620.4807,620.4807,0
628.0098,628.0098,0
626.8433,626.8433,0
630.4948,630.4948,0
622.6756,622.6756,0
627.8309,627.8309,0
632.5427,632.5427,0
630.0051,630.0051,0
637.3927,637.3927,0
629.4293,629.4293,0
633.7874,633.7874,0
636.4764,636.4764,0
633.2228,633.2228,0
644.1427,644.1427,0
632.7515,632.7515,0
644.8266,644.8266,0
638.8616,638.8616,0
623.0664,623.0664,0
641.0520,641.0520,0
626.3525,626.3525,0
626.2803,626.2803,0
629.9597,629.9597,0
625.1420,625.1420,0
632.0813,632.0813,0
628.4317,628.4317,0
627.1991,627.1991,0
627.1413,627.1413,0
626.8049,626.8049,0
615.8539,615.8539,0
615.2960,615.2960,0
618.9866,618.9866,0
623.5997,623.5997,0
621.8771,621.8771,0
624.1347,624.1347,0
619.1426,619.1426,0
610.0650,610.0650,0
615.1593,615.1593,0
614.8550,614.8550,0
618.0266,618.0266,0
612.0438,612.0438,0
612.9125,612.9125,0
625.5938,625.5938,0
617.7119,617.7119,0
614.3153,614.3153,0
