"","Row","Col","Sample","Lum","ATP"
"1","A",1,1,1618392,0.906197012249558
"2","A",2,1,1636032,0.91610289470608
"3","A",3,1,1598736,0.895159028940863
"4","A",4,1,1607024,0.899813221333133
"5","A",5,1,1628856,0.912073154767984
"6","A",6,9,1464720,0.819901277053495
"7","A",7,9,1483248,0.830305822980617
"8","A",8,9,1485456,0.831545742961569
"9","A",9,9,1465624,0.820408925451493
"10","A",10,9,1450928,0.812156269636242
"11","B",1,2,1320432,0.738875201776479
"12","B",2,2,1333712,0.746332691516989
"13","B",3,2,1308968,0.732437501295665
"14","B",4,2,1334000,0.746494420210157
"15","B",5,2,1350368,0.755686000938521
"16","B",6,10,825320,0.460841115902714
"17","B",7,10,839304,0.468693942448745
"18","B",8,10,831960,0.464569860772969
"19","B",9,10,835128,0.466348876397814
"20","B",10,10,822008,0.458981235931285
"21","C",1,3,1317432,0.737190527889315
"22","C",2,3,1368936,0.766113009184139
"23","C",3,3,1348416,0.75458983979594
"24","C",4,3,1372568,0.768152587703531
"25","C",5,3,1380256,0.772469845318369
"26","C",6,12,840592,0.469417229104301
"27","C",7,12,853016,0.476394025229007
"28","C",8,12,854480,0.477216146085943
"29","C",9,12,834440,0.465962524519691
"30","C",10,12,835048,0.466303951760823
"31","D",1,4,984840,0.550420842062821
"32","D",2,4,1010328,0.564733831408162
"33","D",3,4,1003992,0.561175800158473
"34","D",4,4,1011008,0.565115690822586
"35","D",5,4,1017120,0.5685479330887
"36","D",6,13,1739304,0.974096108597796
"37","D",7,13,1769144,0.990852998195449
"38","D",8,13,1770768,0.991764968326367
"39","D",9,13,1751352,0.980861758928645
"40","D",10,13,1740240,0.974621726850591
"41","E",1,5,1665232,0.932500387207804
"42","E",2,5,1697256,0.950483719395312
"43","E",3,5,1691376,0.947181758576472
"44","E",4,5,1692040,0.947554633063497
"45","E",5,5,1688072,0.945326371068742
"46","E",6,14,1337784,0.748619355539833
"47","E",7,14,1359864,0.761018555349356
"48","E",8,14,1332968,0.745914892392973
"49","E",9,14,1329416,0.743920238510571
"50","E",10,14,1328632,0.743479977068059
"51","F",1,6,1600656,0.896237220228647
"52","F",2,6,1619392,0.906758570211946
"53","F",3,6,1632256,0.913982451840103
"54","F",4,6,1616728,0.905262579800145
"55","F",5,6,1620328,0.907284188464741
"56","F",6,15,616456,0.343551873646541
"57","F",7,15,611736,0.34090132006407
"58","F",8,15,606136,0.337756595474699
"59","F",9,15,604208,0.336673911723215
"60","F",10,15,583784,0.325204651899406
"61","G",1,7,1449952,0.811608189064951
"62","G",2,7,1482192,0.829712817772335
"63","G",3,7,1460496,0.817529256220369
"64","G",4,7,1447392,0.810170600681238
"65","G",5,7,1460016,0.817259708398423
"66","G",6,16,1326968,0.742545544618646
"67","G",7,16,1365904,0.764410365442179
"68","G",8,16,1347072,0.753835105894491
"69","G",9,16,1337872,0.748668772640523
"70","G",10,16,1316168,0.736480718624857
"71","H",1,8,1782304,0.998243100980473
"72","H",2,8,1799424,1.00785697329655
"73","H",3,8,1795192,1.00548045999973
"74","H",4,8,1779264,0.996535964774814
"75","H",5,8,1760888,0.986216775657975
