"","Row","Col","Sample","OD595","Concentration"
"1","A",1,"UC20211117_1",0.462,34.0131157435654
"2","A",2,"UC20211117_1",0.458,32.4070880559941
"3","A",3,"UC20211117_1",0.454,30.8519416171031
"4","A",4,"UC20211117_1",0.454,30.8519416171031
"5","A",5,"UC20211117_1",0.457,32.0135313292075
"6","A",6,"UC20211117_1",0.455,31.2359581097622
"7","A",7,"UC20211117_9",0.465,35.2510273286905
"8","A",8,"UC20211117_9",0.48,41.8698957900565
"9","A",9,"UC20211117_9",0.468,36.5175596161982
"10","A",10,"UC20211117_9",0.497,50.2362612738384
"11","A",11,"UC20211117_9",0.461,33.6068387046088
"12","A",12,"UC20211117_9",0.469,36.9460972014525
"13","B",1,"UC20211117_2",0.463,34.4225728605646
"14","B",2,"UC20211117_2",0.464,34.8352100556062
"15","B",3,"UC20211117_2",0.464,34.8352100556062
"16","B",4,"UC20211117_2",0.464,34.8352100556062
"17","B",5,"UC20211117_2",0.462,34.0131157435654
"18","B",6,"UC20211117_2",0.467,36.0922021089864
"19","B",7,"UC20211117_10",0.467,36.0922021089864
"20","B",8,"UC20211117_10",0.473,38.6920483228949
"21","B",9,"UC20211117_10",0.476,40.0349024834233
"22","B",10,"UC20211117_10",0.475,39.5841043518714
"23","B",11,"UC20211117_10",0.472,38.2507904254705
"24","B",12,"UC20211117_10",0.475,39.5841043518714
"25","C",1,"UC20211117_3",0.466,35.6700246798172
"26","C",2,"UC20211117_3",0.46,33.2037417436948
"27","C",3,"UC20211117_3",0.456,31.6231546804636
"28","C",4,"UC20211117_3",0.46,33.2037417436948
"29","C",5,"UC20211117_3",0.467,36.0922021089864
"30","C",6,"UC20211117_3",0.468,36.5175596161982
"31","C",7,"UC20211117_12",0.478,40.9460389806549
"32","C",8,"UC20211117_12",0.469,36.9460972014525
"33","C",9,"UC20211117_12",0.481,42.336594311821
"34","C",10,"UC20211117_12",0.471,37.8127126060886
"35","C",11,"UC20211117_12",0.474,39.1364862983619
"36","C",12,"UC20211117_12",0.479,41.4063773463345
"37","D",1,"UC20211117_4",0.476,40.0349024834233
"38","D",2,"UC20211117_4",0.466,35.6700246798172
"39","D",3,"UC20211117_4",0.472,38.2507904254705
"40","D",4,"UC20211117_4",0.474,39.1364862983619
"41","D",5,"UC20211117_4",0.472,38.2507904254705
"42","D",6,"UC20211117_4",0.475,39.5841043518714
"43","D",7,"UC20211117_13",0.467,36.0922021089864
"44","D",8,"UC20211117_13",0.476,40.0349024834233
"45","D",9,"UC20211117_13",0.468,36.5175596161982
"46","D",10,"UC20211117_13",0.476,40.0349024834233
"47","D",11,"UC20211117_13",0.471,37.8127126060886
"48","D",12,"UC20211117_13",0.476,40.0349024834233
"49","E",1,"UC20211117_5",0.471,37.8127126060886
"50","E",2,"UC20211117_5",0.463,34.4225728605646
"51","E",3,"UC20211117_5",0.462,34.0131157435654
"52","E",4,"UC20211117_5",0.453,30.4711052024867
"53","E",5,"UC20211117_5",0.461,33.6068387046088
"54","E",6,"UC20211117_5",0.46,33.2037417436948
"55","E",7,"UC20211117_14",0.453,30.4711052024867
"56","E",8,"UC20211117_14",0.46,33.2037417436948
"57","E",9,"UC20211117_14",0.455,31.2359581097622
"58","E",10,"UC20211117_14",0.464,34.8352100556062
"59","E",11,"UC20211117_14",0.469,36.9460972014525
"60","E",12,"UC20211117_14",0.465,35.2510273286905
"61","F",1,"UC20211117_6",0.469,36.9460972014525
"62","F",2,"UC20211117_6",0.464,34.8352100556062
"63","F",3,"UC20211117_6",0.461,33.6068387046088
"64","F",4,"UC20211117_6",0.464,34.8352100556062
"65","F",5,"UC20211117_6",0.463,34.4225728605646
"66","F",6,"UC20211117_6",0.467,36.0922021089864
"67","F",7,"UC20211117_15",0.48,41.8698957900565
"68","F",8,"UC20211117_15",0.473,38.6920483228949
"69","F",9,"UC20211117_15",0.466,35.6700246798172
"70","F",10,"UC20211117_15",0.479,41.4063773463345
"71","F",11,"UC20211117_15",0.477,40.4888806930178
"72","F",12,"UC20211117_15",0.471,37.8127126060886
"73","G",1,"UC20211117_7",0.473,38.6920483228949
"74","G",2,"UC20211117_7",0.464,34.8352100556062
"75","G",3,"UC20211117_7",0.465,35.2510273286905
"76","G",4,"UC20211117_7",0.46,33.2037417436948
"77","G",5,"UC20211117_7",0.471,37.8127126060886
"78","G",6,"UC20211117_7",0.467,36.0922021089864
"79","G",7,"UC20211117_16",0.474,39.1364862983619
"80","G",8,"UC20211117_16",0.47,37.3778148647493
"81","G",9,"UC20211117_16",0.464,34.8352100556062
"82","G",10,"UC20211117_16",0.475,39.5841043518714
"83","G",11,"UC20211117_16",0.472,38.2507904254705
"84","G",12,"UC20211117_16",0.492,47.6801632020386
"85","H",1,"UC20211117_8",0.462,34.0131157435654
"86","H",2,"UC20211117_8",0.466,35.6700246798172
"87","H",3,"UC20211117_8",0.459,32.8038248608231
"88","H",4,"UC20211117_8",0.46,33.2037417436948
"89","H",5,"UC20211117_8",0.466,35.6700246798172
"90","H",6,"UC20211117_8",0.462,34.0131157435654
