LumiCycle: 2013-7-8WT&CLIH_11 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
07/08/2013,16:13,000.67569,01555.114,01270.200
07/08/2013,16:23,000.68264,01555.114,01269.824
07/08/2013,16:33,000.68958,01555.917,01269.448
07/08/2013,16:43,000.69653,01592.318,01269.073
07/08/2013,16:53,000.70347,01617.367,01268.697
07/08/2013,17:03,000.71042,01649.254,01268.321
07/08/2013,17:13,000.71736,01667.253,01267.945
07/08/2013,17:23,000.72431,01694.645,01267.569
07/08/2013,17:33,000.73125,01710.377,01267.193
07/08/2013,17:43,000.73819,01720.620,01266.818
07/08/2013,17:53,000.74514,01720.620,01266.442
07/08/2013,18:03,000.75208,01699.915,01266.066
07/08/2013,18:13,000.75903,01613.517,01265.690
07/08/2013,18:23,000.76597,01608.261,01265.314
07/08/2013,18:33,000.77292,01608.261,01264.939
07/08/2013,18:43,000.77986,01611.048,01264.563
07/08/2013,18:53,000.78681,01611.048,01264.187
07/08/2013,19:03,000.79375,01617.183,01263.811
07/08/2013,19:13,000.80069,01627.758,01263.435
07/08/2013,19:23,000.80764,01639.430,01263.060
07/08/2013,19:33,000.81458,01639.430,01262.684
07/08/2013,19:43,000.82153,01642.419,01262.308
07/08/2013,19:53,000.82847,01649.667,01261.932
07/08/2013,20:03,000.83542,01655.442,01261.556
07/08/2013,20:13,000.84236,01662.350,01261.181
07/08/2013,20:23,000.84931,01663.970,01260.805
07/08/2013,20:33,000.85625,01669.548,01260.429
07/08/2013,20:43,000.86319,01673.268,01260.053
07/08/2013,20:53,000.87014,01676.966,01259.677
07/08/2013,21:03,000.87708,01680.943,01259.302
07/08/2013,21:13,000.88403,01683.247,01258.926
07/08/2013,21:23,000.89097,01697.114,01258.550
07/08/2013,21:33,000.89792,01697.114,01258.174
07/08/2013,21:43,000.90486,01690.991,01257.798
07/08/2013,21:53,000.91181,01690.929,01257.422
07/08/2013,22:03,000.91875,01690.929,01257.047
07/08/2013,22:13,000.92569,01683.186,01256.671
07/08/2013,22:23,000.93264,01675.669,01256.295
07/08/2013,22:33,000.93958,01669.862,01255.919
07/08/2013,22:43,000.94653,01664.202,01255.543
07/08/2013,22:53,000.95347,01640.833,01255.168
07/08/2013,23:03,000.96042,01623.263,01254.792
07/08/2013,23:13,000.96736,01621.065,01254.416
07/08/2013,23:23,000.97431,01611.671,01254.040
07/08/2013,23:33,000.98125,01608.916,01253.664
07/08/2013,23:43,000.98819,01608.641,01253.289
07/08/2013,23:53,000.99514,01600.126,01252.913
07/09/2013,00:03,001.00208,01598.976,01252.537
07/09/2013,00:13,001.00903,01598.976,01252.161
07/09/2013,00:23,001.01597,01602.098,01251.785
07/09/2013,00:33,001.02292,01605.330,01251.409
07/09/2013,00:43,001.02986,01637.564,01251.034
07/09/2013,00:53,001.03681,01683.018,01250.658
07/09/2013,01:03,001.04375,01754.345,01250.282
07/09/2013,01:13,001.05069,01776.076,01249.906
07/09/2013,01:23,001.05764,01776.076,01249.530
07/09/2013,01:33,001.06458,01767.142,01249.155
07/09/2013,01:43,001.07153,01761.358,01248.779
07/09/2013,01:53,001.07847,01727.323,01248.403
07/09/2013,02:03,001.08542,01714.314,01248.027
07/09/2013,02:13,001.09236,01697.790,01247.651
07/09/2013,02:23,001.09931,01654.551,01247.276
07/09/2013,02:33,001.10625,01572.788,01246.900
07/09/2013,02:43,001.11319,01494.999,01246.524
07/09/2013,02:53,001.12014,01476.231,01246.148
07/09/2013,03:03,001.12708,01466.881,01245.772
07/09/2013,03:13,001.13403,01460.160,01245.396
07/09/2013,03:23,001.14097,01455.058,01245.021
07/09/2013,03:33,001.14792,01454.852,01244.645
07/09/2013,03:43,001.15486,01447.755,01244.269
07/09/2013,03:53,001.16181,01447.755,01243.893
07/09/2013,04:03,001.16875,01449.698,01243.517
07/09/2013,04:13,001.17569,01460.698,01243.142
07/09/2013,04:23,001.18264,01463.129,01242.766
07/09/2013,04:33,001.18958,01470.709,01242.390
07/09/2013,04:43,001.19653,01471.289,01242.014
07/09/2013,04:53,001.20347,01474.131,01241.638
07/09/2013,05:03,001.21042,01475.385,01241.263
07/09/2013,05:13,001.21736,01481.189,01240.887
07/09/2013,05:23,001.22431,01481.189,01240.511
07/09/2013,05:33,001.23125,01486.115,01240.135
07/09/2013,05:43,001.23819,01484.375,01239.759
07/09/2013,05:53,001.24514,01484.375,01239.384
07/09/2013,06:03,001.25208,01484.345,01239.008
07/09/2013,06:13,001.25903,01483.595,01238.632
07/09/2013,06:23,001.26597,01483.595,01238.256
07/09/2013,06:33,001.27292,01485.175,01237.880
07/09/2013,06:43,001.27986,01507.642,01237.505
07/09/2013,06:53,001.28681,01605.078,01237.129
07/09/2013,07:03,001.29375,01653.168,01236.753
07/09/2013,07:13,001.30069,01653.168,01236.377
07/09/2013,07:23,001.30764,01638.889,01236.001
07/09/2013,07:33,001.31458,01637.124,01235.625
07/09/2013,07:43,001.32153,01629.021,01235.250
07/09/2013,07:53,001.32847,01619.522,01234.874
07/09/2013,08:03,001.33542,01611.090,01234.498
07/09/2013,08:13,001.34236,01598.019,01234.122
07/09/2013,08:23,001.34931,01566.740,01233.746
07/09/2013,08:33,001.35625,01370.583,01233.370
07/09/2013,08:43,001.36319,01350.955,01232.995
07/09/2013,08:53,001.37014,01331.720,01232.619
07/09/2013,09:03,001.37708,01327.498,01232.243
07/09/2013,09:13,001.38403,01326.588,01231.867
07/09/2013,09:23,001.39097,01321.672,01231.491
07/09/2013,09:33,001.39792,01321.672,01231.116
07/09/2013,09:43,001.40486,01326.578,01230.740
07/09/2013,09:53,001.41181,01329.006,01230.364
07/09/2013,10:03,001.41875,01333.190,01229.988
07/09/2013,10:13,001.42569,01333.295,01229.612
07/09/2013,10:23,001.43264,01333.997,01229.237
07/09/2013,10:33,001.43958,01333.997,01228.861
07/09/2013,10:43,001.44653,01336.460,01228.485
07/09/2013,10:53,001.45347,01347.203,01228.109
07/09/2013,11:03,001.46042,01347.358,01227.733
07/09/2013,11:13,001.46736,01347.358,01227.358
07/09/2013,11:23,001.47431,01347.358,01226.982
07/09/2013,11:33,001.48125,01345.979,01226.606
07/09/2013,11:43,001.48819,01345.979,01226.230
07/09/2013,11:53,001.49514,01348.014,01225.854
07/09/2013,12:03,001.50208,01350.120,01225.479
07/09/2013,12:13,001.50903,01350.120,01225.103
07/09/2013,12:23,001.51597,01348.214,01224.727
07/09/2013,12:33,001.52292,01341.712,01224.351
07/09/2013,12:43,001.52986,01338.636,01223.975
07/09/2013,12:53,001.53681,01334.455,01223.599
07/09/2013,13:03,001.54375,01328.795,01223.224
07/09/2013,13:13,001.55069,01327.591,01222.848
07/09/2013,13:23,001.55764,01320.874,01222.472
07/09/2013,13:33,001.56458,01317.216,01222.096
07/09/2013,13:43,001.57153,01317.216,01221.720
07/09/2013,13:53,001.57847,01317.216,01221.345
07/09/2013,14:03,001.58542,01332.476,01220.969
07/09/2013,14:13,001.59236,01333.887,01220.593
07/09/2013,14:23,001.59931,01436.832,01220.217
07/09/2013,14:33,001.60625,01507.846,01219.841
07/09/2013,14:43,001.61319,01507.846,01219.466
07/09/2013,14:53,001.62014,01493.681,01219.090
07/09/2013,15:03,001.62708,01477.689,01218.714
07/09/2013,15:13,001.63403,01465.990,01218.338
07/09/2013,15:23,001.64097,01448.203,01217.962
07/09/2013,15:33,001.64792,01429.641,01217.586
07/09/2013,15:43,001.65486,01386.258,01217.211
07/09/2013,15:53,001.66181,01332.302,01216.835
07/09/2013,16:03,001.66875,01228.028,01216.459
07/09/2013,16:13,001.67569,01214.469,01216.083
07/09/2013,16:23,001.68264,01206.425,01215.707
07/09/2013,16:33,001.68958,01203.498,01215.332
07/09/2013,16:43,001.69653,01202.413,01214.956
07/09/2013,16:53,001.70347,01202.413,01214.580
07/09/2013,17:03,001.71042,01204.394,01214.204
07/09/2013,17:13,001.71736,01209.032,01213.828
07/09/2013,17:23,001.72431,01209.032,01213.453
07/09/2013,17:33,001.73125,01209.040,01213.077
07/09/2013,17:43,001.73819,01211.970,01212.701
07/09/2013,17:53,001.74514,01213.012,01212.325
07/09/2013,18:03,001.75208,01218.234,01211.949
07/09/2013,18:13,001.75903,01225.874,01211.573
07/09/2013,18:23,001.76597,01230.077,01211.198
07/09/2013,18:33,001.77292,01230.716,01210.822
07/09/2013,18:43,001.77986,01230.716,01210.446
07/09/2013,18:53,001.78681,01224.077,01210.070
07/09/2013,19:03,001.79375,01224.077,01209.694
