LumiCycle: 2013-7-8WT&CLIH_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
07/08/2013,16:11,000.67431,01514.715,01357.979
07/08/2013,16:21,000.68125,01514.715,01357.067
07/08/2013,16:31,000.68819,01544.639,01356.156
07/08/2013,16:41,000.69514,01561.239,01355.244
07/08/2013,16:51,000.70208,01592.644,01354.333
07/08/2013,17:01,000.70903,01617.735,01353.422
07/08/2013,17:11,000.71597,01661.445,01352.510
07/08/2013,17:21,000.72292,01676.638,01351.599
07/08/2013,17:31,000.72986,01702.737,01350.687
07/08/2013,17:41,000.73681,01719.411,01349.776
07/08/2013,17:51,000.74375,01741.884,01348.864
07/08/2013,18:01,000.75069,01741.884,01347.953
07/08/2013,18:11,000.75764,01648.016,01347.042
07/08/2013,18:21,000.76458,01592.142,01346.130
07/08/2013,18:31,000.77153,01591.870,01345.219
07/08/2013,18:41,000.77847,01591.870,01344.307
07/08/2013,18:51,000.78542,01606.675,01343.396
07/08/2013,19:01,000.79236,01617.048,01342.484
07/08/2013,19:11,000.79931,01618.111,01341.573
07/08/2013,19:21,000.80625,01624.882,01340.662
07/08/2013,19:31,000.81319,01635.409,01339.750
07/08/2013,19:41,000.82014,01640.908,01338.839
07/08/2013,19:51,000.82708,01647.411,01337.927
07/08/2013,20:01,000.83403,01661.296,01337.016
07/08/2013,20:11,000.84097,01669.379,01336.104
07/08/2013,20:21,000.84792,01670.326,01335.193
07/08/2013,20:31,000.85486,01676.463,01334.282
07/08/2013,20:41,000.86181,01679.795,01333.370
07/08/2013,20:51,000.86875,01689.378,01332.459
07/08/2013,21:01,000.87569,01689.571,01331.547
07/08/2013,21:11,000.88264,01691.317,01330.636
07/08/2013,21:21,000.88958,01697.655,01329.724
07/08/2013,21:31,000.89653,01698.194,01328.813
07/08/2013,21:41,000.90347,01698.357,01327.902
07/08/2013,21:51,000.91042,01698.357,01326.990
07/08/2013,22:01,000.91736,01696.592,01326.079
07/08/2013,22:11,000.92431,01667.497,01325.167
07/08/2013,22:21,000.93125,01654.881,01324.256
07/08/2013,22:31,000.93819,01652.916,01323.344
07/08/2013,22:41,000.94514,01648.896,01322.433
07/08/2013,22:51,000.95208,01647.906,01321.522
07/08/2013,23:01,000.95903,01647.906,01320.610
07/08/2013,23:11,000.96597,01637.671,01319.699
07/08/2013,23:21,000.97292,01637.671,01318.787
07/08/2013,23:31,000.97986,01629.589,01317.876
07/08/2013,23:41,000.98681,01638.388,01316.964
07/08/2013,23:51,000.99375,01652.182,01316.053
07/09/2013,00:01,001.00069,01672.675,01315.142
07/09/2013,00:11,001.00764,01697.184,01314.230
07/09/2013,00:21,001.01458,01752.282,01313.319
07/09/2013,00:31,001.02153,01836.277,01312.407
07/09/2013,00:41,001.02847,01836.277,01311.496
07/09/2013,00:51,001.03542,01823.184,01310.585
07/09/2013,01:01,001.04236,01816.787,01309.673
07/09/2013,01:11,001.04931,01810.754,01308.762
07/09/2013,01:21,001.05625,01800.307,01307.850
07/09/2013,01:31,001.06319,01785.376,01306.939
07/09/2013,01:41,001.07014,01699.762,01306.027
07/09/2013,01:51,001.07708,01618.481,01305.116
07/09/2013,02:01,001.08403,01531.162,01304.205
07/09/2013,02:11,001.09097,01505.648,01303.293
07/09/2013,02:21,001.09792,01499.310,01302.382
07/09/2013,02:31,001.10486,01495.185,01301.470
07/09/2013,02:41,001.11181,01488.135,01300.559
07/09/2013,02:51,001.11875,01488.135,01299.647
07/09/2013,03:01,001.12569,01491.160,01298.736
07/09/2013,03:11,001.13264,01495.774,01297.825
07/09/2013,03:21,001.13958,01495.774,01296.913
07/09/2013,03:31,001.14653,01499.133,01296.002
07/09/2013,03:41,001.15347,01503.029,01295.090
07/09/2013,03:51,001.16042,01507.929,01294.179
07/09/2013,04:01,001.16736,01507.929,01293.267
07/09/2013,04:11,001.17431,01507.929,01292.356
07/09/2013,04:21,001.18125,01510.405,01291.445
07/09/2013,04:31,001.18819,01513.911,01290.533
07/09/2013,04:41,001.19514,01514.318,01289.622
07/09/2013,04:51,001.20208,01522.216,01288.710
07/09/2013,05:01,001.20903,01525.249,01287.799
07/09/2013,05:11,001.21597,01525.550,01286.887
07/09/2013,05:21,001.22292,01535.352,01285.976
07/09/2013,05:31,001.22986,01555.361,01285.065
07/09/2013,05:41,001.23681,01599.854,01284.153
07/09/2013,05:51,001.24375,01635.993,01283.242
07/09/2013,06:01,001.25069,01660.393,01282.330
07/09/2013,06:11,001.25764,01694.005,01281.419
07/09/2013,06:21,001.26458,01708.282,01280.508
07/09/2013,06:31,001.27153,01719.345,01279.596
07/09/2013,06:41,001.27847,01719.345,01278.685
07/09/2013,06:51,001.28542,01698.111,01277.773
07/09/2013,07:01,001.29236,01682.402,01276.862
07/09/2013,07:11,001.29931,01646.919,01275.950
07/09/2013,07:21,001.30625,01527.057,01275.039
07/09/2013,07:31,001.31319,01455.379,01274.128
07/09/2013,07:41,001.32014,01398.184,01273.216
07/09/2013,07:51,001.32708,01395.055,01272.305
07/09/2013,08:01,001.33403,01391.861,01271.393
07/09/2013,08:11,001.34097,01388.927,01270.482
07/09/2013,08:21,001.34792,01390.379,01269.570
07/09/2013,08:31,001.35486,01388.927,01268.659
07/09/2013,08:41,001.36181,01388.315,01267.748
07/09/2013,08:51,001.36875,01388.315,01266.836
07/09/2013,09:01,001.37569,01393.451,01265.925
07/09/2013,09:11,001.38264,01394.438,01265.013
07/09/2013,09:21,001.38958,01394.438,01264.102
07/09/2013,09:31,001.39653,01394.438,01263.190
07/09/2013,09:41,001.40347,01403.355,01262.279
07/09/2013,09:51,001.41042,01406.939,01261.368
07/09/2013,10:01,001.41736,01407.877,01260.456
07/09/2013,10:11,001.42431,01407.877,01259.545
07/09/2013,10:21,001.43125,01411.337,01258.633
07/09/2013,10:31,001.43819,01411.337,01257.722
07/09/2013,10:41,001.44514,01411.549,01256.811
07/09/2013,10:51,001.45208,01411.549,01255.899
07/09/2013,11:01,001.45903,01411.890,01254.988
07/09/2013,11:11,001.46597,01416.820,01254.076
07/09/2013,11:21,001.47292,01433.001,01253.165
07/09/2013,11:31,001.47986,01450.132,01252.253
07/09/2013,11:41,001.48681,01475.367,01251.342
07/09/2013,11:51,001.49375,01492.283,01250.431
07/09/2013,12:01,001.50069,01515.404,01249.519
07/09/2013,12:11,001.50764,01552.868,01248.608
07/09/2013,12:21,001.51458,01588.996,01247.696
07/09/2013,12:31,001.52153,01601.686,01246.785
07/09/2013,12:41,001.52847,01601.686,01245.873
07/09/2013,12:51,001.53542,01581.745,01244.962
07/09/2013,13:01,001.54236,01571.229,01244.051
07/09/2013,13:11,001.54931,01562.046,01243.139
07/09/2013,13:21,001.55625,01457.176,01242.228
07/09/2013,13:31,001.56319,01380.216,01241.316
07/09/2013,13:41,001.57014,01309.961,01240.405
07/09/2013,13:51,001.57708,01292.996,01239.493
07/09/2013,14:01,001.58403,01290.318,01238.582
07/09/2013,14:11,001.59097,01286.539,01237.671
07/09/2013,14:31,001.60486,01286.539,01235.848
07/09/2013,14:41,001.61181,01286.539,01234.936
07/09/2013,14:51,001.61875,01288.769,01234.025
07/09/2013,15:01,001.62569,01288.830,01233.113
07/09/2013,15:11,001.63264,01294.277,01232.202
07/09/2013,15:21,001.63958,01296.913,01231.291
07/09/2013,15:31,001.64653,01298.461,01230.379
07/09/2013,15:41,001.65347,01299.404,01229.468
07/09/2013,15:51,001.66042,01300.131,01228.556
07/09/2013,16:01,001.66736,01300.131,01227.645
07/09/2013,16:11,001.67431,01302.599,01226.734
07/09/2013,16:21,001.68125,01302.831,01225.822
07/09/2013,16:31,001.68819,01307.089,01224.911
07/09/2013,16:41,001.69514,01313.777,01223.999
07/09/2013,16:51,001.70208,01313.777,01223.088
07/09/2013,17:01,001.70903,01308.331,01222.176
07/09/2013,17:11,001.71597,01308.331,01221.265
07/09/2013,17:21,001.72292,01303.811,01220.354
07/09/2013,17:31,001.72986,01301.214,01219.442
07/09/2013,17:41,001.73681,01300.622,01218.531
07/09/2013,17:51,001.74375,01295.933,01217.619
07/09/2013,18:01,001.75069,01291.512,01216.708
07/09/2013,18:11,001.75764,01288.569,01215.796
07/09/2013,18:21,001.76458,01288.569,01214.885
07/09/2013,18:31,001.77153,01288.569,01213.974
07/09/2013,18:41,001.77847,01398.354,01213.062
07/09/2013,18:51,001.78542,01426.740,01212.151
07/09/2013,19:01,001.79236,01438.394,01211.239
07/09/2013,19:11,001.79931,01438.595,01210.328
07/09/2013,19:21,001.80625,01458.590,01209.416
07/09/2013,19:31,001.81319,01458.590,01208.505
07/09/2013,19:41,001.82014,01450.876,01207.594
07/09/2013,19:51,001.82708,01437.239,01206.682
07/09/2013,20:01,001.83403,01436.655,01205.771
07/09/2013,20:11,001.84097,01426.816,01204.859
07/09/2013,20:21,001.84792,01369.929,01203.948
07/09/2013,20:31,001.85486,01235.938,01203.036
07/09/2013,20:41,001.86181,01185.760,01202.125
07/09/2013,20:51,001.86875,01176.713,01201.214
07/09/2013,21:01,001.87569,01176.713,01200.302
07/09/2013,21:11,001.88264,01176.162,01199.391
07/09/2013,21:21,001.88958,01179.843,01198.479
07/09/2013,21:31,001.89653,01179.843,01197.568
07/09/2013,21:41,001.90347,01182.570,01196.656
07/09/2013,21:51,001.91042,01184.040,01195.745
07/09/2013,22:01,001.91736,01184.919,01194.834
07/09/2013,22:11,001.92431,01187.438,01193.922
07/09/2013,22:21,001.93125,01187.438,01193.011
07/09/2013,22:31,001.93819,01196.704,01192.099
07/09/2013,22:41,001.94514,01200.992,01191.188
07/09/2013,22:51,001.95208,01204.427,01190.276
07/09/2013,23:01,001.95903,01205.805,01189.365
07/09/2013,23:11,001.96597,01207.993,01188.454
07/09/2013,23:21,001.97292,01210.086,01187.542
07/09/2013,23:31,001.97986,01210.086,01186.631
07/09/2013,23:41,001.98681,01210.086,01185.719
07/09/2013,23:51,001.99375,01215.882,01184.808
07/10/2013,00:01,002.00069,01218.074,01183.896
07/10/2013,00:11,002.00764,01218.074,01182.985
07/10/2013,00:21,002.01458,01214.483,01182.074
07/10/2013,00:31,002.02153,01205.851,01181.162
07/10/2013,00:41,002.02847,01205.851,01180.251
07/10/2013,00:51,002.03542,01207.875,01179.339
07/10/2013,01:01,002.04236,01207.875,01178.428
07/10/2013,01:11,002.04931,01205.725,01177.516
07/10/2013,01:21,002.05625,01200.270,01176.605
07/10/2013,01:31,002.06319,01199.327,01175.694
07/10/2013,01:41,002.07014,01194.752,01174.782
07/10/2013,01:51,002.07708,01194.752,01173.871
07/10/2013,02:01,002.08403,01201.375,01172.959
07/10/2013,02:11,002.09097,01203.997,01172.048
07/10/2013,02:21,002.09792,01228.501,01171.137
07/10/2013,02:31,002.10486,01233.064,01170.225
07/10/2013,02:41,002.11181,01236.747,01169.314
07/10/2013,02:51,002.11875,01361.141,01168.402
07/10/2013,03:01,002.12569,01361.141,01167.491
07/10/2013,03:11,002.13264,01357.983,01166.579
07/10/2013,03:21,002.13958,01354.406,01165.668
07/10/2013,03:31,002.14653,01347.994,01164.757
07/10/2013,03:41,002.15347,01331.832,01163.845
07/10/2013,03:51,002.16042,01288.879,01162.934
07/10/2013,04:01,002.16736,01237.825,01162.022
07/10/2013,04:11,002.17431,01154.609,01161.111
07/10/2013,04:21,002.18125,01122.579,01160.199
07/10/2013,04:31,002.18819,01115.226,01159.288
07/10/2013,04:41,002.19514,01112.331,01158.377
07/10/2013,04:51,002.20208,01112.331,01157.465
07/10/2013,05:01,002.20903,01112.331,01156.554
07/10/2013,05:11,002.21597,01115.973,01155.642
07/10/2013,05:21,002.22292,01116.131,01154.731
07/10/2013,05:31,002.22986,01116.131,01153.819
07/10/2013,05:41,002.23681,01126.151,01152.908
07/10/2013,05:51,002.24375,01126.537,01151.997
07/10/2013,06:01,002.25069,01126.151,01151.085
07/10/2013,06:11,002.25764,01134.863,01150.174
07/10/2013,06:21,002.26458,01131.237,01149.262
07/10/2013,06:31,002.27153,01134.863,01148.351
07/10/2013,06:41,002.27847,01140.380,01147.439
07/10/2013,06:51,002.28542,01141.783,01146.528
07/10/2013,07:01,002.29236,01149.860,01145.617
07/10/2013,07:11,002.29931,01144.623,01144.705
07/10/2013,07:21,002.30625,01146.478,01143.794
07/10/2013,07:31,002.31319,01146.478,01142.882
07/10/2013,07:41,002.32014,01146.478,01141.971
07/10/2013,07:51,002.32708,01149.240,01141.060
07/10/2013,08:01,002.33403,01141.128,01140.148
07/10/2013,08:11,002.34097,01136.781,01139.237
07/10/2013,08:21,002.34792,01136.781,01138.325
07/10/2013,08:31,002.35486,01137.101,01137.414
07/10/2013,08:41,002.36181,01137.101,01136.502
07/10/2013,08:51,002.36875,01128.988,01135.591
07/10/2013,09:01,002.37569,01128.988,01134.680
07/10/2013,09:11,002.38264,01234.039,01133.768
07/10/2013,09:21,002.38958,01234.039,01132.857
07/10/2013,09:31,002.39653,01196.304,01131.945
07/10/2013,09:41,002.40347,01181.290,01131.034
07/10/2013,09:51,002.41042,01172.730,01130.122
07/10/2013,10:01,002.41736,01170.726,01129.211
07/10/2013,10:11,002.42431,01157.994,01128.300
07/10/2013,10:21,002.43125,01031.793,01127.388
07/10/2013,10:31,002.43819,01002.647,01126.477
07/10/2013,10:41,002.44514,01000.777,01125.565
07/10/2013,10:51,002.45208,01000.777,01124.654
07/10/2013,11:01,002.45903,01004.189,01123.742
07/10/2013,11:11,002.46597,01009.021,01122.831
07/10/2013,11:21,002.47292,01010.011,01121.920
07/10/2013,11:31,002.47986,01015.035,01121.008
07/10/2013,11:41,002.48681,01022.718,01120.097
07/10/2013,11:51,002.49375,01032.099,01119.185
07/10/2013,12:01,002.50069,01043.474,01118.274
07/10/2013,12:11,002.50764,01052.041,01117.362
07/10/2013,12:21,002.51458,01053.263,01116.451
07/10/2013,12:31,002.52153,01063.497,01115.540
07/10/2013,12:41,002.52847,01076.104,01114.628
07/10/2013,12:51,002.53542,01082.268,01113.717
07/10/2013,13:01,002.54236,01082.268,01112.805
07/10/2013,13:11,002.54931,01090.396,01111.894
07/10/2013,13:21,002.55625,01093.997,01110.983
07/10/2013,13:31,002.56319,01099.579,01110.071
07/10/2013,13:41,002.57014,01099.579,01109.160
07/10/2013,13:51,002.57708,01098.822,01108.248
07/10/2013,14:01,002.58403,01098.822,01107.337
07/10/2013,14:11,002.59097,01101.328,01106.425
07/10/2013,14:21,002.59792,01101.328,01105.514
07/10/2013,14:31,002.60486,01091.139,01104.603
07/10/2013,14:41,002.61181,01084.924,01103.691
07/10/2013,14:51,002.61875,01075.455,01102.780
07/10/2013,15:01,002.62569,01072.484,01101.868
07/10/2013,15:11,002.63264,01068.426,01100.957
07/10/2013,15:21,002.63958,01062.909,01100.045
07/10/2013,15:31,002.64653,01056.936,01099.134
07/10/2013,15:41,002.65347,01057.711,01098.223
07/10/2013,15:51,002.66042,01054.502,01097.311
07/10/2013,16:01,002.66736,01054.502,01096.400
07/10/2013,16:11,002.67431,01054.502,01095.488
07/10/2013,16:21,002.68125,01181.970,01094.577
07/10/2013,16:31,002.68819,01186.813,01093.665
07/10/2013,16:41,002.69514,01186.813,01092.754
07/10/2013,16:51,002.70208,01180.975,01091.843
07/10/2013,17:01,002.70903,01176.064,01090.931
07/10/2013,17:11,002.71597,01167.213,01090.020
07/10/2013,17:21,002.72292,01159.892,01089.108
07/10/2013,17:31,002.72986,01152.469,01088.197
07/10/2013,17:41,002.73681,01135.101,01087.285
07/10/2013,17:51,002.74375,01013.415,01086.374
07/10/2013,18:01,002.75069,00991.520,01085.463
07/10/2013,18:11,002.75764,00989.794,01084.551
07/10/2013,18:21,002.76458,00989.794,01083.640
07/10/2013,18:31,002.77153,00991.956,01082.728
07/10/2013,18:41,002.77847,00991.956,01081.817
07/10/2013,18:51,002.78542,00983.999,01080.906
07/10/2013,19:01,002.79236,00976.353,01079.994
07/10/2013,19:11,002.79931,00976.300,01079.083
07/10/2013,19:21,002.80625,00976.353,01078.171
07/10/2013,19:31,002.81319,00974.997,01077.260
07/10/2013,19:41,002.82014,00973.351,01076.348
07/10/2013,19:51,002.82708,00969.279,01075.437
07/10/2013,20:01,002.83403,00963.909,01074.526
07/10/2013,20:11,002.84097,00961.883,01073.614
07/10/2013,20:21,002.84792,00958.720,01072.703
07/10/2013,20:31,002.85486,00958.720,01071.791
07/10/2013,20:41,002.86181,00958.720,01070.880
07/10/2013,20:51,002.86875,00953.877,01069.968
07/10/2013,21:01,002.87569,00947.088,01069.057
07/10/2013,21:11,002.88264,00944.152,01068.146
07/10/2013,21:21,002.88958,00942.647,01067.234
07/10/2013,21:31,002.89653,00935.816,01066.323
07/10/2013,21:41,002.90347,00935.816,01065.411
07/10/2013,21:51,002.91042,00939.081,01064.500
07/10/2013,22:01,002.91736,00951.364,01063.588
07/10/2013,22:11,002.92431,00967.843,01062.677
07/10/2013,22:21,002.93125,01029.184,01061.766
07/10/2013,22:31,002.93819,01029.531,01060.854
07/10/2013,22:41,002.94514,01029.184,01059.943
07/10/2013,22:51,002.95208,01017.700,01059.031
07/10/2013,23:01,002.95903,01012.433,01058.120
07/10/2013,23:11,002.96597,00999.971,01057.208
07/10/2013,23:21,002.97292,00984.719,01056.297
07/10/2013,23:31,002.97986,00887.431,01055.386
07/10/2013,23:41,002.98681,00864.494,01054.474
07/10/2013,23:51,002.99375,00864.494,01053.563
07/11/2013,00:01,003.00069,00862.099,01052.651
07/11/2013,00:11,003.00764,00858.776,01051.740
07/11/2013,00:21,003.01458,00858.776,01050.828
07/11/2013,00:31,003.02153,00858.416,01049.917
07/11/2013,00:41,003.02847,00855.642,01049.006
07/11/2013,00:51,003.03542,00853.548,01048.094
07/11/2013,01:01,003.04236,00852.644,01047.183
