LumiCycle: 2013-7-8WT&CLIH_4 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
07/08/2013,16:13,000.67569,01622.416,01244.771
07/08/2013,16:23,000.68264,01623.589,01244.028
07/08/2013,16:33,000.68958,01629.183,01243.286
07/08/2013,16:43,000.69653,01653.002,01242.544
07/08/2013,16:53,000.70347,01675.019,01241.801
07/08/2013,17:03,000.71042,01689.082,01241.059
07/08/2013,17:13,000.71736,01723.565,01240.317
07/08/2013,17:23,000.72431,01732.444,01239.574
07/08/2013,17:33,000.73125,01732.444,01238.832
07/08/2013,17:43,000.73819,01723.096,01238.090
07/08/2013,17:53,000.74514,01620.036,01237.347
07/08/2013,18:03,000.75208,01612.472,01236.605
07/08/2013,18:13,000.75903,01612.472,01235.863
07/08/2013,18:23,000.76597,01617.050,01235.120
07/08/2013,18:33,000.77292,01619.206,01234.378
07/08/2013,18:43,000.77986,01636.773,01233.636
07/08/2013,18:53,000.78681,01638.490,01232.893
07/08/2013,19:03,000.79375,01640.689,01232.151
07/08/2013,19:13,000.80069,01662.312,01231.409
07/08/2013,19:23,000.80764,01664.035,01230.666
07/08/2013,19:33,000.81458,01670.755,01229.924
07/08/2013,19:43,000.82153,01671.895,01229.182
07/08/2013,19:53,000.82847,01675.220,01228.439
07/08/2013,20:03,000.83542,01683.614,01227.697
07/08/2013,20:13,000.84236,01690.645,01226.955
07/08/2013,20:23,000.84931,01696.954,01226.212
07/08/2013,20:33,000.85625,01698.694,01225.470
07/08/2013,20:43,000.86319,01706.502,01224.728
07/08/2013,20:53,000.87014,01706.953,01223.985
07/08/2013,21:03,000.87708,01706.502,01223.243
07/08/2013,21:13,000.88403,01706.953,01222.501
07/08/2013,21:23,000.89097,01707.174,01221.758
07/08/2013,21:33,000.89792,01709.423,01221.016
07/08/2013,21:43,000.90486,01709.423,01220.274
07/08/2013,21:53,000.91181,01705.594,01219.531
07/08/2013,22:03,000.91875,01695.576,01218.789
07/08/2013,22:13,000.92569,01693.186,01218.047
07/08/2013,22:23,000.93264,01691.558,01217.304
07/08/2013,22:33,000.93958,01689.667,01216.562
07/08/2013,22:43,000.94653,01681.829,01215.820
07/08/2013,22:53,000.95347,01681.052,01215.077
07/08/2013,23:03,000.96042,01670.493,01214.335
07/08/2013,23:13,000.96736,01670.493,01213.593
07/08/2013,23:23,000.97431,01683.538,01212.850
07/08/2013,23:33,000.98125,01683.538,01212.108
07/08/2013,23:43,000.98819,01684.093,01211.366
07/08/2013,23:53,000.99514,01688.638,01210.623
07/09/2013,00:03,001.00208,01691.906,01209.881
07/09/2013,00:13,001.00903,01699.841,01209.139
07/09/2013,00:23,001.01597,01711.340,01208.396
07/09/2013,00:33,001.02292,01732.388,01207.654
07/09/2013,00:43,001.02986,01745.286,01206.912
07/09/2013,00:53,001.03681,01784.695,01206.169
07/09/2013,01:03,001.04375,01784.695,01205.427
07/09/2013,01:13,001.05069,01764.182,01204.685
07/09/2013,01:23,001.05764,01715.104,01203.942
07/09/2013,01:33,001.06458,01639.722,01203.200
07/09/2013,01:43,001.07153,01587.258,01202.458
07/09/2013,01:53,001.07847,01537.180,01201.715
07/09/2013,02:03,001.08542,01526.686,01200.973
07/09/2013,02:13,001.09236,01516.404,01200.231
07/09/2013,02:23,001.09931,01505.409,01199.488
07/09/2013,02:33,001.10625,01505.409,01198.746
07/09/2013,02:43,001.11319,01510.144,01198.004
07/09/2013,02:53,001.12014,01510.144,01197.261
07/09/2013,03:03,001.12708,01510.074,01196.519
07/09/2013,03:13,001.13403,01510.074,01195.777
07/09/2013,03:23,001.14097,01508.716,01195.034
07/09/2013,03:33,001.14792,01507.964,01194.292
07/09/2013,03:43,001.15486,01507.964,01193.550
07/09/2013,03:53,001.16181,01507.939,01192.807
