LumiCycle: 2013-7-8WT&CLIH_7 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
07/08/2013,16:12,000.67500,01393.727,01189.424
07/08/2013,16:22,000.68194,01393.727,01188.287
07/08/2013,16:32,000.68889,01402.459,01187.149
07/08/2013,16:42,000.69583,01429.745,01186.011
07/08/2013,16:52,000.70278,01454.858,01184.874
07/08/2013,17:02,000.70972,01477.590,01183.736
07/08/2013,17:12,000.71667,01506.793,01182.599
07/08/2013,17:22,000.72361,01516.881,01181.461
07/08/2013,17:32,000.73056,01535.857,01180.323
07/08/2013,17:42,000.73750,01535.857,01179.186
07/08/2013,17:52,000.74444,01531.766,01178.048
07/08/2013,18:02,000.75139,01453.981,01176.910
07/08/2013,18:12,000.75833,01428.391,01175.773
07/08/2013,18:22,000.76528,01428.391,01174.635
07/08/2013,18:32,000.77222,01442.782,01173.498
07/08/2013,18:42,000.77917,01443.510,01172.360
07/08/2013,18:52,000.78611,01446.223,01171.222
07/08/2013,19:02,000.79306,01448.417,01170.085
07/08/2013,19:12,000.80000,01457.967,01168.947
07/08/2013,19:22,000.80694,01459.892,01167.809
07/08/2013,19:32,000.81389,01478.244,01166.672
07/08/2013,19:42,000.82083,01486.662,01165.534
07/08/2013,19:52,000.82778,01486.762,01164.396
07/08/2013,20:02,000.83472,01486.762,01163.259
07/08/2013,20:12,000.84167,01500.050,01162.121
07/08/2013,20:22,000.84861,01508.555,01160.984
07/08/2013,20:32,000.85556,01516.208,01159.846
07/08/2013,20:42,000.86250,01516.208,01158.708
07/08/2013,20:52,000.86944,01514.805,01157.571
07/08/2013,21:02,000.87639,01514.805,01156.433
07/08/2013,21:12,000.88333,01522.618,01155.296
07/08/2013,21:22,000.89028,01522.618,01154.158
07/08/2013,21:32,000.89722,01522.618,01153.020
07/08/2013,21:42,000.90417,01526.358,01151.883
07/08/2013,21:52,000.91111,01526.967,01150.745
07/08/2013,22:02,000.91806,01526.358,01149.607
07/08/2013,22:12,000.92500,01518.949,01148.470
07/08/2013,22:22,000.93194,01515.316,01147.332
07/08/2013,22:32,000.93889,01502.677,01146.194
07/08/2013,22:42,000.94583,01502.677,01145.057
07/08/2013,22:52,000.95278,01494.667,01143.919
07/08/2013,23:02,000.95972,01494.541,01142.782
07/08/2013,23:12,000.96667,01492.384,01141.644
07/08/2013,23:22,000.97361,01475.501,01140.506
07/08/2013,23:32,000.98056,01457.457,01139.369
07/08/2013,23:42,000.98750,01457.457,01138.231
07/08/2013,23:52,000.99444,01458.546,01137.093
07/09/2013,00:02,001.00139,01458.546,01135.956
07/09/2013,00:12,001.00833,01459.997,01134.818
07/09/2013,00:22,001.01528,01460.510,01133.681
07/09/2013,00:32,001.02222,01466.631,01132.543
