LumiCycle: 2013-8-22WT$CLIH-C3_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/22/2013,12:02,000.50139,01642.666,01067.454
08/22/2013,12:12,000.50833,01642.666,01066.906
08/22/2013,12:22,000.51528,01647.006,01066.359
08/22/2013,12:32,000.52222,01640.196,01065.811
08/22/2013,12:42,000.52917,01640.196,01065.263
08/22/2013,12:52,000.53611,01639.408,01064.715
08/22/2013,13:02,000.54306,01634.474,01064.167
08/22/2013,13:12,000.55000,01632.426,01063.620
08/22/2013,13:22,000.55694,01602.270,01063.072
08/22/2013,13:32,000.56389,01591.795,01062.524
08/22/2013,13:42,000.57083,01581.109,01061.976
08/22/2013,13:52,000.57778,01566.380,01061.429
08/22/2013,14:02,000.58472,01549.700,01060.881
08/22/2013,14:12,000.59167,01547.212,01060.333
08/22/2013,14:22,000.59861,01539.032,01059.785
08/22/2013,14:32,000.60556,01530.071,01059.237
08/22/2013,14:42,000.61250,01522.258,01058.690
08/22/2013,14:52,000.61944,01506.539,01058.142
08/22/2013,15:02,000.62639,01502.538,01057.594
08/22/2013,15:12,000.63333,01502.538,01057.046
08/22/2013,15:22,000.64028,01514.438,01056.499
08/22/2013,15:32,000.64722,01535.962,01055.951
08/22/2013,15:42,000.65417,01535.962,01055.403
08/22/2013,15:52,000.66111,01535.962,01054.855
08/22/2013,16:02,000.66806,01534.743,01054.307
08/22/2013,16:12,000.67500,01534.743,01053.760
08/22/2013,16:22,000.68194,01512.613,01053.212
08/22/2013,16:32,000.68889,01426.387,01052.664
08/22/2013,16:42,000.69583,01400.049,01052.116
08/22/2013,16:52,000.70278,01364.269,01051.568
08/22/2013,17:02,000.70972,01349.780,01051.021
08/22/2013,17:12,000.71667,01336.705,01050.473
08/22/2013,17:22,000.72361,01327.047,01049.925
08/22/2013,17:32,000.73056,01322.513,01049.377
08/22/2013,17:42,000.73750,01290.289,01048.829
08/22/2013,17:52,000.74444,01286.325,01048.282
08/22/2013,18:02,000.75139,01279.011,01047.734
08/22/2013,18:12,000.75833,01273.707,01047.186
08/22/2013,18:22,000.76528,01273.177,01046.638
08/22/2013,18:32,000.77222,01273.177,01046.091
08/22/2013,18:42,000.77917,01273.177,01045.543
08/22/2013,18:52,000.78611,01316.095,01044.995
08/22/2013,19:02,000.79306,01375.098,01044.447
08/22/2013,19:12,000.80000,01394.077,01043.899
08/22/2013,19:22,000.80694,01397.442,01043.352
08/22/2013,19:32,000.81389,01406.569,01042.804
08/22/2013,19:42,000.82083,01406.909,01042.256
08/22/2013,19:52,000.82778,01411.834,01041.708
08/22/2013,20:02,000.83472,01406.909,01041.160
08/22/2013,20:12,000.84167,01400.432,01040.613
08/22/2013,20:22,000.84861,01350.931,01040.065
08/22/2013,20:32,000.85556,01248.605,01039.517
08/22/2013,20:42,000.86250,01200.464,01038.969
08/22/2013,20:52,000.86944,01169.837,01038.422
08/22/2013,21:02,000.87639,01161.261,01037.874
08/22/2013,21:12,000.88333,01136.396,01037.326
08/22/2013,21:22,000.89028,01136.334,01036.778
08/22/2013,21:32,000.89722,01119.368,01036.230
08/22/2013,21:42,000.90417,01116.265,01035.683
08/22/2013,21:52,000.91111,01099.119,01035.135
08/22/2013,22:02,000.91806,01095.222,01034.587
08/22/2013,22:12,000.92500,01087.656,01034.039
08/22/2013,22:22,000.93194,01087.656,01033.491
08/22/2013,22:32,000.93889,01083.504,01032.944
08/22/2013,22:42,000.94583,01074.685,01032.396
08/22/2013,22:52,000.95278,01074.685,01031.848
08/22/2013,23:02,000.95972,01103.215,01031.300
08/22/2013,23:12,000.96667,01217.296,01030.753
08/22/2013,23:22,000.97361,01239.978,01030.205
08/22/2013,23:32,000.98056,01241.612,01029.657
08/22/2013,23:42,000.98750,01243.437,01029.109
08/22/2013,23:52,000.99444,01254.789,01028.561
08/23/2013,00:02,001.00139,01258.047,01028.014
08/23/2013,00:12,001.00833,01258.047,01027.466
08/23/2013,00:22,001.01528,01248.263,01026.918
08/23/2013,00:32,001.02222,01208.177,01026.370
08/23/2013,00:42,001.02917,01131.323,01025.822
08/23/2013,00:52,001.03611,01094.311,01025.275
08/23/2013,01:02,001.04306,01078.214,01024.727
08/23/2013,01:12,001.05000,01055.131,01024.179
08/23/2013,01:22,001.05694,01034.458,01023.631
08/23/2013,01:32,001.06389,01008.694,01023.083
08/23/2013,01:42,001.07083,01006.792,01022.536
08/23/2013,01:52,001.07778,00993.719,01021.988
08/23/2013,02:02,001.08472,00979.314,01021.440
08/23/2013,02:12,001.09167,00973.418,01020.892
08/23/2013,02:22,001.09861,00971.879,01020.345
08/23/2013,02:32,001.10556,00962.803,01019.797
08/23/2013,02:42,001.11250,00960.730,01019.249
08/23/2013,02:52,001.11944,00954.624,01018.701
08/23/2013,03:02,001.12639,00950.394,01018.153
08/23/2013,03:12,001.13333,00950.394,01017.606
08/23/2013,03:22,001.14028,01088.428,01017.058
08/23/2013,03:32,001.14722,01106.226,01016.510
08/23/2013,03:42,001.15417,01125.882,01015.962
08/23/2013,03:52,001.16111,01131.656,01015.414
08/23/2013,04:02,001.16806,01135.594,01014.867
08/23/2013,04:12,001.17500,01140.499,01014.319
08/23/2013,04:22,001.18194,01148.275,01013.771
08/23/2013,04:32,001.18889,01148.275,01013.223
08/23/2013,04:42,001.19583,01102.635,01012.676
08/23/2013,04:52,001.20278,01052.787,01012.128
08/23/2013,05:02,001.20972,01052.620,01011.580
08/23/2013,05:12,001.21667,01016.046,01011.032
08/23/2013,05:22,001.22361,00991.321,01010.484
08/23/2013,05:32,001.23056,00976.077,01009.937
08/23/2013,05:42,001.23750,00953.664,01009.389
08/23/2013,05:52,001.24444,00921.085,01008.841
08/23/2013,06:02,001.25139,00900.602,01008.293
08/23/2013,06:12,001.25833,00897.627,01007.745
08/23/2013,06:22,001.26528,00890.441,01007.198
08/23/2013,06:32,001.27222,00886.411,01006.650
08/23/2013,06:42,001.27917,00873.872,01006.102
08/23/2013,06:52,001.28611,00870.351,01005.554
08/23/2013,07:02,001.29306,00868.065,01005.007
08/23/2013,07:12,001.30000,00865.853,01004.459
08/23/2013,07:22,001.30694,00863.349,01003.911
08/23/2013,07:32,001.31389,00858.020,01003.363
08/23/2013,07:42,001.32083,00858.020,01002.815
08/23/2013,07:52,001.32778,00860.851,01002.268
08/23/2013,08:02,001.33472,00860.851,01001.720
08/23/2013,08:12,001.34167,00861.915,01001.172
08/23/2013,08:22,001.34861,00863.842,01000.624
08/23/2013,08:32,001.35556,01025.810,01000.076
08/23/2013,08:42,001.36250,01050.747,00999.529
08/23/2013,08:52,001.36944,01051.864,00998.981
08/23/2013,09:02,001.37639,01067.558,00998.433
08/23/2013,09:12,001.38333,01080.757,00997.885
08/23/2013,09:22,001.39028,01090.526,00997.338
08/23/2013,09:32,001.39722,01095.353,00996.790
08/23/2013,09:42,001.40417,01103.449,00996.242
08/23/2013,09:52,001.41111,01103.449,00995.694
08/23/2013,10:02,001.41806,01095.435,00995.146
08/23/2013,10:12,001.42500,01086.133,00994.599
08/23/2013,10:22,001.43194,01055.280,00994.051
08/23/2013,10:32,001.43889,01010.938,00993.503
08/23/2013,10:42,001.44583,00983.976,00992.955
08/23/2013,11:02,001.45972,00864.088,00991.860
08/23/2013,11:12,001.46667,00787.206,00991.312
08/23/2013,11:22,001.47361,00766.297,00990.764
08/23/2013,11:32,001.48056,00763.092,00990.216
08/23/2013,11:42,001.48750,00750.315,00989.669
08/23/2013,11:52,001.49444,00743.209,00989.121
08/23/2013,12:02,001.50139,00741.857,00988.573
08/23/2013,12:12,001.50833,00733.746,00988.025
08/23/2013,12:22,001.51528,00729.991,00987.477
08/23/2013,12:32,001.52222,00724.829,00986.930
08/23/2013,12:42,001.52917,00724.829,00986.382
08/23/2013,12:52,001.53611,00735.393,00985.834
08/23/2013,13:02,001.54306,00735.503,00985.286
08/23/2013,13:12,001.55000,00737.958,00984.738
08/23/2013,13:22,001.55694,00847.884,00984.191
08/23/2013,13:32,001.56389,00856.084,00983.643
08/23/2013,13:42,001.57083,00859.826,00983.095
08/23/2013,13:52,001.57778,00870.305,00982.547
08/23/2013,14:02,001.58472,00887.940,00982.000
08/23/2013,14:12,001.59167,00901.654,00981.452
08/23/2013,14:22,001.59861,00902.992,00980.904
08/23/2013,14:32,001.60556,00901.654,00980.356
08/23/2013,14:42,001.61250,00876.778,00979.808
08/23/2013,14:52,001.61944,00835.996,00979.261
08/23/2013,15:02,001.62639,00825.455,00978.713
08/23/2013,15:12,001.63333,00806.131,00978.165
08/23/2013,15:22,001.64028,00795.239,00977.617
08/23/2013,15:32,001.64722,00785.578,00977.069
08/23/2013,15:42,001.65417,00785.064,00976.522
08/23/2013,15:52,001.66111,00756.962,00975.974
08/23/2013,16:02,001.66806,00756.962,00975.426
08/23/2013,16:12,001.67500,00759.254,00974.878
08/23/2013,16:22,001.68194,00760.872,00974.330
08/23/2013,16:32,001.68889,00759.254,00973.783
08/23/2013,16:42,001.69583,00759.124,00973.235
08/23/2013,16:52,001.70278,00751.592,00972.687
08/23/2013,17:02,001.70972,00751.592,00972.139
08/23/2013,17:12,001.71667,00758.991,00971.592
08/23/2013,17:22,001.72361,00760.373,00971.044
08/23/2013,17:32,001.73056,00761.904,00970.496
08/23/2013,17:42,001.73750,00887.272,00969.948
