LumiCycle: 2013-8-22WT$CLIH-C3_6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/22/2013,12:06,000.50417,01840.303,01471.112
08/22/2013,12:16,000.51111,01861.110,01469.861
08/22/2013,12:26,000.51806,01869.604,01468.610
08/22/2013,12:36,000.52500,01875.898,01467.359
08/22/2013,12:46,000.53194,01886.459,01466.108
08/22/2013,12:56,000.53889,01888.879,01464.857
08/22/2013,13:06,000.54583,01899.571,01463.606
08/22/2013,13:16,000.55278,01899.571,01462.355
08/22/2013,13:26,000.55972,01883.473,01461.104
08/22/2013,13:36,000.56667,01880.872,01459.853
08/22/2013,13:46,000.57361,01879.974,01458.602
08/22/2013,13:56,000.58056,01866.014,01457.351
08/22/2013,14:06,000.58750,01864.583,01456.100
08/22/2013,14:16,000.59444,01835.681,01454.850
08/22/2013,14:26,000.60139,01824.649,01453.599
08/22/2013,14:36,000.60833,01815.009,01452.348
08/22/2013,14:46,000.61528,01797.385,01451.097
08/22/2013,14:56,000.62222,01791.832,01449.846
08/22/2013,15:06,000.62917,01773.828,01448.595
08/22/2013,15:16,000.63611,01773.532,01447.344
08/22/2013,15:26,000.64306,01742.225,01446.093
08/22/2013,15:36,000.65000,01713.327,01444.842
08/22/2013,15:46,000.65694,01650.620,01443.591
08/22/2013,15:56,000.66389,01628.958,01442.340
08/22/2013,16:06,000.67083,01612.143,01441.089
08/22/2013,16:16,000.67778,01573.505,01439.838
08/22/2013,16:26,000.68472,01541.293,01438.587
08/22/2013,16:36,000.69167,01523.817,01437.336
08/22/2013,16:46,000.69861,01522.951,01436.085
08/22/2013,16:56,000.70556,01507.511,01434.834
08/22/2013,17:06,000.71250,01493.133,01433.583
08/22/2013,17:16,000.71944,01493.133,01432.332
08/22/2013,17:26,000.72639,01514.216,01431.081
08/22/2013,17:36,000.73333,01527.365,01429.830
08/22/2013,17:46,000.74028,01527.365,01428.579
08/22/2013,17:56,000.74722,01512.246,01427.329
08/22/2013,18:06,000.75417,01504.415,01426.078
08/22/2013,18:16,000.76111,01482.867,01424.827
08/22/2013,18:26,000.76806,01443.853,01423.576
08/22/2013,18:36,000.77500,01415.829,01422.325
08/22/2013,18:46,000.78194,01310.400,01421.074
08/22/2013,18:56,000.78889,01272.770,01419.823
08/22/2013,19:06,000.79583,01257.652,01418.572
08/22/2013,19:16,000.80278,01239.703,01417.321
08/22/2013,19:26,000.80972,01236.149,01416.070
08/22/2013,19:36,000.81667,01218.107,01414.819
08/22/2013,19:46,000.82361,01193.099,01413.568
08/22/2013,19:56,000.83056,01191.157,01412.317
08/22/2013,20:06,000.83750,01170.452,01411.066
08/22/2013,20:16,000.84444,01166.397,01409.815
08/22/2013,20:26,000.85139,01160.739,01408.564
08/22/2013,20:36,000.85833,01160.739,01407.313
08/22/2013,20:46,000.86528,01165.473,01406.062
08/22/2013,20:56,000.87222,01284.306,01404.811
08/22/2013,21:06,000.87917,01312.440,01403.560
08/22/2013,21:16,000.88611,01318.755,01402.309
08/22/2013,21:26,000.89306,01324.297,01401.058
08/22/2013,21:36,000.90000,01335.150,01399.808
08/22/2013,21:46,000.90694,01347.786,01398.557
08/22/2013,21:56,000.91389,01357.929,01397.306
08/22/2013,22:06,000.92083,01357.929,01396.055
08/22/2013,22:16,000.92778,01343.368,01394.804
08/22/2013,22:26,000.93472,01318.376,01393.553
08/22/2013,22:36,000.94167,01308.507,01392.302
08/22/2013,22:46,000.94861,01269.625,01391.051
08/22/2013,22:56,000.95556,01211.588,01389.800
08/22/2013,23:06,000.96250,01169.270,01388.549
08/22/2013,23:16,000.96944,01143.637,01387.298
08/22/2013,23:26,000.97639,01120.104,01386.047
08/22/2013,23:36,000.98333,01114.306,01384.796
08/22/2013,23:46,000.99028,01101.506,01383.545
08/22/2013,23:56,000.99722,01095.354,01382.294
08/23/2013,00:06,001.00417,01089.322,01381.043
08/23/2013,00:16,001.01111,01083.553,01379.792
