LumiCycle: 20140506WT$CLIH-C3_13 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/06/2014,14:31,000.60486,09956.533,08042.152
05/06/2014,14:51,000.61875,10215.162,08024.628
05/06/2014,15:01,000.62569,10373.843,08015.867
05/06/2014,15:11,000.63264,10373.843,08007.105
05/06/2014,15:21,000.63958,10318.491,07998.344
05/06/2014,15:31,000.64653,09870.584,07989.582
05/06/2014,15:41,000.65347,09661.392,07980.821
05/06/2014,15:51,000.66042,09661.392,07972.059
05/06/2014,16:01,000.66736,09764.523,07963.297
05/06/2014,16:11,000.67431,09780.024,07954.536
05/06/2014,16:21,000.68125,09797.794,07945.774
05/06/2014,16:31,000.68819,09820.507,07937.013
05/06/2014,16:41,000.69514,09845.019,07928.251
05/06/2014,16:51,000.70208,09866.974,07919.490
05/06/2014,17:01,000.70903,09874.583,07910.728
05/06/2014,17:11,000.71597,09874.583,07901.966
05/06/2014,17:21,000.72292,09874.366,07893.205
05/06/2014,17:31,000.72986,09874.366,07884.443
05/06/2014,17:41,000.73681,09884.727,07875.682
05/06/2014,17:51,000.74375,09885.851,07866.920
05/06/2014,18:01,000.75069,09885.229,07858.159
05/06/2014,18:11,000.75764,09885.229,07849.397
05/06/2014,18:21,000.76458,09885.229,07840.635
05/06/2014,18:31,000.77153,09878.847,07831.874
05/06/2014,18:41,000.77847,09867.614,07823.112
05/06/2014,18:51,000.78542,09865.305,07814.351
05/06/2014,19:01,000.79236,09867.614,07805.589
05/06/2014,19:11,000.79931,09889.331,07796.828
05/06/2014,19:21,000.80625,10710.079,07788.066
05/06/2014,19:31,000.81319,10786.548,07779.304
05/06/2014,19:41,000.82014,10786.548,07770.543
05/06/2014,19:51,000.82708,10773.417,07761.781
05/06/2014,20:01,000.83403,10701.408,07753.020
05/06/2014,20:11,000.84097,10638.727,07744.258
05/06/2014,20:21,000.84792,10434.669,07735.497
05/06/2014,20:31,000.85486,09929.930,07726.735
05/06/2014,20:41,000.86181,09571.174,07717.973
05/06/2014,20:51,000.86875,09386.627,07709.212
05/06/2014,21:01,000.87569,09214.299,07700.450
05/06/2014,21:11,000.88264,09150.163,07691.688
05/06/2014,21:21,000.88958,09126.098,07682.927
05/06/2014,21:31,000.89653,09080.363,07674.166
05/06/2014,21:41,000.90347,09043.607,07665.404
05/06/2014,21:51,000.91042,09016.470,07656.642
05/06/2014,22:01,000.91736,08980.164,07647.881
05/06/2014,22:11,000.92431,08894.692,07639.119
05/06/2014,22:21,000.93125,08825.129,07630.357
05/06/2014,22:31,000.93819,08773.024,07621.596
05/06/2014,22:41,000.94514,08729.474,07612.834
05/06/2014,22:51,000.95208,08699.886,07604.073
05/06/2014,23:01,000.95903,08658.576,07595.311
05/06/2014,23:11,000.96597,08583.709,07586.550
05/06/2014,23:21,000.97292,08564.053,07577.788
05/06/2014,23:31,000.97986,08535.484,07569.026
05/06/2014,23:41,000.98681,08535.484,07560.265
05/06/2014,23:51,000.99375,09356.864,07551.503
05/07/2014,00:01,001.00069,09596.058,07542.742
05/07/2014,00:11,001.00764,09745.753,07533.980
05/07/2014,00:21,001.01458,09745.753,07525.219
05/07/2014,00:31,001.02153,09718.095,07516.457
05/07/2014,00:41,001.02847,09686.367,07507.695
05/07/2014,00:51,001.03542,09636.215,07498.934
05/07/2014,01:01,001.04236,09490.809,07490.172
05/07/2014,01:11,001.04931,08774.408,07481.411
05/07/2014,01:21,001.05625,08229.732,07472.649
05/07/2014,01:31,001.06319,08064.155,07463.888
05/07/2014,01:41,001.07014,07999.886,07455.126
05/07/2014,01:51,001.07708,07889.380,07446.364
05/07/2014,02:01,001.08403,07803.420,07437.603
05/07/2014,02:11,001.09097,07708.872,07428.841
05/07/2014,02:21,001.09792,07682.430,07420.080
