LumiCycle: 20140506WT$CLIH-C3_20 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/06/2014,14:25,000.60069,11021.673,09468.348
05/06/2014,14:35,000.60764,11021.673,09459.075
05/06/2014,14:45,000.61458,11110.192,09449.802
05/06/2014,14:55,000.62153,11278.038,09440.529
05/06/2014,15:05,000.62847,11442.592,09431.256
05/06/2014,15:15,000.63542,11588.821,09421.982
05/06/2014,15:25,000.64236,11588.821,09412.710
05/06/2014,15:45,000.65625,11048.001,09394.163
05/06/2014,15:55,000.66319,10873.142,09384.891
05/06/2014,16:05,000.67014,10703.257,09375.617
05/06/2014,16:15,000.67708,10624.533,09366.344
05/06/2014,16:25,000.68403,10617.691,09357.071
05/06/2014,16:35,000.69097,10617.691,09347.798
05/06/2014,16:45,000.69792,10621.646,09338.525
05/06/2014,16:55,000.70486,10635.044,09329.252
05/06/2014,17:05,000.71181,10645.381,09319.979
05/06/2014,17:15,000.71875,10645.381,09310.706
05/06/2014,17:25,000.72569,10625.701,09301.433
05/06/2014,17:35,000.73264,10617.663,09292.159
05/06/2014,17:45,000.73958,10625.701,09282.887
05/06/2014,17:55,000.74653,10617.663,09273.613
05/06/2014,18:05,000.75347,10617.851,09264.341
05/06/2014,18:15,000.76042,10599.247,09255.067
05/06/2014,18:25,000.76736,10617.851,09245.794
05/06/2014,18:35,000.77431,10602.449,09236.521
05/06/2014,18:45,000.78125,10602.449,09227.248
05/06/2014,18:55,000.78819,10590.542,09217.975
05/06/2014,19:05,000.79514,10581.124,09208.702
05/06/2014,19:15,000.80208,10590.542,09199.429
05/06/2014,19:25,000.80903,11840.707,09190.155
05/06/2014,19:35,000.81597,11923.019,09180.883
05/06/2014,19:45,000.82292,11840.707,09171.609
05/06/2014,19:55,000.82986,11801.453,09162.337
05/06/2014,20:05,000.83681,11781.583,09153.063
05/06/2014,20:15,000.84375,11720.546,09143.790
05/06/2014,20:25,000.85069,11575.906,09134.518
05/06/2014,20:35,000.85764,11215.371,09125.244
05/06/2014,20:45,000.86458,10060.983,09115.971
05/06/2014,20:55,000.87153,09800.433,09106.698
05/06/2014,21:05,000.87847,09776.115,09097.425
05/06/2014,21:15,000.88542,09753.494,09088.151
05/06/2014,21:25,000.89236,09700.063,09078.879
05/06/2014,21:35,000.89931,09685.316,09069.605
05/06/2014,21:45,000.90625,09620.998,09060.333
05/06/2014,21:55,000.91319,09573.904,09051.060
05/06/2014,22:05,000.92014,09495.012,09041.786
05/06/2014,22:15,000.92708,09418.128,09032.514
05/06/2014,22:25,000.93403,09361.778,09023.240
05/06/2014,22:35,000.94097,09297.080,09013.967
05/06/2014,22:45,000.94792,09237.206,09004.694
05/06/2014,22:55,000.95486,09213.062,08995.421
05/06/2014,23:05,000.96181,09118.921,08986.148
05/06/2014,23:15,000.96875,09079.753,08976.875
05/06/2014,23:25,000.97569,09041.248,08967.602
05/06/2014,23:35,000.98264,09010.582,08958.329
05/06/2014,23:45,000.98958,08981.999,08949.056
05/06/2014,23:55,000.99653,08981.999,08939.782
05/07/2014,00:05,001.00347,10052.625,08930.510
05/07/2014,00:15,001.01042,10291.858,08921.236
05/07/2014,00:25,001.01736,10291.858,08911.963
05/07/2014,00:35,001.02431,10231.109,08902.690
05/07/2014,00:45,001.03125,10202.298,08893.417
05/07/2014,00:55,001.03819,10171.116,08884.145
05/07/2014,01:05,001.04514,10127.794,08874.871
