LumiCycle: 20151109C3p_Env_13 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/10/2015,14:25,001.60069,00070.588,00058.274
11/10/2015,14:35,001.60764,00069.782,00058.270
11/10/2015,14:45,001.61458,00068.775,00058.266
11/10/2015,14:55,001.62153,00066.741,00058.262
11/10/2015,15:05,001.62847,00066.459,00058.258
11/10/2015,15:15,001.63542,00063.115,00058.255
11/10/2015,15:25,001.64236,00063.115,00058.251
11/10/2015,15:35,001.64931,00064.914,00058.247
11/10/2015,15:45,001.65625,00065.585,00058.243
11/10/2015,15:55,001.66319,00065.128,00058.239
11/10/2015,16:05,001.67014,00065.499,00058.235
11/10/2015,16:15,001.67708,00065.499,00058.231
11/10/2015,16:25,001.68403,00067.570,00058.227
11/10/2015,16:35,001.69097,00068.403,00058.223
11/10/2015,16:45,001.69792,00069.198,00058.220
11/10/2015,16:55,001.70486,00070.653,00058.216
11/10/2015,17:05,001.71181,00070.919,00058.212
11/10/2015,17:15,001.71875,00074.077,00058.208
11/10/2015,17:25,001.72569,00074.079,00058.204
11/10/2015,17:35,001.73264,00074.079,00058.200
11/10/2015,17:45,001.73958,00074.722,00058.196
11/10/2015,17:55,001.74653,00073.278,00058.192
11/10/2015,18:05,001.75347,00071.441,00058.188
11/10/2015,18:15,001.76042,00068.509,00058.185
11/10/2015,18:25,001.76736,00067.796,00058.181
11/10/2015,18:35,001.77431,00066.943,00058.177
11/10/2015,18:45,001.78125,00066.470,00058.173
11/10/2015,18:55,001.78819,00065.756,00058.169
11/10/2015,19:05,001.79514,00063.886,00058.165
11/10/2015,19:15,001.80208,00062.858,00058.161
11/10/2015,19:25,001.80903,00062.858,00058.157
11/10/2015,19:35,001.81597,00064.072,00058.153
11/10/2015,19:45,001.82292,00064.585,00058.150
11/10/2015,19:55,001.82986,00065.886,00058.146
11/10/2015,20:05,001.83681,00066.341,00058.142
11/10/2015,20:15,001.84375,00069.116,00058.138
11/10/2015,20:25,001.85069,00069.267,00058.134
11/10/2015,20:35,001.85764,00070.360,00058.130
11/10/2015,20:45,001.86458,00070.773,00058.126
11/10/2015,20:55,001.87153,00072.222,00058.122
11/10/2015,21:05,001.87847,00072.914,00058.119
11/10/2015,21:15,001.88542,00072.914,00058.115
11/10/2015,21:25,001.89236,00072.436,00058.111
11/10/2015,21:35,001.89931,00072.225,00058.107
11/10/2015,21:45,001.90625,00067.526,00058.103
11/10/2015,21:55,001.91319,00065.629,00058.099
11/10/2015,22:05,001.92014,00065.171,00058.095
11/10/2015,22:15,001.92708,00062.971,00058.091
11/10/2015,22:25,001.93403,00062.716,00058.087
11/10/2015,22:35,001.94097,00061.800,00058.084
11/10/2015,22:45,001.94792,00061.800,00058.080
11/10/2015,22:55,001.95486,00060.126,00058.076
11/10/2015,23:05,001.96181,00062.256,00058.072
11/10/2015,23:15,001.96875,00062.585,00058.068
11/10/2015,23:25,001.97569,00062.757,00058.064
11/10/2015,23:35,001.98264,00064.086,00058.060
11/10/2015,23:45,001.98958,00065.786,00058.056
11/10/2015,23:55,001.99653,00067.497,00058.052
11/11/2015,00:05,002.00347,00067.497,00058.049
11/11/2015,00:15,002.01042,00068.432,00058.045
11/11/2015,00:25,002.01736,00068.775,00058.041
11/11/2015,00:35,002.02431,00071.078,00058.037
11/11/2015,00:45,002.03125,00071.078,00058.033
11/11/2015,00:55,002.03819,00068.859,00058.029
11/11/2015,01:05,002.04514,00066.712,00058.025
11/11/2015,01:15,002.05208,00066.627,00058.021
11/11/2015,01:25,002.05903,00062.358,00058.017
11/11/2015,01:35,002.06597,00060.374,00058.014
11/11/2015,01:45,002.07292,00057.676,00058.010
11/11/2015,01:55,002.07986,00056.439,00058.006
11/11/2015,02:05,002.08681,00056.439,00058.002
11/11/2015,02:15,002.09375,00056.439,00057.998
11/11/2015,02:25,002.10069,00054.681,00057.994
11/11/2015,02:35,002.10764,00054.268,00057.990
11/11/2015,02:45,002.11458,00054.681,00057.986
11/11/2015,02:55,002.12153,00054.541,00057.983
11/11/2015,03:05,002.12847,00056.009,00057.979
11/11/2015,03:15,002.13542,00057.470,00057.975
11/11/2015,03:25,002.14236,00059.818,00057.971
11/11/2015,03:35,002.14931,00059.818,00057.967
11/11/2015,03:45,002.15625,00059.818,00057.963
11/11/2015,03:55,002.16319,00062.016,00057.959
11/11/2015,04:05,002.17014,00062.016,00057.955
11/11/2015,04:15,002.17708,00061.103,00057.951
11/11/2015,04:25,002.18403,00059.758,00057.948
11/11/2015,04:35,002.19097,00059.491,00057.944
11/11/2015,04:45,002.19792,00057.710,00057.940
11/11/2015,04:55,002.20486,00055.879,00057.936
11/11/2015,05:05,002.21181,00054.595,00057.932
11/11/2015,05:15,002.21875,00053.276,00057.928
11/11/2015,05:25,002.22569,00052.735,00057.924
11/11/2015,05:35,002.23264,00053.276,00057.920
11/11/2015,05:45,002.23958,00052.735,00057.916
11/11/2015,05:55,002.24653,00053.552,00057.913
11/11/2015,06:05,002.25347,00053.338,00057.909
11/11/2015,06:15,002.26042,00053.338,00057.905
11/11/2015,06:25,002.26736,00053.338,00057.901
11/11/2015,06:35,002.27431,00055.383,00057.897
11/11/2015,06:45,002.28125,00055.700,00057.893
11/11/2015,06:55,002.28819,00056.614,00057.889
11/11/2015,07:05,002.29514,00057.587,00057.885
11/11/2015,07:15,002.30208,00060.276,00057.881
11/11/2015,07:25,002.30903,00060.770,00057.878
11/11/2015,07:35,002.31597,00061.944,00057.874
11/11/2015,07:45,002.32292,00061.944,00057.870
11/11/2015,07:55,002.32986,00061.187,00057.866
11/11/2015,08:05,002.33681,00060.483,00057.862
11/11/2015,08:15,002.34375,00060.483,00057.858
11/11/2015,08:25,002.35069,00056.567,00057.854
11/11/2015,08:35,002.35764,00055.470,00057.850
11/11/2015,08:45,002.36458,00055.153,00057.847
11/11/2015,08:55,002.37153,00053.526,00057.843
11/11/2015,09:05,002.37847,00053.396,00057.839
11/11/2015,09:15,002.38542,00053.396,00057.835
11/11/2015,09:25,002.39236,00051.871,00057.831
11/11/2015,09:35,002.39931,00051.208,00057.827
11/11/2015,09:45,002.40625,00051.871,00057.823
11/11/2015,09:55,002.41319,00052.074,00057.819
11/11/2015,10:05,002.42014,00053.043,00057.815
11/11/2015,10:15,002.42708,00053.167,00057.812
11/11/2015,10:25,002.43403,00053.843,00057.808
11/11/2015,10:35,002.44097,00054.957,00057.804
11/11/2015,10:45,002.44792,00056.351,00057.800
11/11/2015,10:55,002.45486,00057.658,00057.796
11/11/2015,11:05,002.46181,00058.063,00057.792
11/11/2015,11:15,002.46875,00059.916,00057.788
11/11/2015,11:25,002.47569,00060.227,00057.784
11/11/2015,11:35,002.48264,00060.813,00057.780
11/11/2015,11:45,002.48958,00060.255,00057.777
11/11/2015,11:55,002.49653,00060.255,00057.773
11/11/2015,12:05,002.50347,00058.399,00057.769
11/11/2015,12:15,002.51042,00057.315,00057.765
11/11/2015,12:25,002.51736,00054.270,00057.761
11/11/2015,12:35,002.52431,00053.938,00057.757
11/11/2015,12:45,002.53125,00052.698,00057.753
11/11/2015,12:55,002.53819,00052.586,00057.749
11/11/2015,13:05,002.54514,00052.071,00057.745
11/11/2015,13:15,002.55208,00051.206,00057.742
11/11/2015,13:25,002.55903,00051.206,00057.738
11/11/2015,13:35,002.56597,00051.763,00057.734
11/11/2015,13:45,002.57292,00052.308,00057.730
11/11/2015,13:55,002.57986,00052.907,00057.726
11/11/2015,14:05,002.58681,00053.436,00057.722
11/11/2015,14:15,002.59375,00053.793,00057.718
11/11/2015,14:35,002.60764,00056.004,00057.711
11/11/2015,14:45,002.61458,00056.768,00057.707
11/11/2015,14:55,002.62153,00057.547,00057.703
11/11/2015,15:05,002.62847,00057.547,00057.699
11/11/2015,15:15,002.63542,00058.342,00057.695
11/11/2015,15:25,002.64236,00058.176,00057.691
11/11/2015,15:35,002.64931,00058.176,00057.687
11/11/2015,15:45,002.65625,00057.235,00057.683
11/11/2015,15:55,002.66319,00056.848,00057.679
11/11/2015,16:05,002.67014,00052.599,00057.676
11/11/2015,16:15,002.67708,00051.885,00057.672
11/11/2015,16:25,002.68403,00051.800,00057.668
11/11/2015,16:35,002.69097,00051.506,00057.664
11/11/2015,16:45,002.69792,00051.523,00057.660
11/11/2015,16:55,002.70486,00049.966,00057.656
11/11/2015,17:05,002.71181,00050.158,00057.652
11/11/2015,17:15,002.71875,00049.759,00057.648
11/11/2015,17:25,002.72569,00050.158,00057.644
11/11/2015,17:35,002.73264,00050.801,00057.641
