LumiCycle: 20151109C3p_Env_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/10/2015,14:31,001.60486,00070.437,00063.240
11/10/2015,14:41,001.61181,00070.437,00063.251
11/10/2015,14:51,001.61875,00068.009,00063.262
11/10/2015,15:01,001.62569,00067.053,00063.273
11/10/2015,15:11,001.63264,00066.806,00063.284
11/10/2015,15:21,001.63958,00063.843,00063.295
11/10/2015,15:31,001.64653,00061.851,00063.306
11/10/2015,15:41,001.65347,00061.851,00063.318
11/10/2015,15:51,001.66042,00063.299,00063.329
11/10/2015,16:01,001.66736,00063.299,00063.340
11/10/2015,16:11,001.67431,00063.656,00063.351
11/10/2015,16:21,001.68125,00063.814,00063.362
11/10/2015,16:31,001.68819,00063.814,00063.373
11/10/2015,16:41,001.69514,00064.959,00063.384
11/10/2015,16:51,001.70208,00066.877,00063.395
11/10/2015,17:01,001.70903,00066.881,00063.406
11/10/2015,17:11,001.71597,00067.425,00063.418
11/10/2015,17:21,001.72292,00067.739,00063.429
11/10/2015,17:31,001.72986,00070.669,00063.440
11/10/2015,17:41,001.73681,00071.796,00063.451
11/10/2015,17:51,001.74375,00071.826,00063.462
11/10/2015,18:01,001.75069,00071.796,00063.473
11/10/2015,18:11,001.75764,00066.721,00063.484
11/10/2015,18:21,001.76458,00064.774,00063.495
11/10/2015,18:31,001.77153,00064.229,00063.506
11/10/2015,18:41,001.77847,00062.283,00063.517
11/10/2015,18:51,001.78542,00062.283,00063.529
11/10/2015,19:01,001.79236,00061.467,00063.540
11/10/2015,19:11,001.79931,00062.066,00063.551
11/10/2015,19:21,001.80625,00060.651,00063.562
11/10/2015,19:31,001.81319,00062.066,00063.573
11/10/2015,19:41,001.82014,00062.982,00063.584
11/10/2015,19:51,001.82708,00063.011,00063.595
11/10/2015,20:01,001.83403,00063.900,00063.606
11/10/2015,20:11,001.84097,00064.272,00063.617
11/10/2015,20:21,001.84792,00066.276,00063.629
11/10/2015,20:31,001.85486,00066.718,00063.640
11/10/2015,20:41,001.86181,00067.938,00063.651
11/10/2015,20:51,001.86875,00068.787,00063.662
11/10/2015,21:01,001.87569,00069.555,00063.673
11/10/2015,21:11,001.88264,00071.266,00063.684
11/10/2015,21:21,001.88958,00071.266,00063.695
11/10/2015,21:31,001.89653,00070.077,00063.706
11/10/2015,21:41,001.90347,00069.632,00063.717
11/10/2015,21:51,001.91042,00065.892,00063.729
11/10/2015,22:01,001.91736,00064.129,00063.740
11/10/2015,22:11,001.92431,00063.857,00063.751
11/10/2015,22:21,001.93125,00060.365,00063.762
11/10/2015,22:31,001.93819,00060.129,00063.773
11/10/2015,22:41,001.94514,00059.732,00063.784
11/10/2015,22:51,001.95208,00059.621,00063.795
11/10/2015,23:01,001.95903,00059.621,00063.806
11/10/2015,23:11,001.96597,00060.462,00063.817
11/10/2015,23:21,001.97292,00061.350,00063.829
11/10/2015,23:31,001.97986,00061.623,00063.840
11/10/2015,23:41,001.98681,00061.964,00063.851
11/10/2015,23:51,001.99375,00064.243,00063.862
11/11/2015,00:01,002.00069,00065.390,00063.873
11/11/2015,00:11,002.00764,00065.949,00063.884
11/11/2015,00:21,002.01458,00066.320,00063.895
11/11/2015,00:31,002.02153,00068.100,00063.906
11/11/2015,00:41,002.02847,00070.025,00063.917
11/11/2015,00:51,002.03542,00070.025,00063.928
11/11/2015,01:01,002.04236,00067.053,00063.940
11/11/2015,01:11,002.04931,00065.689,00063.951
11/11/2015,01:21,002.05625,00064.687,00063.962
11/11/2015,01:31,002.06319,00062.454,00063.973
11/11/2015,01:41,002.07014,00061.044,00063.984
11/11/2015,01:51,002.07708,00059.205,00063.995
11/11/2015,02:01,002.08403,00059.191,00064.006
11/11/2015,02:11,002.09097,00059.191,00064.017
11/11/2015,02:21,002.09792,00059.188,00064.028
11/11/2015,02:31,002.10486,00058.631,00064.040
11/11/2015,02:41,002.11181,00058.631,00064.051
11/11/2015,02:51,002.11875,00058.927,00064.062
11/11/2015,03:01,002.12569,00060.578,00064.073
11/11/2015,03:11,002.13264,00062.453,00064.084
11/11/2015,03:21,002.13958,00062.581,00064.095
11/11/2015,03:31,002.14653,00064.444,00064.106
11/11/2015,03:41,002.15347,00065.360,00064.117
11/11/2015,03:51,002.16042,00066.638,00064.128
11/11/2015,04:01,002.16736,00067.182,00064.140
11/11/2015,04:11,002.17431,00069.109,00064.151
11/11/2015,04:21,002.18125,00069.109,00064.162
11/11/2015,04:31,002.18819,00069.117,00064.173
11/11/2015,04:41,002.19514,00069.109,00064.184
11/11/2015,04:51,002.20208,00066.250,00064.195
11/11/2015,05:01,002.20903,00066.178,00064.206
11/11/2015,05:11,002.21597,00062.325,00064.217
11/11/2015,05:21,002.22292,00059.715,00064.228
11/11/2015,05:31,002.22986,00059.646,00064.240
