LumiCycle: 20151109C3p_Env_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/10/2015,00:03,001.00208,00128.372,00097.603
11/10/2015,00:13,001.00903,00129.427,00097.585
11/10/2015,00:23,001.01597,00128.201,00097.567
11/10/2015,00:33,001.02292,00126.944,00097.550
11/10/2015,00:43,001.02986,00126.332,00097.532
11/10/2015,00:53,001.03681,00125.820,00097.514
11/10/2015,01:03,001.04375,00125.375,00097.496
11/10/2015,01:13,001.05069,00122.585,00097.478
11/10/2015,01:23,001.05764,00121.578,00097.460
11/10/2015,01:33,001.06458,00121.578,00097.443
11/10/2015,01:43,001.07153,00123.020,00097.425
11/10/2015,01:53,001.07847,00124.490,00097.407
11/10/2015,02:03,001.08542,00124.490,00097.389
11/10/2015,02:13,001.09236,00122.888,00097.371
11/10/2015,02:23,001.09931,00122.079,00097.353
11/10/2015,02:33,001.10625,00122.079,00097.335
11/10/2015,02:43,001.11319,00120.651,00097.318
11/10/2015,02:53,001.12014,00119.891,00097.300
11/10/2015,03:03,001.12708,00119.623,00097.282
11/10/2015,03:13,001.13403,00118.620,00097.264
11/10/2015,03:23,001.14097,00118.620,00097.246
11/10/2015,03:33,001.14792,00117.753,00097.228
11/10/2015,03:43,001.15486,00117.753,00097.210
11/10/2015,03:53,001.16181,00117.753,00097.193
11/10/2015,04:03,001.16875,00116.069,00097.175
11/10/2015,04:13,001.17569,00116.299,00097.157
11/10/2015,04:23,001.18264,00115.587,00097.139
11/10/2015,04:33,001.18958,00115.899,00097.121
11/10/2015,04:43,001.19653,00115.587,00097.103
11/10/2015,04:53,001.20347,00113.745,00097.085
11/10/2015,05:03,001.21042,00110.680,00097.068
11/10/2015,05:13,001.21736,00110.680,00097.050
11/10/2015,05:23,001.22431,00111.236,00097.032
11/10/2015,05:33,001.23125,00111.236,00097.014
11/10/2015,05:43,001.23819,00111.566,00096.996
11/10/2015,05:53,001.24514,00110.539,00096.978
11/10/2015,06:03,001.25208,00111.829,00096.960
11/10/2015,06:13,001.25903,00109.755,00096.943
11/10/2015,06:23,001.26597,00109.977,00096.925
11/10/2015,06:33,001.27292,00109.755,00096.907
11/10/2015,06:43,001.27986,00108.950,00096.889
11/10/2015,06:53,001.28681,00108.747,00096.871
11/10/2015,07:03,001.29375,00108.747,00096.853
11/10/2015,07:13,001.30069,00108.747,00096.835
11/10/2015,07:23,001.30764,00107.821,00096.818
11/10/2015,07:33,001.31458,00106.610,00096.800
11/10/2015,07:43,001.32153,00105.054,00096.782
