LumiCycle: 20151109C3p_Env_9 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
11/10/2015,14:33,001.60625,00066.828,00064.019
11/10/2015,14:43,001.61319,00068.120,00063.994
11/10/2015,14:53,001.62014,00068.939,00063.968
11/10/2015,15:03,001.62708,00069.958,00063.943
11/10/2015,15:13,001.63403,00070.336,00063.918
11/10/2015,15:23,001.64097,00070.336,00063.893
11/10/2015,15:33,001.64792,00073.747,00063.868
11/10/2015,15:43,001.65486,00074.006,00063.843
11/10/2015,15:53,001.66181,00075.230,00063.818
11/10/2015,16:03,001.66875,00076.475,00063.793
11/10/2015,16:13,001.67569,00076.886,00063.768
11/10/2015,16:23,001.68264,00078.067,00063.743
11/10/2015,16:33,001.68958,00078.370,00063.718
11/10/2015,16:43,001.69653,00078.067,00063.693
11/10/2015,16:53,001.70347,00073.789,00063.667
11/10/2015,17:03,001.71042,00071.946,00063.642
11/10/2015,17:13,001.71736,00071.720,00063.617
11/10/2015,17:23,001.72431,00069.513,00063.592
11/10/2015,17:33,001.73125,00067.592,00063.567
11/10/2015,17:43,001.73819,00066.868,00063.542
11/10/2015,17:53,001.74514,00066.511,00063.517
11/10/2015,18:03,001.75208,00066.511,00063.492
11/10/2015,18:13,001.75903,00066.141,00063.467
11/10/2015,18:23,001.76597,00066.026,00063.442
11/10/2015,18:33,001.77292,00066.141,00063.417
11/10/2015,18:43,001.77986,00067.897,00063.392
11/10/2015,18:53,001.78681,00068.006,00063.366
11/10/2015,19:03,001.79375,00069.567,00063.341
11/10/2015,19:13,001.80069,00071.064,00063.316
11/10/2015,19:23,001.80764,00072.265,00063.291
11/10/2015,19:33,001.81458,00073.408,00063.266
11/10/2015,19:43,001.82153,00075.477,00063.241
11/10/2015,19:53,001.82847,00075.758,00063.216
11/10/2015,20:03,001.83542,00075.559,00063.191
11/10/2015,20:13,001.84236,00075.559,00063.166
11/10/2015,20:23,001.84931,00073.180,00063.141
11/10/2015,20:33,001.85625,00073.119,00063.116
11/10/2015,20:43,001.86319,00069.510,00063.090
11/10/2015,20:53,001.87014,00067.421,00063.065
11/10/2015,21:03,001.87708,00065.342,00063.040
11/10/2015,21:13,001.88403,00065.342,00063.015
11/10/2015,21:23,001.89097,00065.342,00062.990
11/10/2015,21:33,001.89792,00065.056,00062.965
11/10/2015,21:43,001.90486,00065.056,00062.940
11/10/2015,21:53,001.91181,00065.199,00062.915
11/10/2015,22:03,001.91875,00065.556,00062.890
11/10/2015,22:13,001.92569,00066.840,00062.865
11/10/2015,22:23,001.93264,00067.784,00062.840
11/10/2015,22:33,001.93958,00068.795,00062.815
11/10/2015,22:43,001.94653,00069.806,00062.789
11/10/2015,22:53,001.95347,00072.120,00062.764
11/10/2015,23:03,001.96042,00072.348,00062.739
11/10/2015,23:13,001.96736,00074.541,00062.714
11/10/2015,23:23,001.97431,00075.739,00062.689
11/10/2015,23:33,001.98125,00075.739,00062.664
