LumiCycle: 20151113C3p_4 (Raw),,,,
Date,Time (hr:min),Time (days),counts/sec, 
Baseline,,,,
11/15/2015,2:20,2.09722,103.873,13.481
11/15/2015,2:30,2.10417,103.873,13.95
11/15/2015,2:40,2.11111,103.49,14.418
11/15/2015,2:50,2.11806,103.49,14.886
11/15/2015,3:00,2.125,103.643,15.354
11/15/2015,3:10,2.13194,103.643,15.823
11/15/2015,3:20,2.13889,103.902,16.291
11/15/2015,3:30,2.14583,101.286,16.759
11/15/2015,3:40,2.15278,100.257,17.228
11/15/2015,3:50,2.15972,98.729,17.696
11/15/2015,4:00,2.16667,97.129,18.164
11/15/2015,4:10,2.17361,95.614,18.633
11/15/2015,4:20,2.18056,92.481,19.101
11/15/2015,4:30,2.1875,91.824,19.569
11/15/2015,4:40,2.19444,88.6,20.038
11/15/2015,4:50,2.20139,88.6,20.506
11/15/2015,5:00,2.20833,88.814,20.974
11/15/2015,5:10,2.21528,88.814,21.442
11/15/2015,5:20,2.22222,87.9,21.911
11/15/2015,5:30,2.22917,87.684,22.379
11/15/2015,5:40,2.23611,87.327,22.847
11/15/2015,5:50,2.24306,87.327,23.316
11/15/2015,6:00,2.25,89.643,23.784
11/15/2015,6:10,2.25694,93.614,24.252
11/15/2015,6:20,2.26389,94.529,24.721
11/15/2015,6:30,2.27083,97.32,25.189
11/15/2015,6:40,2.27778,98.057,25.657
11/15/2015,6:50,2.28472,99.557,26.126
11/15/2015,7:00,2.29167,99.6,26.594
11/15/2015,7:10,2.29861,102.474,27.062
11/15/2015,7:20,2.30556,102.474,27.531
11/15/2015,7:30,2.3125,100.076,27.999
11/15/2015,7:40,2.31944,99.847,28.467
11/15/2015,7:50,2.32639,99.348,28.935
11/15/2015,8:00,2.33333,99.076,29.404
11/15/2015,8:10,2.34028,96.292,29.872
11/15/2015,8:20,2.34722,92.938,30.34
11/15/2015,8:30,2.35417,91.648,30.809
11/15/2015,8:40,2.36111,89.9,31.277
11/15/2015,8:50,2.36806,89.394,31.745
11/15/2015,9:00,2.375,87.114,32.214
11/15/2015,9:10,2.38194,85.029,32.682
11/15/2015,9:20,2.38889,85.029,33.15
11/15/2015,9:30,2.39583,85.543,33.619
11/15/2015,9:40,2.40278,85.543,34.087
11/15/2015,9:50,2.40972,84.986,34.555
11/15/2015,10:00,2.41667,84.857,35.023
11/15/2015,10:10,2.42361,84.986,35.492
11/15/2015,10:20,2.43056,88.486,35.96
11/15/2015,10:30,2.4375,89.783,36.428
11/15/2015,10:40,2.44444,91.543,36.897
11/15/2015,10:50,2.45139,92.01,37.365
11/15/2015,11:00,2.45833,95.1,37.833
11/15/2015,11:10,2.46528,96.021,38.302
11/15/2015,11:20,2.47222,96.978,38.77
11/15/2015,11:30,2.47917,96.921,39.238
11/15/2015,11:40,2.48611,96.921,39.707
11/15/2015,11:50,2.49306,95.878,40.175
11/15/2015,12:00,2.5,94.286,40.643
11/15/2015,12:10,2.50694,93.209,41.111
11/15/2015,12:20,2.51389,91.374,41.58
11/15/2015,12:30,2.52083,88.557,42.048
11/15/2015,12:40,2.52778,85.086,42.516
11/15/2015,12:50,2.53472,84.271,42.985
11/15/2015,13:00,2.54167,83.872,43.453
11/15/2015,13:10,2.54861,82.802,43.921
11/15/2015,13:20,2.55556,82.7,44.39
11/15/2015,13:30,2.5625,80.986,44.858
11/15/2015,13:40,2.56944,80.929,45.326
11/15/2015,13:50,2.57639,80.574,45.795
11/15/2015,14:00,2.58333,80.574,46.263
11/15/2015,14:10,2.59028,81.16,46.731
11/15/2015,14:20,2.59722,83.516,47.2
