Vehicle,FCCP,DmKG,OligA
25.1860305,28.62107136,28.49567496,33.72174295
25.83293429,28.69825824,28.2674672,33.51857601
25.414223,28.6813231,28.48275964,33.37945806
25.32763975,28.52085194,28.42036012,33.0067063
25.57948751,28.4302083,28.03707983,33.70542449
25.39453077,28.48502698,28.10418538,33.40369469
25.80189358,28.700621,27.95087601,33.65305877
25.53828465,28.60483863,27.73007481,33.53075065
25.36145632,28.73793792,27.97507524,33.58123152
25.51270832,28.90531441,28.22905534,32.98067989
25.87859274,28.707892,28.00116451,33.18109822
25.64387247,28.39954549,28.033665,33.1105868
25.48198935,28.56050352,27.93797996,33.25684604
25.4587186,28.4210766,27.64518114,32.99003838
25.42014413,28.62492157,27.79427439,32.99926313
25.28823528,28.21333242,27.96020929,32.98725409
25.39479779,29.00090948,27.72422501,32.89268473
25.28251596,28.55723076,28.28217468,33.07571694
25.33858493,28.70043098,27.91099237,33.26080125
25.7470532,23.10547786,29.70291748,32.76953661
26.93035433,22.68109992,29.65490135,32.51328794
26.83862412,22.38773311,29.31390496,32.2711376
26.52429084,22.10405445,29.22464607,32.22096709
26.70805236,21.4883156,29.59207647,32.1151462
26.05712772,21.52650851,29.04269732,32.07031419
25.77564391,21.26299402,29.21707191,32.28989589
25.92760183,21.17538915,29.34626808,32.33526478
25.82447634,20.84368695,28.84256894,32.6424589
25.87579656,20.78277758,29.48075741,32.20171189
25.56646488,21.05171968,29.37978041,32.4622321
25.33057342,20.76265394,29.14559484,32.60016706
25.99718648,20.43444277,30.06090274,32.80305412
25.72845428,20.26078153,29.34788628,32.78708776
25.44498774,20.20269894,29.9195659,33.18383213
25.68404511,20.49932402,29.66530573,32.56403201
25.63852568,19.78702277,30.41165238,34.03711902
25.1647147,20.09728603,29.14940333,33.59584977
25.27764743,19.93027422,29.86081287,33.81631569
25.44073195,19.88979757,29.77853046,33.93682059
25.90557612,19.55853577,29.82740965,34.18050216
25.4229851,19.70867239,29.85019881,34.57212242
25.67814959,19.58209054,29.63481785,34.73749693
25.66073036,19.66567704,29.68680962,34.87697961
25.57919571,19.42867827,29.95649684,34.55666706
25.80163334,19.34389406,30.15959862,35.27610099
25.7300542,19.39720295,30.01489479,35.16730696
25.76117642,19.19506584,30.50991876,35.18869318
25.61618625,19.3956149,29.79719304,35.71353783
25.70821167,19.47992374,30.79985371,35.92647896
25.47312338,19.00429483,30.03029097,35.93685625
25.39249598,19.33976095,30.39497413,35.62090153
25.44002275,19.20995013,30.19908452,36.72737465
25.42442757,18.99982348,30.52512876,35.97615543
25.8723813,19.17023432,30.5261153,36.12891682
25.60131225,18.9684047,30.18834914,36.3016374
25.56047537,19.1265462,30.78665704,37.21650256
25.45552891,19.03109224,30.73841883,36.63456341
25.60965878,18.9209143,30.77038412,36.74293503
26.06368664,18.76633826,30.92403425,37.43047319
25.73074082,18.81591161,30.83701206,37.46065481
25.97270733,18.89369164,31.16278191,37.05385798
25.45240847,19.02697014,30.6003411,37.6390676
25.85400453,18.83736152,31.12149193,37.9382791
25.68032791,18.57742051,30.89634657,38.44434333
25.5166299,18.76884068,31.11773621,38.42126688
25.37851088,18.90806687,31.18854372,37.86293197
25.76791831,18.76654532,30.98485148,38.47362932
25.66283015,18.61845023,31.32094235,38.8339669
25.8611972,18.56949058,31.24717429,38.91214837
25.60552211,18.57097656,31.16069664,39.32571097
25.51734436,18.45628404,31.323817,39.33157552
25.44969495,18.97437011,31.66455514,39.34457224
25.74247649,18.60603478,31.40362974,39.65531548
25.66037402,18.55192801,31.7133581,39.99752537
25.73697606,18.62137537,31.75235089,39.58696773
25.72434505,18.6666377,31.53308736,40.16332224
25.39049826,18.57654826,31.24192986,39.53275896
25.30890621,18.69850461,31.85854125,40.0063005
25.78913642,18.39988461,31.74913033,40.04734905
25.52346441,18.45402679,31.70699506,40.23801647
25.87548851,18.41551915,32.20785528,40.27560912
25.41329554,18.24682462,32.00214084,40.31229816
25.7919606,18.38042986,31.86847116,40.78576147
25.77757664,18.70534887,31.6375717,40.51571453
25.81770539,18.54907539,31.69887606,41.09299301
25.46401197,18.48281928,32.43409137,41.1962934
25.461245,18.29532816,32.05569547,41.3934323
25.5030436,18.58453777,32.54256581,41.42448978
25.66152328,18.5624268,32.74604784,41.60231639
25.48495888,18.61075215,32.30216094,41.62659517
25.7119342,18.43329975,32.36341642,42.07415719
25.88417656,18.36261034,32.35366937,42.08509015
25.3492513,18.52533453,32.53184573,41.90320976
25.74034473,18.46164508,32.54925139,42.6733057
25.45901753,18.5838165,32.31937536,42.45930271
25.48107018,18.49634763,32.73039606,42.27312701
25.64125176,18.274741,33.23244508,42.47299535
25.57942543,18.5151599,32.8238875,42.83079739
25.55114499,18.68232381,32.79608358,42.93103206
25.884284,18.13352847,32.79378294,42.99564377
25.39456373,18.53436936,32.70557628,43.33058403
25.61566685,18.5017113,33.21031223,43.72363466
25.36057087,18.36414275,32.74963966,42.92788013
25.63641007,18.41201439,32.75395878,43.46850163
25.73199963,18.4261282,33.44695518,44.04474668
25.65059345,18.7797155,33.43010355,44.25380623
25.55215904,18.81563821,33.50759568,43.56833181
25.33912864,18.42396869,33.25964365,44.07208527
25.53608205,18.3337317,33.44483743,44.12063546
25.76983182,18.5725727,34.09287507,44.56277612
25.47193732,18.57637163,34.13357241,44.38057188
25.57025909,18.54722978,34.07318785,44.41124209
25.32365528,18.4852162,34.16388331,44.59799898
25.44117066,18.67248607,34.84594225,45.27915005
25.73511839,18.79893695,34.04456536,44.94793764
25.71940853,18.75594424,35.01485442,45.18854286
25.38924075,18.60343034,35.00432184,45.50068548
25.79963922,18.51693398,35.71473376,45.28966872
25.5744739,18.66480231,35.54123713,44.92256366
25.4822153,18.54529514,35.52041054,45.38471609
25.4413424,18.60688911,35.98135286,45.74891887
25.95582273,18.75418627,35.42074841,45.19297312
25.59980741,18.76196812,36.10534775,46.15358993
25.35455176,18.53235204,36.63518741,46.00870263
25.92051552,18.79797071,36.64471036,45.86340359
25.94363836,18.64086885,36.55363745,46.12711692
25.53893194,18.73816046,36.45756831,47.1283286
25.72460896,18.80647195,36.94969182,46.58348713
25.39310499,18.75844897,36.61190614,46.57744522
25.53355324,18.6944327,37.21945201,46.76777853
25.2865265,18.95915625,37.32985911,47.09898212
