LumiCycle: 2013-4-16WT$CLIH-DH+CNP_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/16/2013,11:50,000.49306,01949.435,01572.750
04/16/2013,12:00,000.50000,02020.902,01571.791
04/16/2013,12:10,000.50694,02076.006,01570.831
04/16/2013,12:20,000.51389,02148.171,01569.871
04/16/2013,12:30,000.52083,02194.818,01568.911
04/16/2013,12:40,000.52778,02247.056,01567.952
04/16/2013,12:50,000.53472,02275.422,01566.992
04/16/2013,13:00,000.54167,02275.422,01566.032
04/16/2013,13:10,000.54861,02240.582,01565.072
04/16/2013,13:20,000.55556,02156.957,01564.113
04/16/2013,13:30,000.56250,02143.188,01563.153
04/16/2013,13:40,000.56944,02127.510,01562.193
04/16/2013,13:50,000.57639,02110.852,01561.233
04/16/2013,14:00,000.58333,02107.456,01560.273
04/16/2013,14:10,000.59028,02101.177,01559.314
04/16/2013,14:20,000.59722,02097.961,01558.354
04/16/2013,14:30,000.60417,02094.583,01557.394
04/16/2013,14:40,000.61111,02089.969,01556.434
04/16/2013,14:50,000.61806,02085.026,01555.475
04/16/2013,15:00,000.62500,02085.026,01554.515
04/16/2013,15:10,000.63194,02076.670,01553.555
04/16/2013,15:20,000.63889,02076.670,01552.595
04/16/2013,15:30,000.64583,02065.639,01551.635
04/16/2013,15:40,000.65278,02064.269,01550.676
04/16/2013,15:50,000.65972,02064.269,01549.716
04/16/2013,16:00,000.66667,02066.059,01548.756
04/16/2013,16:10,000.67361,02066.059,01547.796
04/16/2013,16:20,000.68056,02067.900,01546.837
04/16/2013,16:30,000.68750,02065.107,01545.877
04/16/2013,16:40,000.69444,02053.022,01544.917
04/16/2013,16:50,000.70139,02052.362,01543.957
04/16/2013,17:00,000.70833,02052.362,01542.998
04/16/2013,17:10,000.71528,02130.759,01542.038
04/16/2013,17:20,000.72222,02155.989,01541.078
04/16/2013,17:30,000.72917,02159.346,01540.118
04/16/2013,17:40,000.73611,02172.164,01539.159
04/16/2013,17:50,000.74306,02175.829,01538.199
04/16/2013,18:00,000.75000,02172.164,01537.239
04/16/2013,18:10,000.75694,02161.719,01536.279
04/16/2013,18:20,000.76389,02147.070,01535.319
04/16/2013,18:30,000.77083,02142.751,01534.360
04/16/2013,18:40,000.77778,02112.547,01533.400
04/16/2013,18:50,000.78472,02058.295,01532.440
04/16/2013,19:00,000.79167,01938.096,01531.480
04/16/2013,19:10,000.79861,01823.603,01530.521
04/16/2013,19:20,000.80556,01788.052,01529.561
04/16/2013,19:30,000.81250,01761.373,01528.601
04/16/2013,19:40,000.81944,01752.923,01527.641
04/16/2013,19:50,000.82639,01733.842,01526.682
04/16/2013,20:00,000.83333,01726.089,01525.722
04/16/2013,20:10,000.84028,01713.186,01524.762
04/16/2013,20:20,000.84722,01713.174,01523.802
04/16/2013,20:30,000.85417,01704.251,01522.842
04/16/2013,20:40,000.86111,01704.153,01521.883
04/16/2013,20:50,000.86806,01696.744,01520.923
04/16/2013,21:00,000.87500,01692.764,01519.963
04/16/2013,21:10,000.88194,01695.864,01519.003
04/16/2013,21:20,000.88889,01692.764,01518.044
04/16/2013,21:30,000.89583,01681.026,01517.084
04/16/2013,21:40,000.90278,01679.922,01516.124
04/16/2013,21:50,000.90972,01677.205,01515.164
04/16/2013,22:00,000.91667,01663.567,01514.204
04/16/2013,22:10,000.92361,01661.264,01513.245
04/16/2013,22:20,000.93056,01655.423,01512.285
04/16/2013,22:30,000.93750,01646.867,01511.325
04/16/2013,22:40,000.94444,01635.327,01510.365
04/16/2013,22:50,000.95139,01620.393,01509.406
04/16/2013,23:00,000.95833,01610.738,01508.446
04/16/2013,23:10,000.96528,01606.444,01507.486
04/16/2013,23:20,000.97222,01604.220,01506.526
04/16/2013,23:30,000.97917,01589.937,01505.567
04/16/2013,23:40,000.98611,01589.127,01504.607
04/16/2013,23:50,000.99306,01589.127,01503.647
04/16/2013,00:00,001.00000,01654.909,01502.687
04/17/2013,00:10,001.00694,01675.091,01501.728
04/17/2013,00:20,001.01389,01700.667,01500.768
04/17/2013,00:30,001.02083,01700.667,01499.808
04/17/2013,00:40,001.02778,01686.245,01498.848
04/17/2013,00:50,001.03472,01667.591,01497.888
04/17/2013,01:00,001.04167,01660.386,01496.929
04/17/2013,01:10,001.04861,01660.386,01495.969
04/17/2013,01:20,001.05556,01659.603,01495.009
04/17/2013,01:30,001.06250,01656.317,01494.049
04/17/2013,01:40,001.06944,01655.024,01493.090
04/17/2013,01:50,001.07639,01643.580,01492.130
04/17/2013,02:00,001.08333,01551.202,01491.170
04/17/2013,02:10,001.09028,01459.633,01490.210
04/17/2013,02:20,001.09722,01435.120,01489.250
04/17/2013,02:30,001.10417,01423.249,01488.291
04/17/2013,02:40,001.11111,01407.931,01487.331
04/17/2013,02:50,001.11806,01406.782,01486.371
04/17/2013,03:00,001.12500,01400.681,01485.411
04/17/2013,03:10,001.13194,01396.165,01484.452
04/17/2013,03:20,001.13889,01394.788,01483.492
04/17/2013,03:30,001.14583,01394.788,01482.532
04/17/2013,03:40,001.15278,01399.313,01481.572
04/17/2013,03:50,001.15972,01407.939,01480.613
04/17/2013,04:00,001.16667,01411.042,01479.653
04/17/2013,04:10,001.17361,01421.777,01478.693
04/17/2013,04:20,001.18056,01428.239,01477.733
04/17/2013,04:30,001.18750,01430.707,01476.773
04/17/2013,04:40,001.19444,01437.572,01475.814
04/17/2013,04:50,001.20139,01439.148,01474.854
04/17/2013,05:00,001.20833,01439.919,01473.894
04/17/2013,05:10,001.21528,01449.107,01472.934
04/17/2013,05:20,001.22222,01449.107,01471.975
04/17/2013,05:30,001.22917,01449.107,01471.015
04/17/2013,05:40,001.23611,01449.177,01470.055
04/17/2013,05:50,001.24306,01449.177,01469.095
04/17/2013,06:00,001.25000,01443.154,01468.136
04/17/2013,06:10,001.25694,01439.663,01467.176
