LumiCycle: 2013-4-16WT$CLIH-DH+FCNP_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/16/2013,11:45,000.48958,02197.425,02050.121
04/16/2013,11:55,000.49653,02221.626,02049.174
04/16/2013,12:05,000.50347,02234.658,02048.227
04/16/2013,12:15,000.51042,02275.579,02047.279
04/16/2013,12:25,000.51736,02317.272,02046.332
04/16/2013,12:35,000.52431,02356.852,02045.384
04/16/2013,12:45,000.53125,02398.203,02044.437
04/16/2013,12:55,000.53819,02429.070,02043.490
04/16/2013,13:05,000.54514,02439.549,02042.542
04/16/2013,13:15,000.55208,02449.226,02041.595
04/16/2013,13:25,000.55903,02449.226,02040.648
04/16/2013,13:35,000.56597,02302.353,02039.700
04/16/2013,13:45,000.57292,02257.313,02038.753
04/16/2013,13:55,000.57986,02236.978,02037.805
04/16/2013,14:05,000.58681,02228.648,02036.858
04/16/2013,14:15,000.59375,02227.377,02035.911
04/16/2013,14:25,000.60069,02228.648,02034.963
04/16/2013,14:35,000.60764,02232.704,02034.016
04/16/2013,14:45,000.61458,02247.392,02033.069
04/16/2013,14:55,000.62153,02250.551,02032.121
04/16/2013,15:05,000.62847,02263.031,02031.174
04/16/2013,15:15,000.63542,02268.725,02030.227
04/16/2013,15:25,000.64236,02273.530,02029.279
04/16/2013,15:35,000.64931,02292.302,02028.332
04/16/2013,15:45,000.65625,02293.145,02027.385
04/16/2013,15:55,000.66319,02317.052,02026.437
04/16/2013,16:15,000.67708,02320.800,02024.542
04/16/2013,16:25,000.68403,02323.899,02023.595
04/16/2013,16:35,000.69097,02330.629,02022.648
04/16/2013,16:45,000.69792,02336.414,02021.700
04/16/2013,16:55,000.70486,02341.069,02020.753
04/16/2013,17:05,000.71181,02341.069,02019.806
04/16/2013,17:15,000.71875,02330.396,02018.858
04/16/2013,17:25,000.72569,02328.765,02017.911
04/16/2013,17:35,000.73264,02326.281,02016.964
04/16/2013,17:45,000.73958,02326.281,02016.016
04/16/2013,17:55,000.74653,02326.281,02015.069
04/16/2013,18:05,000.75347,02323.409,02014.121
04/16/2013,18:15,000.76042,02323.409,02013.174
04/16/2013,18:25,000.76736,02328.850,02012.227
04/16/2013,18:35,000.77431,02340.763,02011.279
04/16/2013,18:45,000.78125,02340.763,02010.332
04/16/2013,18:55,000.78819,02331.793,02009.385
04/16/2013,19:05,000.79514,02331.793,02008.437
04/16/2013,19:15,000.80208,02358.993,02007.490
