LumiCycle: 2013-4-16WT$CLIH-DH+FCN_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/16/2013,11:47,000.49097,01784.821,01837.877
04/16/2013,11:57,000.49792,01893.547,01837.062
04/16/2013,12:07,000.50486,02012.574,01836.246
04/16/2013,12:17,000.51181,02110.884,01835.431
04/16/2013,12:27,000.51875,02186.437,01834.615
04/16/2013,12:37,000.52569,02243.718,01833.800
04/16/2013,12:47,000.53264,02322.746,01832.985
04/16/2013,12:57,000.53958,02353.721,01832.169
04/16/2013,13:07,000.54653,02353.721,01831.354
04/16/2013,13:17,000.55347,02325.376,01830.538
04/16/2013,13:27,000.56042,02227.249,01829.723
04/16/2013,13:37,000.56736,02199.291,01828.907
04/16/2013,13:47,000.57431,02180.104,01828.092
04/16/2013,13:57,000.58125,02179.020,01827.277
04/16/2013,14:07,000.58819,02175.925,01826.461
04/16/2013,14:17,000.59514,02175.925,01825.646
04/16/2013,14:27,000.60208,02177.489,01824.830
04/16/2013,14:37,000.60903,02181.894,01824.015
04/16/2013,14:47,000.61597,02181.894,01823.200
04/16/2013,14:57,000.62292,02186.966,01822.384
04/16/2013,15:07,000.62986,02190.446,01821.569
04/16/2013,15:17,000.63681,02199.096,01820.753
04/16/2013,15:27,000.64375,02200.272,01819.938
04/16/2013,15:37,000.65069,02201.582,01819.123
04/16/2013,15:47,000.65764,02206.103,01818.307
04/16/2013,15:57,000.66458,02208.830,01817.492
04/16/2013,16:07,000.67153,02206.103,01816.676
04/16/2013,16:17,000.67847,02208.830,01815.861
04/16/2013,16:27,000.68542,02202.064,01815.046
04/16/2013,16:37,000.69236,02202.064,01814.230
04/16/2013,16:47,000.69931,02194.698,01813.415
04/16/2013,16:57,000.70625,02188.844,01812.599
04/16/2013,17:07,000.71319,02183.196,01811.784
04/16/2013,17:17,000.72014,02180.575,01810.969
04/16/2013,17:27,000.72708,02180.575,01810.153
04/16/2013,17:37,000.73403,02178.574,01809.338
04/16/2013,17:47,000.74097,02177.799,01808.522
04/16/2013,17:57,000.74792,02162.322,01807.707
04/16/2013,18:07,000.75486,02162.322,01806.891
04/16/2013,18:17,000.76181,02177.181,01806.076
04/16/2013,18:27,000.76875,02180.486,01805.261
04/16/2013,18:37,000.77569,02201.500,01804.445
04/16/2013,18:47,000.78264,02231.223,01803.630
04/16/2013,18:57,000.78958,02269.747,01802.814
04/16/2013,19:07,000.79653,02274.171,01801.999
04/16/2013,19:17,000.80347,02269.747,01801.184
04/16/2013,19:27,000.81042,02268.295,01800.368
04/16/2013,19:37,000.81736,02233.613,01799.553
04/16/2013,19:47,000.82431,02205.852,01798.737
04/16/2013,19:57,000.83125,02151.962,01797.922
04/16/2013,20:07,000.83819,02017.602,01797.107
04/16/2013,20:17,000.84514,01957.627,01796.291
04/16/2013,20:27,000.85208,01951.514,01795.476
04/16/2013,20:37,000.85903,01947.965,01794.660
04/16/2013,20:47,000.86597,01929.206,01793.845
04/16/2013,20:57,000.87292,01929.041,01793.029
04/16/2013,21:07,000.87986,01928.091,01792.214
04/16/2013,21:17,000.88681,01928.512,01791.399
04/16/2013,21:27,000.89375,01928.091,01790.583
04/16/2013,21:37,000.90069,01916.108,01789.768
04/16/2013,21:47,000.90764,01916.108,01788.952
04/16/2013,21:57,000.91458,01920.233,01788.137
04/16/2013,22:07,000.92153,01921.073,01787.322
04/16/2013,22:17,000.92847,01921.073,01786.506
04/16/2013,22:27,000.93542,01918.939,01785.691
04/16/2013,22:37,000.94236,01917.352,01784.875
04/16/2013,22:47,000.94931,01918.629,01784.060
04/16/2013,22:57,000.95625,01918.120,01783.245
04/16/2013,23:07,000.96319,01918.120,01782.429
04/16/2013,23:17,000.97014,01918.120,01781.614
04/16/2013,23:27,000.97708,01912.303,01780.798
04/16/2013,23:37,000.98403,01910.200,01779.983
04/16/2013,23:47,000.99097,01909.748,01779.167
04/16/2013,23:57,000.99792,01893.915,01778.352
04/17/2013,00:07,001.00486,01891.915,01777.537
04/17/2013,00:17,001.01181,01893.915,01776.721
04/17/2013,00:27,001.01875,01891.915,01775.906
04/17/2013,00:37,001.02569,01893.918,01775.090
04/17/2013,00:47,001.03264,01901.588,01774.275
04/17/2013,00:57,001.03958,01902.703,01773.460
04/17/2013,01:07,001.04653,01907.890,01772.644
04/17/2013,01:17,001.05347,01934.070,01771.829
04/17/2013,01:27,001.06042,02042.947,01771.013
04/17/2013,01:37,001.06736,02045.328,01770.198
04/17/2013,01:47,001.07431,02042.947,01769.383
04/17/2013,01:57,001.08125,02029.455,01768.567
04/17/2013,02:07,001.08819,02029.455,01767.752
04/17/2013,02:17,001.09514,02029.839,01766.936
04/17/2013,02:27,001.10208,02029.839,01766.121
04/17/2013,02:37,001.10903,02006.090,01765.306
04/17/2013,02:47,001.11597,01893.764,01764.490
04/17/2013,02:57,001.12292,01765.723,01763.675
04/17/2013,03:07,001.12986,01738.383,01762.859
04/17/2013,03:17,001.13681,01735.365,01762.044
04/17/2013,03:27,001.14375,01723.707,01761.229
04/17/2013,03:37,001.15069,01723.262,01760.413
04/17/2013,03:47,001.15764,01723.262,01759.598
04/17/2013,03:57,001.16458,01717.153,01758.782
04/17/2013,04:07,001.17153,01724.202,01757.967
04/17/2013,04:17,001.17847,01725.348,01757.151
04/17/2013,04:27,001.18542,01731.856,01756.336
