LumiCycle: 2013-4-16WT$CLIH-DH+FCP_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/16/2013,11:46,000.49028,01954.608,01073.062
04/16/2013,11:56,000.49722,02009.197,01074.828
04/16/2013,12:06,000.50417,02078.069,01076.593
04/16/2013,12:16,000.51111,02111.135,01078.359
04/16/2013,12:26,000.51806,02160.855,01080.124
04/16/2013,12:36,000.52500,02176.013,01081.890
04/16/2013,12:46,000.53194,02176.013,01083.655
04/16/2013,12:56,000.53889,02155.717,01085.421
04/16/2013,13:06,000.54583,02130.274,01087.186
04/16/2013,13:16,000.55278,02083.817,01088.952
04/16/2013,13:26,000.55972,01991.388,01090.718
04/16/2013,13:36,000.56667,01921.523,01092.483
04/16/2013,13:46,000.57361,01854.455,01094.249
04/16/2013,13:56,000.58056,01819.544,01096.014
04/16/2013,14:06,000.58750,01780.714,01097.780
04/16/2013,14:16,000.59444,01761.469,01099.545
04/16/2013,14:26,000.60139,01751.995,01101.311
04/16/2013,14:36,000.60833,01736.681,01103.076
04/16/2013,14:46,000.61528,01730.436,01104.842
04/16/2013,14:56,000.62222,01711.502,01106.607
04/16/2013,15:06,000.62917,01709.775,01108.373
04/16/2013,15:16,000.63611,01699.913,01110.139
04/16/2013,15:26,000.64306,01698.313,01111.904
04/16/2013,15:36,000.65000,01693.647,01113.670
04/16/2013,15:46,000.65694,01688.352,01115.435
04/16/2013,15:56,000.66389,01688.352,01117.201
04/16/2013,16:16,000.67778,01694.948,01120.732
04/16/2013,16:26,000.68472,01694.997,01122.497
04/16/2013,16:36,000.69167,01700.453,01124.263
04/16/2013,16:46,000.69861,01704.019,01126.029
04/16/2013,16:56,000.70556,01704.019,01127.794
04/16/2013,17:06,000.71250,01725.333,01129.560
04/16/2013,17:16,000.71944,01725.333,01131.325
04/16/2013,17:26,000.72639,01725.333,01133.091
04/16/2013,17:36,000.73333,01737.257,01134.856
04/16/2013,17:46,000.74028,01738.117,01136.622
04/16/2013,17:56,000.74722,01743.112,01138.387
04/16/2013,18:06,000.75417,01754.876,01140.153
04/16/2013,18:16,000.76111,01754.876,01141.919
04/16/2013,18:26,000.76806,01740.096,01143.684
04/16/2013,18:36,000.77500,01735.263,01145.450
04/16/2013,18:46,000.78194,01723.332,01147.215
04/16/2013,18:56,000.78889,01652.119,01148.981
04/16/2013,19:06,000.79583,01632.828,01150.746
04/16/2013,19:16,000.80278,01601.734,01152.512
04/16/2013,19:26,000.80972,01598.194,01154.277
04/16/2013,19:36,000.81667,01589.016,01156.043
04/16/2013,19:46,000.82361,01586.591,01157.809
04/16/2013,19:56,000.83056,01581.006,01159.574
04/16/2013,20:06,000.83750,01570.952,01161.340
04/16/2013,20:16,000.84444,01570.952,01163.105
04/16/2013,20:26,000.85139,01571.371,01164.871
