LumiCycle: 2013-4-16WT$CLIH-DH+FNP_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/16/2013,11:48,000.49167,01902.291,01890.855
04/16/2013,11:58,000.49861,02003.849,01889.703
04/16/2013,12:08,000.50556,02071.674,01888.552
04/16/2013,12:18,000.51250,02148.013,01887.400
04/16/2013,12:28,000.51944,02223.837,01886.248
04/16/2013,12:38,000.52639,02278.403,01885.097
04/16/2013,12:48,000.53333,02349.122,01883.945
04/16/2013,12:58,000.54028,02361.154,01882.793
04/16/2013,13:08,000.54722,02380.909,01881.642
04/16/2013,13:18,000.55417,02380.909,01880.490
04/16/2013,13:28,000.56111,02287.083,01879.338
04/16/2013,13:38,000.56806,02199.202,01878.187
04/16/2013,13:48,000.57500,02173.053,01877.035
04/16/2013,13:58,000.58194,02162.666,01875.883
04/16/2013,14:08,000.58889,02161.662,01874.731
04/16/2013,14:18,000.59583,02146.029,01873.580
04/16/2013,14:28,000.60278,02143.200,01872.428
04/16/2013,14:38,000.60972,02143.200,01871.276
04/16/2013,14:48,000.61667,02147.788,01870.125
04/16/2013,14:58,000.62361,02148.501,01868.973
04/16/2013,15:08,000.63056,02149.287,01867.821
04/16/2013,15:18,000.63750,02150.738,01866.670
04/16/2013,15:28,000.64444,02161.216,01865.518
04/16/2013,15:38,000.65139,02161.216,01864.366
04/16/2013,15:48,000.65833,02163.180,01863.214
04/16/2013,15:58,000.66528,02160.588,01862.063
04/16/2013,16:08,000.67222,02163.180,01860.911
04/16/2013,16:18,000.67917,02161.791,01859.759
04/16/2013,16:28,000.68611,02170.286,01858.608
04/16/2013,16:38,000.69306,02161.791,01857.456
04/16/2013,16:48,000.70000,02158.846,01856.304
04/16/2013,16:58,000.70694,02153.881,01855.153
04/16/2013,17:08,000.71389,02147.502,01854.001
04/16/2013,17:18,000.72083,02142.790,01852.849
04/16/2013,17:28,000.72778,02144.452,01851.698
04/16/2013,17:38,000.73472,02141.324,01850.546
04/16/2013,17:48,000.74167,02136.659,01849.394
04/16/2013,17:58,000.74861,02136.659,01848.242
04/16/2013,18:08,000.75556,02136.991,01847.091
04/16/2013,18:18,000.76250,02141.488,01845.939
04/16/2013,18:28,000.76944,02149.537,01844.787
04/16/2013,18:38,000.77639,02225.932,01843.636
04/16/2013,18:48,000.78333,02238.792,01842.484
04/16/2013,18:58,000.79028,02284.749,01841.332
04/16/2013,19:08,000.79722,02289.549,01840.181
04/16/2013,19:18,000.80417,02292.284,01839.029
04/16/2013,19:28,000.81111,02297.419,01837.877
04/16/2013,19:38,000.81806,02292.284,01836.725
04/16/2013,19:48,000.82500,02289.435,01835.574
04/16/2013,19:58,000.83194,02283.397,01834.422
04/16/2013,20:08,000.83889,02275.260,01833.270
04/16/2013,20:18,000.84583,02042.490,01832.119
04/16/2013,20:28,000.85278,01989.413,01830.967
04/16/2013,20:38,000.85972,01974.472,01829.815
04/16/2013,20:48,000.86667,01972.574,01828.664
04/16/2013,20:58,000.87361,01958.410,01827.512
04/16/2013,21:08,000.88056,01952.823,01826.360
04/16/2013,21:18,000.88750,01952.823,01825.208
04/16/2013,21:28,000.89444,01952.823,01824.057
04/16/2013,21:38,000.90139,01952.689,01822.905
04/16/2013,21:48,000.90833,01950.307,01821.753
04/16/2013,21:58,000.91528,01949.986,01820.602
04/16/2013,22:08,000.92222,01950.307,01819.450
04/16/2013,22:18,000.92917,01956.022,01818.298
04/16/2013,22:28,000.93611,01958.125,01817.147
04/16/2013,22:38,000.94306,01967.543,01815.995
04/16/2013,22:48,000.95000,01970.506,01814.843
04/16/2013,22:58,000.95694,01968.029,01813.692
04/16/2013,23:08,000.96389,01968.029,01812.540
04/16/2013,23:18,000.97083,01968.029,01811.388
04/16/2013,23:28,000.97778,01967.904,01810.236
04/16/2013,23:38,000.98472,01967.904,01809.085
04/16/2013,23:48,000.99167,01964.778,01807.933
04/16/2013,23:58,000.99861,01958.166,01806.781
04/17/2013,00:08,001.00556,01955.904,01805.630
04/17/2013,00:18,001.01250,01944.677,01804.478
04/17/2013,00:28,001.01944,01938.861,01803.326
04/17/2013,00:38,001.02639,01925.234,01802.175
04/17/2013,00:48,001.03333,01924.497,01801.023
04/17/2013,00:58,001.04028,01925.234,01799.871
04/17/2013,01:08,001.04722,01920.430,01798.720
04/17/2013,01:18,001.05417,01921.951,01797.568
04/17/2013,01:28,001.06111,01915.178,01796.416
04/17/2013,01:38,001.06806,01915.178,01795.264
04/17/2013,01:48,001.07500,01915.178,01794.113
04/17/2013,01:58,001.08194,02106.947,01792.961
04/17/2013,02:08,001.08889,02106.947,01791.809
04/17/2013,02:18,001.09583,02102.516,01790.658
04/17/2013,02:28,001.10278,02101.859,01789.506
04/17/2013,02:38,001.10972,02097.977,01788.354
04/17/2013,02:48,001.11667,02097.846,01787.203
04/17/2013,02:58,001.12361,02097.977,01786.051
04/17/2013,03:08,001.13056,02097.846,01784.899
04/17/2013,03:18,001.13750,02092.768,01783.747
04/17/2013,03:28,001.14444,02069.603,01782.596
04/17/2013,03:38,001.15139,01833.534,01781.444
04/17/2013,03:48,001.15833,01786.271,01780.292
04/17/2013,03:58,001.16528,01761.871,01779.141
04/17/2013,04:08,001.17222,01761.871,01777.989
04/17/2013,04:18,001.17917,01758.530,01776.837
04/17/2013,04:28,001.18611,01751.544,01775.686
04/17/2013,04:38,001.19306,01747.627,01774.534
04/17/2013,04:48,001.20000,01751.544,01773.382
04/17/2013,04:58,001.20694,01751.992,01772.231
04/17/2013,05:08,001.21389,01753.981,01771.079
04/17/2013,05:18,001.22083,01757.450,01769.927
04/17/2013,05:28,001.22778,01772.783,01768.775
04/17/2013,05:38,001.23472,01774.483,01767.624
04/17/2013,05:48,001.24167,01779.960,01766.472
04/17/2013,05:58,001.24861,01782.478,01765.320
04/17/2013,06:08,001.25556,01790.400,01764.169
04/17/2013,06:18,001.26250,01809.075,01763.017
04/17/2013,06:28,001.26944,01809.075,01761.865
04/17/2013,06:38,001.27639,01808.203,01760.714
04/17/2013,06:48,001.28333,01808.203,01759.562
04/17/2013,06:58,001.29028,01814.771,01758.410
04/17/2013,07:08,001.29722,01818.182,01757.258
04/17/2013,07:18,001.30417,01818.182,01756.107
04/17/2013,07:28,001.31111,01815.162,01754.955
04/17/2013,07:38,001.31806,01809.463,01753.803
04/17/2013,07:48,001.32500,01809.463,01752.652
04/17/2013,07:58,001.33194,01806.449,01751.500
04/17/2013,08:08,001.33889,01800.197,01750.348
04/17/2013,08:18,001.34583,01798.948,01749.197
04/17/2013,08:28,001.35278,01798.512,01748.045
04/17/2013,08:38,001.35972,01782.057,01746.893
04/17/2013,08:48,001.36667,01777.999,01745.742
04/17/2013,08:58,001.37361,01777.999,01744.590
04/17/2013,09:08,001.38056,01782.170,01743.438
04/17/2013,09:18,001.38750,01783.939,01742.286
04/17/2013,09:28,001.39444,01784.226,01741.135
04/17/2013,09:38,001.40139,01895.862,01739.983
