LumiCycle: 20140728WT$CLIH-C3n_13 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
07/29/2014,09:35,000.39931,03122.312,01182.375
07/29/2014,09:45,000.40625,03122.312,01182.063
07/29/2014,09:55,000.41319,03010.496,01181.751
07/29/2014,10:05,000.42014,02911.545,01181.440
07/29/2014,10:15,000.42708,02773.477,01181.128
07/29/2014,10:25,000.43403,02635.181,01180.816
07/29/2014,10:35,000.44097,02515.497,01180.505
07/29/2014,10:45,000.44792,02423.010,01180.193
07/29/2014,10:55,000.45486,02299.512,01179.881
07/29/2014,11:05,000.46181,02197.589,01179.570
07/29/2014,11:15,000.46875,02115.411,01179.258
07/29/2014,11:25,000.47569,02036.752,01178.946
07/29/2014,11:35,000.48264,01957.894,01178.635
07/29/2014,11:45,000.48958,01868.926,01178.323
07/29/2014,11:55,000.49653,01796.452,01178.011
07/29/2014,12:05,000.50347,01741.077,01177.700
07/29/2014,12:15,000.51042,01676.989,01177.388
07/29/2014,12:25,000.51736,01617.888,01177.076
07/29/2014,12:35,000.52431,01563.188,01176.765
07/29/2014,12:45,000.53125,01497.766,01176.453
07/29/2014,12:55,000.53819,01444.581,01176.141
07/29/2014,13:05,000.54514,01388.196,01175.830
07/29/2014,13:15,000.55208,01329.592,01175.518
07/29/2014,13:25,000.55903,01284.211,01175.206
07/29/2014,13:35,000.56597,01227.130,01174.895
07/29/2014,13:45,000.57292,01183.617,01174.583
07/29/2014,13:55,000.57986,01143.162,01174.271
07/29/2014,14:05,000.58681,01103.513,01173.960
07/29/2014,14:15,000.59375,01052.342,01173.648
07/29/2014,14:25,000.60069,01011.995,01173.336
07/29/2014,14:35,000.60764,00975.315,01173.025
07/29/2014,14:45,000.61458,00950.849,01172.713
07/29/2014,14:55,000.62153,00913.209,01172.401
07/29/2014,15:05,000.62847,00881.224,01172.090
07/29/2014,15:15,000.63542,00857.231,01171.778
07/29/2014,15:25,000.64236,00820.590,01171.466
07/29/2014,15:35,000.64931,00808.468,01171.155
07/29/2014,15:45,000.65625,00791.155,01170.843
07/29/2014,15:55,000.66319,00760.197,01170.531
07/29/2014,16:05,000.67014,00743.645,01170.220
07/29/2014,16:15,000.67708,00717.466,01169.908
07/29/2014,16:25,000.68403,00702.132,01169.596
07/29/2014,16:35,000.69097,00682.763,01169.285
07/29/2014,16:45,000.69792,00665.822,01168.973
07/29/2014,16:55,000.70486,00654.072,01168.661
07/29/2014,17:05,000.71181,00644.818,01168.350
07/29/2014,17:15,000.71875,00632.678,01168.038
07/29/2014,17:25,000.72569,00624.001,01167.726
07/29/2014,17:35,000.73264,00618.763,01167.415
07/29/2014,17:45,000.73958,00607.709,01167.103
07/29/2014,17:55,000.74653,00598.345,01166.791
07/29/2014,18:05,000.75347,00596.899,01166.480
07/29/2014,18:15,000.76042,00590.455,01166.168
07/29/2014,18:25,000.76736,00590.413,01165.856
07/29/2014,18:35,000.77431,00587.034,01165.545
07/29/2014,18:45,000.78125,00584.901,01165.233
07/29/2014,18:55,000.78819,00587.034,01164.921
07/29/2014,19:05,000.79514,00584.793,01164.610
07/29/2014,19:15,000.80208,00587.220,01164.298
07/29/2014,19:25,000.80903,00589.650,01163.986
07/29/2014,19:35,000.81597,00591.888,01163.675
07/29/2014,19:45,000.82292,00598.729,01163.363
07/29/2014,19:55,000.82986,00601.325,01163.051
07/29/2014,20:05,000.83681,00603.305,01162.740
07/29/2014,20:15,000.84375,00610.343,01162.428
07/29/2014,20:25,000.85069,00610.429,01162.116
07/29/2014,20:35,000.85764,00620.016,01161.805
07/29/2014,20:45,000.86458,00620.309,01161.493
07/29/2014,20:55,000.87153,00624.733,01161.181
07/29/2014,21:05,000.87847,00628.585,01160.870
07/29/2014,21:15,000.88542,00642.762,01160.558
07/29/2014,21:25,000.89236,00649.308,01160.246
07/29/2014,21:35,000.89931,00650.607,01159.935
07/29/2014,21:45,000.90625,00662.266,01159.623
07/29/2014,21:55,000.91319,00666.041,01159.311
07/29/2014,22:05,000.92014,00675.923,01159.000
07/29/2014,22:15,000.92708,00681.016,01158.688
07/29/2014,22:25,000.93403,00685.921,01158.376
07/29/2014,22:35,000.94097,00688.976,01158.065
07/29/2014,22:45,000.94792,00704.481,01157.753
07/29/2014,22:55,000.95486,00710.191,01157.441
07/29/2014,23:05,000.96181,00715.425,01157.130
07/29/2014,23:15,000.96875,00724.494,01156.818
07/29/2014,23:25,000.97569,00729.972,01156.506
07/29/2014,23:35,000.98264,00734.645,01156.195
07/29/2014,23:45,000.98958,00745.454,01155.883
07/29/2014,23:55,000.99653,00758.623,01155.571
07/30/2014,00:05,001.00347,00758.623,01155.260
07/30/2014,00:15,001.01042,00758.623,01154.948
07/30/2014,00:25,001.01736,00777.081,01154.636
07/30/2014,00:35,001.02431,00779.859,01154.325
07/30/2014,00:45,001.03125,00788.491,01154.013
07/30/2014,00:55,001.03819,00794.907,01153.701
07/30/2014,01:05,001.04514,00803.597,01153.390
07/30/2014,01:15,001.05208,00808.264,01153.078
07/30/2014,01:25,001.05903,00813.661,01152.766
07/30/2014,01:35,001.06597,00822.646,01152.455
07/30/2014,01:45,001.07292,00826.234,01152.143
07/30/2014,01:55,001.07986,00834.443,01151.831
07/30/2014,02:05,001.08681,00842.851,01151.520
07/30/2014,02:15,001.09375,00846.151,01151.208
07/30/2014,02:25,001.10069,00850.511,01150.896
07/30/2014,02:35,001.10764,00857.828,01150.585
07/30/2014,02:45,001.11458,00859.509,01150.273
07/30/2014,02:55,001.12153,00867.155,01149.961
07/30/2014,03:05,001.12847,00871.179,01149.650
07/30/2014,03:15,001.13542,00874.483,01149.338
07/30/2014,03:25,001.14236,00887.979,01149.026
07/30/2014,03:35,001.14931,00889.869,01148.715
07/30/2014,03:45,001.15625,00891.326,01148.403
07/30/2014,03:55,001.16319,00891.326,01148.091
07/30/2014,04:05,001.17014,00905.780,01147.780
07/30/2014,04:15,001.17708,00909.248,01147.468
07/30/2014,04:25,001.18403,00914.852,01147.156
07/30/2014,04:35,001.19097,00926.385,01146.845
07/30/2014,04:45,001.19792,00928.345,01146.533
07/30/2014,04:55,001.20486,00937.906,01146.221
07/30/2014,05:05,001.21181,00947.384,01145.910
07/30/2014,05:15,001.21875,00948.816,01145.598
07/30/2014,05:25,001.22569,00952.223,01145.286
07/30/2014,05:35,001.23264,00964.391,01144.975
07/30/2014,05:45,001.23958,00964.548,01144.663
07/30/2014,05:55,001.24653,00967.729,01144.351
07/30/2014,06:05,001.25347,00973.998,01144.040
07/30/2014,06:15,001.26042,00975.270,01143.728
07/30/2014,06:25,001.26736,00984.094,01143.416
07/30/2014,06:35,001.27431,00991.595,01143.105
07/30/2014,06:45,001.28125,00999.213,01142.793
07/30/2014,06:55,001.28819,01000.759,01142.481
07/30/2014,07:05,001.29514,01011.999,01142.170
07/30/2014,07:15,001.30208,01021.748,01141.858
07/30/2014,07:25,001.30903,01028.264,01141.546
07/30/2014,07:35,001.31597,01031.153,01141.234
07/30/2014,07:45,001.32292,01033.576,01140.923
07/30/2014,07:55,001.32986,01041.756,01140.611
07/30/2014,08:05,001.33681,01042.305,01140.300
07/30/2014,08:15,001.34375,01051.382,01139.988
07/30/2014,08:25,001.35069,01052.491,01139.676
07/30/2014,08:35,001.35764,01068.352,01139.365
07/30/2014,08:45,001.36458,01079.310,01139.053
07/30/2014,08:55,001.37153,01080.112,01138.741
07/30/2014,09:05,001.37847,01090.166,01138.430
07/30/2014,09:15,001.38542,01093.579,01138.118
07/30/2014,09:25,001.39236,01099.140,01137.806
07/30/2014,09:35,001.39931,01102.356,01137.495
07/30/2014,09:45,001.40625,01115.275,01137.183
07/30/2014,09:55,001.41319,01125.913,01136.871
07/30/2014,10:05,001.42014,01125.913,01136.560
07/30/2014,10:15,001.42708,01125.913,01136.248
07/30/2014,10:25,001.43403,01139.875,01135.936
07/30/2014,10:35,001.44097,01144.774,01135.625
07/30/2014,10:45,001.44792,01149.672,01135.313
07/30/2014,10:55,001.45486,01149.958,01135.001
07/30/2014,11:05,001.46181,01156.458,01134.690
07/30/2014,11:15,001.46875,01172.909,01134.378
07/30/2014,11:25,001.47569,01178.820,01134.066
07/30/2014,11:35,001.48264,01179.982,01133.755
07/30/2014,11:45,001.48958,01191.005,01133.443
07/30/2014,11:55,001.49653,01194.564,01133.131
07/30/2014,12:05,001.50347,01195.960,01132.819
07/30/2014,12:15,001.51042,01210.420,01132.508
07/30/2014,12:25,001.51736,01210.673,01132.196
07/30/2014,12:35,001.52431,01220.143,01131.885
07/30/2014,12:45,001.53125,01224.080,01131.573
07/30/2014,12:55,001.53819,01228.488,01131.261
07/30/2014,13:05,001.54514,01232.096,01130.949
07/30/2014,13:15,001.55208,01243.693,01130.638
07/30/2014,13:25,001.55903,01249.299,01130.326
07/30/2014,13:35,001.56597,01251.439,01130.015
07/30/2014,13:45,001.57292,01252.593,01129.703
07/30/2014,13:55,001.57986,01269.011,01129.391
07/30/2014,14:05,001.58681,01269.187,01129.079
07/30/2014,14:15,001.59375,01279.344,01128.768
07/30/2014,14:25,001.60069,01280.580,01128.456
07/30/2014,14:35,001.60764,01284.192,01128.145
07/30/2014,14:45,001.61458,01291.862,01127.833
07/30/2014,14:55,001.62153,01299.933,01127.521
07/30/2014,15:05,001.62847,01302.155,01127.209
