LumiCycle: 20140728WT$CLIH-C3n_15 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
07/29/2014,09:35,000.39931,01855.995,01093.409
07/29/2014,09:45,000.40625,01855.995,01092.100
07/29/2014,09:55,000.41319,01801.787,01090.792
07/29/2014,10:05,000.42014,01790.154,01089.484
07/29/2014,10:15,000.42708,01786.039,01088.175
07/29/2014,10:25,000.43403,01786.039,01086.867
07/29/2014,10:35,000.44097,01796.422,01085.558
07/29/2014,10:45,000.44792,01796.422,01084.250
07/29/2014,10:55,000.45486,01788.538,01082.942
07/29/2014,11:05,000.46181,01787.421,01081.633
07/29/2014,11:15,000.46875,01766.314,01080.325
07/29/2014,11:25,000.47569,01735.565,01079.017
07/29/2014,11:35,000.48264,01696.036,01077.708
07/29/2014,11:45,000.48958,01651.877,01076.400
07/29/2014,11:55,000.49653,01602.110,01075.092
07/29/2014,12:05,000.50347,01565.908,01073.783
07/29/2014,12:15,000.51042,01547.819,01072.475
07/29/2014,12:25,000.51736,01543.302,01071.166
07/29/2014,12:35,000.52431,01541.634,01069.858
07/29/2014,12:45,000.53125,01543.302,01068.550
07/29/2014,12:55,000.53819,01541.634,01067.241
07/29/2014,13:05,000.54514,01545.259,01065.933
07/29/2014,13:15,000.55208,01549.678,01064.625
07/29/2014,13:25,000.55903,01552.412,01063.316
07/29/2014,13:35,000.56597,01556.925,01062.008
07/29/2014,13:45,000.57292,01552.412,01060.699
07/29/2014,13:55,000.57986,01556.954,01059.391
07/29/2014,14:05,000.58681,01556.954,01058.083
07/29/2014,14:15,000.59375,01607.325,01056.774
07/29/2014,14:25,000.60069,01612.862,01055.466
07/29/2014,14:35,000.60764,01632.737,01054.158
07/29/2014,14:45,000.61458,01639.307,01052.849
07/29/2014,14:55,000.62153,01654.955,01051.541
07/29/2014,15:05,000.62847,01654.955,01050.233
07/29/2014,15:15,000.63542,01630.674,01048.924
07/29/2014,15:25,000.64236,01571.191,01047.616
07/29/2014,15:35,000.64931,01484.522,01046.307
07/29/2014,15:45,000.65625,01410.575,01044.999
07/29/2014,15:55,000.66319,01387.503,01043.691
07/29/2014,16:05,000.67014,01362.299,01042.382
07/29/2014,16:15,000.67708,01361.016,01041.074
07/29/2014,16:25,000.68403,01347.944,01039.766
07/29/2014,16:35,000.69097,01317.394,01038.457
07/29/2014,16:45,000.69792,01301.120,01037.149
07/29/2014,16:55,000.70486,01290.392,01035.840
07/29/2014,17:05,000.71181,01279.527,01034.532
07/29/2014,17:15,000.71875,01259.399,01033.224
07/29/2014,17:25,000.72569,01248.046,01031.915
07/29/2014,17:35,000.73264,01235.965,01030.607
07/29/2014,17:45,000.73958,01235.965,01029.299
07/29/2014,17:55,000.74653,01265.498,01027.990
07/29/2014,18:05,000.75347,01283.845,01026.682
07/29/2014,18:15,000.76042,01292.364,01025.374
07/29/2014,18:25,000.76736,01295.650,01024.065
07/29/2014,18:35,000.77431,01309.710,01022.757
07/29/2014,18:45,000.78125,01321.552,01021.448
07/29/2014,18:55,000.78819,01322.681,01020.140
07/29/2014,19:05,000.79514,01323.820,01018.832
07/29/2014,19:15,000.80208,01323.820,01017.523
07/29/2014,19:25,000.80903,01297.295,01016.215
07/29/2014,19:35,000.81597,01277.253,01014.907
07/29/2014,19:45,000.82292,01233.295,01013.598
07/29/2014,19:55,000.82986,01145.906,01012.290
07/29/2014,20:05,000.83681,01114.106,01010.981
07/29/2014,20:15,000.84375,01105.937,01009.673
07/29/2014,20:25,000.85069,01091.921,01008.365
07/29/2014,20:35,000.85764,01075.443,01007.056
07/29/2014,20:45,000.86458,01061.485,01005.748
07/29/2014,20:55,000.87153,01055.125,01004.440
07/29/2014,21:05,000.87847,01041.286,01003.131
07/29/2014,21:15,000.88542,01023.947,01001.823
07/29/2014,21:25,000.89236,01013.989,01000.514
07/29/2014,21:35,000.89931,01003.436,00999.206
07/29/2014,21:45,000.90625,00991.123,00997.898
07/29/2014,21:55,000.91319,00991.123,00996.589
07/29/2014,22:05,000.92014,01081.904,00995.281
07/29/2014,22:15,000.92708,01084.267,00993.973
07/29/2014,22:25,000.93403,01082.892,00992.664
07/29/2014,22:35,000.94097,01086.379,00991.356
07/29/2014,22:45,000.94792,01088.533,00990.047
07/29/2014,22:55,000.95486,01112.508,00988.739
07/29/2014,23:05,000.96181,01114.932,00987.431
07/29/2014,23:15,000.96875,01115.869,00986.122
07/29/2014,23:25,000.97569,01115.869,00984.814
07/29/2014,23:35,000.98264,01108.739,00983.506
07/29/2014,23:45,000.98958,01094.265,00982.197
07/29/2014,23:55,000.99653,01069.109,00980.889
07/30/2014,00:05,001.00347,01048.052,00979.581
07/30/2014,00:15,001.01042,00973.511,00978.272
07/30/2014,00:25,001.01736,00967.772,00976.964
07/30/2014,00:35,001.02431,00938.880,00975.655
07/30/2014,00:45,001.03125,00923.654,00974.347
07/30/2014,00:55,001.03819,00923.190,00973.039
07/30/2014,01:05,001.04514,00902.292,00971.730
07/30/2014,01:15,001.05208,00887.373,00970.422
07/30/2014,01:25,001.05903,00881.368,00969.114
07/30/2014,01:35,001.06597,00878.667,00967.805
07/30/2014,01:45,001.07292,00865.695,00966.497
07/30/2014,01:55,001.07986,00860.857,00965.188
07/30/2014,02:05,001.08681,00853.531,00963.880
07/30/2014,02:15,001.09375,00846.723,00962.572
07/30/2014,02:25,001.10069,00837.656,00961.263
07/30/2014,02:35,001.10764,00837.656,00959.955
07/30/2014,02:45,001.11458,00838.046,00958.647
07/30/2014,02:55,001.12153,00936.183,00957.338
07/30/2014,03:05,001.12847,00943.250,00956.030
07/30/2014,03:15,001.13542,00943.250,00954.722
07/30/2014,03:25,001.14236,00954.227,00953.413
07/30/2014,03:35,001.14931,00966.423,00952.105
07/30/2014,03:45,001.15625,00978.950,00950.796
07/30/2014,03:55,001.16319,00993.327,00949.488
07/30/2014,04:05,001.17014,00993.327,00948.180
07/30/2014,04:15,001.17708,00992.928,00946.871
07/30/2014,04:25,001.18403,00988.061,00945.563
07/30/2014,04:35,001.19097,00974.760,00944.255
07/30/2014,04:45,001.19792,00966.098,00942.946
07/30/2014,04:55,001.20486,00950.863,00941.638
07/30/2014,05:05,001.21181,00931.578,00940.329
07/30/2014,05:15,001.21875,00920.611,00939.021
07/30/2014,05:25,001.22569,00897.818,00937.713
07/30/2014,05:35,001.23264,00872.296,00936.404
07/30/2014,05:45,001.23958,00854.112,00935.096
07/30/2014,05:55,001.24653,00832.675,00933.788
07/30/2014,06:05,001.25347,00797.869,00932.479
07/30/2014,06:15,001.26042,00792.047,00931.171
07/30/2014,06:25,001.26736,00787.718,00929.862
07/30/2014,06:35,001.27431,00786.359,00928.554
07/30/2014,06:45,001.28125,00775.175,00927.246
07/30/2014,06:55,001.28819,00757.458,00925.937
07/30/2014,07:05,001.29514,00754.843,00924.629
07/30/2014,07:15,001.30208,00748.962,00923.321
07/30/2014,07:25,001.30903,00741.184,00922.012
07/30/2014,07:35,001.31597,00739.381,00920.704
07/30/2014,07:45,001.32292,00732.306,00919.396
07/30/2014,07:55,001.32986,00731.181,00918.087
07/30/2014,08:05,001.33681,00729.392,00916.779
07/30/2014,08:15,001.34375,00731.181,00915.470
07/30/2014,08:25,001.35069,00816.646,00914.162
07/30/2014,08:35,001.35764,00827.274,00912.854
07/30/2014,08:45,001.36458,00827.735,00911.545
07/30/2014,08:55,001.37153,00831.538,00910.237
07/30/2014,09:05,001.37847,00844.569,00908.929
07/30/2014,09:15,001.38542,00867.635,00907.620
07/30/2014,09:25,001.39236,00878.052,00906.312
07/30/2014,09:35,001.39931,00878.052,00905.003
07/30/2014,09:45,001.40625,00862.415,00903.695
07/30/2014,09:55,001.41319,00856.288,00902.387
07/30/2014,10:05,001.42014,00852.856,00901.078
07/30/2014,10:15,001.42708,00838.712,00899.770
07/30/2014,10:25,001.43403,00804.939,00898.462
07/30/2014,10:35,001.44097,00780.062,00897.153
07/30/2014,10:45,001.44792,00737.551,00895.845
07/30/2014,10:55,001.45486,00732.311,00894.536
07/30/2014,11:05,001.46181,00723.792,00893.228
07/30/2014,11:15,001.46875,00722.561,00891.920
07/30/2014,11:25,001.47569,00712.167,00890.611
07/30/2014,11:35,001.48264,00697.499,00889.303
07/30/2014,11:45,001.48958,00695.065,00887.995
07/30/2014,11:55,001.49653,00686.681,00886.686
07/30/2014,12:05,001.50347,00684.592,00885.378
07/30/2014,12:15,001.51042,00679.661,00884.070
07/30/2014,12:25,001.51736,00674.813,00882.761
07/30/2014,12:35,001.52431,00669.106,00881.453
07/30/2014,12:45,001.53125,00669.106,00880.144
07/30/2014,12:55,001.53819,00666.538,00878.836
07/30/2014,13:05,001.54514,00669.716,00877.528
07/30/2014,13:15,001.55208,00733.142,00876.219
07/30/2014,13:25,001.55903,00733.256,00874.911
07/30/2014,13:35,001.56597,00741.703,00873.603
07/30/2014,13:45,001.57292,00745.547,00872.294
07/30/2014,13:55,001.57986,00754.921,00870.986
07/30/2014,14:05,001.58681,00761.702,00869.677
07/30/2014,14:15,001.59375,00767.784,00868.369
07/30/2014,14:25,001.60069,00767.784,00867.061
07/30/2014,14:35,001.60764,00766.810,00865.752
07/30/2014,14:45,001.61458,00766.805,00864.444
07/30/2014,14:55,001.62153,00731.525,00863.136
07/30/2014,15:05,001.62847,00689.169,00861.827
07/30/2014,15:15,001.63542,00683.272,00860.519
07/30/2014,15:25,001.64236,00682.293,00859.211
07/30/2014,15:35,001.64931,00671.792,00857.902
07/30/2014,15:45,001.65625,00666.404,00856.594
07/30/2014,15:55,001.66319,00663.073,00855.285
07/30/2014,16:05,001.67014,00655.948,00853.977
07/30/2014,16:15,001.67708,00648.246,00852.669
07/30/2014,16:25,001.68403,00642.059,00851.360
07/30/2014,16:35,001.69097,00634.656,00850.052
07/30/2014,16:45,001.69792,00633.036,00848.744
07/30/2014,16:55,001.70486,00633.036,00847.435
07/30/2014,17:05,001.71181,00627.924,00846.127
07/30/2014,17:15,001.71875,00629.100,00844.818
07/30/2014,17:25,001.72569,00626.468,00843.510
07/30/2014,17:35,001.73264,00629.100,00842.202
07/30/2014,17:45,001.73958,00656.925,00840.893
07/30/2014,17:55,001.74653,00681.888,00839.585
07/30/2014,18:05,001.75347,00686.410,00838.277
07/30/2014,18:15,001.76042,00688.883,00836.968
07/30/2014,18:25,001.76736,00696.079,00835.660
07/30/2014,18:35,001.77431,00704.027,00834.352
07/30/2014,18:45,001.78125,00708.780,00833.043
07/30/2014,18:55,001.78819,00708.780,00831.735
07/30/2014,19:05,001.79514,00700.434,00830.426
07/30/2014,19:15,001.80208,00661.885,00829.118
07/30/2014,19:25,001.80903,00642.728,00827.810
07/30/2014,19:35,001.81597,00642.284,00826.501
07/30/2014,19:45,001.82292,00642.284,00825.193
07/30/2014,19:55,001.82986,00637.704,00823.885
07/30/2014,20:05,001.83681,00637.704,00822.576
07/30/2014,20:15,001.84375,00629.388,00821.268
07/30/2014,20:25,001.85069,00627.390,00819.959
07/30/2014,20:35,001.85764,00620.191,00818.651
07/30/2014,20:45,001.86458,00612.858,00817.343
07/30/2014,20:55,001.87153,00612.858,00816.034
07/30/2014,21:05,001.87847,00607.729,00814.726
07/30/2014,21:15,001.88542,00602.752,00813.418
07/30/2014,21:25,001.89236,00602.752,00812.109
07/30/2014,21:35,001.89931,00597.411,00810.801
07/30/2014,21:45,001.90625,00597.411,00809.492
07/30/2014,21:55,001.91319,00598.020,00808.184
07/30/2014,22:05,001.92014,00598.020,00806.876
07/30/2014,22:15,001.92708,00598.537,00805.567
07/30/2014,22:25,001.93403,00651.101,00804.259
