LumiCycle: 20140728WT$CLIH-C3n_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
07/29/2014,09:33,000.39792,02089.697,01314.839
07/29/2014,09:43,000.40486,02089.697,01313.819
07/29/2014,09:53,000.41181,02013.415,01312.800
07/29/2014,10:03,000.41875,01949.733,01311.780
07/29/2014,10:13,000.42569,01927.669,01310.761
07/29/2014,10:23,000.43264,01913.696,01309.742
07/29/2014,10:33,000.43958,01891.549,01308.722
07/29/2014,10:43,000.44653,01871.405,01307.703
07/29/2014,10:53,000.45347,01860.307,01306.683
07/29/2014,11:03,000.46042,01840.119,01305.664
07/29/2014,11:13,000.46736,01826.959,01304.644
07/29/2014,11:23,000.47431,01800.166,01303.625
07/29/2014,11:33,000.48125,01752.495,01302.605
07/29/2014,11:43,000.48819,01717.497,01301.586
07/29/2014,11:53,000.49514,01667.430,01300.566
07/29/2014,12:03,000.50208,01625.392,01299.547
07/29/2014,12:13,000.50903,01582.358,01298.527
07/29/2014,12:23,000.51597,01534.309,01297.508
07/29/2014,12:33,000.52292,01491.753,01296.489
07/29/2014,12:43,000.52986,01476.497,01295.469
07/29/2014,12:53,000.53681,01470.303,01294.450
07/29/2014,13:03,000.54375,01472.095,01293.430
07/29/2014,13:13,000.55069,01470.828,01292.411
07/29/2014,13:23,000.55764,01470.828,01291.391
07/29/2014,13:33,000.56458,01470.828,01290.372
07/29/2014,13:43,000.57153,01475.351,01289.352
07/29/2014,13:53,000.57847,01485.655,01288.333
07/29/2014,14:03,000.58542,01485.881,01287.313
07/29/2014,14:13,000.59236,01485.881,01286.294
07/29/2014,14:23,000.59931,01482.705,01285.274
07/29/2014,14:33,000.60625,01482.705,01284.255
07/29/2014,14:43,000.61319,01483.378,01283.235
07/29/2014,14:53,000.62014,01495.547,01282.216
07/29/2014,15:03,000.62708,01483.378,01281.197
07/29/2014,15:13,000.63403,01480.693,01280.177
07/29/2014,15:23,000.64097,01480.693,01279.158
07/29/2014,15:33,000.64792,01608.874,01278.138
07/29/2014,15:43,000.65486,01621.984,01277.119
07/29/2014,15:53,000.66181,01642.375,01276.099
07/29/2014,16:03,000.66875,01646.941,01275.080
07/29/2014,16:13,000.67569,01646.941,01274.060
07/29/2014,16:23,000.68264,01641.387,01273.041
07/29/2014,16:33,000.68958,01638.755,01272.021
