LumiCycle: 20140801WT$CLIH-C3n_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/02/2014,11:26,000.47639,01667.220,01344.878
08/02/2014,11:36,000.48333,01684.063,01343.361
08/02/2014,11:46,000.49028,01727.348,01341.844
08/02/2014,11:56,000.49722,01747.373,01340.327
08/02/2014,12:06,000.50417,01788.316,01338.810
08/02/2014,12:16,000.51111,01814.075,01337.293
08/02/2014,12:26,000.51806,01837.688,01335.776
08/02/2014,12:36,000.52500,01868.260,01334.259
08/02/2014,12:46,000.53194,01908.168,01332.742
08/02/2014,12:56,000.53889,01931.033,01331.225
08/02/2014,13:06,000.54583,01946.336,01329.708
08/02/2014,13:16,000.55278,01958.039,01328.191
08/02/2014,13:26,000.55972,01975.260,01326.674
08/02/2014,13:36,000.56667,01982.447,01325.157
08/02/2014,13:46,000.57361,01991.367,01323.641
08/02/2014,13:56,000.58056,01991.367,01322.124
08/02/2014,14:06,000.58750,01991.367,01320.607
08/02/2014,14:16,000.59444,01988.718,01319.090
08/02/2014,14:26,000.60139,01984.121,01317.573
08/02/2014,14:36,000.60833,01983.807,01316.056
08/02/2014,14:46,000.61528,01980.414,01314.539
08/02/2014,14:56,000.62222,01960.170,01313.022
08/02/2014,15:06,000.62917,01948.358,01311.505
08/02/2014,15:16,000.63611,01915.348,01309.988
08/02/2014,15:26,000.64306,01893.877,01308.471
08/02/2014,15:36,000.65000,01867.575,01306.954
08/02/2014,15:46,000.65694,01856.871,01305.437
08/02/2014,15:56,000.66389,01808.134,01303.920
08/02/2014,16:06,000.67083,01789.118,01302.403
08/02/2014,16:16,000.67778,01757.755,01300.886
08/02/2014,16:26,000.68472,01720.272,01299.369
08/02/2014,16:36,000.69167,01680.950,01297.852
08/02/2014,16:46,000.69861,01666.404,01296.335
08/02/2014,16:56,000.70556,01648.097,01294.818
08/02/2014,17:06,000.71250,01617.725,01293.301
08/02/2014,17:16,000.71944,01614.064,01291.784
08/02/2014,17:26,000.72639,01604.470,01290.267
08/02/2014,17:36,000.73333,01595.173,01288.750
08/02/2014,17:46,000.74028,01586.141,01287.233
08/02/2014,17:56,000.74722,01565.655,01285.716
08/02/2014,18:06,000.75417,01564.154,01284.199
08/02/2014,18:16,000.76111,01551.216,01282.682
08/02/2014,18:26,000.76806,01533.285,01281.165
08/02/2014,18:36,000.77500,01530.618,01279.648
08/02/2014,18:46,000.78194,01530.618,01278.131
08/02/2014,18:56,000.78889,01610.064,01276.614
08/02/2014,19:06,000.79583,01617.367,01275.097
08/02/2014,19:16,000.80278,01644.069,01273.580
08/02/2014,19:26,000.80972,01653.934,01272.063
08/02/2014,19:36,000.81667,01663.680,01270.546
08/02/2014,19:46,000.82361,01664.160,01269.029
08/02/2014,19:56,000.83056,01664.160,01267.512
08/02/2014,20:06,000.83750,01612.266,01265.995
08/02/2014,20:16,000.84444,01512.521,01264.479
08/02/2014,20:26,000.85139,01428.972,01262.962
08/02/2014,20:36,000.85833,01384.303,01261.445
08/02/2014,20:46,000.86528,01378.220,01259.928
08/02/2014,20:56,000.87222,01372.852,01258.411
