LumiCycle: 20140801WT$CLIH-C3n_5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/02/2014,11:27,000.47708,01599.136,01350.124
08/02/2014,11:37,000.48403,01636.703,01348.623
08/02/2014,11:47,000.49097,01660.317,01347.122
08/02/2014,11:57,000.49792,01691.801,01345.621
08/02/2014,12:07,000.50486,01723.462,01344.120
08/02/2014,12:17,000.51181,01780.307,01342.620
08/02/2014,12:27,000.51875,01815.276,01341.119
08/02/2014,12:37,000.52569,01840.693,01339.618
08/02/2014,12:47,000.53264,01882.924,01338.117
08/02/2014,12:57,000.53958,01896.991,01336.616
08/02/2014,13:07,000.54653,01919.405,01335.115
08/02/2014,13:17,000.55347,01931.877,01333.614
08/02/2014,13:27,000.56042,01937.632,01332.113
08/02/2014,13:37,000.56736,01951.087,01330.612
08/02/2014,13:47,000.57431,01952.025,01329.111
08/02/2014,13:57,000.58125,01954.992,01327.610
08/02/2014,14:07,000.58819,01965.266,01326.109
08/02/2014,14:17,000.59514,01965.266,01324.608
08/02/2014,14:27,000.60208,01951.149,01323.107
08/02/2014,14:37,000.60903,01951.149,01321.606
08/02/2014,14:47,000.61597,01951.149,01320.105
08/02/2014,14:57,000.62292,01945.780,01318.604
08/02/2014,15:07,000.62986,01932.608,01317.103
08/02/2014,15:17,000.63681,01930.129,01315.602
08/02/2014,15:27,000.64375,01917.146,01314.101
08/02/2014,15:37,000.65069,01899.687,01312.600
08/02/2014,15:47,000.65764,01866.494,01311.099
08/02/2014,15:57,000.66458,01846.689,01309.598
08/02/2014,16:07,000.67153,01837.912,01308.097
08/02/2014,16:17,000.67847,01815.248,01306.596
08/02/2014,16:27,000.68542,01789.108,01305.095
08/02/2014,16:37,000.69236,01769.955,01303.594
08/02/2014,16:47,000.69931,01728.211,01302.093
08/02/2014,16:57,000.70625,01702.723,01300.592
08/02/2014,17:07,000.71319,01682.888,01299.091
08/02/2014,17:17,000.72014,01661.868,01297.590
08/02/2014,17:27,000.72708,01617.897,01296.089
08/02/2014,17:37,000.73403,01603.586,01294.588
08/02/2014,17:47,000.74097,01571.202,01293.087
08/02/2014,17:57,000.74792,01563.541,01291.586
08/02/2014,18:07,000.75486,01543.712,01290.085
08/02/2014,18:17,000.76181,01535.882,01288.584
08/02/2014,18:27,000.76875,01530.774,01287.083
08/02/2014,18:37,000.77569,01526.457,01285.582
08/02/2014,18:47,000.78264,01517.724,01284.081
08/02/2014,18:57,000.78958,01507.386,01282.580
08/02/2014,19:07,000.79653,01507.386,01281.079
08/02/2014,19:17,000.80347,01521.392,01279.578
08/02/2014,19:27,000.81042,01524.951,01278.077
08/02/2014,19:37,000.81736,01528.430,01276.576
08/02/2014,19:47,000.82431,01555.304,01275.075
08/02/2014,19:57,000.83125,01616.779,01273.574
08/02/2014,20:07,000.83819,01627.282,01272.073
08/02/2014,20:17,000.84514,01644.370,01270.572
08/02/2014,20:27,000.85208,01644.370,01269.071
08/02/2014,20:37,000.85903,01641.648,01267.570
08/02/2014,20:47,000.86597,01599.112,01266.069
08/02/2014,20:57,000.87292,01537.685,01264.568
