LumiCycle: 20140806WT$CLIH-C3n_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/07/2014,11:26,000.47639,01612.883,01644.933
08/07/2014,11:36,000.48333,01594.207,01642.897
08/07/2014,11:46,000.49028,01570.098,01640.861
08/07/2014,11:56,000.49722,01545.492,01638.825
08/07/2014,12:06,000.50417,01541.007,01636.789
08/07/2014,12:16,000.51111,01537.756,01634.753
08/07/2014,12:26,000.51806,01533.375,01632.717
08/07/2014,12:36,000.52500,01533.375,01630.681
08/07/2014,12:46,000.53194,01531.622,01628.645
08/07/2014,12:56,000.53889,01523.406,01626.608
08/07/2014,13:06,000.54583,01523.406,01624.572
08/07/2014,13:16,000.55278,01527.989,01622.536
08/07/2014,13:26,000.55972,01528.118,01620.500
08/07/2014,13:36,000.56667,01527.989,01618.464
08/07/2014,13:46,000.57361,01528.118,01616.428
08/07/2014,13:56,000.58056,01538.724,01614.392
08/07/2014,14:06,000.58750,01539.398,01612.356
08/07/2014,14:16,000.59444,01538.724,01610.320
08/07/2014,14:26,000.60139,01538.314,01608.284
08/07/2014,14:36,000.60833,01538.314,01606.248
08/07/2014,14:46,000.61528,01538.314,01604.212
08/07/2014,14:56,000.62222,01534.534,01602.176
08/07/2014,15:06,000.62917,01534.534,01600.140
08/07/2014,15:16,000.63611,01545.621,01598.104
08/07/2014,15:26,000.64306,01545.621,01596.068
08/07/2014,15:36,000.65000,01540.778,01594.032
08/07/2014,15:46,000.65694,01533.605,01591.996
08/07/2014,15:56,000.66389,01540.778,01589.960
08/07/2014,16:06,000.67083,01533.881,01587.924
08/07/2014,16:16,000.67778,01540.379,01585.888
08/07/2014,16:26,000.68472,01537.177,01583.852
08/07/2014,16:36,000.69167,01540.379,01581.815
08/07/2014,16:46,000.69861,01542.171,01579.779
08/07/2014,16:56,000.70556,01547.225,01577.743
08/07/2014,17:06,000.71250,01548.414,01575.707
08/07/2014,17:16,000.71944,01557.019,01573.671
08/07/2014,17:26,000.72639,01558.995,01571.635
08/07/2014,17:36,000.73333,01559.180,01569.599
08/07/2014,17:46,000.74028,01567.639,01567.563
08/07/2014,17:56,000.74722,01572.228,01565.527
08/07/2014,18:06,000.75417,01579.682,01563.491
08/07/2014,18:16,000.76111,01583.689,01561.455
08/07/2014,18:26,000.76806,01593.731,01559.419
08/07/2014,18:36,000.77500,01595.278,01557.383
08/07/2014,18:46,000.78194,01599.556,01555.347
08/07/2014,18:56,000.78889,01614.912,01553.311
08/07/2014,19:06,000.79583,01621.470,01551.275
08/07/2014,19:16,000.80278,01627.830,01549.239
08/07/2014,19:26,000.80972,01632.341,01547.203
08/07/2014,19:36,000.81667,01643.325,01545.167
08/07/2014,19:46,000.82361,01653.850,01543.131
08/07/2014,19:56,000.83056,01663.186,01541.095
08/07/2014,20:06,000.83750,01678.535,01539.059
08/07/2014,20:16,000.84444,01679.838,01537.022
08/07/2014,20:26,000.85139,01694.000,01534.986
08/07/2014,20:36,000.85833,01706.023,01532.950
08/07/2014,20:46,000.86528,01720.419,01530.914
08/07/2014,20:56,000.87222,01734.205,01528.878
08/07/2014,21:06,000.87917,01737.890,01526.842
08/07/2014,21:16,000.88611,01745.242,01524.806
08/07/2014,21:26,000.89306,01767.752,01522.770
