LumiCycle: 20140806WT$CLIH-C3n_6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/07/2014,11:27,000.47708,01283.650,00935.871
08/07/2014,11:37,000.48403,01297.545,00934.704
08/07/2014,11:47,000.49097,01305.537,00933.537
08/07/2014,11:57,000.49792,01305.537,00932.369
08/07/2014,12:07,000.50486,01298.069,00931.202
08/07/2014,12:17,000.51181,01282.560,00930.034
08/07/2014,12:27,000.51875,01262.758,00928.867
08/07/2014,12:37,000.52569,01233.742,00927.700
08/07/2014,12:47,000.53264,01207.895,00926.532
08/07/2014,12:57,000.53958,01167.989,00925.365
08/07/2014,13:07,000.54653,01161.326,00924.197
08/07/2014,13:17,000.55347,01161.326,00923.030
08/07/2014,13:27,000.56042,01161.326,00921.862
08/07/2014,13:37,000.56736,01156.842,00920.695
08/07/2014,13:47,000.57431,01156.842,00919.528
08/07/2014,13:57,000.58125,01156.842,00918.360
08/07/2014,14:07,000.58819,01157.948,00917.193
08/07/2014,14:17,000.59514,01166.392,00916.025
08/07/2014,14:27,000.60208,01174.784,00914.858
08/07/2014,14:37,000.60903,01175.155,00913.690
08/07/2014,14:47,000.61597,01185.210,00912.523
08/07/2014,14:57,000.62292,01189.515,00911.356
08/07/2014,15:07,000.62986,01192.970,00910.188
08/07/2014,15:17,000.63681,01237.330,00909.021
08/07/2014,15:27,000.64375,01270.615,00907.853
08/07/2014,15:37,000.65069,01297.101,00906.686
08/07/2014,15:47,000.65764,01315.713,00905.519
08/07/2014,15:57,000.66458,01330.085,00904.351
08/07/2014,16:07,000.67153,01338.603,00903.184
08/07/2014,16:17,000.67847,01338.603,00902.016
08/07/2014,16:27,000.68542,01324.669,00900.849
08/07/2014,16:37,000.69236,01268.200,00899.682
08/07/2014,16:47,000.69931,01198.227,00898.514
08/07/2014,16:57,000.70625,01188.231,00897.347
08/07/2014,17:07,000.71319,01169.929,00896.179
08/07/2014,17:17,000.72014,01167.506,00895.012
08/07/2014,17:27,000.72708,01160.343,00893.844
08/07/2014,17:37,000.73403,01158.889,00892.677
08/07/2014,17:47,000.74097,01152.518,00891.510
08/07/2014,17:57,000.74792,01151.808,00890.342
08/07/2014,18:07,000.75486,01129.164,00889.175
08/07/2014,18:17,000.76181,01123.396,00888.007
08/07/2014,18:27,000.76875,01121.254,00886.840
08/07/2014,18:37,000.77569,01110.796,00885.672
08/07/2014,18:47,000.78264,01101.618,00884.505
08/07/2014,18:57,000.78958,01100.104,00883.338
08/07/2014,19:07,000.79653,01089.432,00882.170
08/07/2014,19:17,000.80347,01089.432,00881.003
08/07/2014,19:27,000.81042,01114.632,00879.835
08/07/2014,19:37,000.81736,01191.349,00878.668
08/07/2014,19:47,000.82431,01204.658,00877.501
08/07/2014,19:57,000.83125,01206.925,00876.333
08/07/2014,20:07,000.83819,01221.348,00875.166
08/07/2014,20:17,000.84514,01225.708,00873.998
08/07/2014,20:27,000.85208,01237.216,00872.831
08/07/2014,20:37,000.85903,01237.216,00871.664
