LumiCycle: 20140811WT$CLIH-C3n_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/11/2014,11:25,000.47569,00724.515,00570.442
08/11/2014,11:35,000.48264,00716.609,00569.723
08/11/2014,11:45,000.48958,00700.183,00569.004
08/11/2014,11:55,000.49653,00681.671,00568.284
08/11/2014,12:05,000.50347,00676.204,00567.565
08/11/2014,12:15,000.51042,00675.143,00566.846
08/11/2014,12:25,000.51736,00675.143,00566.126
08/11/2014,12:35,000.52431,00682.671,00565.407
08/11/2014,12:45,000.53125,00685.953,00564.687
08/11/2014,12:55,000.53819,00686.003,00563.968
08/11/2014,13:05,000.54514,00687.130,00563.249
08/11/2014,13:15,000.55208,00688.271,00562.529
08/11/2014,13:25,000.55903,00692.100,00561.810
08/11/2014,13:35,000.56597,00692.971,00561.091
08/11/2014,13:45,000.57292,00693.918,00560.371
08/11/2014,13:55,000.57986,00696.100,00559.652
08/11/2014,14:05,000.58681,00704.754,00558.933
08/11/2014,14:15,000.59375,00708.440,00558.213
08/11/2014,14:25,000.60069,00712.419,00557.494
08/11/2014,14:35,000.60764,00717.469,00556.774
08/11/2014,14:45,000.61458,00716.584,00556.055
08/11/2014,14:55,000.62153,00717.469,00555.336
08/11/2014,15:05,000.62847,00770.608,00554.616
08/11/2014,15:15,000.63542,00778.569,00553.897
08/11/2014,15:25,000.64236,00788.800,00553.178
08/11/2014,15:35,000.64931,00790.384,00552.458
08/11/2014,15:45,000.65625,00802.736,00551.739
08/11/2014,15:55,000.66319,00807.329,00551.019
08/11/2014,16:05,000.67014,00807.329,00550.300
08/11/2014,16:15,000.67708,00797.340,00549.581
08/11/2014,16:25,000.68403,00762.898,00548.861
08/11/2014,16:35,000.69097,00726.348,00548.142
08/11/2014,16:45,000.69792,00720.435,00547.423
08/11/2014,16:55,000.70486,00717.001,00546.703
08/11/2014,17:05,000.71181,00716.445,00545.984
08/11/2014,17:15,000.71875,00715.817,00545.265
08/11/2014,17:25,000.72569,00714.889,00544.545
08/11/2014,17:35,000.73264,00709.048,00543.826
08/11/2014,17:45,000.73958,00704.240,00543.106
08/11/2014,17:55,000.74653,00709.048,00542.387
08/11/2014,18:05,000.75347,00704.240,00541.668
08/11/2014,18:15,000.76042,00694.955,00540.948
08/11/2014,18:25,000.76736,00693.197,00540.229
08/11/2014,18:35,000.77431,00691.387,00539.510
08/11/2014,18:45,000.78125,00688.043,00538.790
08/11/2014,18:55,000.78819,00685.400,00538.071
08/11/2014,19:05,000.79514,00678.771,00537.352
08/11/2014,19:15,000.80208,00678.658,00536.632
08/11/2014,19:25,000.80903,00673.806,00535.913
08/11/2014,19:35,000.81597,00673.806,00535.193
08/11/2014,19:45,000.82292,00753.142,00534.474
08/11/2014,19:55,000.82986,00753.142,00533.755
08/11/2014,20:05,000.83681,00753.142,00533.035
08/11/2014,20:15,000.84375,00754.539,00532.316
08/11/2014,20:25,000.85069,00754.729,00531.597
08/11/2014,20:35,000.85764,00754.844,00530.877
08/11/2014,20:45,000.86458,00754.844,00530.158
08/11/2014,20:55,000.87153,00754.844,00529.439
08/11/2014,21:05,000.87847,00748.754,00528.719
08/11/2014,21:15,000.88542,00747.308,00528.000
08/11/2014,21:25,000.89236,00733.700,00527.280
08/11/2014,21:35,000.89931,00710.836,00526.561
08/11/2014,21:45,000.90625,00678.130,00525.842
08/11/2014,21:55,000.91319,00643.783,00525.122
08/11/2014,22:05,000.92014,00609.778,00524.403
08/11/2014,22:15,000.92708,00604.936,00523.684
08/11/2014,22:25,000.93403,00593.139,00522.964
08/11/2014,22:35,000.94097,00591.935,00522.245
08/11/2014,22:45,000.94792,00589.886,00521.526
08/11/2014,22:55,000.95486,00582.353,00520.806
08/11/2014,23:05,000.96181,00575.730,00520.087
08/11/2014,23:15,000.96875,00570.521,00519.367
08/11/2014,23:25,000.97569,00569.908,00518.648
08/11/2014,23:35,000.98264,00569.594,00517.929
08/11/2014,23:45,000.98958,00564.827,00517.209
08/11/2014,23:55,000.99653,00557.280,00516.490
08/12/2014,00:05,001.00347,00551.912,00515.771
08/12/2014,00:15,001.01042,00550.361,00515.051
08/12/2014,00:25,001.01736,00543.647,00514.332
08/12/2014,00:35,001.02431,00543.385,00513.612
08/12/2014,00:45,001.03125,00543.385,00512.893
08/12/2014,00:55,001.03819,00542.471,00512.174
08/12/2014,01:05,001.04514,00540.748,00511.454
08/12/2014,01:15,001.05208,00540.748,00510.735
08/12/2014,01:25,001.05903,00624.652,00510.016
08/12/2014,01:35,001.06597,00647.806,00509.296
08/12/2014,01:45,001.07292,00648.490,00508.577
08/12/2014,01:55,001.07986,00650.514,00507.858
08/12/2014,02:05,001.08681,00656.609,00507.138
08/12/2014,02:15,001.09375,00658.745,00506.419
08/12/2014,02:25,001.10069,00661.770,00505.699
08/12/2014,02:35,001.10764,00663.355,00504.980
08/12/2014,02:45,001.11458,00663.355,00504.261
08/12/2014,02:55,001.12153,00659.785,00503.541
08/12/2014,03:05,001.12847,00655.758,00502.822
08/12/2014,03:15,001.13542,00653.704,00502.103
08/12/2014,03:25,001.14236,00636.438,00501.383
