LumiCycle: 20140811WT$CLIH-C3n_6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/11/2014,11:26,000.47639,00663.090,00596.161
08/11/2014,11:36,000.48333,00658.044,00595.592
08/11/2014,11:46,000.49028,00657.567,00595.024
08/11/2014,11:56,000.49722,00647.555,00594.456
08/11/2014,12:06,000.50417,00627.715,00593.887
08/11/2014,12:16,000.51111,00627.500,00593.319
08/11/2014,12:26,000.51806,00627.500,00592.751
08/11/2014,12:36,000.52500,00627.500,00592.182
08/11/2014,12:46,000.53194,00628.072,00591.614
08/11/2014,12:56,000.53889,00634.947,00591.046
08/11/2014,13:06,000.54583,00635.561,00590.477
08/11/2014,13:16,000.55278,00645.057,00589.909
08/11/2014,13:26,000.55972,00647.886,00589.341
08/11/2014,13:36,000.56667,00645.057,00588.772
08/11/2014,13:46,000.57361,00647.886,00588.204
08/11/2014,13:56,000.58056,00656.307,00587.636
08/11/2014,14:06,000.58750,00661.757,00587.067
08/11/2014,14:16,000.59444,00661.840,00586.499
08/11/2014,14:26,000.60139,00665.653,00585.931
08/11/2014,14:36,000.60833,00669.771,00585.362
08/11/2014,14:46,000.61528,00676.304,00584.794
08/11/2014,14:56,000.62222,00676.905,00584.226
08/11/2014,15:06,000.62917,00727.299,00583.657
08/11/2014,15:16,000.63611,00734.175,00583.089
08/11/2014,15:26,000.64306,00753.227,00582.521
08/11/2014,15:36,000.65000,00754.996,00581.952
08/11/2014,15:46,000.65694,00769.768,00581.384
08/11/2014,15:56,000.66389,00778.844,00580.816
08/11/2014,16:06,000.67083,00778.844,00580.247
08/11/2014,16:16,000.67778,00771.915,00579.679
08/11/2014,16:26,000.68472,00747.113,00579.111
08/11/2014,16:36,000.69167,00711.880,00578.542
08/11/2014,16:46,000.69861,00699.026,00577.974
08/11/2014,16:56,000.70556,00699.026,00577.406
08/11/2014,17:06,000.71250,00696.936,00576.837
08/11/2014,17:16,000.71944,00697.999,00576.269
08/11/2014,17:26,000.72639,00695.238,00575.701
08/11/2014,17:36,000.73333,00697.999,00575.133
08/11/2014,17:46,000.74028,00693.427,00574.564
08/11/2014,17:56,000.74722,00693.427,00573.996
08/11/2014,18:06,000.75417,00686.360,00573.427
08/11/2014,18:16,000.76111,00686.360,00572.859
08/11/2014,18:26,000.76806,00686.360,00572.291
08/11/2014,18:36,000.77500,00678.230,00571.723
08/11/2014,18:46,000.78194,00674.580,00571.154
08/11/2014,18:56,000.78889,00672.818,00570.586
08/11/2014,19:06,000.79583,00672.818,00570.018
08/11/2014,19:16,000.80278,00671.725,00569.449
08/11/2014,19:26,000.80972,00670.443,00568.881
08/11/2014,19:36,000.81667,00666.681,00568.313
08/11/2014,19:46,000.82361,00664.650,00567.744
08/11/2014,19:56,000.83056,00664.650,00567.176
08/11/2014,20:06,000.83750,00721.117,00566.608
08/11/2014,20:16,000.84444,00744.486,00566.039
08/11/2014,20:26,000.85139,00749.286,00565.471
08/11/2014,20:36,000.85833,00752.347,00564.903
08/11/2014,20:46,000.86528,00753.531,00564.334
08/11/2014,20:56,000.87222,00755.257,00563.766
08/11/2014,21:06,000.87917,00754.054,00563.198
08/11/2014,21:16,000.88611,00754.054,00562.629
08/11/2014,21:26,000.89306,00740.861,00562.061
08/11/2014,21:36,000.90000,00725.057,00561.493
08/11/2014,21:46,000.90694,00686.845,00560.924
08/11/2014,21:56,000.91389,00660.499,00560.356
08/11/2014,22:06,000.92083,00612.571,00559.788
08/11/2014,22:16,000.92778,00595.657,00559.219
08/11/2014,22:26,000.93472,00592.847,00558.651
08/11/2014,22:36,000.94167,00590.294,00558.083
08/11/2014,22:46,000.94861,00582.860,00557.514
08/11/2014,22:56,000.95556,00581.034,00556.946
08/11/2014,23:06,000.96250,00572.948,00556.378
08/11/2014,23:16,000.96944,00570.726,00555.809
08/11/2014,23:26,000.97639,00567.983,00555.241
08/11/2014,23:36,000.98333,00565.755,00554.673
08/11/2014,23:46,000.99028,00560.162,00554.104
08/11/2014,23:56,000.99722,00552.584,00553.536
08/12/2014,00:06,001.00417,00552.584,00552.968
08/12/2014,00:16,001.01111,00552.584,00552.399
08/12/2014,00:26,001.01806,00547.572,00551.831
08/12/2014,00:36,001.02500,00547.572,00551.263
08/12/2014,00:46,001.03194,00541.896,00550.695
08/12/2014,00:56,001.03889,00550.156,00550.126
08/12/2014,01:06,001.04583,00617.740,00549.558
08/12/2014,01:16,001.05278,00645.519,00548.990
08/12/2014,01:26,001.05972,00645.519,00548.421
08/12/2014,01:36,001.06667,00647.031,00547.853
08/12/2014,01:46,001.07361,00651.488,00547.285
08/12/2014,01:56,001.08056,00664.850,00546.716
08/12/2014,02:06,001.08750,00665.282,00546.148
08/12/2014,02:16,001.09444,00664.850,00545.580
08/12/2014,02:26,001.10139,00663.886,00545.011
08/12/2014,02:36,001.10833,00659.514,00544.443
08/12/2014,02:46,001.11528,00638.232,00543.875
08/12/2014,02:56,001.12222,00622.510,00543.306
08/12/2014,03:06,001.12917,00603.581,00542.738
08/12/2014,03:16,001.13611,00560.432,00542.170
08/12/2014,03:26,001.14306,00530.859,00541.601
08/12/2014,03:36,001.15000,00520.206,00541.033
08/12/2014,03:46,001.15694,00519.006,00540.465
08/12/2014,03:56,001.16389,00498.630,00539.896
08/12/2014,04:06,001.17083,00489.728,00539.328
08/12/2014,04:16,001.17778,00488.245,00538.760
08/12/2014,04:26,001.18472,00486.832,00538.191
08/12/2014,04:36,001.19167,00480.195,00537.623
08/12/2014,04:46,001.19861,00479.225,00537.055
08/12/2014,04:56,001.20556,00479.225,00536.486
08/12/2014,05:06,001.21250,00478.926,00535.918
08/12/2014,05:16,001.21944,00478.907,00535.350
08/12/2014,05:26,001.22639,00473.092,00534.781
08/12/2014,05:36,001.23333,00472.616,00534.213
08/12/2014,05:46,001.24028,00471.795,00533.645
08/12/2014,05:56,001.24722,00471.795,00533.076
08/12/2014,06:06,001.25417,00471.617,00532.508
08/12/2014,06:16,001.26111,00473.686,00531.940
