LumiCycle: 20140728WT$CLIH-C3n_6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
07/29/2014,09:35,000.39931,01942.352,01164.021
07/29/2014,09:45,000.40625,01942.352,01163.030
07/29/2014,09:55,000.41319,01857.176,01162.039
07/29/2014,10:05,000.42014,01804.703,01161.047
07/29/2014,10:15,000.42708,01780.422,01160.056
07/29/2014,10:25,000.43403,01758.210,01159.065
07/29/2014,10:35,000.44097,01737.510,01158.074
07/29/2014,10:45,000.44792,01719.014,01157.083
07/29/2014,10:55,000.45486,01715.349,01156.092
07/29/2014,11:05,000.46181,01688.176,01155.100
07/29/2014,11:15,000.46875,01683.461,01154.109
07/29/2014,11:25,000.47569,01649.104,01153.118
07/29/2014,11:35,000.48264,01612.095,01152.127
07/29/2014,11:45,000.48958,01577.957,01151.136
07/29/2014,11:55,000.49653,01538.084,01150.145
07/29/2014,12:05,000.50347,01490.672,01149.153
07/29/2014,12:15,000.51042,01460.914,01148.162
07/29/2014,12:25,000.51736,01433.754,01147.171
07/29/2014,12:35,000.52431,01407.877,01146.180
07/29/2014,12:45,000.53125,01370.544,01145.189
07/29/2014,12:55,000.53819,01360.888,01144.198
07/29/2014,13:05,000.54514,01342.936,01143.206
07/29/2014,13:15,000.55208,01338.926,01142.215
07/29/2014,13:25,000.55903,01338.926,01141.224
07/29/2014,13:35,000.56597,01341.519,01140.233
07/29/2014,13:45,000.57292,01341.519,01139.242
07/29/2014,13:55,000.57986,01341.519,01138.251
07/29/2014,14:05,000.58681,01338.741,01137.259
07/29/2014,14:15,000.59375,01346.319,01136.268
07/29/2014,14:25,000.60069,01346.129,01135.277
07/29/2014,14:35,000.60764,01347.865,01134.286
07/29/2014,14:45,000.61458,01347.865,01133.295
07/29/2014,14:55,000.62153,01396.114,01132.304
07/29/2014,15:05,000.62847,01408.212,01131.312
07/29/2014,15:15,000.63542,01424.832,01130.321
07/29/2014,15:25,000.64236,01440.536,01129.330
07/29/2014,15:35,000.64931,01463.303,01128.339
07/29/2014,15:45,000.65625,01486.041,01127.348
07/29/2014,15:55,000.66319,01495.353,01126.357
07/29/2014,16:05,000.67014,01495.353,01125.365
07/29/2014,16:15,000.67708,01485.512,01124.374
07/29/2014,16:25,000.68403,01468.990,01123.383
07/29/2014,16:35,000.69097,01442.033,01122.392
07/29/2014,16:45,000.69792,01407.869,01121.401
07/29/2014,16:55,000.70486,01354.332,01120.410
07/29/2014,17:05,000.71181,01276.749,01119.418
07/29/2014,17:15,000.71875,01216.534,01118.427
07/29/2014,17:25,000.72569,01192.609,01117.436
07/29/2014,17:35,000.73264,01169.055,01116.445
07/29/2014,17:45,000.73958,01165.547,01115.454
07/29/2014,17:55,000.74653,01158.689,01114.463
07/29/2014,18:05,000.75347,01158.689,01113.471
07/29/2014,18:15,000.76042,01158.689,01112.480
07/29/2014,18:25,000.76736,01153.409,01111.489
07/29/2014,18:35,000.77431,01153.409,01110.498
07/29/2014,18:45,000.78125,01163.531,01109.507
07/29/2014,18:55,000.78819,01163.531,01108.516
07/29/2014,19:05,000.79514,01165.366,01107.524
07/29/2014,19:15,000.80208,01176.824,01106.533
07/29/2014,19:25,000.80903,01194.392,01105.542
07/29/2014,19:35,000.81597,01228.431,01104.551
07/29/2014,19:45,000.82292,01249.903,01103.560
07/29/2014,19:55,000.82986,01253.642,01102.568
07/29/2014,20:05,000.83681,01272.861,01101.577
07/29/2014,20:15,000.84375,01272.861,01100.586
07/29/2014,20:25,000.85069,01270.440,01099.595
07/29/2014,20:35,000.85764,01269.369,01098.604
07/29/2014,20:45,000.86458,01268.729,01097.613
07/29/2014,20:55,000.87153,01262.081,01096.621
07/29/2014,21:05,000.87847,01248.387,01095.630
07/29/2014,21:15,000.88542,01235.541,01094.639
07/29/2014,21:25,000.89236,01231.833,01093.648
07/29/2014,21:35,000.89931,01220.520,01092.657
07/29/2014,21:45,000.90625,01218.956,01091.666
07/29/2014,21:55,000.91319,01200.639,01090.674
07/29/2014,22:05,000.92014,01190.559,01089.683
