LumiCycle: 20140806WT$CLIH-C3n_11 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/07/2014,11:26,000.47639,01178.800,00763.421
08/07/2014,11:36,000.48333,01175.957,00762.964
08/07/2014,11:46,000.49028,01171.655,00762.507
08/07/2014,11:56,000.49722,01170.467,00762.050
08/07/2014,12:06,000.50417,01165.347,00761.593
08/07/2014,12:16,000.51111,01154.514,00761.136
08/07/2014,12:26,000.51806,01139.481,00760.680
08/07/2014,12:36,000.52500,01108.890,00760.223
08/07/2014,12:46,000.53194,01070.961,00759.766
08/07/2014,12:56,000.53889,01041.867,00759.309
08/07/2014,13:06,000.54583,00991.995,00758.852
08/07/2014,13:16,000.55278,00968.338,00758.395
08/07/2014,13:26,000.55972,00957.068,00757.938
08/07/2014,13:36,000.56667,00953.044,00757.481
08/07/2014,13:46,000.57361,00948.762,00757.025
08/07/2014,13:56,000.58056,00944.193,00756.568
08/07/2014,14:06,000.58750,00943.758,00756.111
08/07/2014,14:16,000.59444,00941.702,00755.654
08/07/2014,14:26,000.60139,00941.702,00755.197
08/07/2014,14:36,000.60833,00942.124,00754.740
08/07/2014,14:46,000.61528,00945.368,00754.283
08/07/2014,14:56,000.62222,00950.059,00753.826
08/07/2014,15:06,000.62917,00950.059,00753.370
08/07/2014,15:16,000.63611,00946.139,00752.913
08/07/2014,15:26,000.64306,00944.363,00752.456
08/07/2014,15:36,000.65000,00944.235,00751.999
08/07/2014,15:46,000.65694,00944.363,00751.542
08/07/2014,15:56,000.66389,01005.136,00751.085
08/07/2014,16:06,000.67083,01019.714,00750.628
08/07/2014,16:16,000.67778,01031.519,00750.172
08/07/2014,16:26,000.68472,01031.519,00749.715
08/07/2014,16:36,000.69167,01029.579,00749.258
08/07/2014,16:46,000.69861,01024.627,00748.801
08/07/2014,16:56,000.70556,01016.980,00748.344
08/07/2014,17:06,000.71250,01004.763,00747.887
08/07/2014,17:16,000.71944,00979.483,00747.430
08/07/2014,17:26,000.72639,00953.591,00746.973
08/07/2014,17:36,000.73333,00905.467,00746.517
08/07/2014,17:46,000.74028,00862.029,00746.060
08/07/2014,17:56,000.74722,00829.246,00745.603
08/07/2014,18:06,000.75417,00809.869,00745.146
08/07/2014,18:16,000.76111,00808.561,00744.689
08/07/2014,18:26,000.76806,00807.125,00744.232
08/07/2014,18:36,000.77500,00807.125,00743.775
08/07/2014,18:46,000.78194,00797.825,00743.318
08/07/2014,18:56,000.78889,00797.825,00742.862
08/07/2014,19:06,000.79583,00794.132,00742.405
08/07/2014,19:16,000.80278,00795.091,00741.948
08/07/2014,19:26,000.80972,00794.132,00741.491
08/07/2014,19:36,000.81667,00792.270,00741.034
08/07/2014,19:46,000.82361,00789.048,00740.577
08/07/2014,19:56,000.83056,00788.676,00740.120
08/07/2014,20:06,000.83750,00788.676,00739.664
08/07/2014,20:16,000.84444,00825.638,00739.207
08/07/2014,20:26,000.85139,00848.888,00738.750
08/07/2014,20:36,000.85833,00851.852,00738.293
08/07/2014,20:46,000.86528,00853.309,00737.836
08/07/2014,20:56,000.87222,00853.309,00737.379
08/07/2014,21:06,000.87917,00848.154,00736.922
08/07/2014,21:16,000.88611,00846.447,00736.465
08/07/2014,21:26,000.89306,00844.286,00736.009
08/07/2014,21:36,000.90000,00843.673,00735.552
08/07/2014,21:46,000.90694,00841.126,00735.095
08/07/2014,21:56,000.91389,00838.355,00734.638
08/07/2014,22:06,000.92083,00838.076,00734.181
08/07/2014,22:16,000.92778,00832.107,00733.724
08/07/2014,22:26,000.93472,00825.810,00733.267
08/07/2014,22:36,000.94167,00822.526,00732.810
08/07/2014,22:46,000.94861,00814.597,00732.354
08/07/2014,22:56,000.95556,00807.821,00731.897
08/07/2014,23:06,000.96250,00801.896,00731.440
08/07/2014,23:16,000.96944,00791.155,00730.983
08/07/2014,23:26,000.97639,00786.289,00730.526
08/07/2014,23:36,000.98333,00781.089,00730.069
08/07/2014,23:46,000.99028,00775.680,00729.612
08/07/2014,23:56,000.99722,00774.141,00729.156
08/08/2014,00:06,001.00417,00768.568,00728.699
08/08/2014,00:16,001.01111,00767.538,00728.242
08/08/2014,00:26,001.01806,00763.228,00727.785
08/08/2014,00:36,001.02500,00761.613,00727.328
08/08/2014,00:46,001.03194,00759.681,00726.871
08/08/2014,00:56,001.03889,00751.249,00726.414
08/08/2014,01:06,001.04583,00751.249,00725.957
08/08/2014,01:16,001.05278,00755.202,00725.501
08/08/2014,01:26,001.05972,00755.202,00725.044
08/08/2014,01:36,001.06667,00743.668,00724.587
08/08/2014,01:46,001.07361,00742.136,00724.130
08/08/2014,01:56,001.08056,00739.023,00723.673
08/08/2014,02:06,001.08750,00731.378,00723.216
08/08/2014,02:16,001.09444,00726.696,00722.759
08/08/2014,02:26,001.10139,00724.591,00722.302
08/08/2014,02:36,001.10833,00724.591,00721.846
08/08/2014,02:46,001.11528,00724.196,00721.389
08/08/2014,02:56,001.12222,00722.674,00720.932
08/08/2014,03:06,001.12917,00715.263,00720.475
08/08/2014,03:16,001.13611,00712.198,00720.018
08/08/2014,03:26,001.14306,00711.678,00719.561
08/08/2014,03:36,001.15000,00708.478,00719.104
08/08/2014,03:46,001.15694,00701.062,00718.648
