LumiCycle: 20140806WT$CLIH-C3n_7 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/07/2014,11:25,000.47569,01491.172,00693.392
08/07/2014,11:35,000.48264,01453.080,00693.005
08/07/2014,11:45,000.48958,01413.195,00692.619
08/07/2014,11:55,000.49653,01395.910,00692.232
08/07/2014,12:05,000.50347,01385.146,00691.845
08/07/2014,12:15,000.51042,01356.413,00691.458
08/07/2014,12:25,000.51736,01350.141,00691.072
08/07/2014,12:35,000.52431,01321.532,00690.685
08/07/2014,12:45,000.53125,01309.783,00690.298
08/07/2014,12:55,000.53819,01292.309,00689.912
08/07/2014,13:05,000.54514,01272.667,00689.525
08/07/2014,13:15,000.55208,01256.187,00689.138
08/07/2014,13:25,000.55903,01253.469,00688.752
08/07/2014,13:35,000.56597,01230.051,00688.365
08/07/2014,13:45,000.57292,01217.762,00687.978
08/07/2014,13:55,000.57986,01207.378,00687.591
08/07/2014,14:05,000.58681,01183.045,00687.205
08/07/2014,14:15,000.59375,01170.658,00686.818
08/07/2014,14:25,000.60069,01169.099,00686.431
08/07/2014,14:35,000.60764,01149.185,00686.045
08/07/2014,14:45,000.61458,01140.480,00685.658
08/07/2014,14:55,000.62153,01133.526,00685.271
08/07/2014,15:05,000.62847,01107.500,00684.885
08/07/2014,15:15,000.63542,01103.710,00684.498
08/07/2014,15:25,000.64236,01094.888,00684.111
08/07/2014,15:35,000.64931,01083.765,00683.725
08/07/2014,15:45,000.65625,01076.449,00683.338
08/07/2014,15:55,000.66319,01065.271,00682.951
08/07/2014,16:05,000.67014,01058.815,00682.565
08/07/2014,16:15,000.67708,01048.505,00682.178
08/07/2014,16:25,000.68403,01040.069,00681.791
08/07/2014,16:35,000.69097,01031.550,00681.404
08/07/2014,16:45,000.69792,01031.550,00681.018
08/07/2014,16:55,000.70486,01031.550,00680.631
08/07/2014,17:05,000.71181,01022.426,00680.244
08/07/2014,17:15,000.71875,01018.060,00679.858
08/07/2014,17:25,000.72569,01017.440,00679.471
08/07/2014,17:35,000.73264,01014.950,00679.084
08/07/2014,17:45,000.73958,01009.744,00678.698
08/07/2014,17:55,000.74653,01004.365,00678.311
08/07/2014,18:05,000.75347,01003.634,00677.924
08/07/2014,18:15,000.76042,00998.869,00677.537
08/07/2014,18:25,000.76736,00999.413,00677.151
08/07/2014,18:35,000.77431,00998.038,00676.764
08/07/2014,18:45,000.78125,00994.149,00676.377
08/07/2014,18:55,000.78819,00993.861,00675.991
08/07/2014,19:05,000.79514,00982.514,00675.604
08/07/2014,19:15,000.80208,00978.956,00675.217
08/07/2014,19:25,000.80903,00978.427,00674.831
08/07/2014,19:35,000.81597,00974.450,00674.444
08/07/2014,19:45,000.82292,00974.121,00674.057
08/07/2014,19:55,000.82986,00965.301,00673.671
08/07/2014,20:05,000.83681,00963.694,00673.284
08/07/2014,20:15,000.84375,00962.603,00672.897
08/07/2014,20:25,000.85069,00961.033,00672.510
08/07/2014,20:35,000.85764,00955.620,00672.124
08/07/2014,20:45,000.86458,00953.815,00671.737
08/07/2014,20:55,000.87153,00946.863,00671.350
08/07/2014,21:05,000.87847,00938.001,00670.964
08/07/2014,21:15,000.88542,00936.892,00670.577
08/07/2014,21:25,000.89236,00934.305,00670.190
08/07/2014,21:35,000.89931,00932.397,00669.804
08/07/2014,21:45,000.90625,00923.026,00669.417
08/07/2014,21:55,000.91319,00920.941,00669.030
08/07/2014,22:05,000.92014,00917.988,00668.644
08/07/2014,22:15,000.92708,00909.731,00668.257
08/07/2014,22:25,000.93403,00908.262,00667.870
08/07/2014,22:35,000.94097,00898.379,00667.484
08/07/2014,22:45,000.94792,00896.469,00667.097
08/07/2014,22:55,000.95486,00895.875,00666.710
08/07/2014,23:05,000.96181,00885.801,00666.323
08/07/2014,23:15,000.96875,00883.774,00665.937
08/07/2014,23:25,000.97569,00883.662,00665.550
08/07/2014,23:35,000.98264,00883.311,00665.163
08/07/2014,23:45,000.98958,00877.386,00664.777
08/07/2014,23:55,000.99653,00872.754,00664.390
08/08/2014,00:05,001.00347,00865.753,00664.003
08/08/2014,00:15,001.01042,00862.088,00663.617
08/08/2014,00:25,001.01736,00860.262,00663.230
08/08/2014,00:35,001.02431,00856.276,00662.843
08/08/2014,00:45,001.03125,00856.276,00662.456
08/08/2014,00:55,001.03819,00854.529,00662.070
08/08/2014,01:05,001.04514,00846.299,00661.683
08/08/2014,01:15,001.05208,00841.991,00661.296
08/08/2014,01:25,001.05903,00839.912,00660.910
08/08/2014,01:35,001.06597,00836.748,00660.523
08/08/2014,01:45,001.07292,00830.619,00660.136
08/08/2014,01:55,001.07986,00830.318,00659.750
08/08/2014,02:05,001.08681,00823.992,00659.363
08/08/2014,02:15,001.09375,00823.992,00658.976
08/08/2014,02:25,001.10069,00821.932,00658.590
08/08/2014,02:35,001.10764,00814.613,00658.203
08/08/2014,02:45,001.11458,00811.495,00657.816
08/08/2014,02:55,001.12153,00807.886,00657.430
08/08/2014,03:05,001.12847,00807.333,00657.043
08/08/2014,03:15,001.13542,00805.263,00656.656
08/08/2014,03:25,001.14236,00795.224,00656.269
08/08/2014,03:35,001.14931,00793.684,00655.883
08/08/2014,03:45,001.15625,00788.217,00655.496
08/08/2014,03:55,001.16319,00788.217,00655.109
08/08/2014,04:05,001.17014,00787.728,00654.723
08/08/2014,04:15,001.17708,00780.469,00654.336
08/08/2014,04:25,001.18403,00777.631,00653.949
08/08/2014,04:35,001.19097,00771.679,00653.563
08/08/2014,04:45,001.19792,00771.679,00653.176
08/08/2014,04:55,001.20486,00769.145,00652.789
08/08/2014,05:05,001.21181,00769.145,00652.402
08/08/2014,05:15,001.21875,00767.709,00652.016
08/08/2014,05:25,001.22569,00757.706,00651.629
08/08/2014,05:35,001.23264,00751.908,00651.242
08/08/2014,05:45,001.23958,00751.625,00650.856
08/08/2014,05:55,001.24653,00751.625,00650.469
08/08/2014,06:05,001.25347,00741.936,00650.082
08/08/2014,06:15,001.26042,00738.859,00649.696
08/08/2014,06:25,001.26736,00737.208,00649.309
08/08/2014,06:35,001.27431,00737.208,00648.922
08/08/2014,06:45,001.28125,00737.208,00648.536
08/08/2014,06:55,001.28819,00725.802,00648.149
08/08/2014,07:05,001.29514,00724.391,00647.762
08/08/2014,07:15,001.30208,00718.192,00647.375
08/08/2014,07:25,001.30903,00711.644,00646.989
08/08/2014,07:35,001.31597,00710.548,00646.602
08/08/2014,07:45,001.32292,00708.716,00646.215
08/08/2014,07:55,001.32986,00701.545,00645.829
08/08/2014,08:05,001.33681,00698.003,00645.442
08/08/2014,08:15,001.34375,00696.570,00645.055
08/08/2014,08:25,001.35069,00691.592,00644.669
08/08/2014,08:35,001.35764,00689.816,00644.282
08/08/2014,08:45,001.36458,00683.694,00643.895
08/08/2014,08:55,001.37153,00680.163,00643.509
08/08/2014,09:05,001.37847,00678.675,00643.122
08/08/2014,09:15,001.38542,00678.409,00642.735
08/08/2014,09:25,001.39236,00672.073,00642.348
08/08/2014,09:35,001.39931,00668.385,00641.962
08/08/2014,09:45,001.40625,00662.470,00641.575
08/08/2014,09:55,001.41319,00659.179,00641.188
08/08/2014,10:05,001.42014,00656.803,00640.802
08/08/2014,10:15,001.42708,00652.553,00640.415
08/08/2014,10:25,001.43403,00641.384,00640.028
08/08/2014,10:35,001.44097,00641.126,00639.642
08/08/2014,10:45,001.44792,00640.776,00639.255
08/08/2014,10:55,001.45486,00635.261,00638.868
08/08/2014,11:05,001.46181,00630.279,00638.482
08/08/2014,11:15,001.46875,00628.538,00638.095
08/08/2014,11:25,001.47569,00621.641,00637.708
08/08/2014,11:35,001.48264,00616.932,00637.321
08/08/2014,11:45,001.48958,00616.484,00636.935
08/08/2014,11:55,001.49653,00611.552,00636.548
08/08/2014,12:05,001.50347,00605.856,00636.161
08/08/2014,12:15,001.51042,00600.899,00635.775
08/08/2014,12:25,001.51736,00597.588,00635.388
08/08/2014,12:35,001.52431,00591.228,00635.001
08/08/2014,12:45,001.53125,00590.420,00634.615
08/08/2014,12:55,001.53819,00589.926,00634.228
08/08/2014,13:05,001.54514,00581.113,00633.841
08/08/2014,13:15,001.55208,00578.243,00633.455
08/08/2014,13:25,001.55903,00577.428,00633.068
08/08/2014,13:35,001.56597,00571.257,00632.681
08/08/2014,13:45,001.57292,00563.330,00632.294
08/08/2014,13:55,001.57986,00561.766,00631.908
08/08/2014,14:05,001.58681,00556.522,00631.521
08/08/2014,14:15,001.59375,00550.849,00631.134
08/08/2014,14:25,001.60069,00544.586,00630.748
08/08/2014,14:35,001.60764,00539.155,00630.361
08/08/2014,14:45,001.61458,00537.594,00629.974
08/08/2014,14:55,001.62153,00532.828,00629.588
08/08/2014,15:05,001.62847,00529.067,00629.201
08/08/2014,15:15,001.63542,00524.142,00628.814
08/08/2014,15:25,001.64236,00519.522,00628.428
08/08/2014,15:35,001.64931,00514.433,00628.041
08/08/2014,15:45,001.65625,00513.917,00627.654
08/08/2014,15:55,001.66319,00512.804,00627.267
08/08/2014,16:05,001.67014,00508.383,00626.881
08/08/2014,16:15,001.67708,00506.018,00626.494
08/08/2014,16:25,001.68403,00505.077,00626.107
08/08/2014,16:35,001.69097,00501.875,00625.721
08/08/2014,16:45,001.69792,00491.041,00625.334
08/08/2014,16:55,001.70486,00490.262,00624.947
08/08/2014,17:05,001.71181,00485.107,00624.561
08/08/2014,17:15,001.71875,00481.853,00624.174
08/08/2014,17:25,001.72569,00481.500,00623.787
08/08/2014,17:35,001.73264,00478.042,00623.401
08/08/2014,17:45,001.73958,00470.148,00623.014
08/08/2014,17:55,001.74653,00470.049,00622.627
08/08/2014,18:05,001.75347,00462.491,00622.240
08/08/2014,18:15,001.76042,00455.187,00621.854
08/08/2014,18:25,001.76736,00455.121,00621.467
08/08/2014,18:35,001.77431,00451.185,00621.080
08/08/2014,18:45,001.78125,00445.424,00620.694
08/08/2014,18:55,001.78819,00445.424,00620.307
08/08/2014,19:05,001.79514,00436.691,00619.920
08/08/2014,19:15,001.80208,00434.949,00619.534
08/08/2014,19:25,001.80903,00432.820,00619.147
08/08/2014,19:35,001.81597,00423.365,00618.760
08/08/2014,19:45,001.82292,00420.422,00618.374
08/08/2014,19:55,001.82986,00415.296,00617.987
08/08/2014,20:05,001.83681,00414.358,00617.600
08/08/2014,20:15,001.84375,00409.462,00617.213
08/08/2014,20:25,001.85069,00407.528,00616.827
08/08/2014,20:35,001.85764,00401.625,00616.440
08/08/2014,20:45,001.86458,00394.700,00616.053
08/08/2014,20:55,001.87153,00392.206,00615.667
08/08/2014,21:05,001.87847,00392.206,00615.280
08/08/2014,21:15,001.88542,00391.157,00614.893
08/08/2014,21:25,001.89236,00386.836,00614.507
08/08/2014,21:35,001.89931,00380.965,00614.120
08/08/2014,21:45,001.90625,00377.712,00613.733
08/08/2014,21:55,001.91319,00377.015,00613.347
08/08/2014,22:05,001.92014,00372.834,00612.960
08/08/2014,22:15,001.92708,00370.863,00612.573
08/08/2014,22:25,001.93403,00369.308,00612.186
08/08/2014,22:35,001.94097,00367.906,00611.800
08/08/2014,22:45,001.94792,00364.192,00611.413
08/08/2014,22:55,001.95486,00361.639,00611.026
08/08/2014,23:05,001.96181,00360.267,00610.640
08/08/2014,23:15,001.96875,00356.403,00610.253
08/08/2014,23:25,001.97569,00356.010,00609.866
08/08/2014,23:35,001.98264,00350.847,00609.480
08/08/2014,23:45,001.98958,00350.340,00609.093
08/08/2014,23:55,001.99653,00350.340,00608.706
08/09/2014,00:05,002.00347,00347.909,00608.320
08/09/2014,00:15,002.01042,00346.109,00607.933
08/09/2014,00:25,002.01736,00341.263,00607.546
08/09/2014,00:35,002.02431,00341.065,00607.159
08/09/2014,00:45,002.03125,00340.305,00606.773
08/09/2014,00:55,002.03819,00338.427,00606.386
