LumiCycle: 20140811WT$CLIH-C3n_11 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/11/2014,11:25,000.47569,00605.749,00473.303
08/11/2014,11:35,000.48264,00593.061,00473.087
08/11/2014,11:45,000.48958,00583.352,00472.872
08/11/2014,11:55,000.49653,00577.314,00472.656
08/11/2014,12:05,000.50347,00551.812,00472.441
08/11/2014,12:15,000.51042,00542.729,00472.226
08/11/2014,12:25,000.51736,00528.900,00472.010
08/11/2014,12:35,000.52431,00521.212,00471.795
08/11/2014,12:45,000.53125,00521.212,00471.579
08/11/2014,12:55,000.53819,00522.087,00471.364
08/11/2014,13:05,000.54514,00522.786,00471.148
08/11/2014,13:15,000.55208,00523.185,00470.933
08/11/2014,13:25,000.55903,00526.157,00470.718
08/11/2014,13:35,000.56597,00528.613,00470.502
08/11/2014,13:45,000.57292,00532.814,00470.287
08/11/2014,13:55,000.57986,00536.551,00470.071
08/11/2014,14:05,000.58681,00536.921,00469.856
08/11/2014,14:15,000.59375,00536.921,00469.641
08/11/2014,14:25,000.60069,00538.875,00469.425
08/11/2014,14:35,000.60764,00539.729,00469.210
08/11/2014,14:45,000.61458,00544.652,00468.994
08/11/2014,14:55,000.62153,00544.652,00468.779
08/11/2014,15:05,000.62847,00540.060,00468.563
08/11/2014,15:15,000.63542,00540.060,00468.348
08/11/2014,15:25,000.64236,00541.799,00468.133
08/11/2014,15:35,000.64931,00547.191,00467.917
08/11/2014,15:45,000.65625,00549.006,00467.702
08/11/2014,15:55,000.66319,00584.419,00467.486
08/11/2014,16:05,000.67014,00591.622,00467.271
08/11/2014,16:15,000.67708,00597.358,00467.055
08/11/2014,16:25,000.68403,00599.346,00466.840
08/11/2014,16:35,000.69097,00597.983,00466.625
08/11/2014,16:45,000.69792,00599.175,00466.409
08/11/2014,16:55,000.70486,00597.983,00466.194
08/11/2014,17:05,000.71181,00588.387,00465.978
08/11/2014,17:15,000.71875,00576.586,00465.763
08/11/2014,17:25,000.72569,00552.413,00465.548
08/11/2014,17:35,000.73264,00529.467,00465.332
08/11/2014,17:45,000.73958,00507.545,00465.117
08/11/2014,17:55,000.74653,00492.168,00464.901
08/11/2014,18:05,000.75347,00489.272,00464.686
08/11/2014,18:15,000.76042,00485.668,00464.470
08/11/2014,18:25,000.76736,00483.604,00464.255
08/11/2014,18:35,000.77431,00485.668,00464.040
08/11/2014,18:45,000.78125,00486.371,00463.824
08/11/2014,18:55,000.78819,00486.371,00463.609
08/11/2014,19:05,000.79514,00487.543,00463.393
08/11/2014,19:15,000.80208,00488.056,00463.178
08/11/2014,19:25,000.80903,00488.755,00462.962
08/11/2014,19:35,000.81597,00489.645,00462.747
08/11/2014,19:45,000.82292,00489.645,00462.532
08/11/2014,19:55,000.82986,00489.495,00462.316
08/11/2014,20:05,000.83681,00482.891,00462.101
08/11/2014,20:15,000.84375,00482.891,00461.885
08/11/2014,20:25,000.85069,00483.357,00461.670
08/11/2014,20:35,000.85764,00483.357,00461.455
08/11/2014,20:45,000.86458,00483.357,00461.239
08/11/2014,20:55,000.87153,00504.976,00461.024
08/11/2014,21:05,000.87847,00530.208,00460.808
08/11/2014,21:15,000.88542,00533.170,00460.593
08/11/2014,21:25,000.89236,00533.170,00460.377
08/11/2014,21:35,000.89931,00528.174,00460.162
08/11/2014,21:45,000.90625,00528.112,00459.947
08/11/2014,21:55,000.91319,00528.112,00459.731
08/11/2014,22:05,000.92014,00522.660,00459.516
08/11/2014,22:15,000.92708,00520.468,00459.300
08/11/2014,22:25,000.93403,00517.209,00459.085
08/11/2014,22:35,000.94097,00510.933,00458.869
08/11/2014,22:45,000.94792,00505.080,00458.654
08/11/2014,22:55,000.95486,00493.873,00458.439
08/11/2014,23:05,000.96181,00476.869,00458.223
08/11/2014,23:15,000.96875,00468.792,00458.008
08/11/2014,23:25,000.97569,00459.160,00457.792
08/11/2014,23:35,000.98264,00443.663,00457.577
08/11/2014,23:45,000.98958,00428.624,00457.362
08/11/2014,23:55,000.99653,00409.250,00457.146
08/12/2014,00:05,001.00347,00392.230,00456.931
08/12/2014,00:15,001.01042,00389.536,00456.715
08/12/2014,00:25,001.01736,00387.883,00456.500
08/12/2014,00:35,001.02431,00385.953,00456.284
08/12/2014,00:45,001.03125,00382.900,00456.069
