LumiCycle: 20140811WT$CLIH-C3n_8 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
08/11/2014,11:26,000.47639,00863.395,00614.430
08/11/2014,11:36,000.48333,00852.279,00614.174
08/11/2014,11:46,000.49028,00824.432,00613.918
08/11/2014,11:56,000.49722,00788.416,00613.663
08/11/2014,12:06,000.50417,00773.724,00613.407
08/11/2014,12:16,000.51111,00765.222,00613.151
08/11/2014,12:26,000.51806,00763.703,00612.896
08/11/2014,12:36,000.52500,00762.496,00612.640
08/11/2014,12:46,000.53194,00762.496,00612.385
08/11/2014,12:56,000.53889,00764.944,00612.129
08/11/2014,13:06,000.54583,00766.956,00611.873
08/11/2014,13:16,000.55278,00764.944,00611.618
08/11/2014,13:26,000.55972,00766.600,00611.362
08/11/2014,13:36,000.56667,00765.922,00611.106
08/11/2014,13:46,000.57361,00765.922,00610.851
08/11/2014,13:56,000.58056,00764.937,00610.595
08/11/2014,14:06,000.58750,00764.937,00610.339
08/11/2014,14:16,000.59444,00765.779,00610.084
08/11/2014,14:26,000.60139,00765.779,00609.828
08/11/2014,14:36,000.60833,00765.779,00609.572
08/11/2014,14:46,000.61528,00763.055,00609.317
08/11/2014,14:56,000.62222,00761.563,00609.061
08/11/2014,15:06,000.62917,00759.541,00608.805
08/11/2014,15:16,000.63611,00759.541,00608.550
08/11/2014,15:26,000.64306,00824.973,00608.294
08/11/2014,15:36,000.65000,00832.361,00608.038
08/11/2014,15:46,000.65694,00840.762,00607.783
08/11/2014,15:56,000.66389,00840.762,00607.527
08/11/2014,16:06,000.67083,00836.914,00607.271
08/11/2014,16:16,000.67778,00836.914,00607.016
08/11/2014,16:26,000.68472,00836.701,00606.760
08/11/2014,16:36,000.69167,00819.834,00606.504
08/11/2014,16:46,000.69861,00811.386,00606.249
08/11/2014,16:56,000.70556,00789.155,00605.993
08/11/2014,17:06,000.71250,00761.586,00605.737
08/11/2014,17:16,000.71944,00724.170,00605.482
08/11/2014,17:26,000.72639,00697.328,00605.226
08/11/2014,17:36,000.73333,00683.108,00604.970
08/11/2014,17:46,000.74028,00680.784,00604.715
08/11/2014,17:56,000.74722,00675.105,00604.459
08/11/2014,18:06,000.75417,00675.105,00604.203
08/11/2014,18:16,000.76111,00675.105,00603.948
08/11/2014,18:26,000.76806,00675.262,00603.692
08/11/2014,18:36,000.77500,00675.262,00603.436
08/11/2014,18:46,000.78194,00675.816,00603.181
08/11/2014,18:56,000.78889,00675.816,00602.925
08/11/2014,19:06,000.79583,00675.816,00602.669
08/11/2014,19:16,000.80278,00675.947,00602.414
08/11/2014,19:26,000.80972,00678.214,00602.158
08/11/2014,19:36,000.81667,00678.214,00601.903
08/11/2014,19:46,000.82361,00673.795,00601.647
08/11/2014,19:56,000.83056,00673.795,00601.391
08/11/2014,20:06,000.83750,00694.995,00601.136
08/11/2014,20:16,000.84444,00717.151,00600.880
08/11/2014,20:26,000.85139,00727.020,00600.624
08/11/2014,20:36,000.85833,00727.666,00600.369
08/11/2014,20:46,000.86528,00727.666,00600.113
08/11/2014,20:56,000.87222,00724.213,00599.857
08/11/2014,21:06,000.87917,00712.063,00599.602
08/11/2014,21:16,000.88611,00712.030,00599.346
08/11/2014,21:26,000.89306,00708.482,00599.090
08/11/2014,21:36,000.90000,00706.685,00598.835
08/11/2014,21:46,000.90694,00701.405,00598.579
08/11/2014,21:56,000.91389,00693.911,00598.323
08/11/2014,22:06,000.92083,00683.757,00598.068
08/11/2014,22:16,000.92778,00678.173,00597.812
08/11/2014,22:26,000.93472,00675.279,00597.556
08/11/2014,22:36,000.94167,00661.806,00597.301
08/11/2014,22:46,000.94861,00649.000,00597.045
08/11/2014,22:56,000.95556,00645.505,00596.789
08/11/2014,23:06,000.96250,00629.149,00596.534
08/11/2014,23:16,000.96944,00625.882,00596.278
08/11/2014,23:26,000.97639,00620.323,00596.022
08/11/2014,23:36,000.98333,00608.147,00595.767
08/11/2014,23:46,000.99028,00599.018,00595.511
08/11/2014,23:56,000.99722,00588.630,00595.255
08/12/2014,00:06,001.00417,00578.298,00595.000
08/12/2014,00:16,001.01111,00573.940,00594.744
08/12/2014,00:26,001.01806,00568.896,00594.488
08/12/2014,00:36,001.02500,00564.071,00594.233
08/12/2014,00:46,001.03194,00563.515,00593.977
08/12/2014,00:56,001.03889,00555.708,00593.721
08/12/2014,01:06,001.04583,00553.440,00593.466
08/12/2014,01:16,001.05278,00548.240,00593.210
08/12/2014,01:26,001.05972,00548.121,00592.954
08/12/2014,01:36,001.06667,00540.317,00592.699
08/12/2014,01:46,001.07361,00535.840,00592.443
08/12/2014,01:56,001.08056,00535.703,00592.187
08/12/2014,02:06,001.08750,00535.681,00591.932
08/12/2014,02:16,001.09444,00533.783,00591.676
08/12/2014,02:26,001.10139,00530.114,00591.421
08/12/2014,02:36,001.10833,00528.547,00591.165
08/12/2014,02:46,001.11528,00525.072,00590.909
08/12/2014,02:56,001.12222,00518.071,00590.654
08/12/2014,03:06,001.12917,00517.433,00590.398
08/12/2014,03:16,001.13611,00515.206,00590.142
08/12/2014,03:26,001.14306,00510.519,00589.887
08/12/2014,03:36,001.15000,00508.177,00589.631
08/12/2014,03:46,001.15694,00502.560,00589.375
08/12/2014,03:56,001.16389,00494.635,00589.120
08/12/2014,04:06,001.17083,00454.452,00588.864
08/12/2014,04:16,001.17778,00446.600,00588.608
08/12/2014,04:26,001.18472,00446.600,00588.353
08/12/2014,04:36,001.19167,00447.489,00588.097
08/12/2014,04:46,001.19861,00470.667,00587.841
08/12/2014,04:56,001.20556,00519.020,00587.586
08/12/2014,05:06,001.21250,00519.020,00587.330
08/12/2014,05:16,001.21944,00521.619,00587.074
08/12/2014,05:26,001.22639,00517.010,00586.819
08/12/2014,05:36,001.23333,00515.065,00586.563
08/12/2014,05:46,001.24028,00515.065,00586.307
08/12/2014,05:56,001.24722,00515.065,00586.052
08/12/2014,06:06,001.25417,00514.955,00585.796
08/12/2014,06:16,001.26111,00514.955,00585.540
08/12/2014,06:26,001.26806,00536.236,00585.285
08/12/2014,06:36,001.27500,00536.236,00585.029
08/12/2014,06:46,001.28194,00535.581,00584.773
08/12/2014,06:56,001.28889,00535.581,00584.518
08/12/2014,07:06,001.29583,00538.748,00584.262
08/12/2014,07:16,001.30278,00538.748,00584.006
08/12/2014,07:26,001.30972,00538.748,00583.751
08/12/2014,07:36,001.31667,00536.254,00583.495
08/12/2014,07:46,001.32361,00538.177,00583.240
08/12/2014,07:56,001.33056,00535.153,00582.984
08/12/2014,08:06,001.33750,00535.153,00582.728
08/12/2014,08:16,001.34444,00534.098,00582.473
08/12/2014,08:26,001.35139,00533.583,00582.217
08/12/2014,08:36,001.35833,00531.893,00581.961
08/12/2014,08:46,001.36528,00531.422,00581.706
08/12/2014,08:56,001.37222,00531.422,00581.450
08/12/2014,09:06,001.37917,00530.887,00581.194
08/12/2014,09:16,001.38611,00526.962,00580.939
08/12/2014,09:26,001.39306,00526.236,00580.683
08/12/2014,09:36,001.40000,00525.885,00580.427
08/12/2014,09:46,001.40694,00523.756,00580.172
08/12/2014,09:56,001.41389,00522.235,00579.916
08/12/2014,10:06,001.42083,00521.754,00579.660
08/12/2014,10:16,001.42778,00514.737,00579.405
08/12/2014,10:26,001.43472,00514.242,00579.149
08/12/2014,10:36,001.44167,00514.242,00578.893
08/12/2014,10:46,001.44861,00508.947,00578.638
08/12/2014,10:56,001.45556,00509.372,00578.382
08/12/2014,11:06,001.46250,00508.773,00578.126
08/12/2014,11:16,001.46944,00500.813,00577.871
08/12/2014,11:26,001.47639,00500.157,00577.615
08/12/2014,11:36,001.48333,00498.422,00577.359
08/12/2014,11:46,001.49028,00494.211,00577.104
08/12/2014,11:56,001.49722,00490.770,00576.848
08/12/2014,12:06,001.50417,00489.894,00576.592
08/12/2014,12:16,001.51111,00489.894,00576.337
08/12/2014,12:26,001.51806,00488.087,00576.081
08/12/2014,12:36,001.52500,00488.087,00575.825
08/12/2014,12:46,001.53194,00488.087,00575.570
08/12/2014,12:56,001.53889,00482.595,00575.314
08/12/2014,13:06,001.54583,00478.362,00575.058
08/12/2014,13:16,001.55278,00475.670,00574.803
08/12/2014,13:26,001.55972,00475.008,00574.547
08/12/2014,13:36,001.56667,00474.220,00574.291
08/12/2014,13:46,001.57361,00470.869,00574.036
08/12/2014,13:56,001.58056,00469.077,00573.780
08/12/2014,14:06,001.58750,00466.936,00573.524
08/12/2014,14:16,001.59444,00466.936,00573.269
08/12/2014,14:26,001.60139,00462.075,00573.013
08/12/2014,14:36,001.60833,00467.244,00572.758
08/12/2014,14:46,001.61528,00460.748,00572.502
08/12/2014,14:56,001.62222,00460.738,00572.246
08/12/2014,15:06,001.62917,00457.958,00571.991
08/12/2014,15:16,001.63611,00459.142,00571.735
08/12/2014,15:26,001.64306,00459.142,00571.479
08/12/2014,15:36,001.65000,00459.142,00571.224
08/12/2014,15:46,001.65694,00457.882,00570.968
08/12/2014,15:56,001.66389,00454.157,00570.712
08/12/2014,16:06,001.67083,00451.893,00570.457
08/12/2014,16:16,001.67778,00451.893,00570.201
08/12/2014,16:26,001.68472,00454.651,00569.945
08/12/2014,16:36,001.69167,00454.651,00569.690
08/12/2014,16:46,001.69861,00454.923,00569.434
08/12/2014,16:56,001.70556,00454.545,00569.178
08/12/2014,17:06,001.71250,00453.390,00568.923
08/12/2014,17:16,001.71944,00453.390,00568.667
08/12/2014,17:26,001.72639,00453.390,00568.411
08/12/2014,17:36,001.73333,00452.796,00568.156
08/12/2014,17:46,001.74028,00450.612,00567.900
08/12/2014,17:56,001.74722,00450.612,00567.644
08/12/2014,18:06,001.75417,00450.612,00567.389
08/12/2014,18:16,001.76111,00448.485,00567.133
08/12/2014,18:26,001.76806,00450.098,00566.877
08/12/2014,18:36,001.77500,00450.098,00566.622
08/12/2014,18:46,001.78194,00452.282,00566.366
08/12/2014,18:56,001.78889,00452.781,00566.110
08/12/2014,19:06,001.79583,00452.282,00565.855
08/12/2014,19:16,001.80278,00449.098,00565.599
08/12/2014,19:26,001.80972,00448.601,00565.343
08/12/2014,19:36,001.81667,00448.601,00565.088
08/12/2014,19:46,001.82361,00446.514,00564.832
08/12/2014,19:56,001.83056,00446.514,00564.576
08/12/2014,20:06,001.83750,00448.598,00564.321
08/12/2014,20:16,001.84444,00448.598,00564.065
08/12/2014,20:26,001.85139,00448.598,00563.809
08/12/2014,20:36,001.85833,00451.739,00563.554
08/12/2014,20:46,001.86528,00452.492,00563.298
08/12/2014,20:56,001.87222,00451.739,00563.042
08/12/2014,21:06,001.87917,00450.681,00562.787
08/12/2014,21:16,001.88611,00449.213,00562.531
08/12/2014,21:26,001.89306,00449.213,00562.276
08/12/2014,21:36,001.90000,00448.668,00562.020
08/12/2014,21:46,001.90694,00451.861,00561.764
08/12/2014,21:56,001.91389,00450.373,00561.509
08/12/2014,22:06,001.92083,00451.828,00561.253
08/12/2014,22:16,001.92778,00450.373,00560.997
08/12/2014,22:26,001.93472,00451.828,00560.742
08/12/2014,22:36,001.94167,00454.166,00560.486
08/12/2014,22:46,001.94861,00454.752,00560.230
08/12/2014,22:56,001.95556,00454.752,00559.975
