LumiCycle: 2013-5-15WT$CLIH_5 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/16/2013,09:32,001.39722,06655.226,05877.254
05/16/2013,09:42,001.40417,06897.414,05871.169
05/16/2013,09:52,001.41111,06930.317,05865.085
05/16/2013,10:02,001.41806,06897.414,05859.001
05/16/2013,10:12,001.42500,06544.591,05852.917
05/16/2013,10:22,001.43194,06544.591,05846.833
05/16/2013,10:32,001.43889,06544.591,05840.748
05/16/2013,10:42,001.44583,06713.393,05834.664
05/16/2013,10:52,001.45278,06541.093,05828.580
05/16/2013,11:02,001.45972,06589.467,05822.496
05/16/2013,11:12,001.46667,06589.467,05816.411
05/16/2013,11:22,001.47361,06589.467,05810.327
05/16/2013,11:32,001.48056,06769.692,05804.243
05/16/2013,11:42,001.48750,06447.096,05798.158
05/16/2013,11:52,001.49444,06725.617,05792.074
05/16/2013,12:02,001.50139,06221.458,05785.990
05/16/2013,12:12,001.50833,06190.926,05779.906
05/16/2013,12:22,001.51528,06190.926,05773.821
05/16/2013,12:32,001.52222,06190.926,05767.737
05/16/2013,12:42,001.52917,06180.286,05761.653
05/16/2013,12:52,001.53611,06166.032,05755.568
05/16/2013,13:02,001.54306,06118.395,05749.484
05/16/2013,13:12,001.55000,06099.672,05743.400
05/16/2013,13:22,001.55694,06099.672,05737.316
05/16/2013,13:32,001.56389,06092.107,05731.231
05/16/2013,13:42,001.57083,06099.917,05725.147
05/16/2013,13:52,001.57778,06101.975,05719.063
05/16/2013,14:02,001.58472,06554.323,05712.979
05/16/2013,14:12,001.59167,06554.323,05706.895
05/16/2013,14:22,001.59861,06537.304,05700.810
05/16/2013,14:32,001.60556,06426.967,05694.726
05/16/2013,14:42,001.61250,06381.679,05688.642
05/16/2013,14:52,001.61944,06381.679,05682.558
05/16/2013,15:02,001.62639,06371.925,05676.473
05/16/2013,15:12,001.63333,06371.925,05670.389
05/16/2013,15:22,001.64028,06476.745,05664.305
05/16/2013,15:32,001.64722,06476.745,05658.220
05/16/2013,15:42,001.65417,05900.968,05652.136
05/16/2013,15:52,001.66111,05855.059,05646.052
05/16/2013,16:02,001.66806,05837.692,05639.968
05/16/2013,16:12,001.67500,05842.911,05633.883
05/16/2013,16:22,001.68194,05842.036,05627.799
05/16/2013,16:32,001.68889,05842.036,05621.715
05/16/2013,16:42,001.69583,05838.079,05615.630
05/16/2013,16:52,001.70278,05837.796,05609.546
05/16/2013,17:02,001.70972,05826.059,05603.462
05/16/2013,17:12,001.71667,05826.059,05597.378
05/16/2013,17:22,001.72361,06020.232,05591.293
05/16/2013,17:32,001.73056,06020.232,05585.209
05/16/2013,17:42,001.73750,06243.522,05579.125
05/16/2013,17:52,001.74444,05870.461,05573.041
05/16/2013,18:02,001.75139,06134.409,05566.957
05/16/2013,18:12,001.75833,06134.409,05560.872
05/16/2013,18:22,001.76528,06187.855,05554.788
05/16/2013,18:32,001.77222,06214.179,05548.704
05/16/2013,18:42,001.77917,06214.179,05542.620
05/16/2013,18:52,001.78611,06165.602,05536.535
05/16/2013,19:02,001.79306,06165.602,05530.451
05/16/2013,19:12,001.80000,06165.602,05524.367
05/16/2013,19:22,001.80694,05660.471,05518.282
05/16/2013,19:32,001.81389,05630.607,05512.198
05/16/2013,19:42,001.82083,05604.977,05506.114
05/16/2013,19:52,001.82778,05603.449,05500.030
05/16/2013,20:02,001.83472,05583.432,05493.945
05/16/2013,20:12,001.84167,05583.432,05487.861
05/16/2013,20:22,001.84861,05587.769,05481.777
05/16/2013,20:32,001.85556,05587.769,05475.693
05/16/2013,20:42,001.86250,05587.769,05469.608
05/16/2013,20:52,001.86944,05586.861,05463.524
05/16/2013,21:02,001.87639,05600.157,05457.440
05/16/2013,21:12,001.88333,05623.787,05451.355
05/16/2013,21:22,001.89028,05623.787,05445.271
05/16/2013,21:32,001.89722,05623.787,05439.187
05/16/2013,21:42,001.90417,05898.114,05433.103
05/16/2013,21:52,001.91111,05969.879,05427.019
05/16/2013,22:02,001.91806,05995.221,05420.934
05/16/2013,22:12,001.92500,05995.221,05414.850
05/16/2013,22:22,001.93194,05995.221,05408.766
05/16/2013,22:32,001.93889,05943.824,05402.682
05/16/2013,22:42,001.94583,05943.824,05396.597
05/16/2013,22:52,001.95278,05879.020,05390.513
05/16/2013,23:02,001.95972,05803.846,05384.429
05/16/2013,23:12,001.96667,05631.154,05378.345
05/16/2013,23:22,001.97361,05457.871,05372.260
05/16/2013,23:32,001.98056,05436.768,05366.176
05/16/2013,23:42,001.98750,05394.502,05360.092
05/16/2013,23:52,001.99444,05394.502,05354.007
05/17/2013,00:02,002.00139,05396.114,05347.923
05/17/2013,00:12,002.00833,05397.674,05341.839
05/17/2013,00:22,002.01528,05397.674,05335.755
05/17/2013,00:32,002.02222,05394.476,05329.670
05/17/2013,00:42,002.02917,05394.476,05323.586
05/17/2013,00:52,002.03611,05399.608,05317.502
05/17/2013,01:02,002.04306,05404.432,05311.417
05/17/2013,01:12,002.05000,05401.145,05305.333
05/17/2013,01:22,002.05694,05404.049,05299.249
05/17/2013,01:32,002.06389,05404.049,05293.165
05/17/2013,01:42,002.07083,05554.845,05287.081
05/17/2013,01:52,002.07778,05680.026,05280.997
05/17/2013,02:02,002.08472,05680.026,05274.912
05/17/2013,02:12,002.09167,05797.977,05268.828
05/17/2013,02:22,002.09861,05797.977,05262.744
05/17/2013,02:32,002.10556,05755.279,05256.659
05/17/2013,02:42,002.11250,05739.458,05250.575
05/17/2013,02:52,002.11944,05735.627,05244.491
05/17/2013,03:02,002.12639,05701.716,05238.407
05/17/2013,03:12,002.13333,05651.167,05232.322
05/17/2013,03:22,002.14028,05308.965,05226.238
05/17/2013,03:32,002.14722,05275.153,05220.154
05/17/2013,03:42,002.15417,05264.901,05214.069
05/17/2013,03:52,002.16111,05260.698,05207.985
05/17/2013,04:02,002.16806,05254.218,05201.901
05/17/2013,04:12,002.17500,05254.218,05195.817
05/17/2013,04:22,002.18194,05260.990,05189.732
05/17/2013,04:32,002.18889,05260.990,05183.648
05/17/2013,04:42,002.19583,05259.964,05177.564
05/17/2013,04:52,002.20278,05255.856,05171.479
05/17/2013,05:02,002.20972,05255.856,05165.396
05/17/2013,05:12,002.21667,05255.856,05159.311
05/17/2013,05:22,002.22361,05261.706,05153.227
05/17/2013,05:32,002.23056,05272.896,05147.143
05/17/2013,05:42,002.23750,05272.896,05141.059
05/17/2013,05:52,002.24444,05272.896,05134.974
05/17/2013,06:02,002.25139,05284.152,05128.890
05/17/2013,06:12,002.25833,05303.998,05122.806
05/17/2013,06:22,002.26528,05716.097,05116.721
05/17/2013,06:32,002.27222,05616.261,05110.637
05/17/2013,06:42,002.27917,05616.261,05104.553
05/17/2013,06:52,002.28611,05616.261,05098.469
05/17/2013,07:02,002.29306,05581.971,05092.384
05/17/2013,07:12,002.30000,05581.971,05086.300
05/17/2013,07:22,002.30694,05551.100,05080.216
05/17/2013,07:32,002.31389,05551.100,05074.131
05/17/2013,07:42,002.32083,05450.240,05068.047
05/17/2013,07:52,002.32778,05129.944,05061.963
05/17/2013,08:02,002.33472,05123.940,05055.879
05/17/2013,08:12,002.34167,05121.855,05049.794
05/17/2013,08:22,002.34861,05121.855,05043.710
05/17/2013,08:32,002.35556,05116.398,05037.626
05/17/2013,08:42,002.36250,05110.008,05031.542
05/17/2013,08:52,002.36944,05110.008,05025.458
05/17/2013,09:02,002.37639,05110.930,05019.373
05/17/2013,09:12,002.38333,05110.930,05013.289
05/17/2013,09:22,002.39028,05109.031,05007.205
05/17/2013,09:32,002.39722,05109.031,05001.121
05/17/2013,09:42,002.40417,05116.737,04995.036
05/17/2013,09:52,002.41111,05118.503,04988.952
05/17/2013,10:02,002.41806,05116.737,04982.868
05/17/2013,10:12,002.42500,05126.247,04976.784
05/17/2013,10:22,002.43194,05118.976,04970.699
05/17/2013,10:32,002.43889,05118.976,04964.615
05/17/2013,10:42,002.44583,05108.404,04958.531
05/17/2013,10:52,002.45278,05108.404,04952.446
05/17/2013,11:02,002.45972,05159.058,04946.362
05/17/2013,11:12,002.46667,05269.458,04940.278
05/17/2013,11:22,002.47361,05297.276,04934.194
05/17/2013,11:32,002.48056,05297.276,04928.109
05/17/2013,11:42,002.48750,05423.661,04922.025
05/17/2013,11:52,002.49444,05450.898,04915.941
05/17/2013,12:02,002.50139,05450.898,04909.856
05/17/2013,12:12,002.50833,05432.154,04903.772
05/17/2013,12:22,002.51528,05310.601,04897.688
05/17/2013,12:32,002.52222,04962.837,04891.604
05/17/2013,12:42,002.52917,04949.768,04885.520
05/17/2013,12:52,002.53611,04942.275,04879.436
05/17/2013,13:02,002.54306,04949.768,04873.351
05/17/2013,13:12,002.55000,04942.275,04867.267
05/17/2013,13:22,002.55694,04954.987,04861.183
05/17/2013,13:32,002.56389,04963.709,04855.098
05/17/2013,13:52,002.57778,05502.066,04842.930
05/17/2013,14:02,002.58472,05502.066,04836.846
05/17/2013,14:12,002.59167,05435.213,04830.761
05/17/2013,14:22,002.59861,05337.792,04824.677
05/17/2013,14:32,002.60556,05281.075,04818.593
05/17/2013,14:42,002.61250,05223.302,04812.508
05/17/2013,14:52,002.61944,05166.841,04806.424
05/17/2013,15:02,002.62639,05086.589,04800.340
05/17/2013,15:12,002.63333,05006.911,04794.256
05/17/2013,15:22,002.64028,04944.210,04788.171
05/17/2013,15:32,002.64722,04846.110,04782.087
05/17/2013,15:42,002.65417,04771.396,04776.003
05/17/2013,15:52,002.66111,04709.666,04769.918
05/17/2013,16:02,002.66806,04637.523,04763.834
05/17/2013,16:12,002.67500,04570.744,04757.750
05/17/2013,16:22,002.68194,04522.563,04751.666
05/17/2013,16:32,002.68889,04463.815,04745.582
05/17/2013,16:42,002.69583,04408.630,04739.498
05/17/2013,16:52,002.70278,04371.125,04733.413
05/17/2013,17:02,002.70972,04343.738,04727.329
05/17/2013,17:12,002.71667,04315.792,04721.245
05/17/2013,17:22,002.72361,04289.889,04715.160
05/17/2013,17:32,002.73056,04269.344,04709.076
05/17/2013,17:42,002.73750,04246.655,04702.992
05/17/2013,17:52,002.74444,04243.479,04696.908
05/17/2013,18:02,002.75139,04235.061,04690.823
05/17/2013,18:12,002.75833,04231.103,04684.739
05/17/2013,18:22,002.76528,04231.103,04678.655
05/17/2013,18:32,002.77222,04236.618,04672.570
05/17/2013,18:42,002.77917,04236.618,04666.486
05/17/2013,18:52,002.78611,04236.618,04660.402
05/17/2013,19:02,002.79306,04234.729,04654.318
05/17/2013,19:12,002.80000,04237.011,04648.233
05/17/2013,19:22,002.80694,04243.021,04642.149
05/17/2013,19:32,002.81389,04243.021,04636.065
05/17/2013,19:42,002.82083,04243.021,04629.981
05/17/2013,19:52,002.82778,04251.542,04623.896
05/17/2013,20:02,002.83472,04251.542,04617.812
05/17/2013,20:12,002.84167,04241.302,04611.728
05/17/2013,20:22,002.84861,04241.302,04605.644
05/17/2013,20:32,002.85556,04246.025,04599.560
05/17/2013,20:42,002.86250,04246.025,04593.475
05/17/2013,20:52,002.86944,04246.513,04587.391
05/17/2013,21:02,002.87639,04241.307,04581.307
05/17/2013,21:12,002.88333,04226.505,04575.222
05/17/2013,21:22,002.89028,04224.998,04569.138
05/17/2013,21:32,002.89722,04224.998,04563.054
05/17/2013,21:42,002.90417,04224.998,04556.970
05/17/2013,21:52,002.91111,04220.443,04550.885
05/17/2013,22:02,002.91806,04215.484,04544.801
05/17/2013,22:12,002.92500,04215.484,04538.717
05/17/2013,22:22,002.93194,04215.484,04532.633
05/17/2013,22:32,002.93889,04194.035,04526.548
05/17/2013,22:42,002.94583,04189.223,04520.464
05/17/2013,22:52,002.95278,04184.355,04514.380
05/17/2013,23:02,002.95972,04179.661,04508.295
05/17/2013,23:12,002.96667,04175.350,04502.211
05/17/2013,23:22,002.97361,04168.138,04496.127
05/17/2013,23:32,002.98056,04168.138,04490.043
05/17/2013,23:42,002.98750,04158.326,04483.958
05/17/2013,23:52,002.99444,04148.287,04477.874
05/18/2013,00:02,003.00139,04146.710,04471.790
05/18/2013,00:12,003.00833,04130.261,04465.706
05/18/2013,00:22,003.01528,04128.360,04459.622
05/18/2013,00:32,003.02222,04112.701,04453.537
05/18/2013,00:42,003.02917,04098.293,04447.453
05/18/2013,00:52,003.03611,04097.735,04441.369
05/18/2013,01:02,003.04306,04090.867,04435.285
05/18/2013,01:12,003.05000,04076.870,04429.200
05/18/2013,01:22,003.05694,04046.496,04423.116
05/18/2013,01:32,003.06389,04039.360,04417.032
05/18/2013,01:42,003.07083,04036.541,04410.947
05/18/2013,01:52,003.07778,04024.109,04404.863
05/18/2013,02:02,003.08472,04012.025,04398.779
05/18/2013,02:12,003.09167,04002.588,04392.695
05/18/2013,02:22,003.09861,03993.623,04386.610
05/18/2013,02:32,003.10556,03963.557,04380.526
05/18/2013,02:42,003.11250,03953.027,04374.442
05/18/2013,02:52,003.11944,03945.810,04368.357
05/18/2013,03:02,003.12639,03928.060,04362.273
05/18/2013,03:12,003.13333,03913.856,04356.189
05/18/2013,03:22,003.14028,03902.009,04350.105
05/18/2013,03:32,003.14722,03901.403,04344.021
05/18/2013,03:42,003.15417,03882.289,04337.937
05/18/2013,03:52,003.16111,03874.079,04331.852
05/18/2013,04:02,003.16806,03853.654,04325.768
05/18/2013,04:12,003.17500,03846.606,04319.684
05/18/2013,04:22,003.18194,03826.168,04313.599
05/18/2013,04:32,003.18889,03813.455,04307.515
05/18/2013,04:42,003.19583,03799.257,04301.431
05/18/2013,04:52,003.20278,03774.995,04295.347
05/18/2013,05:02,003.20972,03772.286,04289.262
05/18/2013,05:12,003.21667,03755.885,04283.178
05/18/2013,05:22,003.22361,03738.611,04277.094
05/18/2013,05:32,003.23056,03735.288,04271.009
05/18/2013,05:42,003.23750,03726.505,04264.925
05/18/2013,05:52,003.24444,03704.578,04258.841
05/18/2013,06:02,003.25139,03701.344,04252.757
05/18/2013,06:12,003.25833,03693.130,04246.672
05/18/2013,06:22,003.26528,03669.474,04240.588
05/18/2013,06:32,003.27222,03657.844,04234.504
05/18/2013,06:42,003.27917,03650.501,04228.419
05/18/2013,06:52,003.28611,03637.453,04222.335
05/18/2013,07:02,003.29306,03627.958,04216.251
05/18/2013,07:12,003.30000,03618.631,04210.167
05/18/2013,07:22,003.30694,03610.676,04204.083
05/18/2013,07:32,003.31389,03595.102,04197.999
05/18/2013,07:42,003.32083,03590.716,04191.914
05/18/2013,07:52,003.32778,03566.948,04185.830
05/18/2013,08:02,003.33472,03560.755,04179.746
05/18/2013,08:12,003.34167,03559.973,04173.661
05/18/2013,08:22,003.34861,03551.365,04167.577
05/18/2013,08:32,003.35556,03537.644,04161.493
05/18/2013,08:42,003.36250,03526.618,04155.409
05/18/2013,08:52,003.36944,03524.126,04149.324
05/18/2013,09:02,003.37639,03522.852,04143.240
05/18/2013,09:12,003.38333,03508.143,04137.156
05/18/2013,09:22,003.39028,03507.770,04131.072
05/18/2013,09:32,003.39722,03491.278,04124.987
05/18/2013,09:42,003.40417,03490.542,04118.903
05/18/2013,09:52,003.41111,03482.378,04112.819
05/18/2013,10:02,003.41806,03480.878,04106.734
05/18/2013,10:12,003.42500,03455.567,04100.650
05/18/2013,10:22,003.43194,03448.822,04094.566
05/18/2013,10:32,003.43889,03445.642,04088.482
05/18/2013,10:42,003.44583,03444.293,04082.397
05/18/2013,10:52,003.45278,03440.765,04076.313
05/18/2013,11:02,003.45972,03434.508,04070.229
05/18/2013,11:12,003.46667,03418.036,04064.145
05/18/2013,11:22,003.47361,03418.036,04058.061
05/18/2013,11:32,003.48056,03411.903,04051.976
05/18/2013,11:42,003.48750,03406.945,04045.892
05/18/2013,11:52,003.49444,03401.224,04039.808
05/18/2013,12:02,003.50139,03401.224,04033.723
05/18/2013,12:12,003.50833,03393.777,04027.639
05/18/2013,12:22,003.51528,03395.346,04021.555
05/18/2013,12:32,003.52222,03378.977,04015.471
05/18/2013,12:42,003.52917,03371.788,04009.386
05/18/2013,12:52,003.53611,03371.788,04003.302
05/18/2013,13:02,003.54306,03371.788,03997.218
05/18/2013,13:12,003.55000,03361.074,03991.134
05/18/2013,13:22,003.55694,03357.065,03985.049
05/18/2013,13:32,003.56389,03356.545,03978.965
05/18/2013,13:42,003.57083,03356.545,03972.881
05/18/2013,13:52,003.57778,03348.347,03966.797
05/18/2013,14:02,003.58472,03347.166,03960.712
05/18/2013,14:12,003.59167,03343.118,03954.628
05/18/2013,14:22,003.59861,03347.166,03948.544
05/18/2013,14:32,003.60556,03328.764,03942.459
05/18/2013,14:42,003.61250,03325.430,03936.375
05/18/2013,14:52,003.61944,03321.055,03930.291
05/18/2013,15:02,003.62639,03325.430,03924.207
05/18/2013,15:12,003.63333,03317.228,03918.123
05/18/2013,15:22,003.64028,03317.228,03912.038
05/18/2013,15:32,003.64722,03317.108,03905.954
05/18/2013,15:42,003.65417,03309.160,03899.870
05/18/2013,15:52,003.66111,03300.792,03893.785
05/18/2013,16:02,003.66806,03300.792,03887.701
05/18/2013,16:12,003.67500,03300.792,03881.617
05/18/2013,16:22,003.68194,03295.267,03875.533
05/18/2013,16:32,003.68889,03295.267,03869.448
05/18/2013,16:42,003.69583,03295.267,03863.364
05/18/2013,16:52,003.70278,03290.473,03857.280
05/18/2013,17:02,003.70972,03290.473,03851.196
05/18/2013,17:12,003.71667,03290.473,03845.111
05/18/2013,17:22,003.72361,03281.543,03839.027
05/18/2013,17:32,003.73056,03279.932,03832.943
05/18/2013,17:42,003.73750,03278.892,03826.859
05/18/2013,17:52,003.74444,03278.637,03820.774
05/18/2013,18:02,003.75139,03272.276,03814.690
