LumiCycle: 20160331C3pCLIH_18 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/31/2016,15:38,000.65139,00479.547,00146.396
03/31/2016,15:48,000.65833,00485.413,00149.681
03/31/2016,15:58,000.66528,00485.413,00152.965
03/31/2016,16:08,000.67222,00485.714,00156.250
03/31/2016,16:18,000.67917,00487.700,00159.534
03/31/2016,16:28,000.68611,00498.128,00162.819
03/31/2016,16:38,000.69306,00506.965,00166.103
03/31/2016,16:48,000.70000,00508.662,00169.388
03/31/2016,16:58,000.70694,00511.533,00172.672
03/31/2016,17:08,000.71389,00516.971,00175.956
03/31/2016,17:18,000.72083,00519.854,00179.241
03/31/2016,17:28,000.72778,00522.975,00182.525
03/31/2016,17:38,000.73472,00523.493,00185.810
03/31/2016,17:48,000.74167,00522.975,00189.094
03/31/2016,17:58,000.74861,00509.563,00192.379
03/31/2016,18:08,000.75556,00472.482,00195.663
03/31/2016,18:18,000.76250,00464.189,00198.948
03/31/2016,18:28,000.76944,00454.328,00202.232
03/31/2016,18:38,000.77639,00451.086,00205.517
03/31/2016,18:48,000.78333,00451.086,00208.801
03/31/2016,18:58,000.79028,00453.484,00212.086
03/31/2016,19:08,000.79722,00454.841,00215.370
03/31/2016,19:18,000.80417,00454.841,00218.655
03/31/2016,19:28,000.81111,00458.223,00221.939
03/31/2016,19:38,000.81806,00455.582,00225.224
03/31/2016,19:48,000.82500,00458.223,00228.508
03/31/2016,19:58,000.83194,00457.737,00231.793
03/31/2016,20:08,000.83889,00460.249,00235.077
03/31/2016,20:18,000.84583,00476.554,00238.362
03/31/2016,20:28,000.85278,00482.573,00241.646
03/31/2016,20:38,000.85972,00500.414,00244.931
03/31/2016,20:48,000.86667,00531.629,00248.215
03/31/2016,20:58,000.87361,00535.877,00251.500
03/31/2016,21:08,000.88056,00536.453,00254.784
03/31/2016,21:18,000.88750,00535.877,00258.069
03/31/2016,21:28,000.89444,00533.008,00261.353
03/31/2016,21:38,000.90139,00512.746,00264.638
03/31/2016,21:48,000.90833,00451.985,00267.922
03/31/2016,21:58,000.91528,00435.151,00271.207
03/31/2016,22:08,000.92222,00432.699,00274.491
03/31/2016,22:18,000.92917,00432.571,00277.776
03/31/2016,22:28,000.93611,00428.765,00281.060
03/31/2016,22:38,000.94306,00426.651,00284.345
03/31/2016,22:48,000.95000,00423.287,00287.629
03/31/2016,22:58,000.95694,00421.774,00290.914
03/31/2016,23:08,000.96389,00418.486,00294.198
03/31/2016,23:18,000.97083,00418.486,00297.483
03/31/2016,23:28,000.97778,00418.073,00300.767
03/31/2016,23:38,000.98472,00415.278,00304.051
03/31/2016,23:48,000.99167,00411.436,00307.336
03/31/2016,23:58,000.99861,00409.052,00310.620
04/01/2016,00:08,001.00556,00409.052,00313.905
04/01/2016,00:18,001.01250,00408.124,00317.189
04/01/2016,00:28,001.01944,00408.124,00320.474
04/01/2016,00:38,001.02639,00408.124,00323.758
04/01/2016,00:48,001.03333,00410.651,00327.043
04/01/2016,00:58,001.04028,00412.883,00330.327
04/01/2016,01:08,001.04722,00456.794,00333.612
04/01/2016,01:18,001.05417,00472.406,00336.896
04/01/2016,01:28,001.06111,00472.406,00340.181
04/01/2016,01:38,001.06806,00477.137,00343.465
04/01/2016,01:48,001.07500,00472.581,00346.750
04/01/2016,01:58,001.08194,00472.581,00350.034
04/01/2016,02:08,001.08889,00472.553,00353.319
04/01/2016,02:18,001.09583,00471.868,00356.603
