LumiCycle: 20160331C3pCLIH_19 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/31/2016,15:36,000.65000,00451.882,00384.851
03/31/2016,15:46,000.65694,00456.353,00384.493
03/31/2016,15:56,000.66389,00456.353,00384.136
03/31/2016,16:06,000.67083,00458.161,00383.778
03/31/2016,16:16,000.67778,00458.817,00383.421
03/31/2016,16:26,000.68472,00467.208,00383.063
03/31/2016,16:36,000.69167,00469.177,00382.706
03/31/2016,16:46,000.69861,00472.082,00382.348
03/31/2016,16:56,000.70556,00481.288,00381.991
03/31/2016,17:06,000.71250,00482.672,00381.633
03/31/2016,17:16,000.71944,00485.127,00381.276
03/31/2016,17:26,000.72639,00489.167,00380.918
03/31/2016,17:36,000.73333,00489.923,00380.561
03/31/2016,17:46,000.74028,00489.923,00380.203
03/31/2016,17:56,000.74722,00489.909,00379.845
03/31/2016,18:06,000.75417,00472.206,00379.488
03/31/2016,18:16,000.76111,00442.984,00379.130
03/31/2016,18:26,000.76806,00435.386,00378.773
03/31/2016,18:36,000.77500,00420.690,00378.415
03/31/2016,18:46,000.78194,00418.672,00378.058
03/31/2016,18:56,000.78889,00418.034,00377.700
03/31/2016,19:06,000.79583,00418.034,00377.343
03/31/2016,19:16,000.80278,00419.810,00376.985
03/31/2016,19:26,000.80972,00419.810,00376.628
03/31/2016,19:36,000.81667,00419.618,00376.270
03/31/2016,19:46,000.82361,00419.618,00375.913
03/31/2016,19:56,000.83056,00420.470,00375.555
03/31/2016,20:06,000.83750,00424.296,00375.198
03/31/2016,20:16,000.84444,00429.435,00374.840
03/31/2016,20:26,000.85139,00430.333,00374.483
03/31/2016,20:36,000.85833,00450.740,00374.125
03/31/2016,20:46,000.86528,00463.452,00373.768
03/31/2016,20:56,000.87222,00483.326,00373.410
03/31/2016,21:06,000.87917,00503.782,00373.053
03/31/2016,21:16,000.88611,00504.313,00372.695
03/31/2016,21:26,000.89306,00507.520,00372.337
03/31/2016,21:36,000.90000,00507.520,00371.980
03/31/2016,21:46,000.90694,00504.382,00371.622
03/31/2016,21:56,000.91389,00482.933,00371.265
03/31/2016,22:06,000.92083,00418.705,00370.907
03/31/2016,22:16,000.92778,00405.220,00370.550
03/31/2016,22:26,000.93472,00400.539,00370.192
03/31/2016,22:36,000.94167,00395.477,00369.835
03/31/2016,22:46,000.94861,00394.964,00369.477
03/31/2016,22:56,000.95556,00393.723,00369.120
03/31/2016,23:06,000.96250,00386.331,00368.762
03/31/2016,23:16,000.96944,00384.131,00368.405
03/31/2016,23:26,000.97639,00382.588,00368.047
03/31/2016,23:36,000.98333,00382.304,00367.690
03/31/2016,23:46,000.99028,00378.029,00367.332
03/31/2016,23:56,000.99722,00377.437,00366.975
04/01/2016,00:06,001.00417,00376.205,00366.617
04/01/2016,00:16,001.01111,00373.840,00366.260
04/01/2016,00:26,001.01806,00372.921,00365.902
04/01/2016,00:36,001.02500,00371.500,00365.545
04/01/2016,00:46,001.03194,00371.500,00365.187
04/01/2016,00:56,001.03889,00373.064,00364.829
04/01/2016,01:06,001.04583,00389.053,00364.472
04/01/2016,01:16,001.05278,00428.936,00364.114
04/01/2016,01:26,001.05972,00436.014,00363.757
04/01/2016,01:36,001.06667,00437.977,00363.399
04/01/2016,01:46,001.07361,00438.369,00363.042
04/01/2016,01:56,001.08056,00441.810,00362.684
04/01/2016,02:06,001.08750,00441.810,00362.327
04/01/2016,02:16,001.09444,00440.281,00361.969
04/01/2016,02:26,001.10139,00437.798,00361.612
04/01/2016,02:36,001.10833,00432.201,00361.254
04/01/2016,02:46,001.11528,00428.651,00360.897
04/01/2016,02:56,001.12222,00424.544,00360.539
04/01/2016,03:06,001.12917,00422.198,00360.182
04/01/2016,03:16,001.13611,00422.198,00359.824
04/01/2016,03:26,001.14306,00412.820,00359.467
04/01/2016,03:36,001.15000,00412.263,00359.109
04/01/2016,03:46,001.15694,00411.576,00358.752
04/01/2016,03:56,001.16389,00406.029,00358.394
04/01/2016,04:06,001.17083,00402.943,00358.037
04/01/2016,04:16,001.17778,00402.152,00357.679
04/01/2016,04:26,001.18472,00398.714,00357.322
04/01/2016,04:36,001.19167,00396.273,00356.964
04/01/2016,04:46,001.19861,00391.643,00356.606
04/01/2016,04:56,001.20556,00390.743,00356.249
04/01/2016,05:06,001.21250,00388.605,00355.891
04/01/2016,05:16,001.21944,00387.654,00355.534
04/01/2016,05:26,001.22639,00385.156,00355.176
04/01/2016,05:36,001.23333,00383.328,00354.819
04/01/2016,05:46,001.24028,00304.436,00354.461
04/01/2016,05:56,001.24722,00292.662,00354.104
04/01/2016,06:06,001.25417,00289.626,00353.746
04/01/2016,06:16,001.26111,00288.985,00353.389
04/01/2016,06:26,001.26806,00286.814,00353.031
04/01/2016,06:36,001.27500,00286.189,00352.674
04/01/2016,06:46,001.28194,00284.748,00352.316
04/01/2016,06:56,001.28889,00280.081,00351.959
04/01/2016,07:06,001.29583,00280.081,00351.601
04/01/2016,07:16,001.30278,00278.539,00351.244
04/01/2016,07:26,001.30972,00278.709,00350.886
04/01/2016,07:36,001.31667,00277.968,00350.529
04/01/2016,07:46,001.32361,00277.968,00350.171
04/01/2016,07:56,001.33056,00276.940,00349.814
04/01/2016,08:06,001.33750,00276.213,00349.456
04/01/2016,08:16,001.34444,00276.021,00349.098
04/01/2016,08:26,001.35139,00275.279,00348.741
04/01/2016,08:36,001.35833,00273.959,00348.383
04/01/2016,08:46,001.36528,00275.279,00348.026
04/01/2016,08:56,001.37222,00275.900,00347.668
04/01/2016,09:06,001.37917,00276.207,00347.311
04/01/2016,09:16,001.38611,00276.207,00346.953
