LumiCycle: 20160331C3pCLIH_22 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/31/2016,15:40,000.65278,00483.615,00381.806
03/31/2016,15:50,000.65972,00483.615,00381.504
03/31/2016,16:00,000.66667,00483.615,00381.201
03/31/2016,16:10,000.67361,00489.766,00380.898
03/31/2016,16:20,000.68056,00496.046,00380.596
03/31/2016,16:30,000.68750,00496.046,00380.293
03/31/2016,16:40,000.69444,00498.274,00379.991
03/31/2016,16:50,000.70139,00500.136,00379.688
03/31/2016,17:00,000.70833,00503.756,00379.386
03/31/2016,17:10,000.71528,00506.374,00379.083
03/31/2016,17:20,000.72222,00506.374,00378.781
03/31/2016,17:30,000.72917,00506.374,00378.478
03/31/2016,17:40,000.73611,00504.490,00378.175
03/31/2016,17:50,000.74306,00506.203,00377.873
03/31/2016,18:00,000.75000,00504.490,00377.570
03/31/2016,18:10,000.75694,00487.173,00377.268
03/31/2016,18:20,000.76389,00454.940,00376.965
03/31/2016,18:30,000.77083,00433.188,00376.663
03/31/2016,18:40,000.77778,00429.662,00376.360
03/31/2016,18:50,000.78472,00429.591,00376.057
03/31/2016,19:00,000.79167,00423.282,00375.755
03/31/2016,19:10,000.79861,00423.000,00375.452
03/31/2016,19:20,000.80556,00423.000,00375.150
03/31/2016,19:30,000.81250,00423.233,00374.847
03/31/2016,19:40,000.81944,00424.160,00374.545
03/31/2016,19:50,000.82639,00425.309,00374.242
03/31/2016,20:00,000.83333,00424.160,00373.940
03/31/2016,20:10,000.84028,00422.826,00373.637
03/31/2016,20:20,000.84722,00422.826,00373.334
03/31/2016,20:30,000.85417,00429.934,00373.032
03/31/2016,20:40,000.86111,00457.806,00372.729
03/31/2016,20:50,000.86806,00490.113,00372.427
03/31/2016,21:00,000.87500,00496.101,00372.124
03/31/2016,21:10,000.88194,00498.401,00371.822
03/31/2016,21:20,000.88889,00498.401,00371.519
03/31/2016,21:30,000.89583,00498.801,00371.217
03/31/2016,21:40,000.90278,00497.170,00370.914
03/31/2016,21:50,000.90972,00474.337,00370.611
03/31/2016,22:00,000.91667,00412.840,00370.309
03/31/2016,22:10,000.92361,00400.331,00370.006
03/31/2016,22:20,000.93056,00398.309,00369.704
03/31/2016,22:30,000.93750,00397.257,00369.401
03/31/2016,22:40,000.94444,00391.385,00369.099
03/31/2016,22:50,000.95139,00391.385,00368.796
