LumiCycle: 20160331C3pCLIH_25 (Raw),,,,
Date,Time (hr:min),Time (days),counts/sec, 
Baseline,,,,
4/2/2016,2:48,2.11667,304.43,330.401
4/2/2016,2:58,2.12361,304.43,330.398
4/2/2016,3:08,2.13056,306.466,330.395
4/2/2016,3:18,2.1375,307.408,330.392
4/2/2016,3:28,2.14444,307.408,330.389
4/2/2016,3:38,2.15139,307.936,330.386
4/2/2016,3:48,2.15833,307.978,330.383
4/2/2016,3:58,2.16528,307.978,330.38
4/2/2016,4:08,2.17222,307.978,330.377
4/2/2016,4:18,2.17917,310.611,330.374
4/2/2016,4:28,2.18611,311.053,330.371
4/2/2016,4:38,2.19306,311.738,330.368
4/2/2016,4:48,2.2,312.98,330.365
4/2/2016,4:58,2.20694,315.977,330.362
4/2/2016,5:08,2.21389,319.143,330.359
4/2/2016,5:18,2.22083,320.002,330.356
4/2/2016,5:28,2.22778,320.088,330.353
4/2/2016,5:38,2.23472,320.088,330.35
4/2/2016,5:48,2.24167,316.448,330.347
4/2/2016,5:58,2.24861,316.448,330.344
4/2/2016,6:08,2.25556,359.039,330.341
4/2/2016,6:18,2.2625,371.622,330.339
4/2/2016,6:28,2.26944,377.665,330.336
4/2/2016,6:38,2.27639,379.107,330.333
4/2/2016,6:48,2.28333,380.402,330.33
4/2/2016,6:58,2.29028,381.391,330.327
4/2/2016,7:08,2.29722,381.391,330.324
4/2/2016,7:18,2.30417,355.504,330.321
4/2/2016,7:28,2.31111,326.064,330.318
4/2/2016,7:38,2.31806,318.261,330.315
4/2/2016,7:48,2.325,318.261,330.312
4/2/2016,7:58,2.33194,317.186,330.309
4/2/2016,8:08,2.33889,313.679,330.306
4/2/2016,8:18,2.34583,312.418,330.303
4/2/2016,8:28,2.35278,311.781,330.3
4/2/2016,8:38,2.35972,311.267,330.297
4/2/2016,8:48,2.36667,311.267,330.294
4/2/2016,8:58,2.37361,311.267,330.291
4/2/2016,9:08,2.38056,311.553,330.288
4/2/2016,9:18,2.3875,311.553,330.285
4/2/2016,9:28,2.39444,312.623,330.282
4/2/2016,9:38,2.40139,312.623,330.279
4/2/2016,9:48,2.40833,312.623,330.276
4/2/2016,9:58,2.41528,315.117,330.273
4/2/2016,10:08,2.42222,315.117,330.27
4/2/2016,10:18,2.42917,314.921,330.267
4/2/2016,10:28,2.43611,314.921,330.264
4/2/2016,10:38,2.44306,314.893,330.261
4/2/2016,10:48,2.45,316.145,330.259
4/2/2016,10:58,2.45694,343.068,330.256
4/2/2016,11:08,2.46389,366.747,330.253
4/2/2016,11:18,2.47083,378.95,330.25
4/2/2016,11:28,2.47778,383.374,330.247
4/2/2016,11:38,2.48472,386.015,330.244
4/2/2016,11:48,2.49167,387.968,330.241
4/2/2016,11:58,2.49861,392.995,330.238
4/2/2016,12:08,2.50556,392.995,330.235
4/2/2016,12:18,2.5125,387.928,330.232
4/2/2016,12:28,2.51944,332.016,330.229
4/2/2016,12:38,2.52639,330.507,330.226
4/2/2016,12:48,2.53333,320.499,330.223
4/2/2016,12:58,2.54028,320.499,330.22
4/2/2016,13:08,2.54722,321.199,330.217
4/2/2016,13:18,2.55417,321.199,330.214
4/2/2016,13:28,2.56111,318.946,330.211
4/2/2016,13:38,2.56806,315.207,330.208
4/2/2016,13:48,2.575,315.207,330.205
4/2/2016,13:58,2.58194,315.931,330.202
4/2/2016,14:08,2.58889,316.002,330.199
4/2/2016,14:18,2.59583,316.002,330.196
4/2/2016,14:28,2.60278,317.476,330.193
4/2/2016,14:38,2.60972,317.476,330.19
4/2/2016,14:48,2.61667,319.36,330.187
4/2/2016,14:58,2.62361,319.36,330.184
4/2/2016,15:08,2.63056,319.971,330.181
4/2/2016,15:18,2.6375,320.998,330.178
4/2/2016,15:28,2.64444,319.971,330.176
4/2/2016,15:38,2.65139,320.998,330.173
4/2/2016,15:48,2.65833,324.504,330.17
4/2/2016,15:58,2.66528,325.783,330.167
4/2/2016,16:08,2.67222,329.079,330.164
4/2/2016,16:18,2.67917,367.674,330.161
4/2/2016,16:28,2.68611,384.559,330.158
4/2/2016,16:38,2.69306,384.559,330.155
4/2/2016,16:48,2.7,384.559,330.152
4/2/2016,16:58,2.70694,385.07,330.149
4/2/2016,17:08,2.71389,386.027,330.146
4/2/2016,17:18,2.72083,390.352,330.143
4/2/2016,17:28,2.72778,390.352,330.14
4/2/2016,17:38,2.73472,387.585,330.137
4/2/2016,17:48,2.74167,333.971,330.134
4/2/2016,17:58,2.74861,329.808,330.131
4/2/2016,18:08,2.75556,328.22,330.128
4/2/2016,18:18,2.7625,321.684,330.125
4/2/2016,18:28,2.76944,320.145,330.122
4/2/2016,18:38,2.77639,319.717,330.119
4/2/2016,18:48,2.78333,319.717,330.116
4/2/2016,18:58,2.79028,319.717,330.113
4/2/2016,19:38,2.81806,299.627,330.101
4/2/2016,19:48,2.825,294.211,330.098
4/2/2016,19:58,2.83194,289.092,330.095
4/2/2016,20:08,2.83889,284.619,330.093
4/2/2016,20:18,2.84583,280.507,330.09
4/2/2016,20:28,2.85278,280.507,330.087
4/2/2016,20:38,2.85972,284.635,330.084
4/2/2016,20:48,2.86667,284.894,330.081
4/2/2016,20:58,2.87361,285.934,330.078
4/2/2016,21:08,2.88056,287.631,330.075
4/2/2016,21:18,2.8875,287.977,330.072
4/2/2016,21:28,2.89444,289.529,330.069
4/2/2016,21:38,2.90139,291.028,330.066
4/2/2016,21:48,2.90833,291.485,330.063
4/2/2016,21:58,2.91528,291.485,330.06
4/2/2016,22:08,2.92222,291.485,330.057
4/2/2016,22:18,2.92917,291.347,330.054
4/2/2016,22:28,2.93611,292.475,330.051
4/2/2016,22:38,2.94306,291.347,330.048
4/2/2016,22:48,2.95,292.475,330.045
4/2/2016,22:58,2.95694,290.548,330.042
4/2/2016,23:08,2.96389,293.654,330.039
4/2/2016,23:18,2.97083,289.291,330.036
4/2/2016,23:28,2.97778,289.691,330.033
4/2/2016,23:38,2.98472,289.291,330.03
4/2/2016,23:48,2.99167,286.175,330.027
4/2/2016,23:58,2.99861,286.175,330.024
4/3/2016,0:08,3.00556,287.874,330.021
4/3/2016,0:18,3.0125,287.874,330.018
4/3/2016,0:28,3.01944,285.176,330.015
4/3/2016,0:38,3.02639,284.823,330.013
4/3/2016,0:48,3.03333,282.564,330.01
4/3/2016,0:58,3.04028,282.471,330.007
4/3/2016,1:08,3.04722,281.622,330.004
4/3/2016,1:18,3.05417,280.744,330.001
4/3/2016,1:28,3.06111,280.33,329.998
4/3/2016,1:38,3.06806,280.33,329.995
4/3/2016,1:48,3.075,281.479,329.992
4/3/2016,1:58,3.08194,283.458,329.989
4/3/2016,2:08,3.08889,282.664,329.986
4/3/2016,2:18,3.09583,283.753,329.983
4/3/2016,2:28,3.10278,283.753,329.98
4/3/2016,2:38,3.10972,284.129,329.977
4/3/2016,2:48,3.11667,284.129,329.974
4/3/2016,2:58,3.12361,283.767,329.971
4/3/2016,3:08,3.13056,282.507,329.968
4/3/2016,3:18,3.1375,281.922,329.965
4/3/2016,3:28,3.14444,281.922,329.962
4/3/2016,3:38,3.15139,278.299,329.959
4/3/2016,3:48,3.15833,272.758,329.956
4/3/2016,3:58,3.16528,272.758,329.953
4/3/2016,4:08,3.17222,274.6,329.95
4/3/2016,4:18,3.17917,274.6,329.947
4/3/2016,4:28,3.18611,270.218,329.944
4/3/2016,4:38,3.19306,270.218,329.941
4/3/2016,4:48,3.2,269.59,329.938
4/3/2016,4:58,3.20694,269.705,329.935
4/3/2016,5:08,3.21389,269.59,329.932
4/3/2016,5:18,3.22083,269.705,329.93
4/3/2016,5:28,3.22778,269.304,329.927
4/3/2016,5:38,3.23472,269.176,329.924
4/3/2016,5:48,3.24167,268.12,329.921
4/3/2016,5:58,3.24861,268.12,329.918
4/3/2016,6:08,3.25556,269.709,329.915
4/3/2016,6:18,3.2625,270.122,329.912
4/3/2016,6:28,3.26944,270.122,329.909
4/3/2016,6:38,3.27639,275.395,329.906
4/3/2016,6:48,3.28333,275.395,329.903
4/3/2016,6:58,3.29028,269.637,329.9
4/3/2016,7:08,3.29722,268.483,329.897
4/3/2016,7:18,3.30417,269.518,329.894
4/3/2016,7:28,3.31111,269.518,329.891
4/3/2016,7:38,3.31806,269.518,329.888
4/3/2016,7:48,3.325,268.204,329.885
4/3/2016,7:58,3.33194,268.104,329.882
4/3/2016,8:08,3.33889,266.857,329.879
4/3/2016,8:18,3.34583,263.771,329.876
4/3/2016,8:28,3.35278,264.18,329.873
4/3/2016,8:38,3.35972,264.18,329.87
4/3/2016,8:48,3.36667,264.18,329.867
4/3/2016,8:58,3.37361,262.836,329.864
4/3/2016,9:08,3.38056,261.283,329.861
4/3/2016,9:18,3.3875,260.412,329.858
4/3/2016,9:28,3.39444,260.412,329.855
4/3/2016,9:38,3.40139,260.155,329.852
4/3/2016,9:48,3.40833,260.814,329.849
4/3/2016,9:58,3.41528,260.155,329.847
4/3/2016,10:08,3.42222,258.071,329.844
4/3/2016,10:18,3.42917,258.071,329.841
4/3/2016,10:28,3.43611,259.126,329.838
4/3/2016,10:38,3.44306,259.126,329.835
4/3/2016,10:48,3.45,258.685,329.832
4/3/2016,10:58,3.45694,258.6,329.829
4/3/2016,11:08,3.46389,258.6,329.826
4/3/2016,11:18,3.47083,257.341,329.823
4/3/2016,11:28,3.47778,257.215,329.82
4/3/2016,11:38,3.48472,257.215,329.817
4/3/2016,11:48,3.49167,255.802,329.814
4/3/2016,11:58,3.49861,256.541,329.811
4/3/2016,12:08,3.50556,255.814,329.808
4/3/2016,12:18,3.5125,255.973,329.805
4/3/2016,12:28,3.51944,255.973,329.802
4/3/2016,12:38,3.52639,255.973,329.799
4/3/2016,12:48,3.53333,258.693,329.796
4/3/2016,12:58,3.54028,258.241,329.793
4/3/2016,13:08,3.54722,258.6,329.79
4/3/2016,13:18,3.55417,258.241,329.787
4/3/2016,13:28,3.56111,258.528,329.784
4/3/2016,13:38,3.56806,256.23,329.781
4/3/2016,13:48,3.575,256.23,329.778
4/3/2016,13:58,3.58194,255.771,329.775
4/3/2016,14:08,3.58889,255.771,329.772
4/3/2016,14:18,3.59583,257.214,329.769
4/3/2016,14:28,3.60278,257.214,329.767
4/3/2016,14:38,3.60972,256.642,329.764
4/3/2016,14:48,3.61667,255.987,329.761
4/3/2016,14:58,3.62361,254.988,329.758
4/3/2016,15:08,3.63056,254.988,329.755
4/3/2016,15:18,3.6375,258.699,329.752
4/3/2016,15:28,3.64444,258.699,329.749
4/3/2016,15:38,3.65139,256.373,329.746
4/3/2016,15:48,3.65833,256.299,329.743
4/3/2016,15:58,3.66528,256.128,329.74
4/3/2016,16:08,3.67222,256.128,329.737
4/3/2016,16:18,3.67917,256.128,329.734
