LumiCycle: 20160331C3pCLIH_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/31/2016,15:33,000.64792,00492.461,00563.746
03/31/2016,15:43,000.65486,00493.049,00563.366
03/31/2016,15:53,000.66181,00494.056,00562.987
03/31/2016,16:03,000.66875,00497.555,00562.608
03/31/2016,16:13,000.67569,00501.989,00562.229
03/31/2016,16:23,000.68264,00510.743,00561.850
03/31/2016,16:33,000.68958,00518.841,00561.470
03/31/2016,16:43,000.69653,00533.399,00561.091
03/31/2016,16:53,000.70347,00534.469,00560.712
03/31/2016,17:03,000.71042,00542.006,00560.333
03/31/2016,17:13,000.71736,00546.502,00559.954
03/31/2016,17:23,000.72431,00551.569,00559.574
03/31/2016,17:33,000.73125,00554.837,00559.195
03/31/2016,17:43,000.73819,00559.687,00558.816
03/31/2016,17:53,000.74514,00559.687,00558.437
03/31/2016,18:03,000.75208,00529.845,00558.058
03/31/2016,18:13,000.75903,00509.706,00557.679
03/31/2016,18:23,000.76597,00504.011,00557.299
03/31/2016,18:33,000.77292,00500.371,00556.920
03/31/2016,18:43,000.77986,00500.371,00556.541
03/31/2016,18:53,000.78681,00508.178,00556.162
03/31/2016,19:03,000.79375,00508.178,00555.783
03/31/2016,19:13,000.80069,00508.844,00555.403
03/31/2016,19:23,000.80764,00508.919,00555.024
03/31/2016,19:33,000.81458,00508.919,00554.645
03/31/2016,19:43,000.82153,00511.256,00554.266
03/31/2016,19:53,000.82847,00512.582,00553.887
03/31/2016,20:03,000.83542,00516.987,00553.507
03/31/2016,20:13,000.84236,00525.657,00553.128
03/31/2016,20:23,000.84931,00549.770,00552.749
03/31/2016,20:33,000.85625,00584.735,00552.370
03/31/2016,20:43,000.86319,00591.636,00551.991
03/31/2016,20:53,000.87014,00595.443,00551.611
03/31/2016,21:03,000.87708,00601.862,00551.232
03/31/2016,21:13,000.88403,00601.862,00550.853
03/31/2016,21:23,000.89097,00600.305,00550.474
03/31/2016,21:33,000.89792,00556.299,00550.095
03/31/2016,21:43,000.90486,00493.734,00549.716
03/31/2016,21:53,000.91181,00483.929,00549.336
03/31/2016,22:03,000.91875,00479.776,00548.957
03/31/2016,22:13,000.92569,00477.353,00548.578
03/31/2016,22:23,000.93264,00474.630,00548.199
03/31/2016,22:33,000.93958,00470.954,00547.820
03/31/2016,22:43,000.94653,00467.343,00547.440
03/31/2016,22:53,000.95347,00466.287,00547.061
03/31/2016,23:03,000.96042,00463.675,00546.682
03/31/2016,23:13,000.96736,00457.095,00546.303
03/31/2016,23:23,000.97431,00455.910,00545.924
03/31/2016,23:33,000.98125,00455.268,00545.544
03/31/2016,23:43,000.98819,00452.782,00545.165
03/31/2016,23:53,000.99514,00452.782,00544.786
04/01/2016,00:03,001.00208,00452.782,00544.407
04/01/2016,00:13,001.00903,00454.183,00544.028
04/01/2016,00:23,001.01597,00454.183,00543.648
04/01/2016,00:33,001.02292,00469.070,00543.269
04/01/2016,00:43,001.02986,00515.558,00542.890
