LumiCycle: 20160331C3pCLIH_6 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
03/31/2016,15:35,000.64931,00511.290,00371.489
03/31/2016,15:45,000.65625,00517.814,00371.161
03/31/2016,15:55,000.66319,00517.814,00370.833
03/31/2016,16:05,000.67014,00519.557,00370.504
03/31/2016,16:15,000.67708,00525.386,00370.176
03/31/2016,16:25,000.68403,00530.479,00369.847
03/31/2016,16:35,000.69097,00536.397,00369.519
03/31/2016,16:45,000.69792,00540.705,00369.190
03/31/2016,16:55,000.70486,00549.732,00368.862
03/31/2016,17:05,000.71181,00549.732,00368.533
03/31/2016,17:15,000.71875,00556.044,00368.205
03/31/2016,17:25,000.72569,00556.122,00367.876
03/31/2016,17:35,000.73264,00556.236,00367.548
03/31/2016,17:45,000.73958,00556.122,00367.219
03/31/2016,17:55,000.74653,00546.511,00366.891
03/31/2016,18:05,000.75347,00516.757,00366.562
03/31/2016,18:15,000.76042,00488.931,00366.234
03/31/2016,18:25,000.76736,00482.744,00365.906
03/31/2016,18:35,000.77431,00481.160,00365.577
03/31/2016,18:45,000.78125,00482.744,00365.249
03/31/2016,18:55,000.78819,00481.405,00364.920
03/31/2016,19:05,000.79514,00481.405,00364.592
03/31/2016,19:15,000.80208,00479.965,00364.263
03/31/2016,19:25,000.80903,00479.965,00363.935
03/31/2016,19:35,000.81597,00484.642,00363.606
03/31/2016,19:45,000.82292,00486.626,00363.278
03/31/2016,19:55,000.82986,00486.626,00362.949
03/31/2016,20:05,000.83681,00489.309,00362.621
03/31/2016,20:15,000.84375,00494.206,00362.292
03/31/2016,20:25,000.85069,00526.505,00361.964
03/31/2016,20:35,000.85764,00555.698,00361.636
03/31/2016,20:45,000.86458,00562.259,00361.307
03/31/2016,20:55,000.87153,00567.312,00360.979
03/31/2016,21:05,000.87847,00564.957,00360.650
03/31/2016,21:15,000.88542,00564.957,00360.322
03/31/2016,21:25,000.89236,00562.829,00359.993
03/31/2016,21:35,000.89931,00532.584,00359.665
03/31/2016,21:45,000.90625,00464.060,00359.336
03/31/2016,21:55,000.91319,00452.704,00359.008
03/31/2016,22:05,000.92014,00444.529,00358.679
03/31/2016,22:15,000.92708,00441.619,00358.351
03/31/2016,22:25,000.93403,00438.334,00358.022
03/31/2016,22:35,000.94097,00436.942,00357.694
03/31/2016,22:45,000.94792,00432.003,00357.365
03/31/2016,22:55,000.95486,00430.604,00357.037
03/31/2016,23:05,000.96181,00430.604,00356.709
03/31/2016,23:15,000.96875,00429.648,00356.380
03/31/2016,23:25,000.97569,00423.382,00356.052
03/31/2016,23:35,000.98264,00419.461,00355.723
03/31/2016,23:45,000.98958,00418.724,00355.395
03/31/2016,23:55,000.99653,00415.147,00355.066
04/01/2016,00:05,001.00347,00413.034,00354.738
04/01/2016,00:15,001.01042,00413.034,00354.409
04/01/2016,00:25,001.01736,00412.563,00354.081
04/01/2016,00:35,001.02431,00412.563,00353.752
04/01/2016,00:45,001.03125,00416.460,00353.424
04/01/2016,00:55,001.03819,00469.256,00353.095
04/01/2016,01:05,001.04514,00476.366,00352.767
04/01/2016,01:15,001.05208,00477.691,00352.439
04/01/2016,01:25,001.05903,00477.862,00352.110
04/01/2016,01:35,001.06597,00477.691,00351.782
04/01/2016,01:45,001.07292,00475.650,00351.453
04/01/2016,01:55,001.07986,00473.438,00351.125
04/01/2016,02:05,001.08681,00467.900,00350.796
04/01/2016,02:15,001.09375,00465.188,00350.468
04/01/2016,02:25,001.10069,00460.435,00350.139
04/01/2016,02:35,001.10764,00458.960,00349.811
04/01/2016,02:45,001.11458,00458.560,00349.482
04/01/2016,02:55,001.12153,00390.295,00349.154
04/01/2016,03:05,001.12847,00354.334,00348.825
04/01/2016,03:15,001.13542,00354.119,00348.497
04/01/2016,03:25,001.14236,00338.572,00348.168
04/01/2016,03:35,001.14931,00336.987,00347.840
04/01/2016,03:45,001.15625,00336.945,00347.512
04/01/2016,03:55,001.16319,00334.982,00347.183
04/01/2016,04:05,001.17014,00331.176,00346.855
04/01/2016,04:15,001.17708,00328.922,00346.526
04/01/2016,04:25,001.18403,00328.222,00346.198
04/01/2016,04:35,001.19097,00324.225,00345.869
04/01/2016,04:45,001.19792,00324.225,00345.541
04/01/2016,04:55,001.20486,00322.740,00345.212
04/01/2016,05:05,001.21181,00322.740,00344.884
04/01/2016,05:15,001.21875,00322.740,00344.555
04/01/2016,05:25,001.22569,00323.114,00344.227
04/01/2016,05:35,001.23264,00326.739,00343.898
04/01/2016,05:45,001.23958,00372.142,00343.570
04/01/2016,05:55,001.24653,00382.033,00343.242
04/01/2016,06:05,001.25347,00385.430,00342.913
04/01/2016,06:15,001.26042,00385.487,00342.585
04/01/2016,06:25,001.26736,00385.430,00342.256
04/01/2016,06:35,001.27431,00381.219,00341.928
04/01/2016,06:45,001.28125,00381.148,00341.599
04/01/2016,06:55,001.28819,00380.934,00341.271
04/01/2016,07:05,001.29514,00380.677,00340.942
04/01/2016,07:15,001.30208,00378.693,00340.614
04/01/2016,07:25,001.30903,00375.467,00340.285
04/01/2016,07:35,001.31597,00368.181,00339.957
04/01/2016,07:45,001.32292,00367.662,00339.628
04/01/2016,07:55,001.32986,00337.672,00339.300
04/01/2016,08:05,001.33681,00288.036,00338.971
04/01/2016,08:15,001.34375,00284.071,00338.643
04/01/2016,08:25,001.35069,00280.720,00338.315
04/01/2016,08:35,001.35764,00279.766,00337.986
04/01/2016,08:45,001.36458,00273.429,00337.658
04/01/2016,08:55,001.37153,00272.743,00337.329
04/01/2016,09:05,001.37847,00270.129,00337.001
04/01/2016,09:15,001.38542,00270.129,00336.672
04/01/2016,09:25,001.39236,00271.027,00336.344
04/01/2016,09:35,001.39931,00271.027,00336.015
04/01/2016,09:45,001.40625,00267.960,00335.687
04/01/2016,09:55,001.41319,00266.378,00335.358
04/01/2016,10:05,001.42014,00264.139,00335.030
04/01/2016,10:15,001.42708,00265.022,00334.701
04/01/2016,10:25,001.43403,00264.108,00334.373
04/01/2016,10:35,001.44097,00265.022,00334.045
04/01/2016,10:45,001.44792,00265.022,00333.716
04/01/2016,10:55,001.45486,00266.607,00333.388
04/01/2016,11:05,001.46181,00313.455,00333.059
04/01/2016,11:15,001.46875,00319.688,00332.731
04/01/2016,11:25,001.47569,00323.899,00332.402
04/01/2016,11:35,001.48264,00324.541,00332.074
04/01/2016,11:45,001.48958,00328.674,00331.745
04/01/2016,11:55,001.49653,00328.080,00331.417
04/01/2016,12:05,001.50347,00328.822,00331.088
04/01/2016,12:15,001.51042,00328.080,00330.760
04/01/2016,12:25,001.51736,00328.008,00330.431
04/01/2016,12:35,001.52431,00327.329,00330.103
04/01/2016,12:45,001.53125,00322.282,00329.775
04/01/2016,12:55,001.53819,00316.473,00329.446
04/01/2016,13:05,001.54514,00260.068,00329.118
04/01/2016,13:15,001.55208,00252.345,00328.789
04/01/2016,13:45,001.57292,00223.356,00327.804
04/01/2016,13:55,001.57986,00215.557,00327.475
04/01/2016,14:05,001.58681,00213.157,00327.147
04/01/2016,14:15,001.59375,00210.942,00326.818
04/01/2016,14:25,001.60069,00207.973,00326.490
04/01/2016,14:35,001.60764,00207.973,00326.161
04/01/2016,14:45,001.61458,00211.284,00325.833
04/01/2016,14:55,001.62153,00212.940,00325.504
04/01/2016,15:05,001.62847,00215.246,00325.176
04/01/2016,15:15,001.63542,00219.092,00324.848
04/01/2016,15:25,001.64236,00219.306,00324.519
04/01/2016,15:35,001.64931,00221.551,00324.191
04/01/2016,15:45,001.65625,00223.595,00323.862
04/01/2016,15:55,001.66319,00223.637,00323.534
04/01/2016,16:05,001.67014,00226.756,00323.205
04/01/2016,16:15,001.67708,00226.791,00322.877
04/01/2016,16:25,001.68403,00228.869,00322.548
04/01/2016,16:35,001.69097,00229.668,00322.220
04/01/2016,16:45,001.69792,00228.869,00321.891
04/01/2016,16:55,001.70486,00228.386,00321.563
04/01/2016,17:05,001.71181,00228.286,00321.234
04/01/2016,17:15,001.71875,00228.286,00320.906
04/01/2016,17:25,001.72569,00231.345,00320.577
04/01/2016,17:35,001.73264,00239.414,00320.249
04/01/2016,17:45,001.73958,00244.342,00319.921
04/01/2016,17:55,001.74653,00268.158,00319.592
04/01/2016,18:05,001.75347,00272.788,00319.264
04/01/2016,18:15,001.76042,00273.079,00318.935
04/01/2016,18:25,001.76736,00273.079,00318.607
04/01/2016,18:35,001.77431,00279.241,00318.278
04/01/2016,18:45,001.78125,00283.192,00317.950
04/01/2016,18:55,001.78819,00283.192,00317.621
04/01/2016,19:05,001.79514,00281.108,00317.293
04/01/2016,19:15,001.80208,00279.230,00316.964
04/01/2016,19:25,001.80903,00230.759,00316.636
04/01/2016,19:35,001.81597,00229.939,00316.307
04/01/2016,19:45,001.82292,00227.242,00315.979
04/01/2016,19:55,001.82986,00222.860,00315.651
04/01/2016,20:05,001.83681,00222.432,00315.322
04/01/2016,20:15,001.84375,00221.133,00314.994
04/01/2016,20:25,001.85069,00221.347,00314.665
04/01/2016,20:35,001.85764,00221.133,00314.337
04/01/2016,20:45,001.86458,00218.606,00314.008
04/01/2016,20:55,001.87153,00218.606,00313.680
04/01/2016,21:05,001.87847,00219.391,00313.351
04/01/2016,21:15,001.88542,00219.391,00313.023
04/01/2016,21:25,001.89236,00214.799,00312.694
04/01/2016,21:35,001.89931,00213.668,00312.366
04/01/2016,21:45,001.90625,00213.668,00312.037
04/01/2016,21:55,001.91319,00214.242,00311.709
04/01/2016,22:05,001.92014,00214.242,00311.380
04/01/2016,22:15,001.92708,00211.414,00311.052
04/01/2016,22:25,001.93403,00211.414,00310.724
04/01/2016,22:35,001.94097,00211.414,00310.395
04/01/2016,22:45,001.94792,00211.414,00310.067
04/01/2016,22:55,001.95486,00211.972,00309.738
04/01/2016,23:05,001.96181,00213.011,00309.410
04/01/2016,23:15,001.96875,00213.011,00309.081
04/01/2016,23:25,001.97569,00209.909,00308.753
04/01/2016,23:35,001.98264,00209.775,00308.424
04/01/2016,23:45,001.98958,00209.034,00308.096
04/01/2016,23:55,001.99653,00209.034,00307.767
04/02/2016,00:05,002.00347,00231.484,00307.439
04/02/2016,00:15,002.01042,00247.762,00307.110
04/02/2016,00:25,002.01736,00254.171,00306.782
04/02/2016,00:35,002.02431,00254.632,00306.454
04/02/2016,00:45,002.03125,00256.257,00306.125
04/02/2016,00:55,002.03819,00257.570,00305.797
04/02/2016,01:05,002.04514,00257.788,00305.468
04/02/2016,01:15,002.05208,00257.570,00305.140
04/02/2016,01:25,002.05903,00256.557,00304.811
04/02/2016,01:35,002.06597,00256.557,00304.483
04/02/2016,01:45,002.07292,00256.887,00304.154
04/02/2016,01:55,002.07986,00256.887,00303.826
04/02/2016,02:05,002.08681,00204.571,00303.497
04/02/2016,02:15,002.09375,00201.893,00303.169
04/02/2016,02:25,002.10069,00200.394,00302.840
04/02/2016,02:35,002.10764,00200.009,00302.512
04/02/2016,02:45,002.11458,00198.439,00302.184
04/02/2016,02:55,002.12153,00195.910,00301.855
04/02/2016,03:05,002.12847,00195.183,00301.527
