LumiCycle: 2013-4-12WT$CLIH-DH+C_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/12/2013,15:45,000.65625,02976.527,02323.599
04/12/2013,15:55,000.66319,02976.527,02319.860
04/12/2013,16:05,000.67014,02896.492,02316.121
04/12/2013,16:15,000.67708,02856.010,02312.383
04/12/2013,16:25,000.68403,02855.365,02308.644
04/12/2013,16:35,000.69097,02844.406,02304.905
04/12/2013,16:45,000.69792,02840.052,02301.167
04/12/2013,16:55,000.70486,02834.070,02297.428
04/12/2013,17:05,000.71181,02806.538,02293.689
04/12/2013,17:15,000.71875,02776.690,02289.951
04/12/2013,17:25,000.72569,02740.651,02286.212
04/12/2013,17:35,000.73264,02701.976,02282.473
04/12/2013,17:45,000.73958,02653.589,02278.735
04/12/2013,17:55,000.74653,02633.042,02274.996
04/12/2013,18:05,000.75347,02608.951,02271.258
04/12/2013,18:15,000.76042,02586.750,02267.519
04/12/2013,18:25,000.76736,02582.209,02263.780
04/12/2013,18:35,000.77431,02577.708,02260.042
04/12/2013,18:45,000.78125,02564.407,02256.303
04/12/2013,18:55,000.78819,02555.444,02252.564
04/12/2013,19:05,000.79514,02543.798,02248.826
04/12/2013,19:15,000.80208,02541.713,02245.087
04/12/2013,19:25,000.80903,02541.713,02241.348
04/12/2013,19:35,000.81597,02541.713,02237.610
04/12/2013,19:45,000.82292,02543.257,02233.871
04/12/2013,19:55,000.82986,02543.600,02230.132
04/12/2013,20:05,000.83681,02543.600,02226.394
04/12/2013,20:15,000.84375,02545.235,02222.655
04/12/2013,20:25,000.85069,02551.881,02218.917
04/12/2013,20:35,000.85764,02598.910,02215.178
04/12/2013,20:45,000.86458,02600.987,02211.439
04/12/2013,20:55,000.87153,02619.975,02207.700
04/12/2013,21:05,000.87847,02644.992,02203.962
04/12/2013,21:15,000.88542,02687.430,02200.223
04/12/2013,21:25,000.89236,02708.351,02196.485
04/12/2013,21:35,000.89931,02708.351,02192.746
04/12/2013,21:45,000.90625,02704.021,02189.007
04/12/2013,21:55,000.91319,02694.958,02185.269
04/12/2013,22:05,000.92014,02689.357,02181.530
04/12/2013,22:15,000.92708,02688.664,02177.791
04/12/2013,22:25,000.93403,02687.751,02174.053
04/12/2013,22:35,000.94097,02680.745,02170.314
04/12/2013,22:45,000.94792,02667.463,02166.575
04/12/2013,22:55,000.95486,02667.339,02162.837
04/12/2013,23:05,000.96181,02645.497,02159.098
04/12/2013,23:15,000.96875,02570.349,02155.359
04/12/2013,23:25,000.97569,02424.248,02151.621
04/12/2013,23:35,000.98264,02332.375,02147.882
04/12/2013,23:45,000.98958,02283.665,02144.144
04/12/2013,23:55,000.99653,02276.418,02140.405
04/13/2013,00:05,001.00347,02267.208,02136.666
04/13/2013,00:15,001.01042,02264.989,02132.927
04/13/2013,00:25,001.01736,02264.989,02129.189
04/13/2013,00:35,001.02431,02254.524,02125.450
04/13/2013,00:45,001.03125,02248.809,02121.712
04/13/2013,00:55,001.03819,02239.420,02117.973
04/13/2013,01:05,001.04514,02239.420,02114.234
04/13/2013,01:15,001.05208,02238.088,02110.496
04/13/2013,01:25,001.05903,02238.088,02106.757
04/13/2013,01:35,001.06597,02227.556,02103.018
04/13/2013,01:45,001.07292,02227.556,02099.280
04/13/2013,01:55,001.07986,02234.241,02095.541
04/13/2013,02:05,001.08681,02242.876,02091.802
04/13/2013,02:15,001.09375,02245.963,02088.064
04/13/2013,02:25,001.10069,02256.635,02084.325
04/13/2013,02:35,001.10764,02257.835,02080.586
04/13/2013,02:45,001.11458,02267.731,02076.848
04/13/2013,02:55,001.12153,02272.303,02073.109
04/13/2013,03:05,001.12847,02273.332,02069.371
04/13/2013,03:15,001.13542,02272.303,02065.632
04/13/2013,03:25,001.14236,02256.871,02061.893
04/13/2013,03:35,001.14931,02252.697,02058.155
04/13/2013,03:45,001.15625,02238.852,02054.416
04/13/2013,03:55,001.16319,02223.273,02050.677
