LumiCycle: 2013-4-12WT$CLIH-DH+F_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/12/2013,15:53,000.66181,02816.431,02116.893
04/12/2013,16:03,000.66875,02816.431,02112.316
04/12/2013,16:13,000.67569,02763.554,02107.739
04/12/2013,16:23,000.68264,02729.517,02103.161
04/12/2013,16:33,000.68958,02713.812,02098.584
04/12/2013,16:43,000.69653,02713.812,02094.007
04/12/2013,16:53,000.70347,02707.857,02089.430
04/12/2013,17:03,000.71042,02707.857,02084.852
04/12/2013,17:13,000.71736,02705.587,02080.275
04/12/2013,17:23,000.72431,02680.573,02075.698
04/12/2013,17:33,000.73125,02646.583,02071.121
04/12/2013,17:43,000.73819,02581.124,02066.543
04/12/2013,17:53,000.74514,02521.935,02061.966
04/12/2013,18:03,000.75208,02489.134,02057.389
04/12/2013,18:13,000.75903,02456.354,02052.812
04/12/2013,18:23,000.76597,02429.724,02048.235
04/12/2013,18:33,000.77292,02404.146,02043.658
04/12/2013,18:43,000.77986,02395.103,02039.080
04/12/2013,18:53,000.78681,02368.382,02034.503
04/12/2013,19:03,000.79375,02361.116,02029.926
04/12/2013,19:13,000.80069,02344.999,02025.349
04/12/2013,19:23,000.80764,02335.159,02020.771
04/12/2013,19:33,000.81458,02331.340,02016.194
04/12/2013,19:43,000.82153,02330.167,02011.617
04/12/2013,19:53,000.82847,02328.188,02007.040
04/12/2013,20:03,000.83542,02317.811,02002.463
04/12/2013,20:13,000.84236,02307.893,01997.885
04/12/2013,20:23,000.84931,02305.901,01993.308
04/12/2013,20:33,000.85625,02307.893,01988.731
04/12/2013,20:43,000.86319,02316.925,01984.154
04/12/2013,20:53,000.87014,02326.740,01979.577
04/12/2013,21:03,000.87708,02326.740,01974.999
04/12/2013,21:13,000.88403,02333.820,01970.422
04/12/2013,21:23,000.89097,02334.674,01965.845
04/12/2013,21:33,000.89792,02343.780,01961.268
04/12/2013,21:43,000.90486,02343.780,01956.691
04/12/2013,21:53,000.91181,02326.244,01952.113
04/12/2013,22:03,000.91875,02321.810,01947.536
04/12/2013,22:13,000.92569,02306.847,01942.959
04/12/2013,22:23,000.93264,02302.096,01938.382
04/12/2013,22:33,000.93958,02299.102,01933.805
04/12/2013,22:43,000.94653,02285.604,01929.227
04/12/2013,22:53,000.95347,02261.055,01924.650
04/12/2013,23:03,000.96042,02237.293,01920.073
04/12/2013,23:13,000.96736,02212.149,01915.496
04/12/2013,23:23,000.97431,02173.749,01910.919
04/12/2013,23:33,000.98125,02142.162,01906.341
04/12/2013,23:43,000.98819,02106.685,01901.764
04/12/2013,23:53,000.99514,02078.489,01897.187
04/13/2013,00:03,001.00208,02059.508,01892.610
04/13/2013,00:13,001.00903,02047.614,01888.032
04/13/2013,00:23,001.01597,02033.555,01883.455
04/13/2013,00:33,001.02292,02029.880,01878.878
04/13/2013,00:43,001.02986,02006.279,01874.301
04/13/2013,00:53,001.03681,02001.373,01869.724
04/13/2013,01:03,001.04375,02001.373,01865.146
04/13/2013,01:13,001.05069,02004.464,01860.569
04/13/2013,01:23,001.05764,02004.464,01855.992
04/13/2013,01:33,001.06458,02006.250,01851.415
04/13/2013,01:43,001.07153,01999.828,01846.838
04/13/2013,01:53,001.07847,02005.007,01842.260
04/13/2013,02:03,001.08542,02003.547,01837.683
04/13/2013,02:13,001.09236,02003.547,01833.106
04/13/2013,02:23,001.09931,01977.368,01828.529
04/13/2013,02:33,001.10625,01974.579,01823.952
04/13/2013,02:43,001.11319,01951.099,01819.374
04/13/2013,02:53,001.12014,01938.141,01814.797
04/13/2013,03:03,001.12708,01921.604,01810.220
04/13/2013,03:13,001.13403,01906.481,01805.643
04/13/2013,03:23,001.14097,01900.662,01801.066
04/13/2013,03:33,001.14792,01886.180,01796.488
04/13/2013,03:43,001.15486,01874.764,01791.911
04/13/2013,03:53,001.16181,01855.215,01787.334
04/13/2013,04:03,001.16875,01839.357,01782.757
04/13/2013,04:13,001.17569,01798.283,01778.180
04/13/2013,04:23,001.18264,01761.557,01773.602
04/13/2013,04:33,001.18958,01751.427,01769.025
04/13/2013,04:43,001.19653,01741.394,01764.448
04/13/2013,04:53,001.20347,01717.449,01759.871
04/13/2013,05:03,001.21042,01685.133,01755.294
04/13/2013,05:13,001.21736,01672.899,01750.716
04/13/2013,05:23,001.22431,01656.639,01746.139
