LumiCycle: 2013-4-12WT$CLIH-DH+N_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/12/2013,15:46,000.65694,02935.298,02384.703
04/12/2013,15:56,000.66389,02935.298,02382.053
04/12/2013,16:06,000.67083,02900.654,02379.402
04/12/2013,16:16,000.67778,02900.654,02376.752
04/12/2013,16:26,000.68472,02977.104,02374.101
04/12/2013,16:36,000.69167,03046.775,02371.450
04/12/2013,16:46,000.69861,03123.820,02368.800
04/12/2013,16:56,000.70556,03187.998,02366.149
04/12/2013,17:06,000.71250,03217.459,02363.499
04/12/2013,17:16,000.71944,03217.459,02360.848
04/12/2013,17:26,000.72639,03208.860,02358.198
04/12/2013,17:36,000.73333,03106.271,02355.547
04/12/2013,17:46,000.74028,03028.446,02352.897
04/12/2013,17:56,000.74722,02975.331,02350.246
04/12/2013,18:06,000.75417,02963.618,02347.596
04/12/2013,18:16,000.76111,02948.426,02344.945
04/12/2013,18:26,000.76806,02918.558,02342.294
04/12/2013,18:36,000.77500,02918.558,02339.644
04/12/2013,18:46,000.78194,02918.558,02336.993
04/12/2013,18:56,000.78889,02921.160,02334.343
04/12/2013,19:06,000.79583,02921.384,02331.692
04/12/2013,19:16,000.80278,02921.384,02329.042
04/12/2013,19:26,000.80972,02924.223,02326.391
04/12/2013,19:36,000.81667,02924.223,02323.741
04/12/2013,19:46,000.82361,02935.643,02321.090
04/12/2013,19:56,000.83056,02937.453,02318.440
04/12/2013,20:06,000.83750,02949.054,02315.789
04/12/2013,20:16,000.84444,02951.993,02313.138
04/12/2013,20:26,000.85139,02962.235,02310.488
04/12/2013,20:36,000.85833,02970.437,02307.837
04/12/2013,20:46,000.86528,03014.664,02305.187
04/12/2013,20:56,000.87222,03029.152,02302.536
04/12/2013,21:06,000.87917,03049.699,02299.886
04/12/2013,21:16,000.88611,03078.804,02297.235
04/12/2013,21:26,000.89306,03161.769,02294.585
04/12/2013,21:36,000.90000,03161.769,02291.934
04/12/2013,21:46,000.90694,03150.948,02289.284
04/12/2013,21:56,000.91389,03145.153,02286.633
04/12/2013,22:06,000.92083,03117.817,02283.982
04/12/2013,22:16,000.92778,03112.102,02281.332
04/12/2013,22:26,000.93472,03083.809,02278.681
04/12/2013,22:36,000.94167,03067.790,02276.031
04/12/2013,22:46,000.94861,03025.427,02273.380
04/12/2013,22:56,000.95556,02996.595,02270.730
04/12/2013,23:06,000.96250,02900.301,02268.079
04/12/2013,23:16,000.96944,02612.065,02265.429
04/12/2013,23:26,000.97639,02535.677,02262.778
04/12/2013,23:36,000.98333,02516.451,02260.128
04/12/2013,23:46,000.99028,02481.860,02257.477
04/12/2013,23:56,000.99722,02464.127,02254.826
04/13/2013,00:06,001.00417,02439.604,02252.176
04/13/2013,00:16,001.01111,02414.827,02249.525
04/13/2013,00:26,001.01806,02408.848,02246.875
04/13/2013,00:36,001.02500,02404.458,02244.224
04/13/2013,00:46,001.03194,02404.458,02241.574
04/13/2013,00:56,001.03889,02404.458,02238.923
04/13/2013,01:06,001.04583,02386.605,02236.273
04/13/2013,01:16,001.05278,02386.605,02233.622
04/13/2013,01:26,001.05972,02414.114,02230.972
04/13/2013,01:36,001.06667,02419.437,02228.321
04/13/2013,01:46,001.07361,02439.480,02225.670
04/13/2013,01:56,001.08056,02439.669,02223.020
04/13/2013,02:06,001.08750,02441.271,02220.369
04/13/2013,02:16,001.09444,02451.869,02217.719
04/13/2013,02:26,001.10139,02529.395,02215.068
04/13/2013,02:36,001.10833,02575.244,02212.418
04/13/2013,02:46,001.11528,02592.469,02209.767
04/13/2013,02:56,001.12222,02592.469,02207.117
04/13/2013,03:06,001.12917,02581.818,02204.466
04/13/2013,03:16,001.13611,02546.558,02201.816
04/13/2013,03:26,001.14306,02528.734,02199.165
04/13/2013,03:36,001.15000,02517.269,02196.514
04/13/2013,03:46,001.15694,02504.941,02193.864
04/13/2013,03:56,001.16389,02498.055,02191.213
04/13/2013,04:06,001.17083,02476.738,02188.563
04/13/2013,04:16,001.17778,02440.884,02185.912
04/13/2013,04:26,001.18472,02352.300,02183.262
04/13/2013,04:36,001.19167,02074.880,02180.611
04/13/2013,04:46,001.19861,02041.769,02177.961
04/13/2013,04:56,001.20556,02017.335,02175.310
04/13/2013,05:06,001.21250,01997.353,02172.660
04/13/2013,05:16,001.21944,01988.096,02170.009
04/13/2013,05:26,001.22639,01972.728,02167.358
04/13/2013,05:36,001.23333,01960.106,02164.708
