LumiCycle: 2013-4-12WT$CLIH-DH+P_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/12/2013,15:47,000.65764,03032.958,02098.435
04/12/2013,15:57,000.66458,03032.958,02093.547
04/12/2013,16:07,000.67153,02909.910,02088.658
04/12/2013,16:17,000.67847,02876.443,02083.770
04/12/2013,16:27,000.68542,02876.443,02078.881
04/12/2013,16:37,000.69236,02879.178,02073.993
04/12/2013,16:47,000.69931,02897.795,02069.104
04/12/2013,16:57,000.70625,02917.755,02064.216
04/12/2013,17:07,000.71319,02938.032,02059.327
04/12/2013,17:17,000.72014,02944.465,02054.438
04/12/2013,17:27,000.72708,02938.032,02049.550
04/12/2013,17:37,000.73403,02925.921,02044.661
04/12/2013,17:47,000.74097,02898.878,02039.773
04/12/2013,17:57,000.74792,02798.907,02034.884
04/12/2013,18:07,000.75486,02674.310,02029.996
04/12/2013,18:17,000.76181,02630.587,02025.107
04/12/2013,18:27,000.76875,02582.502,02020.219
04/12/2013,18:37,000.77569,02561.596,02015.330
04/12/2013,18:47,000.78264,02546.799,02010.442
04/12/2013,18:57,000.78958,02518.850,02005.553
04/12/2013,19:07,000.79653,02504.928,02000.665
04/12/2013,19:17,000.80347,02494.184,01995.776
04/12/2013,19:27,000.81042,02477.145,01990.887
04/12/2013,19:37,000.81736,02471.649,01985.999
04/12/2013,19:47,000.82431,02469.833,01981.110
04/12/2013,19:57,000.83125,02459.147,01976.222
04/12/2013,20:07,000.83819,02445.622,01971.333
04/12/2013,20:17,000.84514,02433.880,01966.445
04/12/2013,20:27,000.85208,02430.131,01961.556
04/12/2013,20:37,000.85903,02412.819,01956.668
04/12/2013,20:47,000.86597,02412.819,01951.779
04/12/2013,20:57,000.87292,02440.800,01946.891
04/12/2013,21:07,000.87986,02440.800,01942.002
04/12/2013,21:17,000.88681,02440.800,01937.114
04/12/2013,21:27,000.89375,02477.374,01932.225
04/12/2013,21:37,000.90069,02482.103,01927.336
04/12/2013,21:47,000.90764,02494.139,01922.448
04/12/2013,21:57,000.91458,02502.581,01917.559
04/12/2013,22:07,000.92153,02503.569,01912.671
04/12/2013,22:17,000.92847,02503.569,01907.782
04/12/2013,22:27,000.93542,02502.984,01902.894
04/12/2013,22:37,000.94236,02488.934,01898.005
04/12/2013,22:47,000.94931,02471.683,01893.117
04/12/2013,22:57,000.95625,02460.643,01888.228
04/12/2013,23:07,000.96319,02456.054,01883.340
04/12/2013,23:17,000.97014,02445.962,01878.451
04/12/2013,23:27,000.97708,02414.608,01873.562
04/12/2013,23:37,000.98403,02372.499,01868.674
04/12/2013,23:47,000.99097,02221.108,01863.785
04/12/2013,23:57,000.99792,02133.595,01858.897
04/13/2013,00:07,001.00486,02083.234,01854.008
04/13/2013,00:17,001.01181,02062.682,01849.120
04/13/2013,00:27,001.01875,02043.793,01844.231
04/13/2013,00:37,001.02569,02029.673,01839.343
04/13/2013,00:47,001.03264,02013.758,01834.454
04/13/2013,00:57,001.03958,02003.820,01829.566
04/13/2013,01:07,001.04653,02003.762,01824.677
04/13/2013,01:17,001.05347,01978.974,01819.789
04/13/2013,01:27,001.06042,01978.974,01814.900
04/13/2013,01:37,001.06736,01990.073,01810.011
04/13/2013,01:47,001.07431,02003.949,01805.123
04/13/2013,01:57,001.08125,02008.283,01800.234
04/13/2013,02:07,001.08819,02017.010,01795.346
04/13/2013,02:17,001.09514,02037.860,01790.457
04/13/2013,02:27,001.10208,02039.643,01785.569
04/13/2013,02:37,001.10903,02043.275,01780.680
04/13/2013,02:47,001.11597,02043.275,01775.792
04/13/2013,02:57,001.12292,02031.928,01770.903
04/13/2013,03:07,001.12986,02029.908,01766.015
04/13/2013,03:17,001.13681,02008.439,01761.126
04/13/2013,03:27,001.14375,01986.853,01756.238
04/13/2013,03:37,001.15069,01978.828,01751.349
04/13/2013,03:47,001.15764,01975.706,01746.460
04/13/2013,03:57,001.16458,01957.456,01741.572
04/13/2013,04:07,001.17153,01934.271,01736.683
04/13/2013,04:17,001.17847,01932.738,01731.795
04/13/2013,04:27,001.18542,01922.296,01726.906
04/13/2013,04:37,001.19236,01904.735,01722.018
04/13/2013,04:47,001.19931,01900.072,01717.129
04/13/2013,04:57,001.20625,01863.231,01712.241
04/13/2013,05:07,001.21319,01855.448,01707.352
04/13/2013,05:17,001.22014,01783.171,01702.464
04/13/2013,05:27,001.22708,01697.127,01697.575
04/13/2013,05:37,001.23403,01656.025,01692.687
04/13/2013,05:47,001.24097,01623.396,01687.798
04/13/2013,05:57,001.24792,01618.265,01682.909
04/13/2013,06:07,001.25486,01613.306,01678.021
04/13/2013,06:17,001.26181,01606.964,01673.132
04/13/2013,06:27,001.26875,01593.809,01668.244
04/13/2013,06:37,001.27569,01589.159,01663.355
04/13/2013,06:47,001.28264,01593.809,01658.467
04/13/2013,06:57,001.28958,01604.471,01653.578
04/13/2013,07:07,001.29653,01611.443,01648.690
04/13/2013,07:17,001.30347,01619.851,01643.801
04/13/2013,07:27,001.31042,01633.751,01638.913
04/13/2013,07:37,001.31736,01633.751,01634.024
04/13/2013,07:47,001.32431,01631.052,01629.135
04/13/2013,07:57,001.33125,01617.274,01624.247
04/13/2013,08:07,001.33819,01605.251,01619.358
04/13/2013,08:17,001.34514,01597.071,01614.470
04/13/2013,08:27,001.35208,01592.442,01609.581
04/13/2013,08:37,001.35903,01585.853,01604.693
04/13/2013,08:47,001.36597,01570.184,01599.804
04/13/2013,08:57,001.37292,01564.217,01594.916
04/13/2013,09:07,001.37986,01560.800,01590.027
04/13/2013,09:17,001.38681,01556.598,01585.139
04/13/2013,09:27,001.39375,01542.262,01580.250
04/13/2013,09:37,001.40069,01539.592,01575.361
04/13/2013,09:47,001.40764,01532.336,01570.473
04/13/2013,09:57,001.41458,01532.336,01565.584
04/13/2013,10:07,001.42153,01520.752,01560.696
04/13/2013,10:17,001.42847,01513.290,01555.807
04/13/2013,10:27,001.43542,01502.246,01550.919
04/13/2013,10:37,001.44236,01492.971,01546.030
04/13/2013,10:47,001.44931,01492.971,01541.142
04/13/2013,10:57,001.45625,01481.421,01536.253
04/13/2013,11:07,001.46319,01494.507,01531.365
04/13/2013,11:17,001.47014,01481.421,01526.476
04/13/2013,11:27,001.47708,01443.282,01521.588
04/13/2013,11:37,001.48403,01413.753,01516.699
04/13/2013,11:47,001.49097,01345.233,01511.810
04/13/2013,11:57,001.49792,01326.486,01506.922
04/13/2013,12:07,001.50486,01320.085,01502.033
04/13/2013,12:17,001.51181,01318.235,01497.145
04/13/2013,12:27,001.51875,01302.956,01492.256
04/13/2013,12:37,001.52569,01301.283,01487.368
04/13/2013,12:47,001.53264,01302.956,01482.479
04/13/2013,12:57,001.53958,01308.828,01477.591
04/13/2013,13:07,001.54653,01320.597,01472.702
04/13/2013,13:17,001.55347,01354.933,01467.814
04/13/2013,13:27,001.56042,01354.933,01462.925
04/13/2013,13:37,001.56736,01353.987,01458.036
04/13/2013,13:47,001.57431,01352.711,01453.148
04/13/2013,13:57,001.58125,01340.252,01448.259
04/13/2013,14:07,001.58819,01337.892,01443.371
04/13/2013,14:17,001.59514,01328.857,01438.482
04/13/2013,14:27,001.60208,01322.777,01433.594
04/13/2013,14:37,001.60903,01286.569,01428.705
04/13/2013,14:47,001.61597,01277.492,01423.817
04/13/2013,14:57,001.62292,01276.974,01418.928
04/13/2013,15:07,001.62986,01274.030,01414.040
04/13/2013,15:17,001.63681,01264.428,01409.151
04/13/2013,15:27,001.64375,01264.181,01404.263
04/13/2013,15:37,001.65069,01257.898,01399.374
04/13/2013,15:47,001.65764,01248.054,01394.485
04/13/2013,15:57,001.66458,01236.512,01389.597
04/13/2013,16:07,001.67153,01234.062,01384.708
04/13/2013,16:17,001.67847,01216.457,01379.820
04/13/2013,16:27,001.68542,01210.246,01374.931
04/13/2013,16:37,001.69236,01209.961,01370.043
04/13/2013,16:47,001.69931,01200.910,01365.154
04/13/2013,16:57,001.70625,01193.105,01360.266
04/13/2013,17:07,001.71319,01190.440,01355.377
04/13/2013,17:17,001.72014,01181.764,01350.489
04/13/2013,17:27,001.72708,01178.081,01345.600
04/13/2013,17:37,001.73403,01160.244,01340.712
04/13/2013,17:47,001.74097,01156.622,01335.823
04/13/2013,17:57,001.74792,01154.143,01330.934
04/13/2013,18:07,001.75486,01152.997,01326.046
04/13/2013,18:17,001.76181,01135.464,01321.157
04/13/2013,18:27,001.76875,01126.381,01316.269
04/13/2013,18:37,001.77569,01114.222,01311.380
04/13/2013,18:47,001.78264,01110.853,01306.492
04/13/2013,18:57,001.78958,01096.798,01301.603
04/13/2013,19:07,001.79653,01096.798,01296.715
04/13/2013,19:17,001.80347,01096.460,01291.826
04/13/2013,19:27,001.81042,01075.226,01286.938
04/13/2013,19:37,001.81736,01068.991,01282.049
04/13/2013,19:47,001.82431,01059.645,01277.161
04/13/2013,19:57,001.83125,01055.931,01272.272
04/13/2013,20:07,001.83819,01049.843,01267.383
04/13/2013,20:17,001.84514,01039.269,01262.495
04/13/2013,20:27,001.85208,01035.167,01257.606
04/13/2013,20:37,001.85903,01022.390,01252.718
04/13/2013,20:47,001.86597,01005.077,01247.829
04/13/2013,20:57,001.87292,01005.077,01242.941
04/13/2013,21:07,001.87986,00999.643,01238.052
04/13/2013,21:17,001.88681,00985.140,01233.164
04/13/2013,21:27,001.89375,00985.140,01228.275
04/13/2013,21:37,001.90069,00983.841,01223.387
04/13/2013,21:47,001.90764,00983.841,01218.498
04/13/2013,21:57,001.91458,00974.320,01213.609
04/13/2013,22:07,001.92153,00973.309,01208.721
04/13/2013,22:17,001.92847,00965.839,01203.832
04/13/2013,22:27,001.93542,00953.192,01198.944
04/13/2013,22:37,001.94236,00953.192,01194.055
04/13/2013,22:47,001.94931,00943.042,01189.167
04/13/2013,22:57,001.95625,00943.042,01184.278
04/13/2013,23:07,001.96319,00937.533,01179.390
04/13/2013,23:17,001.97014,00939.019,01174.501
04/13/2013,23:27,001.97708,00932.610,01169.613
04/13/2013,23:37,001.98403,00939.019,01164.724
04/13/2013,23:47,001.99097,00932.610,01159.836
04/13/2013,23:57,001.99792,00917.806,01154.947
04/14/2013,00:07,002.00486,00917.806,01150.058
04/14/2013,00:17,002.01181,00927.455,01145.170
04/14/2013,00:27,002.01875,00927.455,01140.281
04/14/2013,00:37,002.02569,00911.843,01135.393
04/14/2013,00:47,002.03264,00911.843,01130.504
04/14/2013,00:57,002.03958,00906.655,01125.616
04/14/2013,01:07,002.04653,00907.177,01120.727
04/14/2013,01:17,002.05347,00904.278,01115.839
04/14/2013,01:27,002.06042,00900.249,01110.950
04/14/2013,01:37,002.06736,00893.508,01106.062
04/14/2013,01:47,002.07431,00890.811,01101.173
04/14/2013,01:57,002.08125,00882.095,01096.285
04/14/2013,02:07,002.08819,00880.483,01091.396
04/14/2013,02:17,002.09514,00874.279,01086.507
04/14/2013,02:27,002.10208,00872.491,01081.619
04/14/2013,02:37,002.10903,00867.121,01076.730
04/14/2013,02:47,002.11597,00858.263,01071.842
04/14/2013,02:57,002.12292,00849.095,01066.953
04/14/2013,03:07,002.12986,00849.095,01062.065
04/14/2013,03:17,002.13681,00848.438,01057.176
04/14/2013,03:27,002.14375,00839.880,01052.288
04/14/2013,03:37,002.15069,00835.905,01047.399
04/14/2013,03:47,002.15764,00835.905,01042.510
04/14/2013,03:57,002.16458,00826.897,01037.622
04/14/2013,04:07,002.17153,00817.870,01032.734
04/14/2013,04:17,002.17847,00815.625,01027.845
04/14/2013,04:27,002.18542,00804.308,01022.956
04/14/2013,04:37,002.19236,00802.958,01018.068
04/14/2013,04:47,002.19931,00798.712,01013.179
04/14/2013,04:57,002.20625,00784.627,01008.291
04/14/2013,05:07,002.21319,00775.031,01003.402
04/14/2013,05:17,002.22014,00773.904,00998.514
04/14/2013,05:27,002.22708,00767.876,00993.625
04/14/2013,05:37,002.23403,00758.665,00988.737
04/14/2013,05:47,002.24097,00748.126,00983.848
04/14/2013,05:57,002.24792,00734.982,00978.960
04/14/2013,06:07,002.25486,00733.374,00974.071
04/14/2013,06:17,002.26181,00720.665,00969.182
04/14/2013,06:27,002.26875,00711.214,00964.294
04/14/2013,06:37,002.27569,00711.206,00959.405
