LumiCycle: 2013-4-12WT$CLIH-DH_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/12/2013,15:51,000.66042,03010.391,01405.541
04/12/2013,16:01,000.66736,03010.391,01402.133
04/12/2013,16:11,000.67431,02958.860,01398.726
04/12/2013,16:21,000.68125,02956.962,01395.319
04/12/2013,16:31,000.68819,02934.354,01391.912
04/12/2013,16:41,000.69514,02940.663,01388.505
04/12/2013,16:51,000.70208,02934.354,01385.098
04/12/2013,17:01,000.70903,02919.543,01381.691
04/12/2013,17:11,000.71597,02893.098,01378.284
04/12/2013,17:21,000.72292,02828.634,01374.876
04/12/2013,17:31,000.72986,02758.245,01371.469
04/12/2013,17:41,000.73681,02728.286,01368.062
04/12/2013,17:51,000.74375,02685.205,01364.655
04/12/2013,18:01,000.75069,02655.139,01361.248
04/12/2013,18:11,000.75764,02613.021,01357.841
04/12/2013,18:21,000.76458,02610.177,01354.434
04/12/2013,18:31,000.77153,02581.815,01351.027
04/12/2013,18:41,000.77847,02564.715,01347.620
04/12/2013,18:51,000.78542,02546.198,01344.212
04/12/2013,19:01,000.79236,02530.285,01340.805
04/12/2013,19:11,000.79931,02515.475,01337.398
04/12/2013,19:21,000.80625,02508.657,01333.991
04/12/2013,19:31,000.81319,02487.370,01330.584
04/12/2013,19:41,000.82014,02470.025,01327.177
04/12/2013,19:51,000.82708,02456.738,01323.770
04/12/2013,20:01,000.83403,02432.560,01320.362
04/12/2013,20:11,000.84097,02421.485,01316.955
04/12/2013,20:21,000.84792,02420.095,01313.548
04/12/2013,20:31,000.85486,02383.169,01310.141
04/12/2013,20:41,000.86181,02379.042,01306.734
04/12/2013,20:51,000.86875,02369.531,01303.327
04/12/2013,21:01,000.87569,02355.800,01299.920
04/12/2013,21:11,000.88264,02355.800,01296.513
04/12/2013,21:21,000.88958,02356.987,01293.105
04/12/2013,21:31,000.89653,02356.987,01289.698
04/12/2013,21:41,000.90347,02341.672,01286.291
04/12/2013,21:51,000.91042,02330.456,01282.884
04/12/2013,22:01,000.91736,02311.393,01279.477
04/12/2013,22:11,000.92431,02307.129,01276.070
04/12/2013,22:21,000.93125,02271.472,01272.663
04/12/2013,22:31,000.93819,02244.523,01269.256
04/12/2013,22:41,000.94514,02224.782,01265.849
04/12/2013,22:51,000.95208,02197.394,01262.441
04/12/2013,23:01,000.95903,02164.098,01259.034
04/12/2013,23:11,000.96597,02098.180,01255.627
04/12/2013,23:21,000.97292,02030.391,01252.220
04/12/2013,23:31,000.97986,01981.119,01248.813
04/12/2013,23:41,000.98681,01955.373,01245.406
04/12/2013,23:51,000.99375,01924.118,01241.999
04/13/2013,00:01,001.00069,01906.734,01238.592
04/13/2013,00:11,001.00764,01871.669,01235.184
04/13/2013,00:21,001.01458,01853.934,01231.777
04/13/2013,00:31,001.02153,01839.184,01228.370
04/13/2013,00:41,001.02847,01816.292,01224.963
04/13/2013,00:51,001.03542,01803.677,01221.556
04/13/2013,01:01,001.04236,01778.242,01218.149
04/13/2013,01:11,001.04931,01765.077,01214.742
04/13/2013,01:21,001.05625,01746.933,01211.335
04/13/2013,01:31,001.06319,01728.059,01207.927
04/13/2013,01:41,001.07014,01703.760,01204.520
04/13/2013,01:51,001.07708,01698.387,01201.113
04/13/2013,02:01,001.08403,01680.326,01197.706
04/13/2013,02:11,001.09097,01670.034,01194.299
04/13/2013,02:21,001.09792,01670.034,01190.892
04/13/2013,02:31,001.10486,01670.034,01187.485
04/13/2013,02:41,001.11181,01659.094,01184.078
04/13/2013,02:51,001.11875,01622.960,01180.670
04/13/2013,03:01,001.12569,01593.292,01177.263
04/13/2013,03:11,001.13264,01561.451,01173.856
04/13/2013,03:21,001.13958,01545.798,01170.449
04/13/2013,03:31,001.14653,01524.627,01167.042
