LumiCycle: 2013-4-16WT$CLIH-DH+E_1 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
04/16/2013,16:11,000.67431,02325.416,02646.674
04/16/2013,16:21,000.68125,02325.416,02644.511
04/16/2013,16:31,000.68819,02201.555,02642.347
04/16/2013,16:41,000.69514,02199.963,02640.184
04/16/2013,16:51,000.70208,02199.963,02638.021
04/16/2013,17:01,000.70903,02231.480,02635.858
04/16/2013,17:11,000.71597,02245.800,02633.695
04/16/2013,17:21,000.72292,02265.607,02631.531
04/16/2013,17:31,000.72986,02269.196,02629.368
04/16/2013,17:41,000.73681,02265.607,02627.205
04/16/2013,17:51,000.74375,02255.396,02625.042
04/16/2013,18:01,000.75069,02246.530,02622.878
04/16/2013,18:11,000.75764,02231.486,02620.715
04/16/2013,18:21,000.76458,02229.110,02618.552
04/16/2013,18:31,000.77153,02214.019,02616.389
04/16/2013,18:41,000.77847,02204.793,02614.226
04/16/2013,18:51,000.78542,02204.609,02612.062
04/16/2013,19:01,000.79236,02191.086,02609.899
04/16/2013,19:11,000.79931,02191.086,02607.736
04/16/2013,19:21,000.80625,02194.437,02605.573
04/16/2013,19:31,000.81319,02194.437,02603.409
04/16/2013,19:41,000.82014,02190.855,02601.246
04/16/2013,19:51,000.82708,02189.426,02599.083
04/16/2013,20:01,000.83403,02189.426,02596.920
04/16/2013,20:11,000.84097,02208.522,02594.757
04/16/2013,20:21,000.84792,02211.174,02592.593
04/16/2013,20:31,000.85486,02217.639,02590.430
04/16/2013,20:41,000.86181,02216.305,02588.267
04/16/2013,20:51,000.86875,02219.502,02586.104
04/16/2013,21:01,000.87569,02216.675,02583.940
04/16/2013,21:11,000.88264,02218.187,02581.777
04/16/2013,21:21,000.88958,02216.675,02579.614
04/16/2013,21:31,000.89653,02217.484,02577.451
04/16/2013,21:41,000.90347,02208.554,02575.288
04/16/2013,21:51,000.91042,02217.484,02573.124
04/16/2013,22:01,000.91736,02198.566,02570.961
04/16/2013,22:11,000.92431,02191.579,02568.798
04/16/2013,22:21,000.93125,02183.755,02566.635
04/16/2013,22:31,000.93819,02176.752,02564.471
04/16/2013,22:41,000.94514,02173.367,02562.308
04/16/2013,22:51,000.95208,02155.605,02560.145
04/16/2013,23:01,000.95903,02142.330,02557.982
04/16/2013,23:11,000.96597,02134.654,02555.819
04/16/2013,23:21,000.97292,02128.446,02553.655
04/16/2013,23:31,000.97986,02106.383,02551.492
04/16/2013,23:41,000.98681,02092.524,02549.329
04/16/2013,23:51,000.99375,02088.173,02547.166
04/17/2013,00:01,001.00069,02072.657,02545.002
04/17/2013,00:11,001.00764,02060.361,02542.839
04/17/2013,00:21,001.01458,02037.732,02540.676
04/17/2013,00:31,001.02153,02013.254,02538.513
04/17/2013,00:41,001.02847,02009.786,02536.349
04/17/2013,00:51,001.03542,02002.069,02534.186
04/17/2013,01:01,001.04236,01984.742,02532.023
04/17/2013,01:11,001.04931,01975.915,02529.860
04/17/2013,01:21,001.05625,01962.498,02527.697
04/17/2013,01:31,001.06319,01942.936,02525.533
04/17/2013,01:41,001.07014,01942.081,02523.370
04/17/2013,01:51,001.07708,01925.370,02521.207
04/17/2013,02:01,001.08403,01922.536,02519.044
04/17/2013,02:11,001.09097,01909.846,02516.880
04/17/2013,02:21,001.09792,01907.109,02514.717
04/17/2013,02:31,001.10486,01905.977,02512.554
04/17/2013,02:41,001.11181,01891.573,02510.391
04/17/2013,02:51,001.11875,01884.259,02508.228
04/17/2013,03:01,001.12569,01875.840,02506.064
04/17/2013,03:11,001.13264,01875.840,02503.901
04/17/2013,03:21,001.13958,01873.652,02501.738
04/17/2013,03:31,001.14653,01868.359,02499.575
04/17/2013,03:41,001.15347,01866.382,02497.411
04/17/2013,03:51,001.16042,01860.686,02495.248
04/17/2013,04:01,001.16736,01860.686,02493.085
04/17/2013,04:11,001.17431,01865.084,02490.922
04/17/2013,04:21,001.18125,01869.795,02488.759
04/17/2013,04:31,001.18819,01869.795,02486.595
04/17/2013,04:41,001.19514,01877.044,02484.432
04/17/2013,04:51,001.20208,01877.044,02482.269
04/17/2013,05:01,001.20903,01875.711,02480.106
04/17/2013,05:11,001.21597,01874.565,02477.942
04/17/2013,05:21,001.22292,01875.711,02475.779
04/17/2013,05:31,001.22986,01890.994,02473.616
04/17/2013,05:41,001.23681,01894.451,02471.453
04/17/2013,05:51,001.24375,01894.451,02469.290
04/17/2013,06:01,001.25069,01896.152,02467.126
04/17/2013,06:11,001.25764,01896.152,02464.963
04/17/2013,06:21,001.26458,01907.537,02462.800
04/17/2013,06:31,001.27153,01907.066,02460.637
04/17/2013,06:41,001.27847,01908.556,02458.473
04/17/2013,06:51,001.28542,01917.985,02456.310
04/17/2013,07:01,001.29236,01922.693,02454.147
04/17/2013,07:11,001.29931,01932.942,02451.984
04/17/2013,07:21,001.30625,01937.870,02449.821
04/17/2013,07:31,001.31319,01938.201,02447.657
04/17/2013,07:41,001.32014,01938.201,02445.494
04/17/2013,07:51,001.32708,01895.916,02443.331
04/17/2013,08:01,001.33403,01839.637,02441.167
04/17/2013,08:11,001.34097,01782.119,02439.004
04/17/2013,08:21,001.34792,01725.573,02436.841
04/17/2013,08:31,001.35486,01675.144,02434.678
04/17/2013,08:41,001.36181,01623.188,02432.515
04/17/2013,08:51,001.36875,01623.188,02430.352
04/17/2013,09:01,001.37569,01624.937,02428.188
04/17/2013,09:11,001.38264,01635.460,02426.025
04/17/2013,09:21,001.38958,01646.449,02423.862
04/17/2013,09:31,001.39653,01666.059,02421.698
04/17/2013,09:41,001.40347,01668.288,02419.535
04/17/2013,09:51,001.41042,01688.687,02417.372
04/17/2013,10:01,001.41736,01710.563,02415.209
04/17/2013,10:11,001.42431,01715.353,02413.046
04/17/2013,10:21,001.43125,01715.408,02410.883
04/17/2013,10:31,001.43819,01735.256,02408.719
04/17/2013,10:41,001.44514,01762.278,02406.556
04/17/2013,10:51,001.45208,01806.084,02404.393
04/17/2013,11:01,001.45903,01878.132,02402.229
04/17/2013,11:11,001.46597,02007.917,02400.066
04/17/2013,11:21,001.47292,02119.444,02397.903
04/17/2013,11:31,001.47986,02174.809,02395.740
04/17/2013,11:41,001.48681,02185.288,02393.577
04/17/2013,11:51,001.49375,02209.196,02391.413
04/17/2013,12:01,001.50069,02226.509,02389.250
04/17/2013,12:11,001.50764,02233.942,02387.087
04/17/2013,12:21,001.51458,02248.099,02384.924
04/17/2013,12:31,001.52153,02257.716,02382.760
04/17/2013,12:41,001.52847,02269.379,02380.597
04/17/2013,12:51,001.53542,02293.317,02378.434
04/17/2013,13:01,001.54236,02293.689,02376.271
04/17/2013,13:11,001.54931,02310.401,02374.108
04/17/2013,13:21,001.55625,02313.145,02371.944
04/17/2013,13:31,001.56319,02339.704,02369.781
04/17/2013,13:41,001.57014,02350.452,02367.618
04/17/2013,13:51,001.57708,02372.298,02365.455
04/17/2013,14:01,001.58403,02378.465,02363.292
04/17/2013,14:11,001.59097,02387.940,02361.128
04/17/2013,14:21,001.59792,02420.535,02358.965
04/17/2013,14:31,001.60486,02433.555,02356.802
04/17/2013,14:41,001.61181,02453.904,02354.639
04/17/2013,14:51,001.61875,02469.960,02352.475
04/17/2013,15:01,001.62569,02474.192,02350.312
04/17/2013,15:11,001.63264,02491.460,02348.149
04/17/2013,15:21,001.63958,02506.617,02345.986
04/17/2013,15:31,001.64653,02511.807,02343.823
04/17/2013,15:41,001.65347,02531.770,02341.659
04/17/2013,15:51,001.66042,02531.770,02339.496
04/17/2013,16:01,001.66736,02531.770,02337.333
04/17/2013,16:11,001.67431,02544.702,02335.170
04/17/2013,16:21,001.68125,02545.182,02333.006
04/17/2013,16:31,001.68819,02549.705,02330.843
04/17/2013,16:41,001.69514,02557.871,02328.680
04/17/2013,16:51,001.70208,02549.705,02326.517
04/17/2013,17:01,001.70903,02555.273,02324.354
