T1,T2,T3,T4,T5,T6,T7
5.526424159,5.309017806,5.230719794,5.262524085,6.055423595,4.429086538,5.413824885
4.791352093,5.271682941,5.16966581,5.277456647,5.965162312,4.983173077,5.31797235
4.516815374,4.793222286,5.391388175,5.494701349,6.246239113,4.905048077,6.425806452
5.341111874,5.352096496,5.144601542,5.418593449,6.55898654,5,6.073732719
4.774193548,5.164273406,5.309125964,5.544315992,5.967537609,5.157451923,6.470967742
5.178448868,5.099942562,5.924164524,6.118015414,6.679334917,4.800480769,6.080184332
4.890185312,4.935669156,5.807197943,5.878612717,6.444972288,4.436298077,6.300460829
4.710363761,5.168294084,6.154884319,6.187379576,6.27949327,4.949519231,6.988018433
4.892930679,5.47731189,6.188303342,6.274566474,6.290577989,4.956730769,5.969585253
4.66781057,5.132107984,6.586760925,6.642581888,6.542359462,4.854567308,6.658064516
4.483870968,4.825962091,6.046272494,6.06743738,6.070467142,4.540865385,6.236866359
4.994509266,5.034462952,6.326478149,6.293352601,6.371338084,4.318509615,6.055299539
4.692518874,5.420448018,6.579691517,6.566955684,6.474267617,4.395432692,6.271889401
5.023335621,4.751866743,6.763496144,6.726878613,5.802058591,4.538461538,6.049769585
4.683596431,5.364732912,7.040488432,7.006262042,6.758511481,4.550480769,6.104147465
5.032944406,5.218265365,7.294987147,7.132947977,5.539984165,4.675480769,6.266359447
4.619080302,5.301550833,6.877249357,6.739884393,5.365795724,4.362980769,6.006451613
5.079615649,5.047673751,7.258997429,7.310211946,5.605700713,4.800480769,6.606451613
5.180507893,5.040206778,6.386246787,6.37283237,5.780680918,5.046875,5.962211982
4.915579959,5.213095922,6.287275064,6.226878613,5.463182898,5.038461538,6.858986175
4.841455045,4.80758185,6.575192802,6.722543353,5.649247823,4.383413462,6.876497696
5.01509952,5.124641011,6.196658098,6.317919075,5.528899446,4.850961538,6.460829493
4.899107756,5.573808156,6.561053985,6.625722543,5.460807601,4.443509615,6.71797235
4.446122169,5.347501436,5.797557841,5.997109827,5.575613618,4.414663462,6.799078341
5.157172272,5.326823665,6.903598972,6.964354528,5.388756928,4.063701923,7.01843318
