LumiCycle: 2013-5-28WT$CLIH-DH+FCNP_2 (Raw)
Date,Time (hr:min),Time (days),counts/sec, 
Baseline
05/30/2013,14:23,002.59931,04055.145,04367.798
05/30/2013,14:33,002.60625,04142.520,04360.516
05/30/2013,14:43,002.61319,04211.474,04353.233
05/30/2013,14:53,002.62014,04266.956,04345.950
05/30/2013,15:03,002.62708,04512.734,04338.668
05/30/2013,15:13,002.63403,04573.540,04331.385
05/30/2013,15:23,002.64097,04573.605,04324.103
05/30/2013,15:33,002.64792,04573.540,04316.820
05/30/2013,15:43,002.65486,04564.816,04309.538
05/30/2013,15:53,002.66181,04509.335,04302.255
05/30/2013,16:03,002.66875,04430.699,04294.973
05/30/2013,16:13,002.67569,04244.387,04287.690
05/30/2013,16:23,002.68264,03855.567,04280.407
05/30/2013,16:33,002.68958,03853.850,04273.125
05/30/2013,16:43,002.69653,03842.793,04265.842
05/30/2013,16:53,002.70347,03841.657,04258.560
05/30/2013,17:03,002.71042,03839.571,04251.277
05/30/2013,17:13,002.71736,03837.571,04243.995
05/30/2013,17:23,002.72431,03836.643,04236.712
05/30/2013,17:33,002.73125,03836.643,04229.429
05/30/2013,17:43,002.73819,03840.940,04222.147
05/30/2013,17:53,002.74514,03845.562,04214.864
05/30/2013,18:03,002.75208,03849.756,04207.582
05/30/2013,18:13,002.75903,03853.098,04200.299
05/30/2013,18:23,002.76597,03871.912,04193.017
05/30/2013,18:33,002.77292,03878.030,04185.734
05/30/2013,18:43,002.77986,03903.385,04178.452
05/30/2013,18:53,002.78681,03962.352,04171.169
05/30/2013,19:03,002.79375,04109.103,04163.886
05/30/2013,19:13,002.80069,04259.257,04156.604
05/30/2013,19:23,002.80764,04286.029,04149.321
05/30/2013,19:33,002.81458,04433.093,04142.039
05/30/2013,19:43,002.82153,04433.093,04134.756
05/30/2013,19:53,002.82847,04422.693,04127.474
05/30/2013,20:03,002.83542,04420.718,04120.191
05/30/2013,20:13,002.84236,04344.136,04112.909
05/30/2013,20:23,002.84931,04116.600,04105.626
05/30/2013,20:33,002.85625,03805.156,04098.343
05/30/2013,20:43,002.86319,03752.493,04091.061
05/30/2013,20:53,002.87014,03751.425,04083.778
05/30/2013,21:03,002.87708,03749.088,04076.496
05/30/2013,21:13,002.88403,03742.663,04069.213
05/30/2013,21:23,002.89097,03742.663,04061.931
05/30/2013,21:33,002.89792,03747.986,04054.648
05/30/2013,21:43,002.90486,03752.182,04047.365
05/30/2013,21:53,002.91181,03747.986,04040.083
05/30/2013,22:03,002.91875,03755.004,04032.800
05/30/2013,22:13,002.92569,03758.236,04025.518
05/30/2013,22:23,002.93264,03765.899,04018.235
05/30/2013,22:33,002.93958,03782.601,04010.953
05/30/2013,22:43,002.94653,03784.484,04003.670
05/30/2013,22:53,002.95347,03788.669,03996.387
05/30/2013,23:03,002.96042,03796.000,03989.105
05/30/2013,23:13,002.96736,03796.000,03981.823
05/30/2013,23:23,002.97431,03808.204,03974.540
05/30/2013,23:33,002.98125,03808.204,03967.257
05/30/2013,23:43,002.98819,04256.531,03959.975
05/30/2013,23:53,002.99514,04303.551,03952.692
05/31/2013,00:03,003.00208,04321.214,03945.410
05/31/2013,00:13,003.00903,04321.214,03938.127
05/31/2013,00:23,003.01597,04315.974,03930.844
05/31/2013,00:33,003.02292,04267.511,03923.562
05/31/2013,00:43,003.02986,04098.121,03916.279
05/31/2013,00:53,003.03681,03716.734,03908.997
05/31/2013,01:03,003.04375,03668.195,03901.714
05/31/2013,01:13,003.05069,03668.195,03894.432
05/31/2013,01:23,003.05764,03670.219,03887.149
05/31/2013,01:33,003.06458,03678.724,03879.867
05/31/2013,01:43,003.07153,03670.219,03872.584
05/31/2013,01:53,003.07847,03658.845,03865.302
05/31/2013,02:03,003.08542,03658.845,03858.019
05/31/2013,02:13,003.09236,03664.692,03850.736
05/31/2013,02:23,003.09931,03670.067,03843.454
05/31/2013,02:33,003.10625,03670.067,03836.171
05/31/2013,02:43,003.11319,03681.922,03828.889
05/31/2013,02:53,003.12014,03693.655,03821.606
05/31/2013,03:03,003.12708,03705.868,03814.323
05/31/2013,03:13,003.13403,03714.370,03807.041
05/31/2013,03:23,003.14097,03721.027,03799.759
05/31/2013,03:33,003.14792,03721.027,03792.476
05/31/2013,03:43,003.15486,03733.470,03785.193
05/31/2013,03:53,003.16181,03743.752,03777.911
05/31/2013,04:03,003.16875,03754.691,03770.628
05/31/2013,04:13,003.17569,03826.271,03763.346
05/31/2013,04:23,003.18264,03839.688,03756.063
05/31/2013,04:33,003.18958,04060.890,03748.781
05/31/2013,04:43,003.19653,04270.209,03741.498
05/31/2013,04:53,003.20347,04276.302,03734.215
05/31/2013,05:03,003.21042,04276.302,03726.933
05/31/2013,05:13,003.21736,04219.663,03719.650
05/31/2013,05:23,003.22431,03976.923,03712.368
05/31/2013,05:33,003.23125,03658.326,03705.085
05/31/2013,05:43,003.23819,03608.347,03697.802
05/31/2013,05:53,003.24514,03597.894,03690.520
05/31/2013,06:03,003.25208,03597.894,03683.238
05/31/2013,06:13,003.25903,03613.824,03675.955
05/31/2013,06:23,003.26597,03616.032,03668.672
05/31/2013,06:33,003.27292,03618.461,03661.390
05/31/2013,06:43,003.27986,03618.461,03654.107
05/31/2013,06:53,003.28681,03618.090,03646.825
05/31/2013,07:03,003.29375,03618.090,03639.542
05/31/2013,07:13,003.30069,03625.338,03632.260
05/31/2013,07:23,003.30764,03631.543,03624.977
05/31/2013,07:33,003.31458,03644.774,03617.694
05/31/2013,07:43,003.32153,03654.390,03610.412
05/31/2013,07:53,003.32847,03655.163,03603.129
05/31/2013,08:03,003.33542,03666.538,03595.847
05/31/2013,08:13,003.34236,03674.364,03588.564
05/31/2013,08:23,003.34931,03679.444,03581.282
05/31/2013,08:33,003.35625,03698.056,03573.999
05/31/2013,08:43,003.36319,03698.056,03566.717
05/31/2013,08:53,003.37014,03698.056,03559.434
05/31/2013,09:03,003.37708,03749.571,03552.151
05/31/2013,09:13,003.38403,03999.314,03544.869
05/31/2013,09:23,003.39097,04195.202,03537.586
05/31/2013,09:33,003.39792,04253.172,03530.304
05/31/2013,09:43,003.40486,04253.172,03523.021
05/31/2013,09:53,003.41181,04226.637,03515.739
05/31/2013,10:03,003.41875,04164.446,03508.456
05/31/2013,10:13,003.42569,04009.099,03501.174
05/31/2013,10:23,003.43264,03575.640,03493.891
05/31/2013,10:33,003.43958,03568.610,03486.608
05/31/2013,10:43,003.44653,03568.610,03479.326
05/31/2013,10:53,003.45347,03568.610,03472.043
05/31/2013,11:03,003.46042,03567.257,03464.761
05/31/2013,11:13,003.46736,03561.398,03457.478
05/31/2013,11:23,003.47431,03552.784,03450.196
05/31/2013,11:33,003.48125,03552.655,03442.913
05/31/2013,11:43,003.48819,03552.655,03435.630
05/31/2013,11:53,003.49514,03558.031,03428.348
05/31/2013,12:03,003.50208,03559.890,03421.065
05/31/2013,12:13,003.50903,03564.525,03413.783
05/31/2013,12:23,003.51597,03564.525,03406.500
05/31/2013,12:33,003.52292,03566.769,03399.218
05/31/2013,12:43,003.52986,03587.107,03391.935
05/31/2013,12:53,003.53681,03590.239,03384.653
05/31/2013,13:03,003.54375,03606.349,03377.370
05/31/2013,13:13,003.55069,03606.525,03370.087
05/31/2013,13:23,003.55764,03614.657,03362.805
05/31/2013,13:33,003.56458,03649.142,03355.522
05/31/2013,13:43,003.57153,03649.142,03348.240
05/31/2013,13:53,003.57847,03649.142,03340.957
05/31/2013,14:03,003.58542,03655.088,03333.675
05/31/2013,14:23,003.59931,03692.435,03319.110
05/31/2013,14:33,003.60625,03692.435,03311.827
05/31/2013,14:43,003.61319,03683.500,03304.544
05/31/2013,14:53,003.62014,03674.634,03297.262
05/31/2013,15:03,003.62708,03656.949,03289.979
05/31/2013,15:13,003.63403,03601.176,03282.697
05/31/2013,15:23,003.64097,03573.632,03275.414
05/31/2013,15:33,003.64792,03543.018,03268.132
05/31/2013,15:43,003.65486,03506.138,03260.849
05/31/2013,15:53,003.66181,03506.138,03253.566
05/31/2013,16:03,003.66875,03519.355,03246.284
05/31/2013,16:13,003.67569,03553.296,03239.001
05/31/2013,16:23,003.68264,03553.296,03231.719
05/31/2013,16:33,003.68958,03538.889,03224.436
05/31/2013,16:43,003.69653,03538.889,03217.154
05/31/2013,16:53,003.70347,03571.114,03209.871
05/31/2013,17:03,003.71042,03597.922,03202.589
05/31/2013,17:13,003.71736,03621.461,03195.306
05/31/2013,17:23,003.72431,03624.456,03188.023
05/31/2013,17:33,003.73125,03624.456,03180.741
05/31/2013,17:43,003.73819,03617.825,03173.458
05/31/2013,17:53,003.74514,03606.449,03166.176
05/31/2013,18:03,003.75208,03566.644,03158.893
05/31/2013,18:13,003.75903,03548.418,03151.611
05/31/2013,18:23,003.76597,03512.248,03144.328
05/31/2013,18:33,003.77292,03481.364,03137.045
05/31/2013,18:43,003.77986,03460.312,03129.763
05/31/2013,18:53,003.78681,03433.618,03122.480
05/31/2013,19:03,003.79375,03410.386,03115.198
05/31/2013,19:13,003.80069,03379.159,03107.915
05/31/2013,19:23,003.80764,03344.411,03100.633
05/31/2013,19:33,003.81458,03324.011,03093.350
05/31/2013,19:43,003.82153,03322.685,03086.068
05/31/2013,19:53,003.82847,03289.577,03078.785
05/31/2013,20:03,003.83542,03266.251,03071.502
05/31/2013,20:13,003.84236,03243.014,03064.220
05/31/2013,20:23,003.84931,03223.702,03056.937
05/31/2013,20:33,003.85625,03215.558,03049.655
05/31/2013,20:43,003.86319,03186.284,03042.372
05/31/2013,20:53,003.87014,03160.349,03035.090
05/31/2013,21:03,003.87708,03150.099,03027.807
05/31/2013,21:13,003.88403,03147.436,03020.525
05/31/2013,21:23,003.89097,03120.995,03013.242
05/31/2013,21:33,003.89792,03116.279,03005.959
05/31/2013,21:43,003.90486,03093.241,02998.677
05/31/2013,21:53,003.91181,03084.826,02991.394
05/31/2013,22:03,003.91875,03063.360,02984.112
05/31/2013,22:13,003.92569,03052.787,02976.829
05/31/2013,22:23,003.93264,03046.688,02969.547
05/31/2013,22:33,003.93958,03016.165,02962.264
05/31/2013,22:43,003.94653,03015.793,02954.981
05/31/2013,22:53,003.95347,02999.012,02947.699
05/31/2013,23:03,003.96042,02987.017,02940.417
05/31/2013,23:13,003.96736,02978.226,02933.134
05/31/2013,23:23,003.97431,02972.518,02925.851
05/31/2013,23:33,003.98125,02966.411,02918.569
05/31/2013,23:43,003.98819,02938.467,02911.286
05/31/2013,23:53,003.99514,02934.312,02904.004
06/01/2013,00:03,004.00208,02928.098,02896.721
06/01/2013,00:13,004.00903,02916.522,02889.438
06/01/2013,00:23,004.01597,02894.688,02882.156
06/01/2013,00:33,004.02292,02890.947,02874.873
06/01/2013,00:43,004.02986,02871.377,02867.591
06/01/2013,00:53,004.03681,02868.406,02860.308
06/01/2013,01:03,004.04375,02848.006,02853.026
06/01/2013,01:13,004.05069,02846.375,02845.743
06/01/2013,01:23,004.05764,02845.114,02838.461
06/01/2013,01:33,004.06458,02824.729,02831.178
06/01/2013,01:43,004.07153,02813.927,02823.896
06/01/2013,01:53,004.07847,02791.244,02816.613
06/01/2013,02:03,004.08542,02788.431,02809.330
06/01/2013,02:13,004.09236,02785.690,02802.048
06/01/2013,02:23,004.09931,02765.883,02794.765
06/01/2013,02:33,004.10625,02757.619,02787.483
06/01/2013,02:43,004.11319,02743.355,02780.200
06/01/2013,02:53,004.12014,02733.237,02772.917
06/01/2013,03:03,004.12708,02732.786,02765.635
06/01/2013,03:13,004.13403,02710.806,02758.353
06/01/2013,03:23,004.14097,02703.441,02751.070
06/01/2013,03:33,004.14792,02690.929,02743.787
06/01/2013,03:43,004.15486,02674.704,02736.505
06/01/2013,03:53,004.16181,02671.024,02729.222
06/01/2013,04:03,004.16875,02662.874,02721.940
06/01/2013,04:13,004.17569,02649.622,02714.657
06/01/2013,04:23,004.18264,02643.125,02707.375
06/01/2013,04:33,004.18958,02625.573,02700.092
06/01/2013,04:43,004.19653,02616.798,02692.809
06/01/2013,04:53,004.20347,02602.840,02685.527
06/01/2013,05:03,004.21042,02589.307,02678.244
06/01/2013,05:13,004.21736,02581.141,02670.962
06/01/2013,05:23,004.22431,02569.232,02663.679
06/01/2013,05:33,004.23125,02562.679,02656.396
06/01/2013,05:43,004.23819,02560.136,02649.114
06/01/2013,05:53,004.24514,02540.039,02641.832
06/01/2013,06:03,004.25208,02527.231,02634.549
06/01/2013,06:13,004.25903,02516.727,02627.266
06/01/2013,06:23,004.26597,02512.781,02619.984
06/01/2013,06:33,004.27292,02506.713,02612.701
06/01/2013,06:43,004.27986,02490.023,02605.419
06/01/2013,06:53,004.28681,02477.933,02598.136
